Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,0.01053744;-0.1130642;1.70928,0.182498;-0.1472299;1.667536,0.2656698;-0.3122499;1.609232,0.2111623;-0.4171493;1.45255,0.193516;-0.4412682;1.397813,0.01233094;-0.5525871;1.692983,0
32,0.01056501;-0.1130966;1.709327,0.18251;-0.147155;1.66712,0.2658488;-0.3123094;1.609435,0.2110959;-0.4170844;1.452758,0.191837;-0.4430813;1.398531,0.0126118;-0.552515;1.692914,0
67,0.01048304;-0.1131638;1.709086,0.182519;-0.1470244;1.666122,0.2658536;-0.312295;1.609446,0.2109349;-0.4168347;1.452667,0.1943205;-0.4400841;1.400158,0.01321662;-0.5523121;1.692472,0
108,0.01028362;-0.1132146;1.708797,0.1825276;-0.1470212;1.666273,0.2658666;-0.3123476;1.609324,0.2106044;-0.4160917;1.452116,0.1931735;-0.4399254;1.397804,0.01271024;-0.5523764;1.692541,0
133,0.01025218;-0.1132477;1.70866,0.1825383;-0.147101;1.66654,0.2658657;-0.3125231;1.609365,0.2114348;-0.4162856;1.451878,0.1933065;-0.4405056;1.397537,0.01275428;-0.5524113;1.692495,0
166,0.01024559;-0.113245;1.708593,0.1825725;-0.1471255;1.666763,0.2658587;-0.3125572;1.609356,0.211422;-0.4162591;1.451833,0.192835;-0.4412459;1.395986,0.01313592;-0.5522081;1.692142,0
200,0.01025038;-0.1132473;1.708517,0.1825727;-0.1470396;1.665866,0.2659698;-0.3124629;1.609211,0.2114197;-0.4160641;1.451662,0.1934027;-0.4403715;1.398362,0.01356835;-0.5520219;1.691609,0
232,0.0102564;-0.1132626;1.708477,0.1826211;-0.1471733;1.666376,0.265877;-0.3126726;1.609265,0.2121399;-0.4163894;1.451515,0.1928011;-0.4410978;1.396752,0.01404803;-0.5520351;1.691628,0
267,0.01018008;-0.1132867;1.708436,0.1826041;-0.1472151;1.666507,0.2658764;-0.3126984;1.60926,0.2122113;-0.4162136;1.451348,0.1934525;-0.4401575;1.398473,0.01242033;-0.5522239;1.692126,0
300,0.01018074;-0.113297;1.7084,0.1825739;-0.147276;1.666739,0.2659379;-0.3127169;1.609151,0.2122509;-0.4162939;1.451292,0.1942969;-0.4404551;1.398496,0.01262573;-0.5522368;1.692086,0
334,0.01012244;-0.1133292;1.708328,0.1825721;-0.1472486;1.666934,0.2659358;-0.3127005;1.609123,0.2124052;-0.4163274;1.451249,0.1931431;-0.4406909;1.397948,0.01232349;-0.552919;1.6925,0
368,0.01008263;-0.1133098;1.707603,0.1825718;-0.1472624;1.666911,0.2658434;-0.3128191;1.608776,0.2113693;-0.4154114;1.450524,0.1941031;-0.4379247;1.397517,0.01270828;-0.5529367;1.691841,0
400,0.01005947;-0.1133267;1.707476,0.1825623;-0.1473299;1.667095,0.2658719;-0.3128402;1.608755,0.211582;-0.4156277;1.450577,0.1925591;-0.4407446;1.395262,0.01296163;-0.5529884;1.691613,0
433,0.01007849;-0.113326;1.707444,0.1825885;-0.1471762;1.66623,0.2658919;-0.3128447;1.608761,0.2118092;-0.4158312;1.45065,0.1927972;-0.4399712;1.396544,0.0140492;-0.5528117;1.690365,0
468,0.01007489;-0.1133247;1.707428,0.182524;-0.1470507;1.665462,0.2658905;-0.3127916;1.608691,0.2123452;-0.4160822;1.450606,0.1935722;-0.4396069;1.398207,0.01419261;-0.5526933;1.690098,0
500,0.01008329;-0.11333;1.707424,0.1824725;-0.1469564;1.664972,0.2660149;-0.3126494;1.608503,0.2118278;-0.4162513;1.450857,0.1928362;-0.4404616;1.395151,0.01473081;-0.55256;1.68945,0
535,0.01020207;-0.1133269;1.707412,0.1822997;-0.1469571;1.665474,0.2660585;-0.3125532;1.608255,0.2122742;-0.4162602;1.450543,0.1937827;-0.4394615;1.396703,0.01549646;-0.5522507;1.688813,0
568,0.01032753;-0.1133008;1.707525,0.1821974;-0.1469238;1.66587,0.2667126;-0.3119549;1.607273,0.2126356;-0.415438;1.449507,0.1924165;-0.4387749;1.394363,0.01550301;-0.5522428;1.688814,0
599,0.01037775;-0.1133753;1.707978,0.1821944;-0.1469399;1.666361,0.2668541;-0.3117214;1.607186,0.2120616;-0.4144823;1.44918,0.1908992;-0.440708;1.392525,0.01379137;-0.551994;1.689289,0
633,0.01063759;-0.1137729;1.709556,0.1825694;-0.1468701;1.668147,0.2679003;-0.3107745;1.607498,0.211184;-0.4129063;1.449757,0.187532;-0.4434181;1.394575,0.01369322;-0.5517108;1.689611,0
667,0.01062576;-0.1139793;1.710104,0.1828292;-0.1467233;1.668495,0.2693224;-0.3088456;1.606278,0.2054528;-0.4062112;1.448156,0.1783886;-0.439007;1.395072,0.01264289;-0.5512388;1.689677,0
700,0.01054357;-0.114457;1.710993,0.1830626;-0.1464891;1.667722,0.2701526;-0.307761;1.605025,0.1910767;-0.3852967;1.442467,0.1588275;-0.3943673;1.403749,0.01188752;-0.5510536;1.689756,0
743,0.01015365;-0.1149465;1.711774,0.1832758;-0.1463283;1.667221,0.2707807;-0.3065088;1.601758,0.1812962;-0.3738005;1.439933,0.1444949;-0.4050049;1.409984,0.009210641;-0.5509674;1.690213,0
770,0.01019673;-0.1156538;1.712643,0.1834766;-0.1462754;1.666894,0.2714589;-0.305674;1.599859,0.1011773;-0.3430371;1.402218,0.03515494;-0.3463058;1.334601,0.009017817;-0.55165;1.689743,0
801,0.01048208;-0.1160133;1.712452,0.1836073;-0.146218;1.666198,0.2728872;-0.3010857;1.588914,0.08281799;-0.3302011;1.408985,0.001046324;-0.30168;1.339357,0.01078228;-0.5506628;1.687007,0
833,0.009223817;-0.1157186;1.711031,0.183754;-0.1461353;1.666051,0.2616163;-0.2991161;1.571434,0.05467565;-0.2703993;1.411299,-0.01408585;-0.2581983;1.368743,0.01041308;-0.5495338;1.687392,0
868,0.01060046;-0.1164927;1.710708,0.184658;-0.1458874;1.666303,0.2568987;-0.2959532;1.561657,0.04733979;-0.2502264;1.416768,-0.01941237;-0.2176894;1.391321,0.009734509;-0.547793;1.68603,0
900,0.01219379;-0.1177339;1.711697,0.1860789;-0.1453028;1.667586,0.2531409;-0.2939952;1.55694,0.04285541;-0.2149428;1.454234,-0.02154079;-0.1813375;1.427876,0.008726809;-0.5478674;1.686596,0
933,0.01279566;-0.1182475;1.711895,0.1863726;-0.1448413;1.666489,0.2500742;-0.2924407;1.552,0.04663958;-0.2041015;1.463448,-0.01784591;-0.1526581;1.454756,0.009023925;-0.5490931;1.686512,0
969,0.01601974;-0.1176167;1.709673,0.1867071;-0.1443515;1.664827,0.240766;-0.2873714;1.538837,0.030754;-0.1659932;1.482824,-0.01700589;-0.1257237;1.476688,0.009725123;-0.5508831;1.686463,0
1003,0.01457112;-0.1153134;1.706395,0.186626;-0.1441974;1.663778,0.2292231;-0.2963601;1.518352,0.04204442;-0.1615489;1.491323,-0.01609911;-0.1076729;1.503966,0.0123921;-0.5525365;1.689401,0
1033,0.01289696;-0.1148945;1.701741,0.1863174;-0.1433129;1.660986,0.2239193;-0.2813262;1.522253,0.04686057;-0.1576929;1.494333,-0.007498586;-0.1025466;1.511018,0.01303612;-0.5527576;1.689502,0
1067,0.01166156;-0.1158255;1.699202,0.1861942;-0.142896;1.659238,0.2161054;-0.2795549;1.517482,0.01493562;-0.1174451;1.515166,-0.005280745;-0.09835043;1.522256,0.0133214;-0.5530859;1.689663,0
1100,0.01085952;-0.1167828;1.697334,0.1861137;-0.1426524;1.658097,0.2124901;-0.2784864;1.514707,0.01647817;-0.1151227;1.51563,-0.02457665;-0.06142168;1.543779,0.01368802;-0.5532917;1.689746,0
1133,0.01011565;-0.1176955;1.696193,0.1859698;-0.1423704;1.657358,0.2111808;-0.2774473;1.512968,0.01935884;-0.116843;1.518006,-0.01777598;-0.06205157;1.549085,0.01395592;-0.5533959;1.68996,0
1168,0.009451435;-0.1183241;1.695068,0.1860344;-0.1418243;1.656491,0.2126374;-0.2757272;1.511209,0.02008238;-0.1160842;1.520541,-0.01419811;-0.05948716;1.552397,0.01456877;-0.5537668;1.690565,0
1201,0.008502796;-0.1191153;1.693517,0.185737;-0.1417529;1.654804,0.2144963;-0.2748367;1.509165,0.02075592;-0.1157814;1.521539,-0.01320908;-0.05850066;1.550715,0.01499709;-0.553792;1.690076,0
1233,0.007596774;-0.1192812;1.692973,0.1856563;-0.1417292;1.654392,0.2198863;-0.2742549;1.509522,0.02137089;-0.1155292;1.524576,-0.01195587;-0.05906855;1.55406,0.01502008;-0.5539482;1.690262,0
1267,0.006894578;-0.1193488;1.692859,0.1855962;-0.1416527;1.654406,0.2272424;-0.2744759;1.512009,0.02414555;-0.1175741;1.528908,-0.01100655;-0.06365454;1.559192,0.01498372;-0.5543197;1.691245,0
1300,0.006350448;-0.1191603;1.69253,0.1853382;-0.1414913;1.653993,0.2334701;-0.2729983;1.512534,0.02620745;-0.1185899;1.528377,-0.01151067;-0.06578339;1.550649,0.01427278;-0.5553207;1.692444,0
1333,0.005734808;-0.118719;1.692506,0.185184;-0.1412634;1.654124,0.2432488;-0.2709991;1.515024,0.03130049;-0.1225666;1.527801,-0.009735108;-0.07672226;1.55199,0.01448008;-0.5551426;1.692185,0
1366,0.005144035;-0.1182242;1.693357,0.1847929;-0.1408791;1.654466,0.2581707;-0.2681368;1.520973,0.03943118;-0.1290203;1.527533,-0.006580347;-0.09060097;1.547381,0.01470793;-0.5548125;1.692141,0
1401,0.004694943;-0.1177562;1.693958,0.1843603;-0.140087;1.654992,0.2688577;-0.2627637;1.52409,0.09400927;-0.1735556;1.517993,0.1180501;-0.1801015;1.519386,0.01482285;-0.5544006;1.691357,0
1433,0.003655207;-0.1175026;1.697423,0.183503;-0.1385431;1.657615,0.286141;-0.2555809;1.535731,0.09353994;-0.1733022;1.519618,0.02374693;-0.1427619;1.528313,0.014854;-0.5540352;1.691905,0
1467,0.005034322;-0.120272;1.705255,0.1827531;-0.1372361;1.659267,0.2957281;-0.2476435;1.540754,0.09280068;-0.1732053;1.519145,0.02160207;-0.1526665;1.521585,0.01489867;-0.5535245;1.691901,0
1499,0.004805817;-0.121702;1.70943,0.1823436;-0.1355032;1.661583,0.3018772;-0.2404014;1.544686,0.07044874;-0.1719359;1.511703,0.01183353;-0.1628537;1.51509,0.0148418;-0.5530849;1.69206,0
1533,0.004714767;-0.1228751;1.713014,0.1818653;-0.1336643;1.663816,0.3105839;-0.230624;1.550225,0.0782661;-0.1747872;1.509874,0.02041742;-0.1753941;1.511272,0.01326299;-0.5521587;1.69199,0
1567,0.004508792;-0.123242;1.713758,0.1800577;-0.1264379;1.67188,0.3145601;-0.2157151;1.558705,0.08154455;-0.1767372;1.504764,0.02497362;-0.1876722;1.50432,0.01285048;-0.5502711;1.691389,0
1601,0.004409641;-0.1233842;1.714292,0.1794964;-0.123676;1.674961,0.3210094;-0.2034378;1.563414,0.0754567;-0.182206;1.501737,0.02238743;-0.1999195;1.505011,0.01243889;-0.5486332;1.691059,0
