Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-0.01815377;-0.4312562;1.320356,-0.06607824;-0.4162557;1.345199,-0.1769148;-0.3092614;1.463093,-0.1722054;-0.1316568;1.566733,-0.01658898;-0.1037917;1.604524,-0.04428843;-0.5027518;1.57465,0
31,-0.01846149;-0.4277913;1.315928,-0.0638488;-0.4140335;1.344111,-0.1765393;-0.3095522;1.462614,-0.1722367;-0.131646;1.566606,-0.01696745;-0.1038821;1.603865,-0.04425159;-0.5028309;1.574661,0
65,-0.01722371;-0.4281631;1.320922,-0.06246771;-0.4136507;1.343995,-0.1760158;-0.3099555;1.462413,-0.172264;-0.1316515;1.566596,-0.0174151;-0.1038543;1.603648,-0.04422281;-0.5029118;1.574651,0
98,0.001038514;-0.4340167;1.305169,-0.06207459;-0.4133732;1.344131,-0.1761226;-0.3100523;1.462436,-0.1722846;-0.1316549;1.566586,-0.01778894;-0.1039246;1.60355,-0.044182;-0.5029579;1.574648,0
130,0.03455834;-0.4400616;1.286356,-0.03304045;-0.4091915;1.335035,-0.176194;-0.3102252;1.462603,-0.1723273;-0.1316623;1.566623,-0.01806504;-0.103978;1.603605,-0.04413608;-0.5029388;1.574656,0
164,0.006220277;-0.4099427;1.309841,-0.05102624;-0.3990992;1.343707,-0.1767101;-0.3104976;1.462522,-0.172397;-0.1316852;1.566562,-0.01848517;-0.1040191;1.60322,-0.04410148;-0.5029326;1.574653,0
198,0.07276475;-0.4065909;1.275268,-0.0194793;-0.3806379;1.336222,-0.1791833;-0.3114065;1.46259,-0.172469;-0.1317701;1.566568,-0.01870357;-0.1040803;1.603184,-0.04401942;-0.5028395;1.574711,0
231,0.09680563;-0.3705294;1.276276,0.02197966;-0.3662219;1.318736,-0.1890985;-0.3428525;1.471488,-0.1771142;-0.139508;1.566568,-0.01914059;-0.104326;1.603081,-0.04429454;-0.5029793;1.574425,0
267,0.09889724;-0.3312297;1.290305,0.02226756;-0.3423503;1.331835,-0.1893996;-0.3440916;1.472144,-0.1792793;-0.1429511;1.566841,-0.01994619;-0.1045605;1.603251,-0.04479036;-0.5029479;1.574567,0
298,0.1037073;-0.2837723;1.301536,0.02240767;-0.307097;1.339366,-0.1937196;-0.3196858;1.461009,-0.1800379;-0.1443732;1.566254,-0.02063234;-0.1047596;1.603104,-0.0455304;-0.5028528;1.574912,0
