Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,0.0399326;-0.01163578;1.218228,0.1837961;-0.05177047;1.220777,0.123574;-0.2494282;1.097661,0.01959986;-0.3617215;0.9951288,-0.02263132;-0.4312264;0.9404279,0.07658218;-0.4501438;1.270813,0
35,0.03991669;-0.0115418;1.21805,0.1838048;-0.05176325;1.22076,0.1220944;-0.2509085;1.094845,0.005443716;-0.4038135;0.9661703,-0.01964629;-0.4347209;0.9397908,0.07658518;-0.4501458;1.270812,0
76,0.03989691;-0.01147881;1.21805,0.1837997;-0.05176959;1.220762,0.1217444;-0.251474;1.094146,0.02077015;-0.3683247;0.994008,-0.02246498;-0.4336748;0.943076,0.07658792;-0.4501467;1.270816,0
116,0.03989521;-0.01138694;1.217959,0.1837996;-0.05176816;1.220759,0.1245402;-0.2481754;1.099137,0.01949072;-0.360173;0.9973967,-0.005273913;-0.4089809;0.9623507,0.07659063;-0.4501451;1.270811,0
150,0.03988429;-0.01134834;1.217935,0.1838004;-0.05176877;1.220757,0.1248632;-0.2479438;1.100145,0.0190468;-0.3587934;0.9978771,-0.006120809;-0.4097296;0.9629928,0.07658987;-0.4501454;1.270811,0
183,0.03988398;-0.01133155;1.217936,0.1838018;-0.05176736;1.220765,0.1254362;-0.2472365;1.10158,0.01929897;-0.3573259;0.9987632,-0.006300318;-0.4097293;0.9628227,0.07659241;-0.4501423;1.270811,0
217,0.03987558;-0.01130518;1.21794,0.1838024;-0.05176863;1.220773,0.1256429;-0.2470114;1.102222,0.02190069;-0.3589372;0.998955,-0.00659061;-0.4168012;0.9594536,0.07660159;-0.45013;1.27083,0
249,0.03984569;-0.01121341;1.21812,0.1838015;-0.05176103;1.220825,0.1259324;-0.2466554;1.103477,0.02117514;-0.3575238;1.000055,-0.006674986;-0.4162579;0.9624533,0.0766004;-0.4501202;1.27088,0
284,0.03981305;-0.01115411;1.218033,0.1837986;-0.05174935;1.220806,0.125922;-0.2465699;1.103502,0.02042712;-0.3566206;0.9999226,-0.007074683;-0.4145634;0.9595509,0.07660136;-0.4501133;1.270875,0
318,0.03972962;-0.01104489;1.217745,0.1837583;-0.05174412;1.220758,0.1260272;-0.246298;1.103544,0.02204145;-0.3569479;0.9990327,-0.006339113;-0.4153808;0.9559609,0.07660582;-0.4501077;1.270833,0
