Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1914908;-0.2304919;1.119199,0.1610141;-0.179033;1.123989,0.04046306;-0.03098281;1.200197,-0.02408178;0.2091749;1.261257,0.1025799;0.2322023;1.247836,0.1199;-0.1300554;1.419511,0
33,0.1917619;-0.2292957;1.117829,0.1606753;-0.1789488;1.123517,0.04020951;-0.03098618;1.200066,-0.02404914;0.2091449;1.26125,0.102604;0.2321935;1.24781,0.1199024;-0.1301091;1.419222,0
65,0.1913696;-0.2250759;1.112636,0.1601197;-0.1784953;1.120996,0.0393353;-0.03087881;1.197757,-0.02398593;0.2090313;1.261076,0.1026196;0.232118;1.247568,0.1198731;-0.1300832;1.419056,0
100,0.1920869;-0.2201675;1.114258,0.1549266;-0.1725128;1.122731,0.03530635;-0.02281777;1.197236,-0.02397001;0.2090197;1.261085,0.1026333;0.2321141;1.247569,0.1198742;-0.1300795;1.419053,0
133,0.1925296;-0.2168367;1.109071,0.1535583;-0.1692705;1.121403,0.03417978;-0.01961417;1.196539,-0.02395134;0.2090093;1.261094,0.1026471;0.2321123;1.247572,0.1198836;-0.1300378;1.419062,0
165,0.1928102;-0.2143077;1.103015,0.1523785;-0.1670288;1.118801,0.03336788;-0.01775396;1.1955,-0.02391628;0.2089611;1.261092,0.1026633;0.2321111;1.247577,0.1199362;-0.1298928;1.419107,0
199,0.1927984;-0.2125987;1.096121,0.1521558;-0.1647661;1.116367,0.03288441;-0.0161412;1.194082,-0.02384113;0.2088908;1.261043,0.1026645;0.2321095;1.24758,0.119478;-0.1297255;1.419314,0
233,0.194658;-0.2139467;1.094599,0.1522913;-0.1638262;1.115547,0.03305382;-0.01539341;1.193769,-0.02377689;0.2088366;1.26111,0.1028184;0.232177;1.247851,0.1206634;-0.1284928;1.421286,0
265,0.2057646;-0.2458471;1.080508,0.1798519;-0.1869171;1.08878,0.03276141;-0.01352673;1.192228,-0.02366298;0.2087216;1.260981,0.102833;0.2321717;1.247834,0.1205623;-0.1284484;1.421257,0
301,0.2047252;-0.2478603;1.080016,0.1798326;-0.1869171;1.08878,0.03290845;-0.01058672;1.190843,-0.02350668;0.2085193;1.260742,0.1028497;0.2321728;1.247816,0.1206099;-0.128428;1.421223,0
334,0.2024863;-0.2514497;1.078953,0.1799013;-0.187217;1.088516,0.0329199;-0.009059469;1.189887,-0.02318699;0.2080812;1.259987,0.1028856;0.2321336;1.247663,0.1206776;-0.1284357;1.421085,0
365,0.1962435;-0.2474895;1.088739,0.1803337;-0.1883588;1.088879,0.06022462;-0.04573545;1.176429,-0.0229949;0.2077683;1.259658,0.102941;0.2320859;1.247506,0.1206381;-0.1289333;1.420067,0
399,0.2000426;-0.2559283;1.087115,0.1799683;-0.1891626;1.09028,0.03992605;-0.01657948;1.190428,-0.02281696;0.2075727;1.259401,0.1030117;0.2319561;1.247289,0.1219719;-0.1310029;1.416019,0
432,0.1997008;-0.2570583;1.086266,0.1799423;-0.1904626;1.091455,0.03940213;-0.01620189;1.190811,-0.02268138;0.2073276;1.259049,0.1030185;0.2318828;1.247088,0.1215815;-0.1312462;1.415483,0
465,0.2009623;-0.2597527;1.085204,0.1813334;-0.1941634;1.091785,0.03925177;-0.01615638;1.190745,-0.02257088;0.2071837;1.258776,0.1030697;0.2317474;1.246794,0.1214278;-0.1316051;1.414497,0
499,0.2013856;-0.2594488;1.087008,0.1812383;-0.1944136;1.092145,0.03919466;-0.01607075;1.190693,-0.02251947;0.207109;1.258724,0.1030784;0.2317363;1.246762,0.1213818;-0.1316073;1.414537,0
535,0.2021196;-0.257912;1.087888,0.1809611;-0.1939753;1.092864,0.03857582;-0.01519879;1.191293,-0.02250726;0.2071232;1.258743,0.1031049;0.2317609;1.246836,0.1214825;-0.1309078;1.415934,0
565,0.2017417;-0.2556616;1.083486,0.1807069;-0.1935938;1.092396,0.03789943;-0.01425881;1.19089,-0.02248214;0.2071133;1.258727,0.1031211;0.2317572;1.246839,0.1215097;-0.1308044;1.415984,0
600,0.2019032;-0.250894;1.081461,0.1799744;-0.1911717;1.092247,0.03692733;-0.01265395;1.189597,-0.022428;0.2070289;1.258743,0.1031397;0.2317782;1.246873,0.1215845;-0.1306649;1.416106,0
632,0.2030025;-0.2481887;1.076979,0.1795118;-0.1910599;1.091325,0.03384452;-0.00722052;1.187887,-0.02239741;0.2069778;1.258738,0.1031684;0.2317964;1.246926,0.1216299;-0.1305216;1.416175,0
664,0.209623;-0.2447796;1.071274,0.1824053;-0.1884268;1.083196,0.03165977;-0.004347701;1.187584,-0.02236889;0.2069775;1.25878,0.1032058;0.2317996;1.247076,0.1216844;-0.1302845;1.416242,0
700,0.2098568;-0.2356285;1.065645,0.1817038;-0.1815826;1.080486,0.03068647;-0.00316695;1.186901,-0.02231611;0.2069073;1.258815,0.1032754;0.2317938;1.247265,0.1219785;-0.1301191;1.416316,0
735,0.210847;-0.2289758;1.062576,0.1816824;-0.1767286;1.076087,0.03064997;-0.003269615;1.186556,-0.02227666;0.2068101;1.258941,0.1033558;0.2317801;1.247588,0.1223279;-0.1297798;1.416683,0
769,0.1987928;-0.179418;1.043453,0.1536256;-0.1334045;1.084058,0.03034037;-0.002518876;1.186193,-0.02227282;0.206811;1.258992,0.1034533;0.2318699;1.247794,0.1227762;-0.1293092;1.417269,0
801,0.1955766;-0.1777473;1.035323,0.1533011;-0.133332;1.083892,0.03027727;-0.002355411;1.186225,-0.02226641;0.2067598;1.259086,0.1034804;0.2318771;1.247997,0.1230844;-0.1290425;1.417673,0
833,0.189152;-0.181916;1.036287,0.1533216;-0.1340753;1.083852,0.03042961;-0.003557165;1.186965,-0.02207361;0.2096095;1.25966,0.1036916;0.237711;1.254019,0.1233834;-0.1279729;1.418567,0
