Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.03058893;0.07592908;1.34698,0.1441434;0.03100154;1.320996,0.1630422;-0.1685078;1.283701,-0.006023951;-0.332073;1.182755,-0.07495476;-0.3864081;1.151731,-0.00949931;-0.3904472;1.440102,0
34,-0.03022032;0.07597201;1.347317,0.1442995;0.03141161;1.321673,0.1631869;-0.1683873;1.283956,-0.005787408;-0.332339;1.183533,-0.07504954;-0.3875261;1.152967,-0.009431534;-0.3905075;1.44023,0
64,-0.0299691;0.07598802;1.347391,0.1443979;0.03171694;1.322104,0.1632314;-0.1694563;1.2841,-0.006069261;-0.3330672;1.183678,-0.07551308;-0.3872526;1.151822,-0.009370456;-0.3906345;1.440207,0
96,-0.02970128;0.07606856;1.347675,0.1445423;0.03211802;1.322751,0.163188;-0.1694728;1.284264,-0.006031286;-0.3333849;1.184236,-0.07573778;-0.3882855;1.154108,-0.009246875;-0.3904829;1.440563,0
130,-0.02954762;0.07613219;1.347725,0.1452183;0.03158879;1.322516,0.1630639;-0.1696706;1.284312,-0.006148438;-0.3336695;1.184432,-0.07539343;-0.3872094;1.152595,-0.009275345;-0.3905098;1.440587,0
165,-0.02945487;0.07611991;1.347715,0.1456135;0.03098238;1.322448,0.1627544;-0.1690291;1.2839,-0.006234219;-0.3335172;1.184485,-0.07536221;-0.3868831;1.152274,-0.009333813;-0.3905846;1.440551,0
200,-0.0292293;0.07622051;1.347842,0.1461223;0.03057606;1.322278,0.1623125;-0.1687991;1.283597,-0.006506771;-0.3336489;1.184528,-0.07638175;-0.3878135;1.151495,-0.009301475;-0.3905511;1.440595,0
232,-0.02905547;0.07631598;1.348028,0.1460426;0.03100696;1.322809,0.1621951;-0.1681854;1.283642,-0.00647525;-0.3333505;1.18487,-0.07647859;-0.3882246;1.152854,-0.009229911;-0.390535;1.440686,0
266,-0.02894851;0.07633029;1.347856,0.1463744;0.03028919;1.321709,0.1617518;-0.1677646;1.282405,-0.006828643;-0.3332257;1.183964,-0.07460485;-0.3864782;1.149678,-0.00945137;-0.3907019;1.440191,0
299,-0.02931171;0.07681093;1.348417,0.1463116;0.03086344;1.322589,0.1616514;-0.167725;1.282564,0.04116598;-0.3037658;1.208114,-0.01128491;-0.3444588;1.195247,-0.009282118;-0.3905627;1.440525,0
329,-0.02926826;0.07681951;1.348419,0.1465375;0.03067997;1.322461,0.1611457;-0.1677296;1.282178,-0.0129307;-0.3244349;1.178443,-0.08069745;-0.3807966;1.145699,-0.009273874;-0.3905548;1.440532,0
364,-0.02913647;0.07682019;1.348522,0.1466454;0.03046684;1.322354,0.160568;-0.1675268;1.281817,-0.01345297;-0.3243125;1.178077,-0.08125542;-0.3786417;1.144466,-0.009759331;-0.3908264;1.440593,0
398,-0.02893498;0.07682215;1.348581,0.1464832;0.03100405;1.322762,0.1598313;-0.1672591;1.281156,-0.01480553;-0.3227332;1.176341,-0.08341335;-0.3746807;1.141698,-0.009763819;-0.3906139;1.440675,0
