Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.03650374;0.2427024;1.33519,0.09388217;0.2157232;1.302574,0.05414774;0.02730426;1.245806,-0.05748342;-0.1190998;1.174234,-0.08658433;-0.1549592;1.164779,-0.03316477;-0.1644755;1.424884,0
29,-0.03661943;0.2426414;1.334971,0.09308291;0.2156077;1.302064,0.05432746;0.02702716;1.245165,-0.05772096;-0.1191009;1.173711,-0.08585107;-0.1542422;1.162846,-0.03984607;-0.1647042;1.425727,0
60,-0.03663677;0.2426213;1.335002,0.09336141;0.2155373;1.302096,0.05428697;0.02690853;1.245661,-0.05771432;-0.1190995;1.173857,-0.08570629;-0.1524394;1.168395,-0.03999695;-0.166218;1.427784,0
94,-0.03658677;0.2425831;1.334936,0.09360491;0.2154316;1.301937,0.05423363;0.02685052;1.245555,-0.05778173;-0.1191829;1.173834,-0.08415453;-0.1526334;1.16615,-0.03456411;-0.16618;1.426657,0
128,-0.03663804;0.242548;1.334832,0.09380445;0.2153677;1.301764,0.05285047;0.02703454;1.245761,-0.05794061;-0.1197053;1.173564,-0.08354964;-0.1526181;1.16606,-0.03581109;-0.1662778;1.426015,0
158,-0.0366258;0.2425372;1.334824,0.09396583;0.2153086;1.301656,0.05205815;0.0271316;1.245888,-0.05803989;-0.1200754;1.173595,-0.08228801;-0.1517109;1.167837,-0.03592148;-0.1662976;1.425975,0
195,-0.03661098;0.2425381;1.3348,0.0941904;0.2152436;1.3015,0.05145239;0.02723349;1.245825,-0.05806765;-0.1204101;1.173564,-0.08660705;-0.1594054;1.166532,-0.03450842;-0.1656772;1.42618,0
228,-0.03655713;0.2424511;1.334544,0.09446156;0.2150961;1.301116,0.0512347;0.02725183;1.245226,-0.05815457;-0.1206525;1.173349,-0.08868697;-0.1628167;1.163302,-0.03177303;-0.1658576;1.425002,0
258,-0.03651214;0.2424441;1.3345,0.0946101;0.2150626;1.300989,0.05107601;0.02723334;1.24534,-0.05445457;-0.1241341;1.175119,-0.09866087;-0.1757135;1.161427,-0.03145314;-0.1655555;1.425144,0
292,-0.0364592;0.2424226;1.334469,0.09469049;0.2150373;1.300892,0.05087073;0.02724476;1.245378,-0.05655053;-0.1218345;1.17293,-0.1068411;-0.1885211;1.164,-0.02947244;-0.1654657;1.425269,0
327,-0.03645186;0.2424233;1.334436,0.09482199;0.2150009;1.300702,0.05041489;0.02743809;1.244813,-0.05734721;-0.1209861;1.171442,-0.1065363;-0.1867953;1.162213,-0.02969031;-0.1650701;1.425716,0
358,-0.03644736;0.2424312;1.334452,0.09487885;0.214992;1.300679,0.05043196;0.02742031;1.244878,-0.05512588;-0.1233826;1.173383,-0.1008351;-0.1760844;1.161169,-0.02989553;-0.1645157;1.426638,0
392,-0.03644662;0.2424304;1.334452,0.09492607;0.2149744;1.30064,0.05046507;0.02739706;1.244889,-0.05690033;-0.121678;1.172365,-0.100989;-0.1756049;1.160463,-0.02988118;-0.1643573;1.426879,0
428,-0.03649617;0.2424088;1.334418,0.09499197;0.2149418;1.30057,0.05027428;0.02744348;1.244754,-0.05750166;-0.1208844;1.171217,-0.100706;-0.1740509;1.15973,-0.03271023;-0.1650098;1.426338,0
458,-0.03650836;0.2424058;1.334385,0.09504889;0.2149093;1.300551,0.05029639;0.02739931;1.244832,-0.05594707;-0.1228239;1.173135,-0.1013528;-0.1755469;1.160094,-0.03389614;-0.1651421;1.426747,0
493,-0.03644098;0.2423691;1.334261,0.09512576;0.2148563;1.30048,0.04941656;0.02760748;1.244637,-0.05749161;-0.1216957;1.171914,-0.1082064;-0.1880158;1.162143,-0.03156307;-0.165162;1.426084,0
526,-0.03643122;0.2423026;1.334108,0.09520648;0.2147699;1.300231,0.04919372;0.02768175;1.244038,-0.05803308;-0.1207736;1.16992,-0.1066513;-0.1863115;1.160236,-0.03134146;-0.1652864;1.425862,0
557,-0.03642436;0.2422947;1.334213,0.09529701;0.2147478;1.30029,0.04894384;0.02764896;1.244493,-0.05832021;-0.1207153;1.170245,-0.1093629;-0.1901337;1.163132,-0.03137776;-0.1647894;1.427341,0
593,-0.0363932;0.2422844;1.334214,0.09536059;0.2147091;1.300281,0.04842176;0.02776361;1.244456,-0.05651785;-0.1229535;1.171815,-0.1018103;-0.1717869;1.158926,-0.02974668;-0.1649271;1.427368,0
625,-0.03639145;0.2422846;1.334209,0.09542675;0.2146601;1.3002,0.04840734;0.02773477;1.244379,-0.05608068;-0.1232148;1.171555,-0.1024782;-0.1718275;1.155941,-0.02997372;-0.1646803;1.427585,0
660,-0.03639079;0.2422883;1.334206,0.09549724;0.2146258;1.300175,0.04840983;0.02774879;1.244229,-0.05784989;-0.1207763;1.168759,-0.1022694;-0.168398;1.154459,-0.030506;-0.1641843;1.428125,0
692,-0.03639424;0.2423071;1.334223,0.09555221;0.2145962;1.300153,0.04836807;0.02783484;1.243839,-0.05830115;-0.1198245;1.167136,-0.09913623;-0.1596184;1.152541,-0.03119279;-0.1640901;1.428798,0
726,-0.03637907;0.2423243;1.334248,0.09561367;0.2145745;1.300149,0.04837471;0.02790611;1.243519,-0.05845791;-0.1194134;1.166345,-0.1020496;-0.1626172;1.149033,-0.03093856;-0.1636749;1.42964,0
759,-0.0363515;0.2423346;1.334235,0.09570114;0.214541;1.300124,0.04883484;0.02796572;1.242753,-0.05855407;-0.1185992;1.164842,-0.1123554;-0.1837437;1.149328,-0.0297363;-0.1637371;1.429174,0
791,-0.0362636;0.2423521;1.334075,0.0958613;0.2143607;1.299673,0.04959643;0.02816863;1.240245,-0.05832379;-0.1186768;1.163717,-0.1102769;-0.1806761;1.145533,-0.02969531;-0.1635816;1.428988,0
830,-0.03626006;0.2423546;1.334069,0.09593968;0.2143319;1.2996,0.04949248;0.02828834;1.239787,-0.05775511;-0.1186481;1.162414,-0.08842115;-0.1408009;1.143307,-0.0294554;-0.1635264;1.428992,0
859,-0.03625246;0.2423586;1.334068,0.09599448;0.2142935;1.299536,0.04956635;0.02830208;1.239516,-0.05797632;-0.1168602;1.158973,-0.1176703;-0.1780461;1.137627,-0.02905184;-0.1633576;1.429347,0
892,-0.03623936;0.2423867;1.334067,0.09603809;0.2142524;1.29952,0.04962093;0.02829712;1.239363,-0.05843006;-0.1160424;1.157951,-0.1084351;-0.1597478;1.136679,-0.02906023;-0.163208;1.429582,0
925,-0.03623721;0.2424065;1.334078,0.09607252;0.2141898;1.299483,0.04960249;0.02824453;1.239345,-0.05924913;-0.1147618;1.15654,-0.1224263;-0.1752924;1.131646,-0.02919109;-0.1630909;1.429918,0
959,-0.03621623;0.2424224;1.334,0.09615694;0.2140197;1.299269,0.04952647;0.02809669;1.239204,-0.05926219;-0.1149082;1.156313,-0.1084619;-0.1546912;1.130826,-0.02917043;-0.163107;1.429953,0
991,-0.03619831;0.2424188;1.333967,0.09619039;0.2138846;1.299093,0.04926332;0.02801603;1.239111,-0.05969851;-0.1143928;1.155357,-0.1252292;-0.173783;1.127178,-0.02907821;-0.1632836;1.429915,0
1026,-0.03619187;0.2424197;1.333936,0.09622118;0.2137036;1.298871,0.04881237;0.0279201;1.239033,-0.0604271;-0.1136792;1.154192,-0.1107799;-0.1532807;1.131781,-0.02913286;-0.1632555;1.430053,0
