Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.124813;-0.2192422;1.133296,0.09312932;-0.1747694;1.136966,-0.05286705;-0.03137492;1.200544,-0.1697986;0.1791289;1.234904,-0.04049668;0.2231051;1.26573,-0.0004318429;-0.1805601;1.429048,0
31,0.1245804;-0.2187882;1.131554,0.09323047;-0.1746658;1.136729,-0.05283133;-0.03138211;1.200442,-0.1703464;0.1791107;1.234558,-0.04080831;0.2231865;1.265628,-0.0007226272;-0.1805985;1.428609,0
64,0.1256545;-0.219307;1.132815,0.09335776;-0.1745105;1.136826,-0.05281837;-0.03127543;1.200388,-0.1706968;0.1791089;1.234407,-0.03948097;0.2226857;1.265281,-0.0009106168;-0.1805813;1.428508,0
103,0.1263877;-0.2192976;1.13315,0.0932625;-0.1741539;1.136969,-0.05298205;-0.03095521;1.200464,-0.1646816;0.1782613;1.234226,-0.038543;0.2223472;1.265094,-0.001044406;-0.180708;1.428387,0
134,0.1265897;-0.2181316;1.132579,0.09348441;-0.1737263;1.136961,-0.05303327;-0.03074369;1.200312,-0.1659706;0.1781719;1.23384,-0.03768751;0.2220684;1.264778,-0.001238229;-0.1807803;1.427984,0
164,0.1267806;-0.2185682;1.133252,0.09429507;-0.1742527;1.136726,-0.05212687;-0.03110319;1.199889,-0.1669398;0.1782455;1.234106,-0.03710388;0.2218986;1.264727,-0.001456542;-0.1807661;1.427855,0
202,0.1263212;-0.2174683;1.130444,0.09396869;-0.1735901;1.136569,-0.05243568;-0.03034297;1.199559,-0.1673548;0.178182;1.233889,-0.03776801;0.2222179;1.264889,-0.002154286;-0.1805499;1.427352,0
230,0.1001618;-0.171639;1.147251,0.08894849;-0.1387842;1.156534,-0.08221424;-0.01817429;1.19963,-0.1680582;0.1784233;1.234248,-0.03717147;0.2221881;1.264952,-0.00216174;-0.1804682;1.427415,0
264,0.1262901;-0.2168286;1.132806,0.09152766;-0.16805;1.137946,-0.05431257;-0.02393938;1.200311,-0.168513;0.1785883;1.234396,-0.03818667;0.2228841;1.265972,-0.002329728;-0.1803597;1.427389,0
301,0.1209833;-0.2097042;1.138571,0.09231179;-0.1670631;1.140795,-0.05483624;-0.02347533;1.200988,-0.1690827;0.1788808;1.235124,-0.03756293;0.2227775;1.26609,-0.00249005;-0.1803212;1.427399,0
333,0.116719;-0.2038591;1.139793,0.09247049;-0.1663342;1.141571,-0.05518881;-0.02307228;1.20123,-0.1694505;0.1790437;1.235492,-0.03884992;0.2238068;1.267828,-0.002690287;-0.1801597;1.42735,0
365,0.1218491;-0.2124314;1.134947,0.08676489;-0.163305;1.140686,-0.05846902;-0.01810355;1.201916,-0.1696085;0.1790699;1.235636,-0.03937979;0.224217;1.268361,-0.003573673;-0.1802499;1.426748,0
402,0.1204906;-0.2112644;1.139141,0.08770452;-0.163507;1.142938,-0.0582368;-0.01844333;1.202561,-0.170207;0.1794671;1.23704,-0.04023585;0.2250718;1.270066,-0.0044866;-0.1801637;1.426832,0
431,0.1208108;-0.2124787;1.136428,0.08834317;-0.1648127;1.141536,-0.05717747;-0.01976102;1.202329,-0.17045;0.1795675;1.237367,-0.04054636;0.2252907;1.270583,-0.004985054;-0.1801757;1.42657,0
466,0.1192291;-0.2093179;1.139005,0.08964152;-0.1643601;1.143403,-0.05702578;-0.01998431;1.202849,-0.1710783;0.1801035;1.238594,-0.0411015;0.2257839;1.27196,-0.007759228;-0.1802201;1.426638,0
501,0.1191267;-0.2087572;1.139977,0.08953442;-0.1641279;1.143607,-0.0571394;-0.01996864;1.203638,-0.1715292;0.1806458;1.239714,-0.04147547;0.2263079;1.27316,-0.009298963;-0.1802523;1.426695,0
533,0.1176877;-0.2067833;1.138725,0.08963238;-0.1640408;1.143414,-0.05710656;-0.0200433;1.20371,-0.1716411;0.1808134;1.239933,-0.04159766;0.2265998;1.273582,-0.009894451;-0.1801081;1.426504,0
565,0.1208815;-0.2128825;1.136208,0.08836166;-0.1648271;1.141799,-0.05704946;-0.02008852;1.20373,-0.1717689;0.1810252;1.240144,-0.04170518;0.2269022;1.273942,-0.0109324;-0.1800977;1.426268,0
601,0.1192762;-0.2097123;1.138429,0.08907767;-0.1640554;1.142797,-0.05720923;-0.01993629;1.204021,-0.1719057;0.1812992;1.240461,-0.04168866;0.2272519;1.274425,-0.0110927;-0.1799913;1.426309,0
