Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.01976714;0.08317336;1.32012,0.1312233;0.04676934;1.272996,0.08301608;-0.2003557;1.205696,-0.01530638;-0.409955;1.132327,-0.03292747;-0.4429547;1.127638,-0.04740094;-0.4274707;1.438881,0
33,-0.01974612;0.08320739;1.320405,0.1310966;0.0467654;1.273063,0.08311963;-0.2002793;1.205941,-0.01517484;-0.409907;1.132624,-0.03231594;-0.4443988;1.131364,-0.0473925;-0.4274663;1.439165,0
67,-0.01974362;0.08320847;1.320413,0.1316653;0.04687371;1.273385,0.08319229;-0.2002217;1.206053,-0.01503533;-0.409889;1.132763,-0.03242489;-0.4442615;1.130678,-0.0473894;-0.4274665;1.439185,0
99,-0.01970843;0.08318646;1.320809,0.1315168;0.04686953;1.273497,0.08337837;-0.2001664;1.206565,-0.01465712;-0.4100039;1.133556,-0.03201706;-0.4457428;1.133932,-0.04740132;-0.427529;1.439581,0
134,-0.01967732;0.08308612;1.320644,0.1313215;0.04679864;1.273385,0.08338547;-0.200184;1.206519,-0.01351902;-0.4110496;1.135302,-0.03877519;-0.4564847;1.128721,-0.04725706;-0.4276748;1.439463,0
167,-0.01967155;0.08308063;1.320647,0.1311929;0.04675984;1.273355,0.08340307;-0.2002965;1.206597,-0.01326261;-0.41142;1.135921,-0.03855674;-0.4581951;1.131474,-0.04726243;-0.427711;1.439453,0
199,-0.01966142;0.08307001;1.320638,0.1311045;0.04672971;1.273332,0.08341629;-0.2003281;1.206646,-0.01408727;-0.4137937;1.135769,-0.03952793;-0.4601088;1.131551,-0.04726723;-0.4277277;1.439469,0
232,-0.01964583;0.08304463;1.320622,0.1310219;0.04669623;1.27331,0.08343983;-0.2003204;1.20669,-0.01323279;-0.4115632;1.136458,-0.03861135;-0.4586581;1.1322,-0.04723987;-0.4277762;1.439455,0
266,-0.01962961;0.08301396;1.320633,0.1309439;0.04665798;1.273289,0.08343865;-0.2003735;1.20674,-0.01341959;-0.4116625;1.136983,-0.03885401;-0.4598759;1.13324,-0.04720021;-0.4278162;1.439478,0
298,-0.01947446;0.08277522;1.320124,0.1307737;0.0465919;1.273119,0.08341364;-0.2004823;1.206575,-0.01319101;-0.4120325;1.137362,-0.03915605;-0.4583611;1.130777,-0.04700238;-0.42821;1.438653,0
332,-0.01942443;0.08270103;1.319952,0.1306576;0.04654264;1.273019,0.08333934;-0.2007168;1.206539,-0.01355983;-0.4120122;1.136886,-0.03888728;-0.4593933;1.13265,-0.04694078;-0.4282691;1.438633,0
368,-0.0193499;0.08261146;1.319774,0.1305566;0.04651294;1.272933,0.08333768;-0.2007239;1.206546,-0.01364495;-0.4120718;1.137224,-0.0389478;-0.4600062;1.133614,-0.04682639;-0.4283119;1.438549,0
399,-0.01938534;0.08259588;1.319712,0.1304776;0.04649784;1.272886,0.08330346;-0.2007711;1.206563,-0.01369691;-0.4122112;1.137615,-0.03367342;-0.4478296;1.134773,-0.04685128;-0.4283363;1.438526,0
432,-0.01940269;0.08257131;1.319696,0.1303969;0.0464477;1.272838,0.08321801;-0.2009222;1.206534,-0.01404797;-0.4122702;1.137696,-0.0353803;-0.4471856;1.134247,-0.04687012;-0.4283547;1.438524,0
466,-0.01948054;0.08258997;1.319821,0.1303226;0.04643603;1.272838,0.08301644;-0.2009815;1.206567,-0.01471205;-0.4121797;1.137958,-0.03903658;-0.4474092;1.133391,-0.04698282;-0.4282495;1.438717,0
499,-0.0194728;0.08258669;1.31981,0.1301564;0.04639452;1.27271,0.08046585;-0.2051807;1.204837,-0.01874094;-0.4154805;1.135598,-0.04397318;-0.4435611;1.127102,-0.04699191;-0.4282004;1.438725,0
534,-0.01941633;0.08253361;1.319461,0.1298959;0.04634145;1.272353,0.07626737;-0.2089521;1.200081,-0.02880174;-0.4153476;1.127193,-0.06176327;-0.4544074;1.115464,-0.04679231;-0.4278067;1.438717,0
566,-0.0194836;0.08267418;1.320168,0.1297905;0.04636586;1.272398,0.07324006;-0.2107821;1.198779,-0.03635675;-0.4142339;1.123967,-0.07342327;-0.4502514;1.113789,-0.04699735;-0.4270515;1.440419,0
600,-0.01950925;0.08270076;1.320148,0.1294416;0.04639894;1.272056,0.06736894;-0.2130957;1.191194,-0.04817108;-0.4114766;1.110986,-0.08928274;-0.4368418;1.096243,-0.04703663;-0.4267458;1.440503,0
633,-0.0195201;0.08280861;1.320655,0.1292356;0.04649209;1.272009,0.06258015;-0.2135365;1.186205,-0.06919561;-0.3998106;1.101094,-0.107507;-0.4236196;1.089259,-0.04556557;-0.4266424;1.441497,0
666,-0.01953549;0.08285724;1.320778,0.1289343;0.04663134;1.271828,0.05853979;-0.2087207;1.17917,-0.08242243;-0.3848709;1.086211,-0.1183348;-0.4017509;1.070338,-0.04524108;-0.426249;1.442907,0
699,-0.01953057;0.08286131;1.320736,0.1284384;0.04697337;1.271187,0.05173313;-0.2018315;1.165352,-0.1012335;-0.366239;1.069114,-0.1375548;-0.3793958;1.05251,-0.04515009;-0.4260526;1.443358,0
732,-0.01964141;0.08285797;1.321207,0.1281857;0.04727838;1.271025,0.0442895;-0.1960056;1.155611,-0.1241646;-0.3434375;1.05707,-0.1368531;-0.3418715;1.051978,-0.04534947;-0.4258576;1.446543,0
767,-0.01977151;0.08288923;1.321447,0.1278531;0.04767058;1.270748,0.03837694;-0.1885986;1.147191,-0.1366325;-0.3264742;1.045706,-0.1499075;-0.3133382;1.042896,-0.0468277;-0.4239622;1.448431,0
802,-0.02005535;0.08320161;1.321977,0.1278748;0.04942239;1.269384,0.032425;-0.1803917;1.136995,-0.1549439;-0.3015917;1.035924,-0.1684851;-0.2851138;1.034772,-0.04859397;-0.4214117;1.449699,0
836,-0.0201447;0.08332317;1.32227,0.1275353;0.04959172;1.26916,0.02850176;-0.1720199;1.12935,-0.1749908;-0.263946;1.027911,-0.1841445;-0.2545043;1.029898,-0.04765713;-0.4210668;1.44854,0
865,-0.02154715;0.08136384;1.320689,0.1272531;0.04978492;1.269015,0.02485262;-0.1647862;1.124649,-0.1872123;-0.2363171;1.024067,-0.1968104;-0.2226151;1.028793,-0.04853973;-0.4194191;1.449125,0
898,-0.021594;0.08164454;1.320805,0.1267689;0.0502126;1.268339,0.0212503;-0.1549009;1.116449,-0.2003095;-0.1937027;1.018069,-0.2376669;-0.1876571;1.019882,-0.05001129;-0.4184374;1.449302,0
933,-0.02261551;0.0802425;1.319681,0.1263896;0.0505146;1.268039,0.02280993;-0.1432527;1.114128,-0.2043486;-0.1649861;1.024062,-0.2133332;-0.1552904;1.029886,-0.05097148;-0.4173963;1.450411,0
967,-0.02327755;0.07925822;1.318932,0.1259936;0.05111159;1.267658,0.02806426;-0.1275223;1.113297,-0.2016925;-0.1363264;1.027884,-0.2279325;-0.1205227;1.036175,-0.0509271;-0.417023;1.450894,0
1000,-0.02314875;0.08027752;1.32093,0.1256308;0.05177039;1.267389,0.02890835;-0.1207911;1.110713,-0.203513;-0.1075234;1.034203,-0.2587689;-0.08190552;1.048025,-0.05083689;-0.4168269;1.452105,0
1034,-0.02337891;0.08070969;1.321374,0.1250398;0.05244423;1.266467,0.02219827;-0.1108061;1.103508,-0.2115016;-0.06472863;1.049651,-0.2386821;-0.05452438;1.052419,-0.05237309;-0.4169976;1.453114,0
1066,-0.02364243;0.08172353;1.323382,0.1240928;0.05897721;1.263415,0.01930739;-0.1048102;1.102262,-0.2134539;-0.04852565;1.05609,-0.2424395;-0.02268812;1.067432,-0.05488585;-0.4164568;1.456389,0
1100,-0.0238579;0.08203986;1.324132,0.1239546;0.05887344;1.263365,0.018229;-0.1019422;1.099743,-0.2037602;-0.007186974;1.069058,-0.2490877;0.008070266;1.079212,-0.05622573;-0.4175568;1.458303,0
1134,-0.02389428;0.08215857;1.32424,0.1236674;0.05875355;1.263066,0.01810668;-0.0990083;1.096265,-0.1984425;0.008702269;1.072326,-0.2427979;0.03650684;1.088324,-0.05611873;-0.4185238;1.458556,0
1168,-0.02399359;0.08225145;1.324406,0.1234075;0.05884773;1.262912,0.01778842;-0.09567703;1.093062,-0.1883296;0.03121106;1.07228,-0.2398526;0.06421617;1.099688,-0.05464229;-0.4203386;1.458717,0
1199,-0.02410338;0.08227342;1.324436,0.1230276;0.05896769;1.262516,0.01624172;-0.0908282;1.089064,-0.1820467;0.04772753;1.088865,-0.2243006;0.08125472;1.103957,-0.05505978;-0.4220471;1.458736,0
1239,-0.02427506;0.08230883;1.324638,0.1227691;0.05917936;1.26244,0.01440129;-0.08623835;1.086169,-0.1770331;0.06046764;1.095708,-0.2133572;0.09883193;1.113188,-0.05557141;-0.4238199;1.459504,0
1271,-0.02452165;0.08247899;1.32501,0.122532;0.05948878;1.262408,0.01309749;-0.08310308;1.08444,-0.1800691;0.09806668;1.113788,-0.2119753;0.1210083;1.12509,-0.05574628;-0.4248032;1.460602,0
1302,-0.02461116;0.0826688;1.324888,0.1222373;0.05984364;1.262123,0.01260481;-0.07938724;1.081555,-0.1669725;0.1009648;1.111806,-0.1998332;0.1338539;1.126674,-0.0550407;-0.4254142;1.460263,0
1337,-0.02480729;0.08310004;1.325006,0.1220591;0.06015461;1.262078,0.01246637;-0.07806557;1.080687,-0.1619262;0.1047442;1.113227,-0.1895735;0.1460776;1.134076,-0.05503785;-0.426283;1.460317,0
1369,-0.02479306;0.08373883;1.325083,0.1219433;0.06054147;1.262164,0.01287262;-0.07699923;1.079921,-0.1587152;0.1245155;1.12123,-0.1820906;0.1587793;1.141824,-0.05528918;-0.4266961;1.460769,0
1401,-0.02503121;0.0847835;1.324424,0.1217925;0.06077666;1.262044,0.01328578;-0.07599968;1.078866,-0.14935;0.1225237;1.117941,-0.170439;0.1650058;1.141256,-0.0555581;-0.4269891;1.460673,0
1437,-0.02516814;0.08605772;1.324025,0.121555;0.06118267;1.262093,0.01284016;-0.07471175;1.078368,-0.1344445;0.1201523;1.115732,-0.1602516;0.1727279;1.147959,-0.05556613;-0.4269868;1.460693,0
1469,-0.02530456;0.0878761;1.323086,0.1213883;0.06151443;1.262133,0.01270291;-0.07331469;1.077585,-0.1128717;0.1281339;1.11295,-0.1508709;0.1791109;1.152571,-0.05544776;-0.4270287;1.460711,0
1501,-0.02540677;0.08878681;1.322365,0.1211736;0.0618851;1.262037,0.01286949;-0.0718467;1.076443,-0.1025204;0.1343033;1.116975,-0.1402157;0.1836559;1.154785,-0.05541407;-0.427013;1.460687,0
1532,-0.02538384;0.08994977;1.322257,0.1210412;0.06232245;1.262343,0.01275687;-0.07118964;1.076576,-0.09359461;0.1388576;1.120488,-0.1309181;0.1868877;1.162818,-0.0550362;-0.4272009;1.461395,0
1569,-0.02520733;0.0914794;1.321238,0.1209385;0.06263204;1.262439,0.01282969;-0.07074128;1.076465,-0.09397433;0.1390327;1.120514,-0.1265615;0.1894429;1.163475,-0.0549333;-0.4272735;1.461434,0
1598,-0.02492414;0.09239352;1.320435,0.1208537;0.06277235;1.262446,0.01311447;-0.07040269;1.076107,-0.09447436;0.1388159;1.120695,-0.1228301;0.1904041;1.163694,-0.0546613;-0.4274028;1.461534,0
1634,-0.02465421;0.09332942;1.31919,0.1207951;0.06299199;1.262421,0.01359096;-0.06982623;1.075506,-0.09507519;0.1385982;1.120911,-0.1212817;0.1906735;1.163975,-0.05470476;-0.4275174;1.461533,0
1671,-0.0244965;0.09360468;1.318897,0.1207519;0.06312685;1.262428,0.01386438;-0.06952117;1.075204,-0.09506977;0.1386248;1.121084,-0.1209581;0.1903245;1.165172,-0.05461306;-0.4275897;1.461557,0
1702,-0.02443436;0.09409862;1.318509,0.1207013;0.06330546;1.262435,0.01463056;-0.06902932;1.07451,-0.09545265;0.1382349;1.121332,-0.1224141;0.189343;1.166316,-0.0546665;-0.427646;1.4617,0
1736,-0.02429377;0.09424751;1.318423,0.1207216;0.06363621;1.262566,0.01560676;-0.06847461;1.073933,-0.09578314;0.1379419;1.121253,-0.1237441;0.1877136;1.165924,-0.0547704;-0.4276443;1.461924,0
