Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1834519;-0.0631785;1.228643,0.1326247;-0.01989469;1.242126,0.006244819;0.1257277;1.339228,-0.03653858;0.3562659;1.453273,0.1248003;0.3664764;1.462496,0.1324049;-0.1204578;1.503451,0
32,0.1832251;-0.06218449;1.229006,0.1325728;-0.01982926;1.24199,0.006209162;0.1257637;1.339164,-0.03653934;0.3562818;1.453179,0.1248947;0.3665013;1.462648,0.1324991;-0.1204619;1.503534,0
64,0.2010443;-0.07342369;1.22869,0.1352953;-0.0175019;1.24183,0.006183703;0.125645;1.339007,-0.03653051;0.3562975;1.453127,0.1238606;0.3669632;1.461884,0.1320175;-0.1205349;1.503514,0
97,0.1856793;-0.06289854;1.232465,0.1349778;-0.01769942;1.241885,0.006109393;0.1256578;1.339077,-0.03653716;0.3563074;1.453118,0.1231761;0.3673511;1.461471,0.1313969;-0.1204706;1.503824,0
130,0.1859365;-0.06276447;1.228194,0.1348316;-0.01776699;1.240936,0.005859144;0.1252287;1.338556,-0.03649824;0.3563588;1.453022,0.1221019;0.3676651;1.46053,0.125524;-0.1188572;1.500125,0
165,0.1872432;-0.06064213;1.229756,0.1346374;-0.01768792;1.240644,0.005642602;0.1251442;1.338493,-0.03651076;0.3563851;1.452945,0.1216635;0.3679066;1.460125,0.1255198;-0.1188361;1.500068,0
196,0.1874605;-0.057646;1.229648,0.134129;-0.01702573;1.240598,0.004720997;0.125397;1.338509,-0.03650112;0.3564205;1.452871,0.1218248;0.367909;1.460253,0.1226011;-0.1181038;1.499071,0
231,0.1886347;-0.05527879;1.230553,0.1342237;-0.01662035;1.24008,0.004509241;0.1252799;1.338372,-0.03648692;0.3565395;1.45288,0.1218949;0.3678982;1.460419,0.1190822;-0.1174814;1.49828,0
268,0.1895098;-0.05215518;1.225996,0.1349181;-0.01580656;1.238866,0.004059708;0.1250528;1.337138,-0.03641912;0.3566492;1.45258,0.1220816;0.3676766;1.460177,0.1196851;-0.117509;1.497686,0
302,0.1734928;-0.03444361;1.234503,0.1360265;-0.01500126;1.238244,0.003604203;0.1242883;1.336659,-0.03643036;0.3566487;1.452559,0.1211256;0.36795;1.459445,0.118753;-0.1177027;1.4971,0
330,0.1758212;-0.03101261;1.2314,0.140383;-0.01536734;1.23533,0.004487945;0.1207931;1.333316,-0.03640325;0.3566884;1.452253,0.1213765;0.3676589;1.459277,0.118945;-0.1180179;1.496725,0
366,0.177947;-0.02728468;1.233223,0.1426385;-0.01388919;1.234881,0.004549792;0.1200377;1.332857,-0.03641433;0.3566857;1.451996,0.1217167;0.3676321;1.459512,0.1201793;-0.1181473;1.497374,0
397,0.2143078;-0.04436798;1.224287,0.1454988;-0.01069892;1.233373,0.004691249;0.1198233;1.33211,-0.0364816;0.3566481;1.451764,0.1211093;0.3678058;1.458879,0.1213017;-0.118312;1.497467,0
431,0.2170429;-0.04000368;1.224288,0.1484813;-0.008639624;1.232539,0.004789919;0.1189708;1.330873,-0.03650737;0.3566075;1.45143,0.1207693;0.3679051;1.458492,0.1220867;-0.1183633;1.497453,0
466,0.2199927;-0.03423724;1.226127,0.1519122;-0.00422847;1.232225,0.004623987;0.119003;1.330811,-0.03652173;0.3566278;1.451362,0.1205183;0.3680306;1.458308,0.12268;-0.1183835;1.497694,0
497,0.2215086;-0.02545428;1.227448,0.1598272;0.006964466;1.231141,0.0045464;0.1190081;1.330811,-0.0365385;0.3566508;1.451343,0.1203152;0.3681379;1.458256,0.1238274;-0.1184689;1.498673,0
531,0.2243262;-0.01750756;1.226359,0.1672571;0.01438817;1.235464,0.004409981;0.1191183;1.33047,-0.03640388;0.355258;1.449662,0.120165;0.3682429;1.458162,0.125072;-0.1186005;1.499001,0
565,0.2270702;-0.00960727;1.224655,0.1619694;0.02202971;1.232779,-0.001212612;0.1238944;1.330589,-0.03644229;0.3552935;1.449628,0.1200517;0.3683431;1.458002,0.1263735;-0.1184755;1.499601,0
596,0.2286494;0.001471563;1.226295,0.1632378;0.02477528;1.232141,-0.00125635;0.1239345;1.330562,-0.03654236;0.3545457;1.448837,0.1199308;0.3683994;1.457984,0.1274042;-0.1184676;1.501165,0
631,0.2323922;0.01237336;1.225153,0.1655127;0.0291038;1.231551,-0.001245153;0.1241095;1.330254,-0.03639538;0.353981;1.448066,0.119911;0.3684148;1.457995,0.1293157;-0.1183234;1.503533,0
666,0.2411854;0.02418086;1.225518,0.1877633;0.04914505;1.23586,-0.003777864;0.1279746;1.328915,-0.03655954;0.3533673;1.447235,0.1199041;0.3684198;1.457989,0.1303066;-0.1181981;1.504776,0
697,0.2480793;0.03790642;1.228399,0.1880922;0.05166604;1.236879,-0.00467066;0.1291338;1.328899,-0.03643438;0.3529173;1.446625,0.1212667;0.368026;1.459471,0.1324877;-0.1178112;1.507324,0
731,0.2574363;0.05263511;1.227791,0.1893134;0.0599966;1.239286,-0.004927069;0.1296088;1.328683,-0.03640177;0.3524996;1.446137,0.1219871;0.3677969;1.460326,0.1327774;-0.1173611;1.508135,0
764,0.2598477;0.07076016;1.227143,0.1913297;0.07302529;1.23926,-0.005149926;0.1305542;1.327949,-0.03637359;0.3516948;1.444756,0.1224654;0.3676786;1.460551,0.133007;-0.1169144;1.508651,0
