Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1202123;-0.2947258;0.9125561,0.05092972;-0.2399531;0.9234149,-0.1246434;-0.09229555;0.9969363,-0.1785475;0.1131406;1.051074,-0.007337382;0.1499349;1.07928,-0.008772693;-0.36285;1.210945,0
32,0.1221773;-0.2973687;0.9123405,0.05403376;-0.2422791;0.9220501,-0.1242859;-0.09206223;0.9966654,-0.1782533;0.1146995;1.053588,-0.00734987;0.14994;1.07926,-0.008824914;-0.3628241;1.211054,0
68,0.1267902;-0.3022164;0.9128346,0.05730125;-0.244577;0.9202785,-0.1237819;-0.09189653;0.9964024,-0.1787716;0.1135293;1.051671,-0.007352538;0.1499409;1.07925,-0.008838063;-0.3628468;1.211393,0
100,0.1267298;-0.300643;0.9088572,0.05869105;-0.2448345;0.919067,-0.12225;-0.09139435;0.9938262,-0.1791454;0.1119016;1.048018,-0.007394792;0.1498793;1.078927,-0.008880388;-0.3629181;1.211271,0
132,0.1292962;-0.3005261;0.9051282,0.06012338;-0.244643;0.917005,-0.1211686;-0.0916328;0.9918278,-0.1794114;0.1111919;1.046167,-0.007448881;0.149863;1.078662,-0.008946596;-0.3629713;1.211187,0
168,0.1273367;-0.2932189;0.9004377,0.05774722;-0.2388074;0.9158171,-0.1189159;-0.09260524;0.9895642,-0.1795591;0.1108386;1.045266,-0.007456259;0.1498672;1.078605,-0.008999243;-0.3629534;1.211243,0
200,0.1290246;-0.2913062;0.8935806,0.05964875;-0.2387232;0.9121438,-0.1156892;-0.09389442;0.9857585,-0.1797019;0.1104226;1.043769,-0.007474967;0.1498226;1.07832,-0.009013248;-0.3629739;1.211153,0
234,0.102638;-0.2622451;0.8923357,0.03011184;-0.2163621;0.9149348,-0.1132737;-0.09543083;0.9843405,-0.1797587;0.1103741;1.043695,-0.007480339;0.1498337;1.078335,-0.009131318;-0.3628084;1.211623,0
268,0.101521;-0.2580764;0.8870883,0.02916592;-0.214999;0.9140947,-0.1115345;-0.0959141;0.9821842,-0.1798144;0.1102364;1.043273,-0.007482324;0.1498369;1.078333,-0.009321491;-0.3627231;1.211854,0
302,0.09974126;-0.2550324;0.8845885,0.02810461;-0.2132092;0.9123714,-0.1101635;-0.09561683;0.9803905,-0.1789318;0.1134342;1.048525,-0.007485822;0.1498436;1.078316,-0.009419308;-0.3626193;1.211919,0
333,0.09925316;-0.2544855;0.8839056,0.02769917;-0.2121274;0.9112637,-0.1091822;-0.09494472;0.9790469,-0.1792541;0.1121441;1.045072,-0.007488186;0.1498558;1.078262,-0.009487205;-0.3624319;1.212037,0
367,0.0870247;-0.2479311;0.8952301,0.0245666;-0.2088789;0.9123873,-0.1083443;-0.09471463;0.9789943,-0.1793021;0.1117769;1.044593,-0.007505517;0.1498769;1.078295,-0.009838373;-0.3621027;1.212919,0
401,0.08731453;-0.2508944;0.8935153,0.025477;-0.2096215;0.9119415,-0.1071338;-0.09473354;0.9782889,-0.1791203;0.1107298;1.042476,-0.007533826;0.1498677;1.078188,-0.009872925;-0.362095;1.212932,0
433,0.1232952;-0.283502;0.8917483,0.06276138;-0.2391511;0.9084966,-0.106898;-0.09413624;0.9787583,-0.178116;0.1134347;1.048046,-0.007534865;0.1498699;1.078184,-0.00989972;-0.3620576;1.213079,0
468,0.1245692;-0.2977486;0.9009069,0.06664231;-0.2450845;0.9084104,-0.1067293;-0.09405592;0.97924,-0.1781294;0.1118436;1.045919,-0.007533146;0.1498629;1.078165,-0.009923767;-0.3621126;1.213137,0
501,0.1244169;-0.3028969;0.9061712,0.06749265;-0.2487519;0.9091716,-0.1065532;-0.09350807;0.9806743,-0.1779405;0.1107901;1.044338,-0.007511003;0.1498458;1.078094,-0.009791696;-0.3622135;1.213102,0
534,0.1256036;-0.3038112;0.907154,0.06794208;-0.2505918;0.9101925,-0.1065;-0.09412597;0.9818479,-0.1779562;0.1100648;1.043521,-0.007487178;0.1498137;1.078035,-0.00925842;-0.3624185;1.213011,0
566,0.1254538;-0.3038673;0.9074178,0.06836034;-0.2515235;0.9107951,-0.106597;-0.09426548;0.9834718,-0.1773454;0.1132325;1.049757,-0.007498007;0.1498084;1.078037,-0.009431224;-0.3624205;1.213144,0
599,0.1253095;-0.3032738;0.9045752,0.068581;-0.2519322;0.9106434,-0.1066672;-0.09386764;0.9837658,-0.1775163;0.1116227;1.047177,-0.007495302;0.1497943;1.078011,-0.009442056;-0.3624526;1.213127,0
