Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.08705606;-0.1005841;1.269409,0.07669903;-0.1132689;1.272813,0.08417121;-0.2813147;1.175301,-0.02830888;-0.3831413;1.02684,-0.1017506;-0.4024578;0.9617816,-0.06045784;-0.5558828;1.306993,0
31,-0.0861755;-0.1004037;1.270206,0.07700341;-0.112993;1.272808,0.08072019;-0.2804297;1.173821,-0.03858738;-0.3826378;1.022304,-0.11341;-0.4043258;0.9612346,-0.05973787;-0.5557763;1.308071,0
65,-0.08565982;-0.1002218;1.270238,0.07740315;-0.1127725;1.272435,0.07766102;-0.2792076;1.171423,-0.0444283;-0.3807362;1.018324,-0.1194686;-0.4016138;0.9556175,-0.05962865;-0.555663;1.308076,0
99,-0.08511327;-0.0999577;1.270912,0.07762084;-0.1126016;1.272349,0.07460738;-0.2784535;1.17027,-0.04989363;-0.3801955;1.01747,-0.1253113;-0.4047373;0.9602487,-0.05947869;-0.5554573;1.308485,0
135,-0.08478842;-0.09970777;1.271147,0.0778614;-0.1124292;1.272136,0.07144391;-0.2775899;1.168935,-0.05941262;-0.3810451;1.014292,-0.1328402;-0.4090771;0.9572185,-0.05957936;-0.5551372;1.308663,0
166,-0.08455715;-0.09949856;1.27124,0.07807584;-0.1123437;1.271914,0.06097836;-0.2770377;1.164406,-0.0652492;-0.3831598;1.01323,-0.1380024;-0.415464;0.958166,-0.05957978;-0.5550522;1.308677,0
198,-0.08430419;-0.09927919;1.271421,0.07833445;-0.1123343;1.271593,0.05591615;-0.2778853;1.162079,-0.06562629;-0.3838489;1.016097,-0.1380876;-0.4209763;0.9649856,-0.05963325;-0.5547643;1.308816,0
232,-0.08409302;-0.09903612;1.271414,0.07858013;-0.1122945;1.271182,0.05294339;-0.2780659;1.16064,-0.07011393;-0.3875313;1.016768,-0.141132;-0.4291925;0.9656662,-0.05975067;-0.5542262;1.308724,0
266,-0.08380103;-0.09891626;1.271415,0.07881189;-0.1123068;1.270837,0.05226554;-0.2783188;1.161457,-0.06989515;-0.3899238;1.020748,-0.1382833;-0.435784;0.9745685,-0.05998466;-0.5541186;1.30872,0
299,-0.08355166;-0.09881967;1.271485,0.07902093;-0.1123586;1.270477,0.05444251;-0.2763072;1.168007,-0.07232412;-0.39556;1.024107,-0.1389978;-0.4458395;0.9802733,-0.06011325;-0.5540968;1.308752,0
333,-0.08337322;-0.09873396;1.271502,0.07916915;-0.1124127;1.270116,0.05155336;-0.2782357;1.167374,-0.06901301;-0.3987262;1.031285,-0.1334303;-0.4504972;0.9889086,-0.06014427;-0.5541106;1.30888,0
367,-0.08320022;-0.09867658;1.271518,0.079284;-0.1124864;1.269878,0.04905351;-0.281267;1.166483,-0.0660933;-0.4015962;1.03748,-0.1144741;-0.439278;1.007294,-0.06043037;-0.5540744;1.309092,0
399,-0.08301291;-0.09859496;1.271748,0.07939828;-0.1125172;1.269763,0.04826241;-0.282144;1.166582,-0.06879918;-0.4053017;1.037499,-0.1178063;-0.4409657;1.005921,-0.06062612;-0.5540839;1.309386,0
431,-0.08279718;-0.09856432;1.271878,0.0794818;-0.1125207;1.269668,0.04799429;-0.2825609;1.166738,-0.07065921;-0.4065564;1.03643,-0.1199976;-0.4398792;1.001846,-0.06069236;-0.5541037;1.30957,0
465,-0.08258589;-0.09848712;1.271921,0.07959623;-0.1125418;1.269486,0.04799386;-0.2826197;1.166793,-0.0703456;-0.4061117;1.03635,-0.1205665;-0.4339648;0.9969468,-0.0607089;-0.5540867;1.3096,0
499,-0.08222292;-0.09835505;1.271553,0.07978085;-0.1125277;1.26895,0.05007412;-0.2794005;1.167724,-0.07119118;-0.404552;1.034073,-0.121933;-0.4293986;0.987671,-0.06065887;-0.5540459;1.309013,0
532,-0.08202713;-0.09827857;1.271667,0.08019109;-0.1130273;1.268176,0.04912685;-0.2795458;1.166856,-0.07412464;-0.4035271;1.029841,-0.1262336;-0.4282163;0.9835958,-0.06071481;-0.5540508;1.309026,0
566,-0.08173649;-0.09817027;1.271381,0.08027264;-0.1129421;1.267804,0.04712928;-0.2790641;1.163328,-0.07632606;-0.4002246;1.024478,-0.1281077;-0.4210186;0.9750021,-0.06072692;-0.5537511;1.30874,0
600,-0.08146366;-0.09800836;1.271398,0.08032861;-0.1128909;1.267742,0.04876189;-0.275298;1.164583,-0.07780579;-0.3973242;1.021403,-0.1379509;-0.420538;0.96702,-0.06067543;-0.55335;1.308852,0
632,-0.08124661;-0.09787559;1.271329,0.08091725;-0.1132698;1.265948,0.04699616;-0.2754638;1.163161,-0.08047751;-0.3933699;1.016106,-0.1424143;-0.4151814;0.9573436,-0.06063287;-0.5529267;1.308734,0
668,-0.08094938;-0.09772907;1.271242,0.08096165;-0.1131523;1.265832,0.04207688;-0.2757146;1.158096,-0.08228449;-0.3887947;1.011468,-0.1450697;-0.4108074;0.9509822,-0.06060221;-0.5526088;1.308498,0
698,-0.08052007;-0.0974348;1.271699,0.08098719;-0.1130919;1.265835,0.03770602;-0.2771797;1.154956,-0.0839543;-0.3856204;1.009468,-0.1455868;-0.4057627;0.9536753,-0.06071115;-0.5522581;1.30876,0
732,-0.0800868;-0.09722187;1.271841,0.08142267;-0.1132196;1.264953,0.03590282;-0.2771717;1.153626,-0.08147169;-0.374466;1.011329,-0.1522986;-0.4003364;0.9444723,-0.0602984;-0.5517707;1.308753,0
