Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.1175705;-0.004199503;1.421118,0.05302119;-0.04234497;1.411723,0.1072259;-0.2488878;1.322916,0.1124687;-0.3982975;1.147348,0.1446359;-0.3924012;1.113332,-0.04082713;-0.4447773;1.319396,0
40,-0.1175263;-0.004118996;1.42109,0.05299443;-0.04228394;1.411675,0.1071509;-0.2486741;1.323392,0.1133984;-0.3939424;1.150149,0.1448473;-0.3875689;1.114456,-0.04072778;-0.444552;1.319479,0
114,-0.1174295;-0.003942539;1.4206,0.05294394;-0.0422438;1.41141,0.1066194;-0.2478397;1.324215,0.1136932;-0.3936183;1.15024,0.1430195;-0.3839751;1.111213,-0.04061416;-0.4447161;1.318978,0
131,-0.1174306;-0.003871429;1.420592,0.05293454;-0.04219645;1.411413,0.1058883;-0.2469873;1.325851,0.1539138;-0.3348191;1.129797,0.1942533;-0.3515276;1.056755,-0.04077579;-0.444623;1.319031,0
151,-0.117383;-0.003819188;1.420586,0.05293197;-0.04217616;1.411405,0.07378881;-0.2632897;1.287395,0.1718243;-0.3414752;1.067984,0.1934192;-0.3357987;1.052266,-0.04084644;-0.4446054;1.319079,0
189,-0.1172883;-0.003783143;1.420572,0.0529395;-0.04208618;1.41143,0.07047516;-0.2659012;1.292289,0.1452766;-0.3748273;1.108595,0.1795607;-0.3537033;1.067031,-0.04087891;-0.4445041;1.319073,0
225,-0.1171592;-0.003642821;1.420164,0.05294869;-0.04201987;1.411304,0.06331236;-0.2707228;1.301962,0.1374564;-0.4024937;1.132527,0.1747335;-0.3394868;1.06103,-0.04094664;-0.4443551;1.318569,0
260,-0.1170842;-0.003577256;1.420365,0.05296512;-0.04199291;1.411366,0.06322074;-0.2758103;1.315112,0.1458604;-0.4153903;1.122322,0.1724209;-0.3187742;1.061246,-0.04128087;-0.4444725;1.318862,0
299,-0.1169992;-0.003525276;1.420242,0.05329548;-0.04249456;1.411674,0.06385294;-0.2763921;1.315701,0.1337162;-0.2820827;1.113432,0.1720746;-0.2611416;1.047781,-0.04142174;-0.4445409;1.318631,0
340,-0.1169043;-0.003469056;1.420138,0.05358638;-0.04277473;1.412156,0.06468616;-0.2760189;1.314453,0.1321226;-0.2771817;1.119888,0.1655425;-0.2442939;1.049689,-0.04149271;-0.4445736;1.31856,0
376,-0.1168985;-0.003440086;1.420104,0.05358227;-0.04270003;1.412109,0.07266145;-0.2687561;1.298072,0.1352066;-0.2566381;1.113838,0.1562463;-0.2154548;1.054974,-0.04180255;-0.4444531;1.318289,0
