Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1206028;-0.1790989;1.004128,0.06906211;-0.1320573;1.038565,-0.0005540227;-0.07038806;1.100657,-0.1310308;0.1653336;1.199886,0.02199941;0.2104043;1.232629,0.04639888;-0.2632125;1.328231,0
37,0.187552;-0.240703;0.9753941,0.1388691;-0.1925868;0.9852093,-0.003168927;-0.06871355;1.101374,-0.1310259;0.1653496;1.199881,0.0220779;0.2105133;1.232646,0.04638786;-0.2631728;1.328256,0
66,0.1218646;-0.1710681;0.9995989,0.06784371;-0.1296721;1.036182,-0.004808736;-0.06777238;1.101602,-0.1310263;0.1653595;1.199867,0.02220609;0.2106956;1.232526,0.04640512;-0.2631579;1.328178,0
98,0.1224815;-0.1710523;1.00369,0.06744688;-0.1284294;1.036271,-0.005210573;-0.06748506;1.101799,-0.1310221;0.1653808;1.199871,0.0221712;0.2106708;1.232651,0.04642328;-0.2631442;1.328167,0
131,0.1878533;-0.2376037;0.9783573,0.1372608;-0.1882753;0.985257,-0.005943199;-0.06704225;1.102898,-0.1310058;0.165394;1.199853,0.0221633;0.2106366;1.232699,0.04646764;-0.2631207;1.328139,0
166,0.192218;-0.2960876;0.9670736,0.1450296;-0.2389859;0.9960547,-0.003138121;-0.06722476;1.101871,-0.1309836;0.1654068;1.199817,0.02215277;0.2106143;1.232723,0.04649298;-0.2630663;1.328108,0
199,0.179799;-0.2537143;0.9929131,0.1339294;-0.1945229;1.007753,-0.009024746;-0.06091405;1.110308,-0.1309313;0.1653632;1.199742,0.02237741;0.2106529;1.232475,0.04684656;-0.2632986;1.327479,0
232,0.1834134;-0.2589241;0.9928761,0.1403539;-0.199803;1.005098,-0.004053148;-0.07015166;1.110766,-0.1308681;0.1652609;1.199685,0.02264021;0.2107005;1.232252,0.04676913;-0.263195;1.327698,0
264,0.1856164;-0.2602017;0.9973944,0.1415711;-0.2008981;1.006871,-0.001906541;-0.06948795;1.111521,-0.130824;0.1651831;1.19978,0.02267233;0.2105513;1.232575,0.04697276;-0.2633872;1.327864,0
297,0.185988;-0.2613184;0.9954337,0.1424457;-0.2018529;1.006693,0.0004058665;-0.06893461;1.111378,-0.1307794;0.1651828;1.199853,0.02270943;0.2104569;1.232936,0.04725628;-0.2633486;1.328233,0
333,0.18863;-0.2926722;0.9782509,0.1417073;-0.2395825;1.016109,0.001916356;-0.06865732;1.110349,-0.1307451;0.1651947;1.19986,0.02272659;0.2104066;1.233002,0.04732884;-0.2633483;1.328215,0
365,0.1836916;-0.2534549;0.9950621,0.1384148;-0.1947804;1.00855,-0.003922455;-0.06272473;1.114074,-0.1307077;0.1652166;1.199852,0.02295674;0.2104877;1.232958,0.04733653;-0.2632936;1.328375,0
399,0.1942005;-0.2991085;0.9687424,0.1469105;-0.239578;1.002404,-0.0055888;-0.06065295;1.114804,-0.1306551;0.1652506;1.199804,0.02295641;0.2104634;1.232988,0.04766185;-0.2632714;1.328275,0
433,0.1929568;-0.2954758;0.9703743,0.1468731;-0.2394312;1.002264,0.001057827;-0.06343856;1.106947,-0.1305377;0.1652247;1.199582,0.02294149;0.2104491;1.232992,0.04772799;-0.2632526;1.328225,0
467,0.1944513;-0.2958725;0.9739201,0.1468469;-0.2394275;1.002267,0.00213749;-0.0638371;1.105816,-0.1305028;0.1652584;1.199583,0.02293503;0.210498;1.233171,0.04794683;-0.2631137;1.328253,0
497,0.1942729;-0.2952992;0.9688597,0.1471644;-0.2388158;0.9992758,0.00355126;-0.06478159;1.102104,-0.1304173;0.1653308;1.199388,0.02291689;0.2105138;1.233141,0.04803697;-0.2629709;1.328014,0
530,0.1961906;-0.2978517;0.9690102,0.1473654;-0.2385511;0.9984598,-0.006529481;-0.05870126;1.106703,-0.1303656;0.1653526;1.199277,0.02291011;0.2105232;1.233147,0.04813717;-0.2629057;1.327933,0
566,0.1961937;-0.29447;0.9684297,0.1476635;-0.2370422;0.9965972,-0.00613549;-0.06150678;1.104252,-0.1302833;0.1653354;1.198936,0.02289962;0.2105236;1.233119,0.04820962;-0.2629016;1.327699,0
599,0.1252588;-0.157988;1.011825,0.06829776;-0.1194244;1.041388,-0.006014237;-0.06228513;1.104163,-0.1302784;0.1653496;1.19893,0.02287117;0.2105888;1.233207,0.04827153;-0.262847;1.327705,0
634,0.1676733;-0.1686725;0.9921026,0.1080726;-0.1261694;1.026426,-0.006224242;-0.06275248;1.104842,-0.1302734;0.1653408;1.198926,0.02285168;0.2106389;1.233279,0.04841859;-0.2628336;1.32769,0
667,0.223189;-0.1915153;0.9840555,0.1731494;-0.1586423;0.9939023,-0.009986423;-0.05949299;1.109341,-0.1302745;0.165343;1.198935,0.02284434;0.2107268;1.233434,0.04856258;-0.2628153;1.327721,0
