Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.08881617;-0.4200633;1.212176,-0.05991903;-0.3899986;1.269206,-0.004260864;-0.2577023;1.481737,0.04744909;-0.03471053;1.558113,0.2155498;0.01320423;1.54668,0.1065133;-0.4345357;1.463233,0.1899702;-0.4456971;1.480077,0.3037445;-0.4734075;1.090502,0
30,-0.08431931;-0.4155014;1.21755,-0.05995611;-0.3901337;1.268949,-0.004283097;-0.2577675;1.48143,0.04745624;-0.03467997;1.55788,0.2155459;0.01320598;1.546621,0.1064645;-0.4344944;1.463104,0.1899545;-0.4456792;1.480004,0.3037587;-0.4733887;1.090468,0
63,-0.08508107;-0.4212145;1.21201,-0.05989552;-0.3903138;1.269181,-0.004153039;-0.2578481;1.48158,0.04745691;-0.03467993;1.557879,0.2155618;0.01319479;1.546694,0.1064794;-0.4345249;1.463232,0.1899727;-0.4457131;1.480142,0.3037751;-0.4734269;1.090622,0
95,-0.05637463;-0.3992904;1.262223,-0.03054784;-0.3720269;1.322542,-0.004054984;-0.2577827;1.481542,0.04744998;-0.03468992;1.557847,0.2155628;0.01319232;1.546692,0.1064753;-0.4345276;1.463236,0.189979;-0.4457155;1.48015,0.303773;-0.4733918;1.090635,0
133,-0.05693543;-0.3995759;1.262774,-0.03054935;-0.3720086;1.322566,-0.003791444;-0.2581358;1.480991,0.04744942;-0.03469244;1.557845,0.2155583;0.01319383;1.546683,0.1063758;-0.4344795;1.463235,0.1899306;-0.4456863;1.480155,0.3037759;-0.4734212;1.09065,0
165,-0.08306118;-0.4199278;1.216555,-0.05863356;-0.3925159;1.268755,-0.003588388;-0.2583145;1.480217,0.04743106;-0.03486548;1.557657,0.2155268;0.01318715;1.546644,0.1062996;-0.4344584;1.463182,0.1899074;-0.4456697;1.480107,0.3037564;-0.4733815;1.090588,0
200,-0.05768723;-0.3999656;1.263766,-0.02992821;-0.3720268;1.322542,-0.003445816;-0.2584499;1.47963,0.04744543;-0.03487483;1.557578,0.215525;0.01318751;1.546634,0.1062913;-0.4344591;1.463171,0.1899045;-0.4456676;1.48009,0.3037531;-0.4733873;1.090563,0
230,-0.08361693;-0.4202999;1.214385,-0.05867259;-0.3923175;1.26611,-0.003320012;-0.2585658;1.477787,0.04745899;-0.03487386;1.557202,0.2154799;0.01318227;1.546408,0.1061761;-0.4344056;1.462725,0.1898943;-0.4455916;1.479611,0.3036576;-0.4733653;1.090024,0
263,-0.08432974;-0.420605;1.217859,-0.05860933;-0.3929499;1.266125,-0.003192157;-0.2586932;1.477455,0.04744134;-0.03496886;1.557055,0.2154571;0.01318525;1.546358,0.1060875;-0.4344263;1.462699,0.1898223;-0.4456013;1.47952,0.3037317;-0.4734353;1.089841,0
295,-0.08426463;-0.4199848;1.218408,-0.05870082;-0.3933813;1.266437,-0.003133804;-0.2586787;1.477435,0.04745666;-0.0350659;1.556751,0.2154518;0.01318835;1.546338,0.1060385;-0.4344812;1.46261,0.1897878;-0.4456586;1.479471,0.3037507;-0.4734098;1.089819,0
328,-0.08514038;-0.421854;1.21254,-0.05859539;-0.3934662;1.266596,-0.002995588;-0.2586559;1.477514,0.0474613;-0.03508442;1.556738,0.2154485;0.01318998;1.546336,0.1060306;-0.4344765;1.46262,0.1897919;-0.4456553;1.479481,0.3037322;-0.4734519;1.089842,0
363,-0.08529843;-0.4105068;1.215371,-0.05850239;-0.3933466;1.26669,-0.002812906;-0.2584676;1.47754,0.04751451;-0.03521014;1.556231,0.2154172;0.01321916;1.546208,0.1059687;-0.4344478;1.462401,0.1897555;-0.4456327;1.479278,0.3037708;-0.4733598;1.089663,0
398,-0.09080397;-0.4060934;1.207716,-0.07313555;-0.3727185;1.260866,-0.002184983;-0.2582308;1.479313,0.04753262;-0.03524291;1.556143,0.2154177;0.01321924;1.546209,0.1059646;-0.4344957;1.462535,0.189755;-0.4456555;1.479303,0.3037746;-0.4733509;1.089651,0
431,-0.09654748;-0.3860473;1.201101,-0.07147416;-0.3662646;1.266502,-0.0004017421;-0.2558916;1.487073,0.04755442;-0.03528158;1.556144,0.2154317;0.01323426;1.546235,0.1060229;-0.4345339;1.462954,0.1897299;-0.4457031;1.479544,0.3039569;-0.4735537;1.089832,0
464,-0.09122504;-0.3644114;1.195994,-0.0676935;-0.3583106;1.263146,-4.155942E-05;-0.2551711;1.488363,0.04756604;-0.0352219;1.556237,0.2154303;0.01323703;1.546205,0.1059564;-0.4344096;1.462991,0.1896554;-0.4456235;1.479499,0.3039995;-0.4735861;1.089685,0
495,-0.08779613;-0.3679551;1.201776,-0.03845168;-0.3683429;1.314731,0.0005838371;-0.253114;1.490615,0.04756774;-0.035223;1.556236,0.2154357;0.01324203;1.546192,0.1059588;-0.4343983;1.462977,0.1896681;-0.4456157;1.479486,0.3039894;-0.4735897;1.089668,0
530,-0.08001102;-0.3538625;1.196059,-0.04488725;-0.4139123;1.311744,0.001309186;-0.2517392;1.492899,0.04756251;-0.03523561;1.556244,0.215426;0.01325082;1.546175,0.1059167;-0.434385;1.462949,0.1895971;-0.4456199;1.479427,0.304013;-0.4735589;1.089568,0
563,-0.07416312;-0.2946853;1.174798,-0.04304925;-0.4157768;1.312153,0.002735443;-0.2489255;1.494936,0.04756168;-0.03523476;1.556237,0.215437;0.01328191;1.546132,0.1059466;-0.4343712;1.462937,0.1896568;-0.4456119;1.479335,0.304022;-0.4733769;1.089276,0
600,-0.07093062;-0.2612189;1.175338,-0.03996836;-0.4189417;1.314649,0.004155107;-0.246578;1.498235,0.04756176;-0.03524645;1.556236,0.2154387;0.01328812;1.546124,0.1060302;-0.4344106;1.463,0.1897651;-0.4456456;1.47936,0.3039995;-0.4733123;1.089234,0
628,-0.0630054;-0.2233144;1.186783,-0.03766636;-0.4150054;1.320192,0.00535492;-0.241983;1.503418,0.04756703;-0.03526021;1.556277,0.2154553;0.01329257;1.546136,0.1062312;-0.4346457;1.463209,0.1899422;-0.445894;1.479578,0.3041435;-0.4733269;1.089451,0
662,-0.06727795;-0.1661721;1.183367,-0.03300765;-0.1907292;1.300629,0.01046316;-0.2324207;1.502047,0.04756624;-0.03512709;1.556155,0.2154681;0.01330331;1.545954,0.1064321;-0.434747;1.462456,0.190118;-0.446024;1.478884,0.3040909;-0.4730515;1.088765,0
696,-0.05732276;-0.1212398;1.205917,-0.03608086;-0.2027116;1.310948,0.01023829;-0.2414992;1.494074,0.0476403;-0.03481356;1.556321,0.2155072;0.01330451;1.546107,0.1068423;-0.4350252;1.463242,0.1903452;-0.4463078;1.479493,0.3041935;-0.4731136;1.08923,0
728,-0.04245203;-0.08173946;1.22854,-0.01947998;-0.141557;1.313601,0.006199972;-0.2420349;1.475863,0.04785469;-0.0346147;1.556149,0.2155133;0.01329912;1.545995,0.1069163;-0.4350072;1.462972,0.1903764;-0.4463436;1.479145,0.3042361;-0.4730252;1.088772,0
763,-0.02825376;-0.04797664;1.267228,-0.01386815;-0.1277888;1.332641,-0.001568667;-0.2620983;1.469379,0.04906362;-0.03397716;1.557891,0.2155644;0.01331933;1.546088,0.1075479;-0.4351338;1.463339,0.1907677;-0.4464651;1.479426,0.3042147;-0.4733579;1.088987,0
798,-0.01375846;-0.0245239;1.296947,-0.008330022;-0.1028508;1.33286,-0.005291586;-0.250117;1.455527,0.05159169;-0.03454743;1.556133,0.215562;0.01330154;1.546042,0.1081429;-0.4358638;1.462746,0.1912154;-0.4471452;1.478894,0.3041857;-0.4732567;1.088414,0
831,0.0001550536;-0.003676032;1.328429,0.01204257;-0.02850364;1.349976,-0.004045291;-0.2583368;1.460695,0.05479603;-0.03539475;1.553458,0.2155641;0.01329844;1.546039,0.1079124;-0.4362785;1.462591,0.1909403;-0.4477516;1.478728,0.3043087;-0.4730778;1.088195,0
864,0.009419388;0.007436632;1.362966,-0.03924785;-0.06886229;1.331102,-0.00126945;-0.2574776;1.461938,0.05737777;-0.03593214;1.550538,0.2155971;0.01329499;1.546067,0.1079565;-0.4367322;1.46269,0.1910847;-0.4483472;1.478943,0.3041383;-0.472938;1.088428,0
895,0.01622609;0.0006658423;1.388013,-0.04462595;-0.06064967;1.328698,-0.002844891;-0.2486156;1.461271,0.05825025;-0.03849018;1.539489,0.2156053;0.0132918;1.546024,0.1078129;-0.4372817;1.46236,0.1911176;-0.4488861;1.478549,0.3040844;-0.4727665;1.087842,0
931,0.02072435;-0.01515096;1.40733,-0.04645194;-0.05685369;1.327831,-0.003371916;-0.2441242;1.461,0.05601303;-0.03681346;1.528693,0.2156121;0.01330637;1.54595,0.1076924;-0.4373558;1.461901,0.1911449;-0.4490436;1.478246,0.303809;-0.4723904;1.087504,0
963,0.02211743;-0.02812635;1.420149,-0.04706741;-0.05543518;1.327803,-0.003431454;-0.2423519;1.461246,0.05651247;-0.03515859;1.517992,0.2156209;0.01329668;1.545935,0.1075613;-0.4375109;1.46171,0.1911349;-0.4492669;1.47812,0.3037265;-0.4721878;1.08735,0
998,-0.2146125;-0.2116434;1.286646,-0.1005337;-0.2216186;1.22605,-0.003711682;-0.240716;1.463599,0.05686276;-0.03263231;1.510887,0.2156214;0.01340991;1.547986,0.1078428;-0.4377363;1.462182,0.1918416;-0.4498144;1.479095,0.3031936;-0.4717922;1.088704,0
1032,-0.2139194;-0.2123619;1.283963,-0.1007322;-0.2211;1.226354,-0.003956368;-0.2399564;1.463941,0.0568862;-0.03260278;1.510892,0.2156453;0.01340879;1.547984,0.1079851;-0.4379238;1.462017,0.1920554;-0.4500829;1.478962,0.303143;-0.4717275;1.088543,0
1064,-0.2126043;-0.2133869;1.281967,-0.1009514;-0.2202391;1.225744,-0.004350065;-0.2383327;1.463462,0.05691113;-0.03256472;1.510535,0.2156372;0.01343412;1.547776,0.1079973;-0.437997;1.461358,0.1921699;-0.4502313;1.478287,0.3030334;-0.4714487;1.087752,0
1096,-0.1360795;-0.2732073;1.234086,-0.1009475;-0.2199108;1.226512,-0.004385593;-0.2377216;1.464266,0.05686979;-0.03251279;1.510407,0.2156734;0.01347401;1.547843,0.10798;-0.4380666;1.461577,0.1921745;-0.4504182;1.478738,0.3029779;-0.4714867;1.088462,0
1130,-0.2154682;-0.2095874;1.279508,-0.101027;-0.2195432;1.226709,-0.004452648;-0.2372259;1.464468,0.0569398;-0.03248607;1.510044,0.215673;0.01350619;1.547842,0.1080043;-0.4380897;1.46161,0.1922545;-0.4504711;1.478826,0.3029074;-0.4714588;1.08858,0
1163,-0.2139706;-0.2116612;1.283536,-0.1008802;-0.2194436;1.226718,-0.00437889;-0.2371185;1.464508,0.0570089;-0.03256176;1.509732,0.2156993;0.01351094;1.547838,0.10802;-0.4381416;1.461585,0.1923061;-0.4505705;1.478847,0.3028748;-0.4714046;1.088645,0
1196,-0.2145635;-0.2105395;1.277959,-0.1004713;-0.2187568;1.225883,-0.004213924;-0.2364109;1.463775,0.05688725;-0.0328264;1.508119,0.2156504;0.01353717;1.547521,0.1079745;-0.4385021;1.460531,0.1924083;-0.4509264;1.478076,0.3027276;-0.4710567;1.087983,0
1231,-0.2138496;-0.2120173;1.282257,-0.1004282;-0.2186748;1.225897,-0.004063569;-0.2363136;1.463746,0.056977;-0.03281167;1.50802,0.2156499;0.01355675;1.547505,0.107962;-0.4385273;1.460554,0.1923975;-0.4509749;1.478113,0.3027476;-0.4710792;1.088031,0
1265,-0.2125566;-0.2114066;1.281956,-0.1002019;-0.2188819;1.22578,-0.00384126;-0.236507;1.463632,0.05720503;-0.03350345;1.507357,0.215667;0.01358474;1.547495,0.1080923;-0.4386384;1.460518,0.1926077;-0.4510945;1.478116,0.3026189;-0.4710666;1.088029,0
1296,-0.2129621;-0.2129401;1.284627,-0.1001171;-0.2190857;1.226043,-0.003486348;-0.2367428;1.463782,0.05722541;-0.03345009;1.507313,0.2156904;0.01360586;1.547522,0.1080934;-0.4388343;1.460762,0.1926281;-0.4514031;1.478515,0.3025287;-0.470868;1.088532,0
