Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,-0.09958487;-0.08115719;1.491388,0.07769629;-0.1170423;1.48922,0.118468;-0.3698884;1.35119,0.1225841;-0.4998709;1.179939,0.1178426;-0.5210553;1.156355,-0.04911066;-0.4796522;0.8621361,-0.06953979;-0.5390962;1.397048,0.008234639;-0.5243416;1.378387,0
31,-0.09956497;-0.08119153;1.491435,0.07768802;-0.1170471;1.489238,0.08761922;-0.3779318;1.371694,0.1308732;-0.4847717;1.18971,0.1204167;-0.5197353;1.15535,-0.04916538;-0.4796593;0.8621572,-0.06952546;-0.5391127;1.39707,0.008242285;-0.5243514;1.378397,0
64,-0.09957596;-0.08121675;1.491477,0.0776758;-0.1170103;1.489264,0.1151189;-0.3716022;1.353732,0.123924;-0.4982149;1.180049,0.117467;-0.5206957;1.15612,-0.04923635;-0.4796833;0.862229,-0.0695131;-0.5391056;1.3971,0.008245829;-0.5243376;1.378422,0
97,-0.09958518;-0.08123519;1.491483,0.07768706;-0.1170257;1.489236,0.1158698;-0.3711252;1.352914,0.1247638;-0.4989813;1.180191,0.1195954;-0.5216649;1.153348,-0.04928379;-0.4796637;0.8622311,-0.06950751;-0.539112;1.397098,0.008254502;-0.5243473;1.378415,0
130,-0.09958918;-0.08126017;1.491528,0.07765873;-0.1169565;1.489325,0.1164735;-0.3707376;1.352544,0.1248865;-0.4993609;1.180391,0.1196646;-0.521982;1.154458,-0.04928958;-0.4796439;0.8622591,-0.06949361;-0.5390651;1.397198,0.008294875;-0.5242909;1.378513,0
163,-0.09957188;-0.08127088;1.491726,0.07760292;-0.1168206;1.489786,0.1164401;-0.37044;1.352679,0.1248783;-0.499364;1.18076,0.119286;-0.5235783;1.156826,-0.04930474;-0.4796349;0.8622764,-0.06945445;-0.5390636;1.397326,0.008314439;-0.5242667;1.378626,0
198,-0.09958038;-0.08136486;1.492234,0.07769956;-0.1170487;1.490066,0.116738;-0.3704996;1.35268,0.1248662;-0.4997544;1.181005,0.1192576;-0.5241255;1.157865,-0.04935824;-0.479873;0.8630234,-0.06943619;-0.5392571;1.397895,0.008313023;-0.5244825;1.379231,0
231,-0.09957623;-0.08141933;1.492224,0.07770304;-0.1170757;1.490067,0.1172416;-0.3703126;1.352402,0.07661394;-0.5194094;1.203963,0.08778371;-0.5651774;1.139166,-0.04939489;-0.4798536;0.8630965,-0.06943489;-0.539272;1.397903,0.008313684;-0.5244944;1.379235,0
263,-0.0995762;-0.08142354;1.492232,0.07770087;-0.1170868;1.490047,0.08314082;-0.3752944;1.378855,0.07663982;-0.5200976;1.202797,0.09377607;-0.5687196;1.133123,-0.0494024;-0.4798618;0.8631282,-0.06942856;-0.5392756;1.39791,0.008318086;-0.5244961;1.379245,0
297,-0.09964673;-0.08146356;1.491881,0.07774044;-0.1170822;1.489582,0.08308052;-0.3752657;1.378855,0.1064647;-0.483362;1.193858,0.1005452;-0.4949618;1.194147,-0.04942599;-0.479665;0.8629718,-0.06945284;-0.5392581;1.397737,0.008311496;-0.5244682;1.379053,0
331,-0.09956272;-0.08156618;1.491424,0.07772148;-0.1172906;1.489161,0.08283959;-0.3752739;1.378749,0.08025808;-0.5082429;1.209909,0.0910222;-0.5542628;1.140074,-0.04947687;-0.4795302;0.8628375,-0.06946903;-0.5392808;1.397534,0.008316478;-0.5245021;1.378819,0
363,-0.0995566;-0.08157229;1.491419,0.07771594;-0.1173063;1.489161,0.08276013;-0.3754051;1.378879,0.07524469;-0.559585;1.15659,0.09817863;-0.5904413;1.120007,-0.04949719;-0.4795536;0.8628474,-0.06948778;-0.5392912;1.397551,0.008286835;-0.5245195;1.378857,0
399,-0.09955371;-0.08157448;1.491337,0.07700302;-0.1163229;1.490431,0.08260244;-0.3754705;1.37915,0.1282188;-0.4813787;1.143801,0.131695;-0.5574184;1.117278,-0.04948408;-0.4795502;0.8628367,-0.06944636;-0.539274;1.397582,0.00831318;-0.5244849;1.378885,0
431,-0.09955913;-0.08157717;1.491317,0.07665452;-0.1159207;1.491179,0.1062226;-0.3662555;1.35698,0.1478463;-0.5550452;1.14274,0.1254046;-0.5979474;1.112394,-0.04940336;-0.4795757;0.8628829,-0.06943458;-0.5392477;1.39766,0.008306113;-0.5244285;1.379049,0
465,-0.09955827;-0.08160868;1.491196,0.07631449;-0.1154981;1.491979,0.1035877;-0.3226603;1.417214,0.1207184;-0.4241805;1.146322,0.1215882;-0.4544622;1.115145,-0.04920373;-0.4795913;0.8631245,-0.06937075;-0.5391273;1.397967,0.008471631;-0.5242146;1.379664,0
499,-0.09955726;-0.0816287;1.491183,0.07644784;-0.1157307;1.491985,0.07918666;-0.352135;1.414567,0.1085575;-0.3900877;1.18539,0.1167438;-0.4035271;1.102647,-0.04896142;-0.4796319;0.8632368,-0.06936871;-0.5391586;1.398201,0.008532364;-0.5242932;1.380088,0
530,-0.09956025;-0.08163612;1.491167,0.07650328;-0.1159909;1.491991,0.1122207;-0.316835;1.427771,0.1076142;-0.3580288;1.20112,0.1136525;-0.3593208;1.094231,-0.04870387;-0.4796852;0.8633435,-0.06933782;-0.5392698;1.398249,0.008543974;-0.5244378;1.380177,0
564,-0.09945469;-0.08184244;1.49035,0.076533;-0.1172136;1.490733,0.109286;-0.3181884;1.425029,0.08203089;-0.3156774;1.136371,0.1111046;-0.3065528;1.089847,-0.04847053;-0.4797369;0.8634372,-0.06926245;-0.5396125;1.39811,0.008616703;-0.5248454;1.380107,0
597,-0.09944336;-0.08185149;1.490352,0.0764885;-0.1172398;1.490744,0.06585976;-0.3646276;1.387728,0.0982912;-0.2821792;1.175936,0.1080649;-0.2537302;1.106417,-0.04740952;-0.4809936;0.8622118,-0.06896432;-0.5396646;1.398281,0.00892039;-0.5248916;1.380475,0
631,-0.09944826;-0.08188313;1.49011,0.07587825;-0.1163533;1.490513,0.1000709;-0.3341932;1.347746,0.1016475;-0.2183432;1.14959,0.1016796;-0.2018672;1.125409,-0.04724838;-0.4810468;0.8618811,-0.0686065;-0.5395626;1.398342,0.009322688;-0.5246223;1.380544,0
664,-0.09931253;-0.08191508;1.489882,0.07453446;-0.1139843;1.49172,0.08552071;-0.3873367;1.418543,0.1523066;-0.2761515;1.15922,0.09449973;-0.1740346;1.174023,-0.04739568;-0.4810994;0.8616012,-0.06860096;-0.5394319;1.398417,0.009357293;-0.524353;1.380609,0
697,-0.0991832;-0.08199205;1.489642,0.07050166;-0.1091802;1.493248,0.1036226;-0.2920387;1.358691,0.117257;-0.1152097;1.188205,0.08822465;-0.1202431;1.189907,-0.04664854;-0.4810262;0.8606649,-0.06833659;-0.5392365;1.398332,0.009648073;-0.5238205;1.380439,0
730,-0.09909543;-0.08213511;1.489853,0.06803473;-0.1094017;1.492669,0.1016669;-0.3660272;1.400043,0.1396957;-0.1804351;1.197432,0.08340012;-0.1023672;1.231556,-0.04604614;-0.4816936;0.8606427,-0.06827707;-0.5393251;1.398814,0.009722747;-0.5237866;1.380858,0
764,-0.09879359;-0.08222869;1.489079,0.06791585;-0.1093267;1.492653,0.0998534;-0.295945;1.377254,0.08334732;-0.1497757;1.28437,0.07690737;-0.07644165;1.254416,-0.04560622;-0.4814091;0.8596731,-0.06809817;-0.5392131;1.398501,0.0098732;-0.523549;1.380457,0
798,-0.09872122;-0.08231707;1.489236,0.06892596;-0.1164697;1.486501,0.1019265;-0.3021037;1.379943,0.08044255;-0.1435377;1.311734,0.07189657;-0.06635139;1.286892,-0.04521717;-0.4814611;0.8597527,-0.06804583;-0.5393965;1.398869,0.01008263;-0.5238323;1.380891,0
830,-0.09870911;-0.08235865;1.48921,0.06863128;-0.1204887;1.473273,0.1043429;-0.3116547;1.379788,0.08021671;-0.1378885;1.316168,0.06813078;-0.05946135;1.304924,-0.04549601;-0.481386;0.8594422,-0.0679813;-0.5395383;1.398785,0.0102383;-0.5239982;1.380748,0
865,-0.09869026;-0.08236416;1.48917,0.06856482;-0.120164;1.470155,0.1056889;-0.3142518;1.384741,0.08028898;-0.1368912;1.330191,0.06542996;-0.05581704;1.322808,-0.05149672;-0.4813877;0.8590347,-0.06783769;-0.5396704;1.398855,0.0104833;-0.5240813;1.380781,0
899,-0.1006991;-0.0818891;1.489158,0.06876747;-0.1195101;1.467737,0.1063746;-0.3160053;1.389472,0.08056031;-0.1365189;1.337993,0.06448653;-0.05516553;1.334193,-0.05676394;-0.4814517;0.8585145,-0.06778569;-0.5397038;1.39889,0.01059482;-0.5240992;1.380814,0
930,-0.1006412;-0.08192851;1.489214,0.06905895;-0.119649;1.465579,0.1076549;-0.3180326;1.394068,0.0734863;-0.08536778;1.336745,0.06299942;-0.05585105;1.346576,-0.06041681;-0.4819748;0.8584063,-0.06770124;-0.5398226;1.398976,0.0107292;-0.5242002;1.380891,0
963,-0.1006108;-0.08194274;1.489222,0.06925042;-0.1197864;1.464652,0.1083093;-0.3188481;1.395879,0.08113404;-0.137499;1.350465,0.060874;-0.05722361;1.352894,-0.06551467;-0.4816597;0.8581077,-0.06769579;-0.5398666;1.398992,0.01077325;-0.5242537;1.38092,0
997,-0.1004847;-0.0820848;1.48977,0.06925413;-0.1198274;1.464573,0.1093025;-0.3195029;1.398869,0.08122053;-0.1372375;1.35604,0.05982245;-0.05808256;1.361162,-0.0691893;-0.4819536;0.8586963,-0.06771399;-0.5399879;1.399464,0.01084824;-0.5243564;1.381407,0
1030,-0.1004723;-0.08209115;1.489786,0.06940387;-0.1199619;1.464309,0.1094438;-0.3197608;1.399085,0.08109982;-0.1364596;1.357016,0.05820839;-0.06034513;1.362518,-0.07079139;-0.4817579;0.8586358,-0.06771288;-0.5399955;1.399493,0.01087621;-0.524379;1.381457,0
1064,-0.1004793;-0.08209978;1.489906,0.06945284;-0.1199802;1.464307,0.1097624;-0.319863;1.399634,0.06408186;-0.0552969;1.342677,0.06281118;-0.0375388;1.350471,-0.07205158;-0.4817201;0.8584318,-0.0676945;-0.5399935;1.399524,0.01094851;-0.5243835;1.381564,0
1098,-0.1004528;-0.08201749;1.489648,0.0694951;-0.1200088;1.464339,0.1099886;-0.3197532;1.399266,0.08114557;-0.1371684;1.357819,0.0556405;-0.06372918;1.364759,-0.07263427;-0.4815035;0.8571992,-0.06747324;-0.5398062;1.399066,0.01118766;-0.5242255;1.38124,0
1130,-0.1004227;-0.08196101;1.489436,0.06950487;-0.1199314;1.464335,0.1101641;-0.3196048;1.399114,0.08121876;-0.1390248;1.35793,0.05472456;-0.06586733;1.367413,-0.07289461;-0.4813218;0.8565021,-0.06725255;-0.5396516;1.398747,0.01143667;-0.524044;1.380968,0
1163,-0.1017529;-0.08153679;1.489148,0.069493;-0.1199304;1.464152,0.1107482;-0.3193928;1.398587,0.08196683;-0.1420302;1.357488,0.05320124;-0.06849239;1.368259,-0.07299662;-0.4812602;0.8559112,-0.06708158;-0.5396026;1.398469,0.01166418;-0.5239769;1.380694,0
1198,-0.1027896;-0.08113795;1.489467,0.06946372;-0.1198265;1.46391,0.1109742;-0.3193505;1.39879,0.06310759;-0.05004967;1.348181,0.04903161;-0.009535602;1.366035,-0.0735832;-0.4814072;0.8566763,-0.06708992;-0.5397076;1.39899,0.01170562;-0.5240125;1.38113,0
1233,-0.1034206;-0.08086146;1.489177,0.06932646;-0.1195497;1.462607,0.1116577;-0.319151;1.398464,0.06265171;-0.05024518;1.348419,0.04454089;-0.009362917;1.359991,-0.07359462;-0.4814628;0.8563979,-0.06694227;-0.53973;1.398866,0.01193633;-0.5239909;1.380961,0
1263,-0.1040062;-0.08061217;1.489036,0.06913087;-0.1190485;1.461721,0.1137065;-0.3183706;1.398419,0.06195052;-0.05062446;1.348821,0.04356164;-0.01086597;1.358982,-0.07370564;-0.4816807;0.8560814,-0.066835;-0.5397635;1.398774,0.01206961;-0.5239806;1.380879,0
1299,-0.1046148;-0.08041776;1.489182,0.06909919;-0.1188985;1.46152,0.1156572;-0.3180166;1.399257,0.06110895;-0.05096948;1.350173,0.0422846;-0.01034496;1.364509,-0.07490812;-0.4820187;0.8567476,-0.0668449;-0.5399182;1.399114,0.01209774;-0.5240557;1.381121,0
1330,-0.1050054;-0.08030383;1.489215,0.06903546;-0.1188469;1.46131,0.1179993;-0.3175501;1.399747,0.06094869;-0.05154445;1.350554,0.04272514;-0.01149102;1.361912,-0.07520816;-0.4822391;0.8566458,-0.0667844;-0.539993;1.399151,0.01217437;-0.5241077;1.381161,0
1363,-0.1052588;-0.08023448;1.489212,0.06897615;-0.118768;1.460992,0.1192623;-0.3173276;1.400231,0.06053376;-0.05147055;1.35084,0.04211604;-0.01107567;1.362416,-0.0756424;-0.4821162;0.8567334,-0.06676043;-0.5400358;1.399192,0.01223314;-0.5241421;1.381213,0
1397,-0.1056934;-0.08015575;1.489469,0.06896754;-0.1187253;1.460987,0.1195999;-0.3174472;1.40132,0.06006907;-0.05145065;1.351771,0.04094204;-0.01084591;1.367466,-0.07621419;-0.4825289;0.8571376,-0.0667101;-0.5402945;1.399733,0.01231401;-0.5243522;1.381737,0
1430,-0.1059567;-0.08012825;1.48932,0.06895716;-0.118677;1.460844,0.1199638;-0.3172964;1.401146,0.05642004;-0.04101129;1.353809,0.02544938;0.004575239;1.369031,-0.07662172;-0.4826848;0.8566766,-0.06664634;-0.5403739;1.399594,0.01241472;-0.5244002;1.381576,0
1463,-0.1061228;-0.08012501;1.489178,0.06880952;-0.1185248;1.460554,0.1202044;-0.3171073;1.401128,0.05614363;-0.04738714;1.351937,0.03070106;-0.00492191;1.366824,-0.07676198;-0.4827526;0.8564917,-0.06660949;-0.540402;1.399521,0.01249402;-0.5243893;1.381444,0
1497,-0.1062991;-0.08009908;1.489183,0.06877153;-0.1185444;1.460578,0.1202;-0.3171414;1.401256,0.07779322;-0.1460619;1.361866,0.0446374;-0.07061928;1.369892,-0.07678054;-0.4827418;0.8564906,-0.06654576;-0.5404651;1.399588,0.01257074;-0.5244057;1.381473,0
1531,-0.1055093;-0.08021359;1.489009,0.06875189;-0.118554;1.460583,0.1199918;-0.3172025;1.401272,0.07746214;-0.1460934;1.361673,0.04138125;-0.07186918;1.367995,-0.07725573;-0.4829094;0.8564774,-0.06656257;-0.5405669;1.399576,0.01257784;-0.5244853;1.381379,0
1563,-0.1044748;-0.08022004;1.487985,0.06880262;-0.1186676;1.460571,0.1193507;-0.3171664;1.399827,0.05103189;-0.04231345;1.350477,0.0335093;-0.0532797;1.356781,-0.07757708;-0.4829595;0.8559009,-0.06654198;-0.5408434;1.399061,0.01270622;-0.5247449;1.380341,0
1597,-0.1033287;-0.08038417;1.487506,0.06918892;-0.1192466;1.461733,0.1189494;-0.3173673;1.398601,0.06169971;-0.1334008;1.355729,0.02767733;-0.06447756;1.353951,-0.07743221;-0.4830307;0.8556165,-0.066501;-0.5410574;1.398883,0.01281481;-0.5249286;1.379857,0
1629,-0.1025431;-0.08042563;1.486925,0.07073946;-0.1203465;1.465383,0.1164532;-0.3175111;1.395,0.05635274;-0.1369674;1.352694,0.01819845;-0.06707875;1.346159,-0.07763574;-0.4829723;0.8556616,-0.06677864;-0.5416861;1.398714,0.01260133;-0.5255573;1.379145,0
1663,-0.1020818;-0.08060518;1.484823,0.07267196;-0.1209967;1.468745,0.1111731;-0.316077;1.386884,0.06927603;-0.1166163;1.320294,0.008883189;-0.06622788;1.316948,-0.07752541;-0.4832528;0.855378,-0.06744987;-0.5427637;1.397774,0.01172207;-0.5268906;1.376891,0
1698,-0.1038793;-0.08021945;1.484029,0.07368261;-0.1213314;1.471196,0.1032263;-0.3145618;1.380183,-0.0063115;-0.1518169;1.29221,-0.007998747;-0.08034133;1.31201,-0.07533088;-0.4837762;0.8544568,-0.06764977;-0.5430124;1.39749,0.01155119;-0.5271256;1.375633,0
1732,-0.1039969;-0.08064291;1.4826,0.07408683;-0.1215532;1.473702,0.09680922;-0.3133815;1.377098,-0.004038586;-0.1368352;1.308938,0.01463462;-0.1759704;1.357329,-0.07417908;-0.4840981;0.854803,-0.06788753;-0.5431841;1.397581,0.01142493;-0.5272138;1.375546,0
1764,-0.1051269;-0.08037025;1.482003,0.0741859;-0.121873;1.474409,0.06710341;-0.2990473;1.34799,-0.03912895;-0.1109118;1.294756,-0.05547392;-0.05931044;1.29632,-0.07269136;-0.4841757;0.854955,-0.06801532;-0.543135;1.397511,0.01131771;-0.5271835;1.375471,0
1797,-0.1058335;-0.07947198;1.48217,0.07407433;-0.1221881;1.475548,0.06600732;-0.2996823;1.349694,-0.06143478;-0.09180059;1.282366,-0.08394804;-0.04862146;1.29058,-0.07155941;-0.4849223;0.8558714,-0.0682487;-0.54298;1.398172,0.01102511;-0.5271062;1.376446,0
1830,-0.1059481;-0.07903302;1.482634,0.07424986;-0.1219078;1.477096,0.06493008;-0.2987843;1.350378,-0.07193138;-0.1498117;1.279536,-0.1014104;-0.1035907;1.285429,-0.07028788;-0.4856842;0.856838,-0.06845629;-0.54245;1.399083,0.01062223;-0.5264772;1.378454,0
1864,-0.1057247;-0.07904852;1.483792,0.07433546;-0.1218188;1.477555,0.03748832;-0.2841129;1.335753,-0.1106074;-0.1466063;1.264805,-0.1352158;-0.09922809;1.271031,-0.06923734;-0.4855193;0.8569764,-0.06842691;-0.5422967;1.399235,0.01078779;-0.5263012;1.379967,0
1897,-0.1057534;-0.0790887;1.484413,0.07430838;-0.1217988;1.477552,0.01301789;-0.2670395;1.325201,-0.1395114;-0.1355671;1.252497,-0.1717901;-0.09396513;1.257721,-0.06802796;-0.485254;0.856684,-0.06839582;-0.5422701;1.399204,0.01081143;-0.5263442;1.380179,0
1931,-0.1059063;-0.07907668;1.484877,0.07410889;-0.121784;1.477311,0.00991263;-0.2654766;1.324653,-0.1533596;-0.1540911;1.241843,-0.1943116;-0.1170807;1.24273,-0.06728279;-0.4852407;0.8566378,-0.06849173;-0.5417939;1.399262,0.01071377;-0.5259196;1.380195,0
