Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,0.02843595;-0.1261931;1.732392,0.1845839;-0.1669838;1.663759,0.2570418;-0.3360754;1.611666,0.1307505;-0.4293943;1.402962,0.07443406;-0.4802074;1.290057,-0.2000194;-0.5028074;1.437899,0.01083245;-0.5543365;1.705519,0.0914757;-0.5435737;1.656022,0
34,0.02828028;-0.1261863;1.732399,0.1845668;-0.166962;1.663749,0.2175514;-0.3872032;1.525491,0.131869;-0.5160581;1.315455,0.0957737;-0.4977243;1.288722,-0.200044;-0.5028473;1.437911,0.01070311;-0.5543818;1.705441,0.09123974;-0.5436438;1.655877,0
66,0.0277039;-0.1263793;1.731418,0.1844645;-0.1668712;1.663361,0.2560563;-0.3328205;1.597937,0.1642513;-0.4494647;1.384262,0.08267563;-0.4801401;1.280369,-0.1999263;-0.5025151;1.437237,0.01008016;-0.5547169;1.704466,0.09038022;-0.5440874;1.654555,0
100,0.02751974;-0.1264185;1.731468,0.1844514;-0.1668591;1.663352,0.2184358;-0.3873315;1.525774,0.1265568;-0.508501;1.313678,0.09197097;-0.491594;1.285666,-0.1999414;-0.5025058;1.437216,0.009924472;-0.5548226;1.70427,0.09011523;-0.5442245;1.654292,0
133,0.02740229;-0.1264248;1.731485,0.1844366;-0.1668598;1.66333,0.2586669;-0.3335888;1.60473,0.1912434;-0.4368804;1.444895,0.08231045;-0.4770576;1.284731,-0.1999488;-0.5024888;1.437218,0.01007995;-0.5546041;1.704362,0.09057114;-0.5437437;1.654529,0
166,0.02718145;-0.1264413;1.731513,0.1844131;-0.1668419;1.663319,0.221072;-0.3887472;1.529098,0.1212655;-0.5049521;1.317778,0.09038838;-0.4870336;1.287094,-0.1999525;-0.5025231;1.437251,0.01003685;-0.554441;1.704472,0.09066406;-0.5434767;1.654766,0
200,0.02703629;-0.1264106;1.731546,0.1843942;-0.1668292;1.66331,0.258142;-0.3342889;1.606708,0.1660582;-0.4573505;1.395746,0.08306839;-0.4754397;1.287243,-0.1999788;-0.5026119;1.437254,0.009920835;-0.5541499;1.704777,0.09068982;-0.543139;1.655098,0
234,0.02692866;-0.1264093;1.731519,0.184384;-0.1668204;1.663303,0.2309273;-0.3899903;1.538134,0.1250657;-0.4987338;1.325711,0.0953804;-0.4812152;1.294368,-0.1999889;-0.5026335;1.437255,0.009916035;-0.5541283;1.704789,0.09070545;-0.5430959;1.65513,0
266,0.02675989;-0.1264569;1.731491,0.184379;-0.1668182;1.663285,0.2628784;-0.3316161;1.604916,0.1643932;-0.4527502;1.395735,0.08850352;-0.466443;1.293711,-0.2000052;-0.5026859;1.437222,0.009869589;-0.5540745;1.704837,0.0907078;-0.5430325;1.655194,0
300,0.02663106;-0.1264987;1.731604,0.1843704;-0.1668327;1.663278,0.2250055;-0.3889936;1.530841,0.07510228;-0.4418449;1.323404,0.07288203;-0.4508078;1.291727,-0.2000297;-0.5027137;1.437196,0.01099278;-0.5540499;1.708521,0.09263623;-0.5426229;1.660138,0
332,0.02652668;-0.1265839;1.731779,0.1843704;-0.1668366;1.663273,0.2593419;-0.3334735;1.605614,0.1845875;-0.41764;1.438126,0.07879506;-0.4505351;1.295425,-0.2000239;-0.5027524;1.437199,0.01418567;-0.553367;1.714556,0.09728494;-0.5409944;1.667231,0
366,0.02642325;-0.1266537;1.731851,0.1843652;-0.166838;1.663269,0.2347428;-0.3874721;1.537133,0.1261403;-0.4439347;1.349126,0.07687754;-0.4397558;1.30085,-0.2000269;-0.5027672;1.437201,0.01434641;-0.5537091;1.715979,0.09734595;-0.5412726;1.668478,0
401,0.02629308;-0.1267836;1.731875,0.1843315;-0.1668216;1.663286,0.2349002;-0.3876062;1.537096,0.1183914;-0.4341563;1.346721,0.0676587;-0.4375053;1.310762,-0.2000446;-0.5027812;1.437289,0.01431877;-0.5538293;1.714967,0.09725309;-0.5418596;1.666706,0
433,0.02623752;-0.1268684;1.731807,0.1843196;-0.1668227;1.663287,0.235533;-0.3875158;1.537077,0.1025771;-0.4157066;1.343752,0.05914064;-0.4159006;1.311834,-0.2000841;-0.5028321;1.437328,0.01430223;-0.5538359;1.714114,0.09727906;-0.5421748;1.665412,0
467,0.02624084;-0.1270319;1.731786,0.1843136;-0.1668161;1.663288,0.2421067;-0.3851973;1.540703,0.1083558;-0.3967237;1.379913,0.05094942;-0.3903268;1.31701,-0.2002596;-0.5029101;1.437326,0.01424307;-0.5536827;1.713638,0.09726185;-0.5421411;1.664743,0
501,0.02620245;-0.1272927;1.731726,0.1843116;-0.166818;1.663289,0.2418787;-0.3839618;1.536934,0.1029473;-0.3843274;1.378018,0.04200635;-0.3650366;1.317946,-0.2005363;-0.503135;1.437323,0.0140322;-0.5534036;1.713525,0.09708656;-0.5420027;1.664623,0
534,0.02624678;-0.1278322;1.731805,0.1843126;-0.1668211;1.66329,0.2388127;-0.3813614;1.528028,0.05265598;-0.3472999;1.347762,0.002031258;-0.3396328;1.316937,-0.2007869;-0.5030156;1.437168,0.01425405;-0.5533795;1.713931,0.09705925;-0.5420153;1.665092,0
567,0.02638008;-0.1285109;1.732051,0.184356;-0.1668253;1.663325,0.2377301;-0.3796236;1.525732,0.09822079;-0.3282461;1.399415,0.02768131;-0.3129322;1.338107,-0.2009129;-0.50302;1.437226,0.01461675;-0.551849;1.714151,0.09724487;-0.5404363;1.665251,0
600,0.02693773;-0.13011;1.732985,0.1844497;-0.1667731;1.663584,0.2375983;-0.3798339;1.525236,0.08959031;-0.3173536;1.403906,0.02503214;-0.2888798;1.356478,-0.20116;-0.5040068;1.438457,0.01680705;-0.5499815;1.713618,0.098689;-0.5379736;1.664481,0
633,0.02765368;-0.1315854;1.731984,0.1845327;-0.1667571;1.663555,0.2370659;-0.3806497;1.522825,0.08587517;-0.3007422;1.404515,0.02406804;-0.2646962;1.363429,-0.2012656;-0.504072;1.438331,0.01860778;-0.5486114;1.71234,0.1000125;-0.5362349;1.663151,0
666,0.02757352;-0.1328236;1.732814,0.1899875;-0.1693233;1.672859,0.2363692;-0.3816305;1.52573,0.08618367;-0.2834941;1.415971,0.02493699;-0.2483045;1.386379,-0.2016066;-0.5048582;1.439245,0.01802321;-0.5478929;1.713362,0.09951957;-0.5356964;1.663879,0
701,0.02749007;-0.1341255;1.732261,0.1907458;-0.1696646;1.672952,0.2358523;-0.3822967;1.525899,0.08606093;-0.2713843;1.421637,0.02877811;-0.2332256;1.394337,-0.2016549;-0.5049353;1.439202,0.01784228;-0.5477004;1.713444,0.09942986;-0.5356112;1.663869,0
735,0.02739263;-0.1350555;1.73191,0.1897743;-0.1687151;1.670615,0.2349232;-0.3834431;1.526913,0.08838047;-0.2626387;1.430733,0.03117893;-0.2186452;1.408727,-0.2016863;-0.5049704;1.439203,0.01756932;-0.547772;1.713708,0.09924763;-0.5356814;1.663942,0
765,0.02737635;-0.136325;1.730341,0.1892745;-0.1682798;1.667599,0.2327358;-0.3862814;1.528776,0.08901249;-0.2519655;1.43466,0.03415937;-0.2056901;1.412995,-0.2017366;-0.5046784;1.438475,0.01717272;-0.5479748;1.713538,0.09885602;-0.5360363;1.663502,0
800,0.0267234;-0.1363192;1.729813,0.1891114;-0.1680153;1.666991,0.2327253;-0.3864269;1.528925,0.08918098;-0.2411513;1.443874,0.03502439;-0.1940623;1.428641,-0.2017441;-0.5046542;1.438471,0.01684216;-0.5484109;1.713753,0.0986767;-0.5364649;1.663507,0
833,0.02657;-0.1368055;1.729996,0.1890375;-0.1677311;1.666765,0.2323363;-0.3865977;1.530064,0.0913594;-0.2332842;1.450772,0.03673434;-0.1844677;1.439618,-0.2018536;-0.504851;1.438955,0.01650029;-0.5491422;1.714294,0.09850781;-0.5370423;1.66387,0
866,0.02627111;-0.137251;1.729375,0.1906067;-0.1675427;1.667691,0.2317308;-0.3852129;1.529435,0.09206633;-0.2267254;1.452797,0.03682434;-0.1756894;1.440377,-0.2019065;-0.5048188;1.438884,0.01525152;-0.5516397;1.712333,0.09691073;-0.5396403;1.661695,0
900,0.02563791;-0.1374832;1.728383,0.1901137;-0.1672141;1.666072,0.2298077;-0.3841794;1.528475,0.09113563;-0.2206829;1.456362,0.03612589;-0.170296;1.443845,-0.2019079;-0.5047941;1.438829,0.003553595;-0.5610687;1.707013,0.07967567;-0.5518594;1.655628,0
935,0.02484404;-0.1376311;1.727133,0.1896155;-0.1668618;1.664933,0.228485;-0.3828443;1.526831,0.09019302;-0.2168906;1.458747,0.03297576;-0.1682097;1.443776,-0.2019233;-0.5047587;1.438698,0.0008060531;-0.5630474;1.705597,0.07713202;-0.5534131;1.654355,0
965,0.02442508;-0.137603;1.726464,0.1891548;-0.166445;1.664263,0.2280884;-0.3821996;1.525872,0.08930868;-0.2166775;1.459502,0.02842012;-0.1709281;1.442247,-0.2019339;-0.5047153;1.438469,-3.714077E-05;-0.5630057;1.704814,0.07653818;-0.5531906;1.653794,0
1000,0.02396866;-0.137875;1.726035,0.1884492;-0.1659753;1.663555,0.2275396;-0.3820318;1.524832,0.08652056;-0.2188956;1.458637,0.02281647;-0.1771902;1.438074,-0.2019851;-0.5047603;1.438361,-0.001275912;-0.5635844;1.70421,0.07489759;-0.5536328;1.653132,0
1034,0.02366775;-0.1382235;1.726072,0.187931;-0.1658054;1.663136,0.2267912;-0.3813367;1.523219,0.07601619;-0.2275751;1.455864,0.01364229;-0.1855971;1.430392,-0.2020059;-0.5048081;1.438323,-0.0007509462;-0.5635628;1.704125,0.07551032;-0.553305;1.652953,0
1067,0.0230601;-0.1386488;1.724987,0.1870806;-0.1656171;1.661913,0.2247163;-0.3782637;1.517166,0.06761571;-0.2332909;1.447446,0.002622081;-0.193939;1.417817,-0.2020177;-0.5047868;1.437372,-0.0004411461;-0.5608584;1.70155,0.0766262;-0.5492105;1.64876,0
1100,0.02275288;-0.1389829;1.725145,0.186709;-0.1656083;1.661687,0.2225057;-0.376999;1.51554,0.06083481;-0.2376674;1.444186,-0.005682197;-0.203836;1.417047,-0.2020777;-0.5049046;1.437367,-0.000190143;-0.5610086;1.701236,0.07661558;-0.5492253;1.648689,0
1135,0.02271796;-0.1392841;1.725378,0.1865989;-0.1660819;1.662534,0.2199617;-0.3754331;1.513704,0.0544067;-0.2439005;1.439073,-0.01458314;-0.2121846;1.41071,-0.2021532;-0.5050682;1.437421,0.02596125;-0.5611285;1.705944,0.1005928;-0.5465801;1.655103,0
1166,0.0223462;-0.1395925;1.724871,0.1853842;-0.1656647;1.661201,0.2164207;-0.3724315;1.508967,0.0457179;-0.2495306;1.431171,-0.02226694;-0.2198714;1.401206,-0.2023166;-0.5050761;1.436895,0.02450852;-0.5615931;1.708016,0.09902383;-0.5474427;1.657185,0
1199,0.02180888;-0.1401252;1.726907,0.1846623;-0.1654471;1.66135,0.2154089;-0.3729176;1.510226,0.04182035;-0.2565641;1.432403,-0.02820737;-0.2311782;1.408634,-0.2031261;-0.5058125;1.438234,0.02498734;-0.5617571;1.711654,0.09894469;-0.5476866;1.661758,0
1233,0.02146585;-0.1403923;1.72695,0.1839509;-0.1651917;1.660986,0.2150895;-0.3726968;1.509981,0.03854029;-0.264574;1.429008,-0.03159611;-0.2403414;1.397058,-0.2033341;-0.5058996;1.438168,0.02454042;-0.5613306;1.715117,0.09841605;-0.5473949;1.665392,0
