Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.2295219;-0.3722451;1.449101,-0.2252924;-0.359591;1.441392,-0.1940794;-0.1326412;1.473687,-0.132464;0.1295585;1.437112,0.05151382;0.1634296;1.437967,-0.05233499;-0.3573057;1.393795,0.03567721;-0.3688362;1.429799,0.1964176;-0.3619962;1.046699,0
34,-0.2298653;-0.3718815;1.452097,-0.2251012;-0.3589894;1.441017,-0.1940468;-0.1326031;1.473768,-0.132588;0.1293858;1.437181,0.05144063;0.1633926;1.438172,-0.05279595;-0.3572904;1.394111,0.03513447;-0.3688996;1.430159,0.1954667;-0.3631858;1.047044,0
67,-0.2297584;-0.3715772;1.450753,-0.225148;-0.3591025;1.441025,-0.1940217;-0.1326127;1.473763,-0.1326114;0.1292737;1.437181,0.05144579;0.1634016;1.438212,-0.05265424;-0.357306;1.393867,0.0352327;-0.3689165;1.430028,0.1950938;-0.3634653;1.046896,0
102,-0.2281452;-0.3708281;1.445308,-0.225095;-0.3590814;1.44074,-0.1939866;-0.1326573;1.473426,-0.1326858;0.1289585;1.436791,0.05145719;0.1633101;1.438023,-0.05277932;-0.3573958;1.393717,0.03510183;-0.3689636;1.429891,0.1941014;-0.3640901;1.046583,0
134,-0.2292507;-0.3725818;1.448938,-0.2251107;-0.3593358;1.440845,-0.1939772;-0.1326394;1.473407,-0.1327223;0.1288848;1.436807,0.05150708;0.1633013;1.438023,-0.05253659;-0.3574378;1.393651,0.03530291;-0.3689256;1.429849,0.1935619;-0.3645185;1.04641,0
168,-0.2285875;-0.3742705;1.44637,-0.2250456;-0.3592409;1.440683,-0.1938608;-0.1325393;1.472746,-0.1326544;0.1285681;1.436324,0.05162946;0.1632119;1.437801,-0.05087676;-0.357983;1.392576,0.03692444;-0.3692952;1.428994,0.1912124;-0.3648695;1.044948,0
198,-0.2295057;-0.3737337;1.451261,-0.2250159;-0.3592609;1.440632,-0.1938535;-0.1324149;1.472739,-0.1326621;0.1285537;1.436321,0.05165155;0.1631999;1.437852,-0.05077264;-0.3579998;1.392728,0.03706752;-0.369325;1.429282,0.1905174;-0.3649911;1.045246,0
234,-0.2294423;-0.3739257;1.448222,-0.2250828;-0.3593278;1.440614,-0.1938479;-0.1323464;1.472772,-0.1326439;0.1285367;1.436344,0.05166205;0.1631958;1.437866,-0.05081127;-0.3579986;1.393232,0.03702141;-0.3692523;1.429719,0.1899496;-0.3651952;1.04553,0
267,-0.2297013;-0.3728262;1.450731,-0.2251007;-0.3593221;1.440626,-0.1938434;-0.1324016;1.472767,-0.132648;0.1285132;1.436341,0.05167936;0.1631747;1.43786,-0.05044005;-0.357995;1.392792,0.03732567;-0.3692304;1.429339,0.1893349;-0.3655616;1.045042,0
302,-0.2295773;-0.374355;1.451711,-0.2252343;-0.3592612;1.440903,-0.1938175;-0.1324476;1.473218,-0.1326601;0.1285407;1.436412,0.05171137;0.1632272;1.438139,-0.05039459;-0.3579229;1.392805,0.03735319;-0.3691769;1.429367,0.1890756;-0.3656816;1.045032,0
335,-0.2295151;-0.3738405;1.451282,-0.2252891;-0.3592248;1.441019,-0.1939012;-0.132555;1.473292,-0.1326435;0.128524;1.436379,0.05172715;0.1632256;1.438147,-0.05043651;-0.3578568;1.392645,0.03729277;-0.3691321;1.42921,0.1887508;-0.3656478;1.044822,0
367,-0.2296633;-0.3735546;1.448714,-0.2253084;-0.3592927;1.441025,-0.1939007;-0.1325555;1.473294,-0.1326421;0.1285073;1.436396,0.05174844;0.1632423;1.4382,-0.05037607;-0.3578291;1.392631,0.03735425;-0.3690506;1.429198,0.1885014;-0.3657331;1.044754,0
400,-0.2301582;-0.3738365;1.450897,-0.2253357;-0.3592393;1.440996,-0.1939114;-0.132551;1.473298,-0.1326262;0.1284774;1.436419,0.05173366;0.1632459;1.43822,-0.05107638;-0.357684;1.392917,0.03668806;-0.3690303;1.429408,0.1880901;-0.3657726;1.044942,0
434,-0.2296891;-0.3733651;1.4518,-0.2248307;-0.3551038;1.440222,-0.1939254;-0.1325134;1.473406,-0.1326289;0.1284855;1.43648,0.05178971;0.163326;1.438466,-0.05093038;-0.357605;1.39297,0.03683184;-0.3688658;1.429487,0.1879661;-0.3658108;1.045009,0
467,-0.2297545;-0.3729923;1.449373,-0.2250924;-0.3560531;1.440497,-0.1939036;-0.1325394;1.47341,-0.1326155;0.1284872;1.436475,0.05181053;0.1633354;1.438503,-0.05058035;-0.3576074;1.392919,0.03717914;-0.3688525;1.429456,0.1878099;-0.3658013;1.044901,0
502,-0.2296278;-0.3718807;1.448359,-0.2251264;-0.3565457;1.440469,-0.1939018;-0.1325691;1.473389,-0.1325627;0.1284486;1.436502,0.05182592;0.1633598;1.438605,-0.05047423;-0.3575986;1.392937,0.03729559;-0.368845;1.429496,0.1876626;-0.3659152;1.044916,0
534,-0.2302085;-0.3730138;1.449432,-0.2250775;-0.3552241;1.440276,-0.1938868;-0.1325743;1.47342,-0.1325772;0.1284173;1.436521,0.05185404;0.1633506;1.438687,-0.04998146;-0.3575839;1.392837,0.03772328;-0.368789;1.429465,0.1875809;-0.3658814;1.044857,0
566,-0.2295968;-0.3696557;1.446578,-0.2249363;-0.3541514;1.439474,-0.1938371;-0.1325721;1.473344,-0.132558;0.1283503;1.436403,0.05197358;0.163269;1.438584,-0.04928332;-0.357798;1.392573,0.03839663;-0.3688025;1.429203,0.1874436;-0.3659882;1.044435,0
599,-0.2295081;-0.3708666;1.45189,-0.2251579;-0.3549099;1.440554,-0.193818;-0.1324402;1.473576,-0.1325494;0.1283527;1.436679,0.05221192;0.1631875;1.439111,-0.04872931;-0.3578042;1.392772,0.03895699;-0.368776;1.42949,0.1873255;-0.3660468;1.044698,0
634,-0.2290241;-0.3712965;1.448163,-0.2251514;-0.3551428;1.440598,-0.1938165;-0.13245;1.473576,-0.1325503;0.1283155;1.436732,0.05224995;0.1631289;1.43917,-0.04858656;-0.3578216;1.392704,0.03906919;-0.3687909;1.429452,0.1873128;-0.3660447;1.044667,0
666,-0.2301579;-0.371935;1.45087,-0.2251275;-0.3550905;1.440586,-0.1938016;-0.1324321;1.473657,-0.132541;0.1283118;1.436739,0.0522654;0.1631115;1.439219,-0.0484694;-0.3578329;1.392715,0.03919116;-0.3688022;1.429462,0.1872571;-0.3660569;1.044643,0
700,-0.2296659;-0.3731474;1.450091,-0.2252262;-0.3553706;1.440921,-0.1937929;-0.1323503;1.473654,-0.1325494;0.1283177;1.43678,0.05232622;0.1631136;1.439269,-0.04830064;-0.3577969;1.392624,0.03935089;-0.3686986;1.429409,0.1871868;-0.3661179;1.044589,0
734,-0.230374;-0.3715255;1.453965,-0.2253506;-0.3557791;1.442011,-0.193802;-0.1323307;1.47382,-0.1326217;0.1282956;1.437013,0.05233772;0.1631649;1.439559,-0.04814145;-0.357748;1.393276,0.03952171;-0.3685298;1.430117,0.1869864;-0.3661911;1.045302,0
767,-0.2302666;-0.3716378;1.452769,-0.2255438;-0.3561826;1.442636,-0.193796;-0.1322604;1.473979,-0.1326481;0.1282711;1.437109,0.05233704;0.1631728;1.439612,-0.04836207;-0.3577062;1.393645,0.03930128;-0.3684579;1.430469,0.1868718;-0.3661298;1.045656,0
798,-0.2294987;-0.3714433;1.44973,-0.2254951;-0.3565787;1.442289,-0.1937877;-0.1322694;1.47399,-0.1326495;0.1282863;1.437135,0.0523361;0.1631722;1.439612,-0.04808287;-0.3576881;1.393377,0.03955526;-0.3683602;1.430234,0.1868356;-0.3660727;1.045398,0
833,-0.2298285;-0.3715596;1.449593,-0.225409;-0.3569029;1.442005,-0.1937634;-0.1322177;1.47401,-0.1326477;0.1282723;1.437159,0.05231726;0.1631662;1.439631,-0.04820066;-0.3576438;1.39329,0.03940156;-0.3683536;1.430107,0.1868533;-0.3660924;1.045253,0
866,-0.2302547;-0.3716394;1.450804,-0.2253651;-0.3573343;1.441929,-0.1937543;-0.1321217;1.474085,-0.1326384;0.1282161;1.437251,0.05229478;0.1631429;1.439724,-0.04897935;-0.3575065;1.393505,0.03859625;-0.3683764;1.430281,0.1867461;-0.3660789;1.045524,0
900,-0.2290177;-0.3712771;1.44599,-0.2253607;-0.357479;1.441478,-0.1936347;-0.1320362;1.473819,-0.132573;0.1281956;1.436928,0.05224068;0.1630871;1.439439,-0.04948256;-0.3575239;1.393119,0.03812115;-0.3685359;1.429896,0.186589;-0.3660662;1.045169,0
936,-0.2295162;-0.3711587;1.450502,-0.2253441;-0.3579342;1.44145,-0.1936379;-0.1320318;1.473832,-0.1325695;0.1282153;1.436963,0.05228494;0.163058;1.439471,-0.04946911;-0.3574989;1.393044,0.03811361;-0.3684691;1.429763,0.1866099;-0.3660734;1.044973,0
966,-0.2299697;-0.3730068;1.45087,-0.2254239;-0.3573657;1.44223,-0.1936421;-0.1318485;1.473877,-0.1325696;0.1282156;1.436964,0.05227609;0.1630574;1.439482,-0.04951236;-0.3575058;1.393156,0.03807834;-0.3685072;1.429893,0.1865138;-0.3661623;1.045121,0
998,-0.2290125;-0.3700774;1.445745,-0.2255466;-0.3549866;1.440857,-0.1935851;-0.1319331;1.473333,-0.1326448;0.1281493;1.436519,0.05224426;0.1630062;1.438998,-0.04959797;-0.3575;1.39189,0.03798608;-0.3685834;1.428685,0.1866817;-0.3661843;1.044024,0
1034,-0.2300256;-0.3702343;1.448464,-0.2254877;-0.3542288;1.440661,-0.193548;-0.1319918;1.473343,-0.132637;0.1281425;1.436531,0.05223442;0.1629902;1.439011,-0.04943614;-0.3575376;1.391868,0.03815433;-0.3686194;1.428657,0.186659;-0.3661915;1.043956,0
1066,-0.2302535;-0.372393;1.455754,-0.2254983;-0.355513;1.442109,-0.1937128;-0.1318668;1.474367,-0.1326286;0.1282037;1.437147,0.0521279;0.1630398;1.439901,-0.05016815;-0.3572422;1.393092,0.03741546;-0.3684973;1.429782,0.1864204;-0.366191;1.045092,0
1099,-0.2295866;-0.3719044;1.450405,-0.225516;-0.3559721;1.442021,-0.193693;-0.1317975;1.474477,-0.1325763;0.1282242;1.437184,0.05214536;0.1630377;1.440012,-0.05024261;-0.3572776;1.393816,0.03735863;-0.3684692;1.43048,0.1862554;-0.3661678;1.045742,0
1134,-0.229852;-0.3716914;1.451315,-0.2257075;-0.3569427;1.443028,-0.1936933;-0.131825;1.474508,-0.1325711;0.1282211;1.437204,0.05213395;0.1630276;1.440072,-0.05046182;-0.3572232;1.393886,0.03712897;-0.3684749;1.430541,0.1861911;-0.3661834;1.04583,0
1167,-0.228912;-0.3718462;1.448535,-0.2256001;-0.3571716;1.44233,-0.1936077;-0.1316558;1.474171,-0.1325398;0.1281432;1.437015,0.05213696;0.1628688;1.439735,-0.05074389;-0.3573289;1.393718,0.03681183;-0.3686801;1.430295,0.1861658;-0.3661847;1.045538,0
1199,-0.2298923;-0.3718897;1.450582,-0.2256655;-0.357479;1.442395,-0.1936193;-0.131588;1.474296,-0.1325314;0.1281492;1.437043,0.05215069;0.1628455;1.439765,-0.05004895;-0.3574384;1.393783,0.03745154;-0.3686074;1.430357,0.1860992;-0.3662696;1.045483,0
1233,-0.2291737;-0.3723179;1.44903,-0.2256302;-0.3579339;1.442177,-0.1936189;-0.1315834;1.474299,-0.1325069;0.1281555;1.437022,0.05213486;0.1628417;1.43976,-0.05003435;-0.3574246;1.393566,0.03746714;-0.368616;1.430175,0.186038;-0.3662561;1.045317,0
1266,-0.2296428;-0.372674;1.453295,-0.2256168;-0.3579253;1.442153,-0.1936803;-0.1316864;1.474666,-0.1324791;0.1281498;1.437215,0.05220335;0.1628472;1.44012,-0.05012192;-0.357411;1.394231,0.03740124;-0.3686491;1.430798,0.1858987;-0.3662633;1.045887,0
1300,-0.2291784;-0.371048;1.444981,-0.2256103;-0.3579336;1.442133,-0.1935627;-0.1314789;1.474126,-0.1323412;0.1280976;1.436507,0.05230774;0.1627138;1.439654,-0.05006052;-0.357527;1.394136,0.03748045;-0.3687147;1.4307,0.1857697;-0.3661742;1.04573,0
1334,-0.2297938;-0.3728103;1.45219,-0.2254774;-0.3582449;1.44241,-0.193568;-0.1315278;1.47418,-0.1323119;0.1281157;1.43657,0.05230064;0.1626947;1.439679,-0.05007512;-0.357511;1.394084,0.03745956;-0.3687167;1.430668,0.1857696;-0.3661683;1.045712,0
1366,-0.2293958;-0.3725815;1.450119,-0.2255857;-0.3585663;1.442654,-0.1935657;-0.1315485;1.474188,-0.1323177;0.1281151;1.436579,0.05228953;0.1626982;1.439685,-0.05062768;-0.3574699;1.394346,0.03695357;-0.3686681;1.430789,0.1857418;-0.3661296;1.045799,0
1399,-0.2300833;-0.3731857;1.451138,-0.2255936;-0.3585432;1.442666,-0.1935552;-0.1316487;1.474161,-0.1323153;0.1281172;1.436575,0.05229137;0.1626901;1.439678,-0.05062703;-0.3574848;1.394356,0.03696073;-0.3687112;1.430823,0.1857228;-0.3661174;1.045863,0
