Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,0.06233198;-0.01683424;1.21384,0.2148869;-0.03490179;1.237343,0.2832795;-0.2292216;1.243754,0.2398121;-0.06722341;1.080883,0.239715;0.005050396;1.100419,-0.06625453;-0.4356104;0.9264265,0.09293457;-0.458321;1.282015,0.1520394;-0.4451863;1.261937,0
38,0.06304477;-0.01603624;1.214357,0.2150109;-0.03483687;1.236413,0.2864473;-0.2277199;1.239481,0.2369356;-0.01549075;1.127367,0.2347655;0.02703437;1.107743,-0.06630246;-0.4360799;0.9266917,0.09352923;-0.4574004;1.282542,0.1525842;-0.4443755;1.262898,0
68,0.06344246;-0.01532821;1.214582,0.2152403;-0.03469495;1.234091,0.2907544;-0.2212733;1.220762,0.2351983;-0.01230862;1.129646,0.2284916;0.04406204;1.112689,-0.06615865;-0.4363594;0.9265332,0.09388549;-0.4566754;1.282636,0.1528975;-0.4437957;1.263196,0
102,0.06457391;-0.0136594;1.21673,0.215407;-0.03379941;1.231974,0.292112;-0.1964423;1.197249,0.2327151;-0.005139299;1.136559,0.2219866;0.06864034;1.121222,-0.06650113;-0.4369771;0.9274624,0.09515393;-0.4554556;1.283646,0.1542843;-0.4422882;1.264689,0
135,0.06509575;-0.01356242;1.216582,0.2152281;-0.03417417;1.231099,0.2921654;-0.1954437;1.188072,0.2327533;0.0001764488;1.136319,0.216631;0.0766085;1.125357,-0.06640546;-0.4374792;0.9280059,0.09546374;-0.4545082;1.284131,0.1545563;-0.4416289;1.26507,0
167,0.06559301;-0.01341921;1.216404,0.214889;-0.03524834;1.229111,0.2939533;-0.1930634;1.175104,0.2330823;0.006629378;1.135436,0.2133288;0.08374939;1.127955,-0.06648991;-0.4378732;0.9279754,0.095703;-0.4537762;1.284044,0.1547458;-0.441162;1.264974,0
202,0.06634886;-0.01313627;1.216595,0.214845;-0.03526297;1.228627,0.3005103;-0.1891819;1.173411,0.2323579;0.01419322;1.13529,0.2093777;0.08824407;1.134926,-0.0664761;-0.4384175;0.9286299,0.09603117;-0.4526906;1.284587,0.1550295;-0.4402626;1.265419,0
243,0.06677108;-0.01299203;1.216611,0.2145787;-0.03506541;1.227358,0.3179023;-0.1652644;1.142789,0.234441;-0.001970209;1.134491,0.2040492;0.04727482;1.152989,-0.0664626;-0.4388451;0.9287586,0.0962322;-0.4520819;1.284654,0.1552162;-0.4396734;1.265441,0
269,0.06718697;-0.01280704;1.216532,0.2143322;-0.03588813;1.226149,0.3192131;-0.1644805;1.140991,0.2340178;-0.002066127;1.134159,0.2013444;0.04817499;1.153126,-0.06646328;-0.4389868;0.9287737,0.0962477;-0.4518014;1.284611,0.1552432;-0.4394732;1.265333,0
302,0.06884617;-0.01020435;1.219997,0.2141882;-0.03591496;1.225942,0.3202174;-0.1634647;1.140639,0.2333643;-0.001934961;1.13523,0.2046541;0.0500773;1.153517,-0.06645621;-0.4395254;0.9297696,0.09646814;-0.450991;1.285364,0.1553923;-0.4388235;1.265892,0
