Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.01285708;-0.2706519;1.095845,-0.01987832;-0.2247103;1.131388,-0.0593092;-0.04735664;1.234417,-0.05531652;0.2066311;1.269737,0.08974372;0.2312587;1.244728,0.06351312;-0.139674;1.382967,0.1245732;-0.1370931;1.411619,0.2001106;-0.280928;1.140079,0
34,-0.01375205;-0.2675298;1.094251,-0.01982641;-0.2226249;1.129785,-0.05916539;-0.04584886;1.233924,-0.05507619;0.207139;1.270722,0.0897688;0.2316368;1.245508,0.06372626;-0.1394148;1.383194,0.1248248;-0.136826;1.411963,0.2001135;-0.2806214;1.140544,0
67,-0.01540804;-0.2587738;1.089049,-0.02033535;-0.2165642;1.123166,-0.05910945;-0.04299118;1.233135,-0.05480894;0.2076248;1.271703,0.08987135;0.2320908;1.246435,0.06393114;-0.139251;1.383361,0.1251411;-0.1365797;1.412289,0.2002092;-0.2801726;1.140987,0
99,-0.01204788;-0.2560347;1.084481,-0.01893824;-0.2141619;1.119492,-0.05889912;-0.0429901;1.23295,-0.04974788;0.2142332;1.277621,0.0933341;0.2392037;1.257763,0.06425171;-0.1383354;1.384047,0.1254788;-0.1359939;1.412929,0.1999196;-0.279741;1.141473,0
131,-0.01384551;-0.2453315;1.069463,-0.01748922;-0.2058551;1.102315,-0.05911957;-0.04228092;1.226481,-0.04999916;0.2138603;1.277494,0.09291491;0.2385823;1.256823,0.0643623;-0.1381879;1.384044,0.1256542;-0.1358631;1.412936,0.2023512;-0.2788856;1.141191,0
167,-0.0148099;-0.2373346;1.063699,-0.01771277;-0.1998208;1.097866,-0.05902192;-0.03655021;1.222613,-0.04782403;0.2160244;1.279181,0.09410609;0.2412956;1.261571,0.06409846;-0.1376881;1.383892,0.1254659;-0.135604;1.412998,0.2023596;-0.2787026;1.141421,0
200,-0.01584923;-0.2257206;1.051879,-0.0174981;-0.1928047;1.093328,-0.05732177;-0.02927296;1.21828,-0.04649056;0.2171188;1.279903,0.09519003;0.2430079;1.264275,0.06422923;-0.1372446;1.383753,0.1256087;-0.1352788;1.413141,0.2042995;-0.2783304;1.142105,0
233,-0.01885954;-0.2230209;1.050974,-0.01794904;-0.1917042;1.092152,-0.05680492;-0.0276894;1.216773,-0.04496182;0.218863;1.281546,0.09678792;0.2450694;1.268448,0.06461634;-0.1361826;1.384426,0.1259274;-0.13454;1.413939,0.2051087;-0.2782147;1.143276,0
268,-0.02550093;-0.2234575;1.050803,-0.02166337;-0.1888135;1.086483,-0.05532771;-0.02632989;1.214732,-0.04357741;0.2203863;1.282235,0.09768958;0.2461842;1.270372,0.06425999;-0.1355852;1.384286,0.1255737;-0.1341857;1.414129,0.2052952;-0.2778427;1.143835,0
301,-0.02685698;-0.2294957;1.054756,-0.02247882;-0.1913267;1.083485,-0.05232663;-0.02634762;1.209377,-0.04466011;0.2189232;1.281448,0.09812707;0.2468149;1.271508,0.06390095;-0.1351816;1.384235,0.1252535;-0.133948;1.41427,0.2060113;-0.2777298;1.144264,0
332,-0.02764732;-0.2397375;1.05865,-0.02262212;-0.2027388;1.078016,-0.04920867;-0.03479129;1.200479,-0.0451792;0.2182972;1.280859,0.09861644;0.2473413;1.272342,0.06393939;-0.1350164;1.384147,0.1252645;-0.1338774;1.414298,0.2061754;-0.2777074;1.144434,0
367,-0.02925229;-0.2448156;1.065863,-0.02406767;-0.2046825;1.080488,-0.04842917;-0.03362029;1.198846,-0.04198588;0.2211619;1.282046,0.09932978;0.2483837;1.27336,0.06423889;-0.1346977;1.383935,0.1253728;-0.1337634;1.414358,0.2061612;-0.2775648;1.144687,0
400,-0.02960616;-0.2480969;1.071187,-0.02525228;-0.2058904;1.082147,-0.04724468;-0.03294831;1.198091,-0.03954837;0.2227438;1.282492,0.09983767;0.2490263;1.274247,0.06521095;-0.1341754;1.383998,0.1260558;-0.1334859;1.414682,0.206329;-0.2775232;1.145198,0
433,-0.02928221;-0.2508353;1.075649,-0.02606842;-0.2068279;1.085515,-0.04568274;-0.03229091;1.19936,-0.03800186;0.2241492;1.28341,0.1004197;0.2495192;1.275112,0.06573925;-0.1338315;1.384099,0.1264558;-0.1333117;1.414916,0.2062907;-0.2773809;1.145412,0
468,-0.02825942;-0.2509341;1.078874,-0.02712294;-0.2060523;1.090058,-0.04492225;-0.03051323;1.202577,-0.03744689;0.2244522;1.283829,0.1007745;0.2499526;1.27587,0.06578886;-0.1337446;1.384057,0.1264863;-0.1332695;1.414944,0.2062682;-0.2772789;1.14546,0
500,-0.02684769;-0.2494022;1.077211,-0.0270629;-0.2051089;1.091588,-0.04538837;-0.03033273;1.20526,-0.04071734;0.2207743;1.282372,0.1008403;0.2499111;1.275895,0.06580361;-0.1338221;1.383881,0.1265012;-0.1333089;1.414863,0.2064894;-0.2773066;1.145439,0
531,-0.0142042;-0.2710867;1.086348,-0.01540991;-0.2278884;1.111309,-0.04881204;-0.03649209;1.213378,-0.03903518;0.2220897;1.284392,0.1012426;0.2499029;1.276321,0.06575549;-0.1337766;1.383969,0.1264558;-0.1333202;1.414907,0.2064419;-0.2768687;1.145106,0
567,-0.02298201;-0.2456304;1.083525,-0.02723437;-0.2057099;1.102764,-0.05391483;-0.03840103;1.226005,-0.0380555;0.2226863;1.286736,0.1017772;0.2500173;1.276904,0.06593215;-0.1335817;1.38472,0.1265443;-0.1332833;1.415136,0.1988695;-0.2746607;1.142945,0
598,-0.02179862;-0.2308626;1.085993,-0.02571999;-0.1934464;1.108052,-0.05850961;-0.03751955;1.244594,-0.03729589;0.2237093;1.290228,0.102253;0.2501431;1.277445,0.06654838;-0.1334525;1.386117,0.1271572;-0.133165;1.416142,0.1988387;-0.2744773;1.143381,0
631,-0.01784837;-0.2315556;1.091595,-0.0222962;-0.1927643;1.113044,-0.0592457;-0.03624511;1.252908,-0.03699957;0.2238287;1.29088,0.1028706;0.2500748;1.277004,0.06675311;-0.1334024;1.386185,0.1274591;-0.1331085;1.416112,0.2029418;-0.2747557;1.143658,0
668,-0.01080131;-0.2847353;1.111919,-0.0204366;-0.2314909;1.152376,-0.05852754;-0.03133964;1.272076,-0.03629827;0.2247277;1.292987,0.1036597;0.2502567;1.277036,0.06765497;-0.1328445;1.388312,0.1282844;-0.1327065;1.417258,0.2017282;-0.274744;1.144035,0
701,-0.0006806437;-0.2756775;1.121943,-0.01445399;-0.2204173;1.169562,-0.05633366;-0.01204363;1.291138,-0.0400455;0.2209101;1.291001,0.1037163;0.2502191;1.277021,0.06780019;-0.133047;1.388808,0.1286093;-0.1326736;1.417643,0.2017265;-0.2747583;1.144427,0
732,0.0001264532;-0.2636213;1.13051,-0.01221778;-0.2069299;1.1751,-0.05258909;-0.0003739804;1.30031,-0.03774955;0.2219106;1.293895,0.1042423;0.2500699;1.276752,0.067807;-0.1330803;1.389375,0.1286681;-0.132693;1.417948,0.2029181;-0.275079;1.144792,0
766,-0.0006840815;-0.2416342;1.157645,-0.01433232;-0.1881941;1.181131,-0.05195908;0.006025074;1.301603,-0.03782434;0.2216993;1.293856,0.1041241;0.24996;1.276709,0.06590386;-0.1337636;1.391086,0.1262716;-0.1338754;1.419051,0.1982335;-0.2748929;1.143641,0
799,-0.001198532;-0.2409277;1.150133,-0.01586376;-0.1863064;1.181943,-0.06037593;-0.003391104;1.289055,-0.03787319;0.2213885;1.293638,0.1040431;0.2498423;1.276567,0.06544791;-0.1338416;1.391774,0.1259198;-0.1339515;1.419631,0.2010456;-0.2745519;1.144031,0
834,-0.001255528;-0.2411107;1.151481,-0.01404076;-0.1806398;1.177829,-0.05838492;-0.002445246;1.278923,-0.03808968;0.2212335;1.293614,0.1039465;0.2497122;1.276526,0.06485236;-0.1339884;1.393227,0.1249973;-0.1342006;1.421339,0.2027409;-0.2741592;1.145673,0
867,0.002979549;-0.2357757;1.167806,-0.007091955;-0.1756064;1.176874,-0.05420333;0.001169351;1.277817,-0.03842774;0.2213388;1.293627,0.1038921;0.2496124;1.27657,0.06563894;-0.1343862;1.395216,0.1255828;-0.1345865;1.42324,0.1959278;-0.273635;1.146218,0
901,0.05603848;-0.05154203;0.9270507,0.02857947;-0.03700767;1.01316,-0.05371721;0.006378757;1.280009,-0.03922641;0.2216548;1.293098,0.1037583;0.2494089;1.276359,0.0656129;-0.1344567;1.395524,0.1255654;-0.1346714;1.423478,0.1962859;-0.2732334;1.146101,0
932,0.05464192;-0.02245053;0.9420168,0.02798183;-0.01515299;1.026235,-0.05193355;0.006662976;1.287446,-0.04041232;0.2213499;1.292977,0.1035782;0.2492702;1.276288,0.06560433;-0.1346826;1.395696,0.1256133;-0.1348594;1.423823,0.1917593;-0.2721094;1.145627,0
967,0.05248118;0.02407155;0.9514646,0.02662741;0.01969307;1.034861,-0.05088337;0.006684442;1.293616,-0.04207563;0.2192232;1.29317,0.1033962;0.2491357;1.276387,0.0649821;-0.1355221;1.39727,0.1249114;-0.1356835;1.425742,0.1907437;-0.271387;1.146926,0
998,0.05498961;0.04109445;0.9612471,0.02825167;0.03251055;1.042683,-0.05192052;0.006952432;1.295545,-0.04420361;0.214784;1.292315,0.1032163;0.2490211;1.276552,0.06472401;-0.1367286;1.398502,0.1248395;-0.1365749;1.427212,0.1870904;-0.2705619;1.147674,0
