Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,-0.04152728;0.2513543;1.332578,0.09930459;0.1959847;1.324943,0.09995218;-0.003450893;1.284979,0.09312279;-0.1728739;1.174326,0.0873833;-0.2155171;1.140456,-0.1796124;-0.2859556;1.134569,-0.07069784;-0.1447662;1.397454,-0.008288137;-0.1468942;1.366111,0
33,-0.04159894;0.2513447;1.332722,0.09901086;0.1961155;1.325821,0.09992006;-0.003312489;1.285837,0.09327508;-0.1739621;1.177189,0.08777381;-0.2153642;1.14525,-0.1794336;-0.286481;1.135077,-0.0707071;-0.144677;1.397997,-0.008293649;-0.1467994;1.366733,0
67,-0.04164884;0.2513127;1.332715,0.09880214;0.1960892;1.325865,0.09985473;-0.003349994;1.285969,0.09295488;-0.1732839;1.176155,0.08718933;-0.2133534;1.142668,-0.1792437;-0.2866641;1.135059,-0.07078808;-0.1446102;1.398044,-0.00837104;-0.1467186;1.366763,0
101,-0.04169975;0.2513008;1.332788,0.09860014;0.196377;1.326363,0.09992977;-0.003078719;1.286598,0.09276587;-0.1730547;1.17687,0.087449;-0.2163716;1.143778,-0.1790258;-0.2869853;1.135441,-0.07085335;-0.1445376;1.398207,-0.008455845;-0.1465855;1.367085,0
133,-0.04176086;0.2512806;1.332777,0.0985045;0.1963923;1.326414,0.09991393;-0.003058488;1.286622,0.09254426;-0.1729882;1.176832,0.08718842;-0.2141533;1.143081,-0.1788536;-0.2871201;1.135401,-0.07090143;-0.1445258;1.398223,-0.008490725;-0.1465689;1.367117,0
168,-0.04180818;0.2512449;1.332783,0.0984228;0.1963826;1.326518,0.09989905;-0.00307608;1.286789,0.0924047;-0.1729813;1.176968,0.08716744;-0.2150522;1.143556,-0.1786429;-0.2872337;1.13543,-0.07091386;-0.1445085;1.398238,-0.008498784;-0.1465345;1.367158,0
200,-0.04187977;0.2512261;1.332912,0.09833511;0.1965875;1.327031,0.09994724;-0.002917243;1.287637,0.09242529;-0.172706;1.177628,0.08826319;-0.2173408;1.144536,-0.178583;-0.2872003;1.135659,-0.07073838;-0.1444097;1.398715,-0.008272125;-0.1463603;1.367736,0
232,-0.0419215;0.2511843;1.332911,0.0982881;0.1976484;1.32613,0.09995643;-0.002003139;1.287702,0.09237473;-0.1719671;1.177978,0.08821464;-0.2140482;1.144436,-0.1783172;-0.2873883;1.135593,-0.07064304;-0.1445281;1.398708,-0.008158905;-0.1463756;1.367755,0
266,-0.04196481;0.2511843;1.332982,0.09819372;0.1976862;1.326506,0.09993499;-0.001969629;1.288125,0.09233657;-0.1719201;1.178381,0.08863661;-0.2161184;1.145636,-0.1782244;-0.287423;1.135714,-0.07059149;-0.1444836;1.398988,-0.008051787;-0.1462843;1.36818,0
299,-0.04202492;0.2511873;1.333053,0.09793945;0.1977279;1.327031,0.09994204;-0.001950016;1.28885,0.09223972;-0.1719011;1.179116,0.08868319;-0.2165796;1.146056,-0.1781036;-0.2875058;1.135841,-0.07062045;-0.1444705;1.399202,-0.008082202;-0.1462538;1.368482,0
333,-0.04207424;0.2511798;1.333032,0.09791148;0.1977071;1.327016,0.0999126;-0.001971279;1.288839,0.09218482;-0.1718696;1.179021,0.08813466;-0.2135871;1.145251,-0.1779377;-0.2874926;1.135783,-0.07060852;-0.1444611;1.399166,-0.008077644;-0.1462481;1.368477,0
367,-0.04212113;0.2511719;1.333038,0.09784684;0.1977522;1.327034,0.09990259;-0.001925151;1.288852,0.09226064;-0.1718307;1.17904,0.08807421;-0.2148807;1.145467,-0.1778461;-0.2875046;1.135785,-0.07037223;-0.1447918;1.399353,-0.007751438;-0.1463832;1.368652,0
399,-0.04217972;0.2511588;1.333015,0.09768151;0.1976871;1.326938,0.09980845;-0.001998622;1.288826,0.09223926;-0.1719071;1.179014,0.08807795;-0.2138297;1.145411,-0.1776692;-0.2873151;1.13564,-0.07036497;-0.1447844;1.399315,-0.007742186;-0.1463688;1.36862,0
433,-0.04226481;0.2511067;1.33291,0.09745924;0.1975207;1.326634,0.09970637;-0.002178092;1.288631,0.0922423;-0.17207;1.178785,0.08780077;-0.2127414;1.144708,-0.1774142;-0.2872673;1.135295,-0.07039677;-0.1447984;1.399235,-0.007759719;-0.1463667;1.368581,0
499,-0.04233767;0.2511039;1.332898,0.09724734;0.1974492;1.326558,0.09962744;-0.002255621;1.288616,0.09226485;-0.1721286;1.178733,0.08835083;-0.214457;1.144862,-0.1769285;-0.2875058;1.135146,-0.07039113;-0.1447933;1.399239,-0.007737603;-0.1463489;1.368617,0
508,-0.04242762;0.2510683;1.332774,0.09716;0.1974593;1.326362,0.09952682;-0.002252876;1.288466,0.09223914;-0.1721408;1.178602,0.08802357;-0.2132336;1.143828,-0.1767497;-0.2874698;1.134891,-0.07017552;-0.1448767;1.398746,-0.007632497;-0.1463686;1.368338,0
533,-0.04248707;0.2510541;1.33279,0.09708947;0.1974913;1.326468,0.09949325;-0.002224252;1.288603,0.0922507;-0.1721431;1.178786,0.08884255;-0.216319;1.14607,-0.1762627;-0.2882546;1.135013,-0.07014778;-0.1448179;1.398875,-0.007582637;-0.1462655;1.368536,0
566,-0.04257587;0.2510172;1.332735,0.09692149;0.1974902;1.326345,0.09943259;-0.002221704;1.288461,0.09228305;-0.1721969;1.17873,0.08847378;-0.2144506;1.144786,-0.1760175;-0.2883903;1.134926,-0.07009576;-0.1450295;1.398847,-0.00749087;-0.1463564;1.368519,0
601,-0.04264111;0.2510062;1.332718,0.09675397;0.1974654;1.32623,0.09937161;-0.002254033;1.288413,0.09227909;-0.1722674;1.178742,0.08843315;-0.2150538;1.145245,-0.1759703;-0.2883115;1.134923,-0.07012918;-0.1450042;1.398896,-0.007528008;-0.1463318;1.368604,0
632,-0.04272116;0.2510166;1.332684,0.09651225;0.1974832;1.326181,0.09931647;-0.002254318;1.28852,0.09652098;-0.1703041;1.175515,0.09291635;-0.2161834;1.140607,-0.1759482;-0.2882786;1.134889,-0.07015591;-0.144928;1.398997,-0.007556062;-0.1462263;1.368754,0
666,-0.04282623;0.2510383;1.332681,0.09636346;0.1975244;1.326144,0.09932106;-0.002225986;1.288597,0.09570835;-0.1694806;1.174374,0.09287412;-0.2179498;1.138574,-0.1757602;-0.2883756;1.134886,-0.07018822;-0.1448689;1.399028,-0.007597787;-0.1461469;1.368775,0
