Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.200383;-0.2955025;1.068037,-0.182434;-0.2545539;1.114597,-0.1761261;-0.05810679;1.252252,-0.1726465;0.2010208;1.297982,-0.01763154;0.2228683;1.310478,-0.07976983;-0.1917414;1.390502,-0.01078734;-0.1933438;1.426685,0.1240534;-0.2842489;1.139352,0
32,-0.2011884;-0.292111;1.065748,-0.1833888;-0.2536006;1.110911,-0.1760627;-0.05736008;1.252624,-0.1724878;0.2009787;1.297947,-0.01751378;0.222882;1.310457,-0.07965802;-0.1917786;1.390489,-0.01073353;-0.1934103;1.426654,0.1241048;-0.284248;1.139331,0
64,-0.2002658;-0.287462;1.063172,-0.1834207;-0.2535783;1.106781,-0.1760869;-0.05662577;1.25294,-0.172328;0.2008858;1.297847,-0.01740067;0.222886;1.310428,-0.07957659;-0.191894;1.390332,-0.01071668;-0.1935364;1.426535,0.1241089;-0.2842542;1.139336,0
97,-0.1999854;-0.2810991;1.05854,-0.184099;-0.2518081;1.102425,-0.1762765;-0.0557274;1.253944,-0.1722199;0.200881;1.297869,-0.01730332;0.2229089;1.310428,-0.07953551;-0.191891;1.390325,-0.01071622;-0.1935643;1.426517,0.1241369;-0.2842446;1.139378,0
130,-0.1897601;-0.2930814;1.062505,-0.1843881;-0.2500139;1.097805,-0.1773113;-0.0526892;1.255278,-0.172097;0.2008639;1.297844,-0.01720665;0.2229441;1.310431,-0.07949893;-0.191916;1.390328,-0.01070909;-0.1936038;1.426512,0.1241174;-0.2842542;1.139483,0
165,-0.189527;-0.29298;1.056769,-0.1859069;-0.2479379;1.084372,-0.1785853;-0.04934062;1.255243,-0.1719341;0.2008378;1.297872,-0.01712027;0.222971;1.310428,-0.07928834;-0.1920436;1.390257,-0.01059891;-0.1937456;1.426428,0.1241139;-0.284247;1.139512,0
199,-0.1898246;-0.2852284;1.05007,-0.1862597;-0.2431443;1.078466,-0.1792233;-0.04835074;1.256251,-0.1720863;0.2019721;1.297657,-0.01705939;0.2230142;1.310462,-0.07918015;-0.192032;1.390302,-0.01058748;-0.1937709;1.426414,0.1240989;-0.284246;1.139542,0
231,-0.190386;-0.2720258;1.038681,-0.1856589;-0.2382491;1.070757,-0.1805344;-0.04149069;1.257663,-0.1722367;0.2028446;1.297362,-0.01700876;0.2230418;1.310458,-0.07918631;-0.1919535;1.390284,-0.01062605;-0.1937407;1.42637,0.1241108;-0.2842063;1.139516,0
265,-0.1908755;-0.2600036;1.030517,-0.1848565;-0.2334147;1.065836,-0.1810344;-0.04065498;1.259559,-0.1723988;0.2035855;1.297368,-0.01692316;0.2231348;1.310614,-0.07903735;-0.1917108;1.390602,-0.01062056;-0.1936854;1.426492,0.124154;-0.2841943;1.139615,0
297,-0.1897002;-0.2480361;1.018793,-0.1829523;-0.230832;1.058668,-0.1826936;-0.03522259;1.261746,-0.172499;0.2042786;1.29743,-0.01686137;0.2232164;1.310729,-0.07903121;-0.1916717;1.390638,-0.01066555;-0.1936877;1.426506,0.1241273;-0.2842053;1.139702,0
330,-0.1854037;-0.2255131;1.007397,-0.180267;-0.2310589;1.053679,-0.1843847;-0.02834083;1.264475,-0.1725753;0.2047887;1.297527,-0.01674521;0.2233749;1.310952,-0.07903647;-0.191567;1.390727,-0.01071882;-0.193652;1.42655,0.1241628;-0.2841895;1.139876,0
365,-0.1801701;-0.209812;0.9799787,-0.1742351;-0.1916474;1.008854,-0.1846559;-0.02686102;1.26455,-0.1726375;0.2051944;1.297428,-0.01668508;0.223469;1.311037,-0.07905836;-0.1913536;1.39079,-0.01079291;-0.1935754;1.426524,0.1241651;-0.2841897;1.139875,0
398,-0.1715898;-0.1931983;0.9649772,-0.1712634;-0.1861869;1.006559,-0.1849016;-0.02472406;1.264222,-0.1726688;0.2055297;1.297304,-0.01662914;0.2235332;1.311037,-0.0790844;-0.1911739;1.390684,-0.01088903;-0.1934768;1.426346,0.1241873;-0.2840025;1.139729,0
432,-0.1639639;-0.183063;0.9610572,-0.166149;-0.1771471;1.001734,-0.1854326;-0.02142112;1.262556,-0.1727212;0.2057984;1.297276,-0.01657235;0.2236138;1.31109,-0.07897685;-0.1909563;1.39077,-0.0108529;-0.1933771;1.426341,0.1242022;-0.2839924;1.139729,0
466,-0.1533575;-0.1679272;0.96827,-0.1625935;-0.1200851;1.061983,-0.1863967;-0.01696484;1.262937,-0.1727713;0.2062109;1.297474,-0.01635916;0.2239356;1.311593,-0.0788473;-0.1907882;1.391112,-0.0108456;-0.1932758;1.426565,0.1242843;-0.2840281;1.14004,0
497,-0.1426863;-0.1573361;0.9570553,-0.1591724;-0.1256931;1.03803,-0.1882397;-0.02694866;1.240525,-0.1727139;0.2065383;1.297508,-0.01627032;0.2240719;1.311683,-0.07856097;-0.1905111;1.391192,-0.0106643;-0.1931054;1.426577,0.1243654;-0.2839312;1.13997,0
532,-0.1324401;-0.1481967;0.9512954,-0.1542012;-0.1247713;1.031307,-0.188971;-0.02653453;1.23316,-0.172631;0.2069071;1.2975,-0.01617175;0.2242079;1.311787,-0.07814657;-0.1903197;1.391124,-0.01037852;-0.1929536;1.426492,0.1244022;-0.283891;1.139961,0
565,-0.1223096;-0.1384767;0.9458916,-0.1232446;-0.1083756;0.9974037,-0.1886788;-0.02571714;1.229757,-0.1724824;0.2072905;1.29758,-0.01603323;0.2243624;1.311939,-0.07739561;-0.1902209;1.391157,-0.009877167;-0.1928542;1.4265,0.1244896;-0.2838223;1.139995,0
599,-0.1110024;-0.1297782;0.9370913,-0.132135;-0.1082306;1.021876,-0.1899463;-0.02390459;1.22479,-0.1716097;0.2071173;1.298101,-0.01593476;0.2244737;1.31199,-0.07667165;-0.1903203;1.390909,-0.009254687;-0.1928684;1.426331,0.1245097;-0.2837923;1.139987,0
633,-0.09996527;-0.1219562;0.9305716,-0.1330067;-0.1047289;1.031604,-0.1950673;-0.01372406;1.230302,-0.1715162;0.2074592;1.29791,-0.01583657;0.2245613;1.311946,-0.07561056;-0.1905111;1.389738,-0.008360049;-0.1927575;1.425575,0.1244926;-0.283783;1.13995,0
666,-0.08861693;-0.1139264;0.9355388,-0.1281017;-0.1021869;1.037723,-0.197769;-0.009134646;1.232897,-0.1705243;0.2072642;1.298575,-0.01575916;0.2246406;1.311994,-0.07468332;-0.1905314;1.389042,-0.007714384;-0.1927459;1.425151,0.1244639;-0.2837798;1.140013,0
