Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,-0.0174477;0.04835464;1.285565,0.1536422;0.02185505;1.308675,0.2144402;-0.2181508;1.349959,0.1722661;-0.393554;1.183123,0.1593231;-0.4476355;1.174758,-0.2243401;-0.5314268;1.071697,-0.01489515;-0.4583736;1.43343,0.06305224;-0.4459409;1.409405,0
34,-0.01741301;0.04834112;1.285563,0.1536785;0.02179547;1.30869,0.2144208;-0.2181663;1.349967,0.1722361;-0.3936638;1.183241,0.1597872;-0.4460431;1.17176,-0.2243291;-0.531423;1.07172,-0.01490098;-0.4583938;1.433473,0.06304683;-0.4459703;1.409458,0
68,-0.01734719;0.04830233;1.28565,0.1537699;0.02166461;1.308946,0.2144223;-0.2182507;1.350093,0.1718369;-0.3937193;1.183442,0.1593218;-0.4466402;1.173958,-0.2244106;-0.5317789;1.071998,-0.01492682;-0.4583905;1.433656,0.063037;-0.4459736;1.409677,0
99,-0.01731479;0.04830062;1.285713,0.1538441;0.0215908;1.309153,0.2143146;-0.2182916;1.350056,0.1718165;-0.394044;1.183701,0.1591579;-0.446515;1.173759,-0.2244078;-0.5317432;1.072094,-0.01489292;-0.4583678;1.433766,0.06307078;-0.4459479;1.409811,0
131,-0.01728914;0.04828566;1.285668,0.1538787;0.02157151;1.309063,0.2143217;-0.218306;1.35006,0.1717143;-0.394071;1.183751,0.1586646;-0.4450805;1.171795,-0.2243595;-0.5317025;1.071973,-0.01493701;-0.4583632;1.433725,0.0630487;-0.4459454;1.409783,0
168,-0.0172512;0.04826396;1.285661,0.1538928;0.02158368;1.309064,0.2143148;-0.2183163;1.350046,0.1713428;-0.3939507;1.18369,0.1594633;-0.4461477;1.17283,-0.2243541;-0.5317087;1.071979,-0.01495358;-0.4583627;1.433737,0.06302827;-0.4459487;1.409796,0
212,-0.01718776;0.04828237;1.28574,0.1539816;0.02153637;1.309257,0.2142987;-0.2183661;1.350255,0.1711042;-0.3938738;1.183821,0.1588195;-0.4460241;1.173708,-0.2242824;-0.5318163;1.072178,-0.01501705;-0.4582925;1.433916,0.0629974;-0.4458974;1.409946,0
231,-0.01716484;0.0482876;1.285786,0.15403;0.02147229;1.309341,0.2143172;-0.218413;1.350291,0.1707843;-0.3937261;1.183734,0.1591091;-0.44658;1.173374,-0.224257;-0.5319328;1.072211,-0.01502832;-0.4582915;1.433935,0.0629847;-0.4459009;1.409972,0
266,-0.01716045;0.04828769;1.285782,0.1540632;0.02139975;1.309331,0.2143152;-0.2183952;1.350291,0.1704723;-0.3935668;1.183663,0.1588105;-0.4453814;1.17237,-0.224229;-0.5319144;1.072193,-0.01502886;-0.4582934;1.433934,0.06298751;-0.4459075;1.409968,0
299,-0.01715283;0.048286;1.285773,0.1541274;0.02141983;1.309406,0.2143008;-0.2183818;1.350292,0.1703216;-0.3934009;1.183535,0.1586268;-0.4450788;1.171628,-0.2242164;-0.5319564;1.072173,-0.01503589;-0.4582636;1.433899,0.06299113;-0.4458779;1.409923,0
331,-0.01711215;0.04825327;1.285645,0.1541791;0.02138673;1.309289,0.2142489;-0.2183382;1.350199,0.1700406;-0.3930894;1.183212,0.1582001;-0.4447663;1.170692,-0.2242132;-0.5318688;1.072018,-0.0150506;-0.4582931;1.433757,0.06295129;-0.4459141;1.409766,0
370,-0.01712808;0.04833686;1.285797,0.1542975;0.02136828;1.309465,0.2141679;-0.2184174;1.350157,0.1698771;-0.3930751;1.183093,0.1582958;-0.4446168;1.171436,-0.224237;-0.5319056;1.072244,-0.01500523;-0.4582389;1.433902,0.06301013;-0.4458632;1.409886,0
