Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.1596374;-0.1058128;1.134457,-0.1511869;-0.0856396;1.159191,-0.1077952;0.1146061;1.368162,-0.06415997;0.350143;1.491857,0.09335177;0.3765719;1.494798,0.02209835;-0.1132764;1.480765,0.1027258;-0.117458;1.512759,0.2048481;-0.2692291;1.161143,0
33,-0.1594858;-0.1058182;1.133103,-0.1445434;-0.05776142;1.183192,-0.1077365;0.1148571;1.368631,-0.06388194;0.3502996;1.491802,0.09276916;0.3763051;1.494743,0.02150672;-0.1131486;1.480378,0.10207;-0.1174973;1.512402,0.2048448;-0.2691676;1.161109,0
66,-0.1601568;-0.1072025;1.136499,-0.1506179;-0.08695826;1.162228,-0.1078413;0.1150157;1.36963,-0.06376322;0.3503151;1.49187,0.09287973;0.3763825;1.494952,0.02111423;-0.1130605;1.480404,0.1015821;-0.117484;1.512497,0.2049363;-0.2692856;1.16162,0
98,-0.1604483;-0.1037058;1.136598,-0.1447856;-0.05679572;1.186123,-0.1079825;0.1151817;1.37038,-0.06423951;0.3511462;1.493343,0.09240166;0.3762215;1.495039,0.02084122;-0.1129017;1.480312,0.1012863;-0.1174079;1.512441,0.2049379;-0.2692867;1.161666,0
132,-0.1596253;-0.1035274;1.136919,-0.1492129;-0.08512474;1.162305,-0.1081481;0.1154199;1.371456,-0.06452611;0.3515002;1.494258,0.09215905;0.3761341;1.495245,0.02181917;-0.1130489;1.481378,0.1021537;-0.1174745;1.51356,0.204963;-0.2694364;1.161751,0
169,-0.1583297;-0.1018142;1.133447,-0.1447859;-0.05368885;1.186126,-0.1082892;0.1155587;1.371846,-0.0647142;0.3516087;1.494563,0.09171879;0.3759585;1.495157,0.02126453;-0.1128377;1.480987,0.1015379;-0.1173725;1.513121,0.2049864;-0.2694971;1.161684,0
199,-0.1581849;-0.1004428;1.131765,-0.1447866;-0.05388965;1.185775,-0.1085348;0.1157335;1.372368,-0.06488174;0.351781;1.494973,0.09151015;0.3758109;1.495141,0.02150273;-0.1129674;1.481037,0.1017951;-0.1174559;1.51324,0.2049911;-0.2695164;1.161636,0
236,-0.1576496;-0.09891703;1.130828,-0.1447299;-0.05396364;1.185355,-0.1089213;0.1159015;1.373014,-0.06444857;0.3512361;1.493899,0.09156854;0.3756822;1.494925,0.02125176;-0.1129961;1.480754,0.1014885;-0.1175413;1.512879,0.204979;-0.2694216;1.16171,0
265,-0.1565652;-0.09712638;1.12734,-0.1445774;-0.05386137;1.184809,-0.109051;0.1170643;1.375062,-0.06458815;0.3513724;1.494181,0.09180788;0.3755679;1.494386,0.02181846;-0.1131832;1.480667,0.1020191;-0.117675;1.51289,0.2049356;-0.2693263;1.161561,0
299,-0.155137;-0.09187919;1.129533,-0.1443866;-0.05376249;1.184168,-0.1093026;0.1171968;1.375528,-0.06466702;0.3513585;1.494189,0.09161024;0.3754682;1.494318,0.0222246;-0.1133209;1.480662,0.1023721;-0.1177537;1.512862,0.2049242;-0.2693802;1.161335,0
