Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.166486;-0.3440076;0.9221723,-0.1794237;-0.2823994;0.966525,-0.2155541;-0.07351447;1.09844,-0.1890816;0.1170389;1.066248,-0.01557814;0.1591157;1.068006,-0.08450369;-0.3631781;1.190764,-0.0005273026;-0.370633;1.222679,0.2065313;-0.3199376;0.8511505,0
36,-0.1687828;-0.3402115;0.92804,-0.1831809;-0.2712831;0.9694456,-0.2161256;-0.05862527;1.095874,-0.1890163;0.1170691;1.066226,-0.01560852;0.1592355;1.067977,-0.08451221;-0.3631798;1.190751,-0.0005568833;-0.3706432;1.222678,0.2069794;-0.3199477;0.8513895,0
68,-0.1682212;-0.3790216;0.888606,-0.180276;-0.3168811;0.9445549,-0.1869045;-0.1307463;1.073531,-0.1892302;0.1173377;1.06641,-0.01563695;0.1593462;1.067984,-0.08468115;-0.3629722;1.19083,-0.0007311999;-0.3704177;1.222881,0.2069633;-0.3207086;0.851725,0
101,-0.1671598;-0.3828487;0.8859208,-0.1775147;-0.3228445;0.9401584,-0.1839256;-0.1272457;1.02453,-0.1886299;0.1190364;1.066092,-0.01565683;0.1594252;1.067991,-0.08475816;-0.3628336;1.190911,-0.0007931969;-0.3703312;1.223053,0.2070296;-0.3211412;0.8520521,0
135,-0.1684941;-0.3591011;0.9032775,-0.1775026;-0.2976232;0.9394162,-0.1868065;-0.054227;0.9738727,-0.1868664;0.1229204;1.065272,-0.01569183;0.1594768;1.067966,-0.08487228;-0.3627265;1.190922,-0.0008663468;-0.370323;1.223074,0.2071602;-0.3213212;0.8521678,0
166,-0.1677275;-0.3907056;0.8781648,-0.1792231;-0.3317022;0.9312291,-0.1852311;-0.1023379;1.019718,-0.1860317;0.1221754;1.065273,-0.01571381;0.1595079;1.067967,-0.08486988;-0.3627377;1.190907,-0.0008359571;-0.3703195;1.223127,0.2071228;-0.3216162;0.8523627,0
200,-0.1671555;-0.3914965;0.8750246,-0.1793453;-0.332341;0.9283301,-0.1852568;-0.1018471;1.019623,-0.1856516;0.1209156;1.064705,-0.01672715;0.1563521;1.065914,-0.085198;-0.3630498;1.190571,-0.0009410315;-0.3704732;1.223077,0.2069666;-0.3219047;0.8523518,0
235,-0.1675448;-0.3886205;0.8784714,-0.1793172;-0.3279287;0.9300321,-0.1870627;-0.09755081;1.021654,-0.1855299;0.1177867;1.064005,-0.01672746;0.1566981;1.066066,-0.08540099;-0.3634863;1.190503,-0.0010333;-0.3707411;1.22319,0.206901;-0.3221189;0.852629,0
266,-0.1664949;-0.3870786;0.8764885,-0.1792499;-0.3278742;0.9299763,-0.1869898;-0.09752268;1.021675,-0.1857664;0.1155454;1.06237,-0.01672978;0.1570374;1.06607,-0.08548528;-0.3636654;1.1901,-0.001030394;-0.3707428;1.223171,0.2067511;-0.3221896;0.8526582,0
307,-0.1679706;-0.3889697;0.8774473,-0.1806349;-0.3276778;0.9288166,-0.1868111;-0.09799884;1.022481,-0.185976;0.1137813;1.059633,-0.01708748;0.1558132;1.065357,-0.08553675;-0.3637799;1.18986,-0.001032082;-0.3707424;1.223169,0.2064525;-0.322223;0.8527213,0
336,-0.1677406;-0.3849592;0.8806756,-0.1806942;-0.3230703;0.9308955,-0.1885684;-0.09390894;1.025954,-0.1860224;0.1131114;1.058488,-0.01724808;0.1552712;1.065018,-0.08558823;-0.3637909;1.18971,-0.001050751;-0.3707069;1.22319,0.2064635;-0.3224243;0.8530959,0
366,-0.1682737;-0.3834233;0.8806844,-0.1823496;-0.3213648;0.9295086,-0.1886852;-0.09284747;1.026417,-0.186209;0.1127151;1.056693,-0.01720162;0.1562017;1.065472,-0.08562674;-0.3637546;1.189602,-0.001070816;-0.3706196;1.223223,0.2063652;-0.3225915;0.853353,0
399,-0.1222772;-0.3054043;1.017342,-0.1545942;-0.2654164;1.059809,-0.1870996;-0.09458811;1.025707,-0.1861014;0.1124408;1.055724,-0.0173152;0.1556514;1.065172,-0.08568542;-0.3637099;1.189506,-0.00110101;-0.3705369;1.223247,0.2063593;-0.322614;0.8535457,0
434,-0.1220111;-0.306228;1.017635,-0.154611;-0.2655726;1.059895,-0.1869093;-0.09473708;1.0257,-0.1860651;0.1123247;1.054716,-0.01713829;0.1565556;1.065638,-0.08570593;-0.3636661;1.189432,-0.001113159;-0.3704379;1.223291,0.2063382;-0.3228878;0.8537698,0
467,-0.1702627;-0.3852192;0.8778054,-0.1864095;-0.3223975;0.9260769,-0.1866214;-0.09498832;1.025918,-0.1861555;0.1123527;1.053975,-0.01699076;0.1571536;1.065923,-0.08569341;-0.3636041;1.189303,-0.001092463;-0.3703509;1.223286,0.2063216;-0.3230096;0.8538181,0
502,-0.1258306;-0.3023036;1.016672,-0.1555468;-0.2659751;1.060215,-0.1864939;-0.09487899;1.026153,-0.1861759;0.1123242;1.053457,-0.01681377;0.157699;1.06627,-0.08570624;-0.3635752;1.189289,-0.001101205;-0.3702592;1.223354,0.2062933;-0.3231448;0.8539918,0
537,-0.1692;-0.3853959;0.8781735,-0.1859114;-0.3218347;0.9258599,-0.1862806;-0.09467884;1.026352,-0.1861207;0.1123406;1.053258,-0.016708;0.1581193;1.06648,-0.08576167;-0.3634937;1.189192,-0.001128753;-0.3701496;1.223383,0.2060538;-0.3233601;0.8540413,0
568,-0.1690692;-0.3836201;0.8796172,-0.1859165;-0.3205322;0.9264214,-0.1867619;-0.09338939;1.026979,-0.1860412;0.1123201;1.053047,-0.01657503;0.1584763;1.066693,-0.08576014;-0.3634603;1.189187,-0.001102691;-0.3700248;1.223479,0.2059776;-0.3234174;0.8542082,0
600,-0.1691107;-0.3840379;0.8799323,-0.185922;-0.3196351;0.9268948,-0.1868594;-0.09255546;1.027628,-0.1859131;0.1122136;1.052776,-0.01653712;0.1574068;1.066461,-0.08577886;-0.3634667;1.189186,-0.001113971;-0.3700194;1.223538,0.2061253;-0.3235265;0.8544078,0
634,-0.1667576;-0.3853733;0.8783756,-0.1758279;-0.3177311;0.92219,-0.186232;-0.09273753;1.027623,-0.1857406;0.1122071;1.052441,-0.01645135;0.1578425;1.066678,-0.08575885;-0.3634269;1.189158,-0.001074925;-0.3699363;1.223565,0.2061726;-0.323577;0.8544641,0
666,-0.1769024;0.1658232;0.8941126,-0.1839735;0.1237754;0.9040985,-0.18604;-0.09311099;1.027322,-0.1829694;0.110068;1.045143,-0.01645754;0.1564465;1.065704,-0.0858096;-0.3634745;1.188978,-0.001068987;-0.3699403;1.223536,0.206135;-0.3234205;0.8544482,0
701,-0.1785064;0.1672262;0.8984531,-0.183971;0.1233257;0.9046932,-0.1860144;-0.09309578;1.027303,-0.1826326;0.110311;1.046384,-0.01643304;0.1559841;1.06578,-0.08581173;-0.3634593;1.188998,-0.001076935;-0.369859;1.22372,0.2059472;-0.3238412;0.8547361,0
735,-0.1740706;0.1436646;0.9024726,-0.165418;0.05479303;0.9139886,-0.1859466;-0.09323777;1.027345,-0.1823694;0.1113123;1.047554,-0.01633336;0.1569409;1.066434,-0.08584276;-0.3633585;1.189035,-0.001128612;-0.3697376;1.223824,0.2058836;-0.3239737;0.8548436,0
766,-0.1719021;0.1441768;0.9047768,-0.1756035;0.114837;0.9036761,-0.1868503;-0.09218092;1.027706,-0.1822022;0.1122563;1.049115,-0.01629367;0.1563;1.066268,-0.08585912;-0.3632586;1.189016,-0.001149945;-0.3696418;1.223843,0.2057405;-0.3240061;0.8548172,0
800,-0.1724179;0.1415274;0.9051414,-0.2113767;0.07348248;0.9088306,-0.186764;-0.09398388;1.028647,-0.1819024;0.113598;1.051351,-0.01614159;0.1570945;1.066764,-0.08588535;-0.3630935;1.189051,-0.0011912;-0.3694738;1.223953,0.2055563;-0.3241431;0.8548932,0
835,-0.1726299;0.1362426;0.9068063,-0.2112958;0.07292116;0.9089292,-0.1869655;-0.09572181;1.029475,-0.1812818;0.1139059;1.051821,-0.01614018;0.1575488;1.066898,-0.08595745;-0.3630626;1.189016,-0.001227291;-0.3694735;1.223938,0.205621;-0.3241423;0.8549068,0
866,-0.1684928;0.1409123;0.9177081,-0.1528293;0.1350561;0.9402508,-0.1880316;-0.09514835;1.030631,-0.180245;0.1140551;1.052115,-0.01609022;0.1581017;1.067372,-0.08598669;-0.3629399;1.189196,-0.001251122;-0.3693128;1.224287,0.205497;-0.3246248;0.855284,0
900,-0.1744594;0.1367185;0.8998097,-0.2172693;0.09073655;0.9484077,-0.1886242;-0.09447837;1.030043,-0.178492;0.1141263;1.051428,-0.01607409;0.1583037;1.067408,-0.08605657;-0.3629151;1.189123,-0.001264629;-0.3693123;1.224266,0.2054834;-0.3244131;0.8552792,0
934,-0.1813293;0.1352954;0.8968929,-0.2125602;0.06891853;0.9005518,-0.2047801;-0.1223932;1.029358,-0.1777396;0.1143657;1.051045,-0.01605346;0.1586323;1.067684,-0.08604678;-0.3628079;1.1892,-0.001249152;-0.3692071;1.22436,0.2054251;-0.3244836;0.8553143,0
968,-0.1864235;0.1355484;0.8940247,-0.2127451;0.06906022;0.9007664,-0.1976215;-0.08065271;1.020068,-0.1766821;0.1139173;1.05062,-0.01614371;0.1568603;1.066866,-0.08603844;-0.3628164;1.189032,-0.001235096;-0.3691989;1.224279,0.2055119;-0.3243156;0.8553068,0
1001,-0.1910133;0.1376477;0.8978423,-0.2214634;0.08327581;0.9247795,-0.210995;-0.1257257;1.024322,-0.1761119;0.1134928;1.050963,-0.01612246;0.1573646;1.067194,-0.08603964;-0.3628179;1.189055,-0.001237632;-0.3691919;1.2243,0.2054658;-0.3243991;0.8552927,0
1037,-0.1948682;0.1391847;0.8978114,-0.2233735;0.0862285;0.9291641,-0.211571;-0.126065;1.024578,-0.1759648;0.1132695;1.051091,-0.01613498;0.1576809;1.06731,-0.08603384;-0.362822;1.189048,-0.001233141;-0.3691893;1.224292,0.2055533;-0.3243806;0.8553023,0
1066,-0.1978123;0.1403882;0.9001516,-0.2248012;0.08703435;0.9303259,-0.2122627;-0.1261541;1.024285,-0.1758843;0.11311;1.051292,-0.01619015;0.1579434;1.067463,-0.08614879;-0.3628375;1.18905,-0.001346805;-0.3691987;1.224268,0.2057517;-0.3243503;0.8553519,0
1102,-0.1998215;0.1403425;0.8995181,-0.2258028;0.08080066;0.9154667,-0.213335;-0.1261807;1.023864,-0.1758781;0.1130873;1.051313,-0.01621892;0.1581455;1.067536,-0.08623596;-0.3628689;1.188896,-0.001438708;-0.3692157;1.224106,0.2057632;-0.3242988;0.8551984,0
1137,-0.2002545;0.1405312;0.8991076,-0.2264586;0.0797495;0.9122332,-0.2141896;-0.126212;1.023792,-0.1758832;0.113036;1.051363,-0.01624608;0.1583157;1.067629,-0.08630405;-0.3629226;1.188903,-0.001498103;-0.3692799;1.224081,0.205872;-0.3242063;0.855192,0
1168,-0.199712;0.1405763;0.8984186,-0.2268138;0.07928115;0.9108098,-0.2149188;-0.1261411;1.023627,-0.1758858;0.1129724;1.051402,-0.01627736;0.1584799;1.06773,-0.08633817;-0.3629172;1.188893,-0.001533003;-0.3692665;1.224069,0.205935;-0.324221;0.8552036,0
1201,-0.1973167;0.1401329;0.8969563,-0.2269108;0.0789279;0.9096216,-0.2150944;-0.1261392;1.023503,-0.1758659;0.1129247;1.051395,-0.01627556;0.1586486;1.067789,-0.08634114;-0.3629181;1.188884,-0.001538684;-0.3692601;1.22404,0.2060173;-0.3242178;0.8551593,0
1233,-0.1932198;0.1384265;0.8973602,-0.226658;0.07840264;0.9084846,-0.2010992;-0.09701454;1.026292,-0.1756425;0.1128388;1.051415,-0.01626841;0.1588644;1.0679,-0.08641333;-0.3628801;1.18889,-0.001608518;-0.3692124;1.224071,0.2060547;-0.3242611;0.8552356,0
1269,-0.1855167;0.1364756;0.8952374,-0.2264064;0.07801874;0.9082385,-0.1997869;-0.09543528;1.027503,-0.1749627;0.1126741;1.051125,-0.01626479;0.1590368;1.068008,-0.08645287;-0.36293;1.188904,-0.001646868;-0.3692906;1.224099,0.2061117;-0.3241028;0.8553344,0
1300,-0.1723472;0.1347983;0.8940809,-0.2230722;0.0910922;0.935488,-0.1979296;-0.09487462;1.027992,-0.1742568;0.1128925;1.049904,-0.01631597;0.1580138;1.067583,-0.08647694;-0.3629174;1.188924,-0.001661155;-0.3692947;1.224132,0.2061019;-0.3241218;0.8553867,0
1336,-0.1599807;0.1292921;0.8901218,-0.2109295;0.0691244;0.902499,-0.1967755;-0.0953785;1.028226,-0.1747656;0.1114152;1.049487,-0.01628096;0.1572265;1.067283,-0.08640292;-0.3630722;1.189054,-0.001555602;-0.3694085;1.224274,0.2059928;-0.3241187;0.8554532,0
1368,-0.1447016;0.1298064;0.884929,-0.1499015;0.1166527;0.8881381,-0.178883;-0.07189807;0.9951764,-0.1778864;0.1087742;1.05002,-0.01614061;0.1565129;1.066974,-0.08619596;-0.3634394;1.189297,-0.001296831;-0.3696677;1.224433,0.2054469;-0.3243538;0.8552153,0
1401,-0.1283789;0.1228679;0.8749563,-0.1361433;0.1592255;0.8474478,-0.1608098;-0.04650122;0.9373593,-0.1825731;0.1072842;1.051264,-0.01596726;0.1569691;1.066844,-0.08595371;-0.3639462;1.18902,-0.0009238587;-0.3700783;1.224142,0.2050816;-0.3240235;0.8545953,0
1434,-0.1107444;0.1128862;0.8741719,-0.0997503;0.1228708;0.8711861,-0.1573914;-0.04274264;0.9392174,-0.1862468;0.1089987;1.054455,-0.01559059;0.1556467;1.065464,-0.08581621;-0.3641938;1.189019,-0.0007435645;-0.3703429;1.224106,0.2050708;-0.32388;0.8544631,0
1466,-0.09378036;0.0978962;0.8690515,-0.09902184;0.07704733;0.8775797,-0.1676894;-0.1188221;1.019269,-0.1875811;0.109842;1.056122,-0.01536747;0.1562009;1.06557,-0.08551608;-0.3645775;1.188833,-0.0004268444;-0.3707333;1.223833,0.2052149;-0.3234566;0.8540906,0
1501,-0.07183437;0.0891745;0.867585,-0.08444946;0.07212512;0.8800267,-0.167534;-0.1189237;1.019547,-0.1886837;0.1108974;1.058514,-0.01523919;0.1569196;1.065935,-0.08520093;-0.3648299;1.188756,-0.0001979718;-0.3709078;1.223855,0.2053006;-0.3235641;0.8541586,0
1535,-0.05059901;0.07895821;0.8584046,-0.0700104;0.0579664;0.8696139,-0.1666987;-0.1189425;1.019902,-0.1889754;0.111315;1.05952,-0.01526223;0.1576009;1.066128,-0.08498383;-0.364832;1.18846,-8.813252E-05;-0.3708859;1.223783,0.2053116;-0.3238689;0.8541341,0
1567,-0.03125117;0.06389835;0.8524676,-0.09891971;0.02270284;0.870016,-0.1653758;-0.1166319;1.020675,-0.1889507;0.1115502;1.060208,-0.01528721;0.1581227;1.066359,-0.08453979;-0.3647308;1.187559,7.33142E-05;-0.370778;1.223628,0.2052978;-0.3239885;0.8542044,0
1602,-0.01203557;0.04896642;0.8487384,-0.09292928;0.01584089;0.8678599,-0.1646206;-0.1146573;1.023012,-0.1888798;0.1116517;1.060634,-0.01532229;0.1584968;1.066556,-0.08397696;-0.3642927;1.186861,0.0003803151;-0.370384;1.223422,0.2054432;-0.3238629;0.8543149,0
1634,0.003457167;0.03278749;0.8506514,-0.07724771;0.003579643;0.8635622,-0.1649905;-0.1177187;1.028116,-0.1887891;0.1116926;1.061163,-0.01571386;0.1574893;1.066605,-0.08357342;-0.363708;1.186668,0.0005588362;-0.3697789;1.223366,0.2055954;-0.3242451;0.854443,0
1667,0.01731626;0.01628397;0.8476606,-0.06834719;-0.01449383;0.8635336,-0.1725463;-0.08229806;1.035601,-0.1886964;0.1116931;1.061507,-0.01565613;0.1580544;1.0669,-0.0831202;-0.3629039;1.186079,0.0007968128;-0.3689261;1.22321,0.2057707;-0.3245865;0.8546939,0
1701,0.03577567;0.005868981;0.8377284,-0.01227345;-0.04624277;0.8827482,-0.1632484;-0.1366542;1.043677,-0.1886619;0.1117333;1.061556,-0.01546921;0.158465;1.066886,-0.0820449;-0.361261;1.18465,0.001517627;-0.3671393;1.222013,0.2062454;-0.3252996;0.8537191,0
1735,0.04293014;-0.009318115;0.8322167,-0.008626249;-0.05154446;0.8798382,-0.1647047;-0.1367768;1.044562,-0.1886046;0.1117412;1.061566,-0.01493344;0.1568476;1.065578,-0.08117826;-0.3601619;1.183585,0.002053017;-0.3659396;1.220912,0.2070034;-0.3256042;0.8527894,0
1767,0.04903362;-0.02264354;0.8271717,0.001071162;-0.06472708;0.8747169,-0.1655695;-0.1355131;1.045332,-0.1884966;0.1116872;1.06163,-0.01473093;0.1575068;1.065825,-0.08072805;-0.3595979;1.183361,0.002254852;-0.3652774;1.220559,0.2076062;-0.3257945;0.8524958,0
1803,0.04774504;-0.04310809;0.8236184,-0.01695657;-0.09288681;0.8848981,-0.1673768;-0.1337557;1.046536,-0.1883493;0.1116726;1.061697,-0.01442211;0.1566664;1.065566,-0.08040746;-0.3590775;1.183291,0.00240585;-0.3646436;1.220414,0.2082155;-0.3259286;0.8524907,0
1834,0.02729329;-0.07631436;0.8274362,-0.05300514;-0.1223521;0.8974595,-0.1680298;-0.1329433;1.046404,-0.1881758;0.1117963;1.061643,-0.0142935;0.157158;1.065634,-0.08015244;-0.3587794;1.182963,0.002533879;-0.3643023;1.219782,0.2089811;-0.3257584;0.8517888,0
1867,0.04541355;-0.07961269;0.8051617,-0.05278308;-0.135352;0.8994743,-0.1707984;-0.07220744;1.031607,-0.187972;0.1119582;1.061622,-0.01412099;0.1577486;1.065786,-0.08001311;-0.3586423;1.182715,0.002538499;-0.3641515;1.219185,0.2095718;-0.3318292;0.8506954,0
1902,0.02562392;-0.1092892;0.8021827,-0.05719652;-0.1417056;0.8989393,-0.1707711;-0.0719379;1.031608,-0.1877443;0.1121263;1.061566,-0.01400185;0.1581334;1.065861,-0.07988526;-0.3587098;1.182265,0.002504024;-0.3643951;1.218379,0.2108223;-0.3338937;0.8500516,0
1935,0.02601241;-0.1220964;0.7899339,-0.06531295;-0.1503305;0.896738,-0.1708629;-0.07225499;1.031392,-0.18745;0.1122889;1.06155,-0.01320984;0.1566494;1.064784,-0.07963739;-0.3594311;1.180649,0.002366366;-0.3656381;1.216036,0.2129214;-0.3332159;0.8482324,0
1966,0.02215742;-0.1357162;0.7778973,-0.0679417;-0.1555226;0.8893645,-0.1750141;-0.1047918;1.035759,-0.1866571;0.1123746;1.061311,-0.01313447;0.1569311;1.064798,-0.07886221;-0.3617802;1.176816,0.002394576;-0.3685668;1.21186,0.2158525;-0.3309502;0.8457125,0
2003,0.0124199;-0.1526112;0.7704386,-0.07842349;-0.1634953;0.8917168,-0.1767849;-0.09041849;1.034568,-0.1864381;0.1125744;1.061278,-0.01298951;0.1572351;1.064805,-0.07814214;-0.3625357;1.174155,0.002822968;-0.3693115;1.209815,0.21715;-0.329831;0.8448764,0
2035,0.001680521;-0.1693936;0.7589104,-0.04785835;-0.1972078;0.8064053,-0.1712613;-0.1333337;1.006167,-0.18618;0.1128084;1.061204,-0.0129208;0.157421;1.064769,-0.07823668;-0.3634281;1.172001,0.002620432;-0.3704081;1.207719,0.2182035;-0.3264195;0.8438771,0
2068,-0.01151338;-0.1848915;0.7532211,-0.04792477;-0.1871115;0.8124206,-0.1787385;-0.1249506;0.9713806,-0.1858427;0.1130799;1.061083,-0.0128607;0.1575881;1.064749,-0.07806527;-0.3638473;1.171272,0.002901849;-0.3709099;1.206872,0.2192282;-0.32409;0.8434842,0
2100,-0.02970159;-0.1995651;0.7504265,-0.0680123;-0.1741192;0.8392996,-0.1858936;-0.07426909;1.037874,-0.1855781;0.1132653;1.061067,-0.01275925;0.1577974;1.064793,-0.07806266;-0.3639593;1.171218,0.002981229;-0.370997;1.206838,0.2196864;-0.3226192;0.8437304,0
