Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
0,-0.09370117;-0.1003598;1.260872,0.06713299;-0.1277882;1.282158,0.1228419;-0.360247;1.267104,0.175519;-0.4777782;1.125162,0.1923058;-0.5075901;1.087838,-0.1788777;-0.5110068;1.033563,-0.05464279;-0.5658144;1.337227,0.01293673;-0.5458068;1.323892,0
31,-0.09370466;-0.1003713;1.260876,0.06724562;-0.1284077;1.282614,0.1228395;-0.3601836;1.267076,0.1757764;-0.4776223;1.125154,0.1921833;-0.5062756;1.088092,-0.1788785;-0.5110071;1.033569,-0.05462262;-0.5658585;1.337209,0.01295902;-0.5458686;1.323866,0
65,-0.09369644;-0.1003786;1.260881,0.06732831;-0.1288311;1.283087,0.1228697;-0.360165;1.267055,0.2103242;-0.4918732;1.069117,0.2078096;-0.5089901;1.047992,-0.1788886;-0.5109993;1.033561,-0.05459855;-0.5658858;1.337201,0.01298606;-0.5459075;1.323857,0
100,-0.09374155;-0.1004015;1.260893,0.06725448;-0.1291653;1.283461,0.1229897;-0.3602994;1.267826,0.1793534;-0.4782685;1.127799,0.1947099;-0.5033978;1.092393,-0.1789456;-0.5110239;1.033656,-0.05457697;-0.5659107;1.33721,0.01300666;-0.545938;1.323858,0
131,-0.09376216;-0.1004203;1.260904,0.06716366;-0.1293871;1.283891,0.1225483;-0.3607827;1.269036,0.1826469;-0.47008;1.123246,0.1891917;-0.4928095;1.100332,-0.1789571;-0.5110467;1.033572,-0.05458958;-0.5659574;1.337246,0.01298573;-0.545993;1.323881,0
166,-0.09382396;-0.1004591;1.260502,0.06643483;-0.1269572;1.281628,0.1221901;-0.360803;1.269342,0.183769;-0.4539869;1.112684,0.1899491;-0.4641156;1.082828,-0.1790326;-0.5109764;1.033323,-0.05446185;-0.565856;1.336907,0.01312314;-0.5457861;1.323544,0
199,-0.09387252;-0.1004754;1.260389,0.06596741;-0.1256759;1.280625,0.1211414;-0.3610651;1.269942,0.1815076;-0.4396516;1.104543,0.1858737;-0.4503796;1.092832,-0.1790251;-0.5109546;1.033307,-0.054336;-0.5657158;1.336661,0.01324677;-0.545548;1.323313,0
231,-0.09394282;-0.1004884;1.260356,0.06567582;-0.1249198;1.280221,0.1201646;-0.3604285;1.271046,0.1752012;-0.4232376;1.096811,0.1776762;-0.4108264;1.102872,-0.1790245;-0.5109504;1.03331,-0.05443591;-0.5656652;1.336707,0.01310427;-0.5454471;1.323396,0
264,-0.0940784;-0.1005033;1.260704,0.0654936;-0.1243198;1.280255,0.1180751;-0.3566014;1.273955,0.1712207;-0.3981768;1.092529,0.1790039;-0.3818839;1.022184,-0.1788311;-0.511217;1.033749,-0.05470069;-0.5653368;1.337391,0.01290597;-0.5450424;1.324015,0
299,-0.09414895;-0.1005372;1.261084,0.06533916;-0.123842;1.280281,0.1174335;-0.3547499;1.274403,0.1622484;-0.3769557;1.087124,0.1807204;-0.2781755;0.9637088,-0.1786942;-0.511488;1.034114,-0.05466601;-0.565367;1.33757,0.01294316;-0.5450282;1.32417,0
331,-0.09407215;-0.1006106;1.260624,0.06513328;-0.1231314;1.279545,0.1280387;-0.3507344;1.267853,0.15198;-0.3093964;1.079605,0.1648812;-0.2239816;0.9711173,-0.1784622;-0.5113357;1.033574,-0.05457606;-0.5652788;1.337028,0.01303837;-0.5448539;1.32362,0
365,-0.09406687;-0.1006664;1.261028,0.06503203;-0.1228888;1.279474,0.124238;-0.3496837;1.266314,0.1496345;-0.2366818;1.06047,0.1544974;-0.1812422;1.000991,-0.1785052;-0.5115313;1.033929,-0.05459671;-0.5653248;1.337343,0.0130134;-0.5448593;1.323836,0
