Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
0,-0.1429552;-0.3115881;0.9955024,-0.1319033;-0.2542029;1.040632,-0.160215;-0.06668953;1.153522,-0.1593755;0.1994629;1.273039,-0.0004539947;0.2395473;1.277575,-0.05925174;-0.2460326;1.293162,0.01749524;-0.2494561;1.330473,0.2140032;-0.2924829;1.021523,0
34,-0.1424147;-0.3113626;0.9921221,-0.1339648;-0.2520157;1.035943,-0.1603145;-0.06643117;1.152688,-0.1592765;0.1995475;1.272731,-0.0004725161;0.2397231;1.277589,-0.05934466;-0.2460591;1.292741,0.01730356;-0.2495636;1.32995,0.2140325;-0.2924255;1.021415,0
68,-0.1429105;-0.3115183;0.9935143,-0.13403;-0.2520827;1.035825,-0.1603246;-0.06641332;1.15244,-0.1592069;0.1995581;1.27241,-0.000493261;0.2399404;1.277661,-0.05940971;-0.2460056;1.292683,0.01719961;-0.2495221;1.329892,0.2140497;-0.2924558;1.021412,0
100,-0.1421449;-0.3099624;1.001261,-0.1336402;-0.2528974;1.037348,-0.1603397;-0.06640714;1.152453,-0.159181;0.1996144;1.272419,-0.0004844461;0.2403054;1.278017,-0.0594584;-0.2459104;1.292803,0.01710831;-0.2494454;1.330026,0.2141529;-0.2926484;1.021912,0
133,-0.140186;-0.3100945;0.9998757,-0.1336771;-0.2529535;1.037138,-0.1603054;-0.06644659;1.152232,-0.1591332;0.1996095;1.272074,-0.0005104849;0.2404433;1.277965,-0.0595139;-0.2458627;1.292631,0.01702747;-0.2494204;1.329862,0.2141599;-0.2926556;1.021901,0
167,-0.1420649;-0.3092484;0.9983957,-0.1337064;-0.2529227;1.037099,-0.1603136;-0.06641564;1.152199,-0.1591152;0.1996743;1.272041,-0.0005380769;0.2406318;1.278092,-0.05953971;-0.2457415;1.292739,0.01701339;-0.2493062;1.329953,0.2141764;-0.2926725;1.021923,0
200,-0.1418858;-0.3138565;0.9953374,-0.133501;-0.2531829;1.037319,-0.1603053;-0.06639164;1.151878,-0.1590892;0.1997309;1.27196,-0.0005512239;0.2407641;1.278113,-0.05955217;-0.2457353;1.292645,0.01694866;-0.2493152;1.329824,0.2141828;-0.2926793;1.021913,0
233,-0.1428357;-0.3132713;0.9944381,-0.1335562;-0.253248;1.037194,-0.1603262;-0.06636662;1.151605,-0.1590786;0.1997276;1.271756,-0.0005765553;0.2409033;1.278185,-0.05963581;-0.245748;1.292541,0.01679044;-0.2493605;1.329707,0.2141954;-0.2926734;1.021912,0
269,-0.1432879;-0.3122188;0.9931265,-0.1336356;-0.2532849;1.037109,-0.1603091;-0.06630012;1.151364,-0.1590694;0.1997846;1.271694,-0.0006025878;0.2410038;1.278223,-0.05970915;-0.2456963;1.292458,0.01669863;-0.2493388;1.329639,0.2141992;-0.2926698;1.02191,0
301,-0.1736783;-0.2675388;0.968493,-0.1541602;-0.2390641;1.012061,-0.1602829;-0.06640158;1.150613,-0.1590175;0.199817;1.271514,-0.0006078468;0.2411112;1.278175,-0.0597452;-0.2456485;1.29233,0.01668681;-0.2492938;1.329538,0.2142;-0.2926005;1.021715,0
