Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,2020;-4960;-16440,1695;-896;-1269,-0.1127057;-0.2659982;1.328892,-0.07539613;-0.2375849;1.581756,0.04057061;-0.01622745;1.567708,0.2224407;0.002775752;1.522278,0.1944569;-0.4477249;1.45212,0
31,1940;-5380;-16600,1005;-585;-1219,-0.08387574;-0.2835002;1.378878,-0.05720286;-0.2196042;1.62644,0.04056967;-0.0162398;1.567716,0.2225527;0.003709915;1.522886,0.1944524;-0.4477264;1.452128,0
64,1628;-5828;-16664,3158;-1361;-845,-0.1004461;-0.2685168;1.398071,-0.05711008;-0.219598;1.626338,0.04056362;-0.01623649;1.567755,0.2226056;0.00304588;1.522899,0.1944575;-0.447724;1.45214,0
96,1632;-6368;-16412,8764;-2798;27,-0.1007888;-0.2685188;1.397318,-0.05722101;-0.2173832;1.628246,0.04056301;-0.01623278;1.567771,0.2225844;0.00261948;1.522751,0.1944467;-0.4477104;1.452161,0
129,568;-9316;-15992,20248;-6696;1401,-0.1002096;-0.268287;1.39834,-0.05705591;-0.2175158;1.627564,0.04055892;-0.01622305;1.56777,0.2227196;0.003523341;1.523056,0.1944405;-0.4477087;1.452155,0
162,916;-8804;-16244,31706;-8945;3696,-0.09987875;-0.2678039;1.394409,-0.05710092;-0.2160407;1.628656,0.04029014;-0.01654142;1.567894,0.2224642;0.002838519;1.522712,0.1944429;-0.4477192;1.452148,0
196,212;-10540;-14100,26979;-5859;3448,-0.1004124;-0.2675394;1.397565,-0.05806274;-0.215219;1.629452,0.04029728;-0.01652324;1.56791,0.2224513;0.002391399;1.52274,0.1944445;-0.4477188;1.452163,0
228,-1936;-15364;-10516,29334;-7260;3087,-0.1006909;-0.2674071;1.398982,-0.05916651;-0.2131442;1.630543,0.04030512;-0.01650809;1.567905,0.2223203;0.001867631;1.522482,0.1944455;-0.4477167;1.452162,0
267,-2672;-19300;-8460,32767;-14299;5262,-0.1033238;-0.2656911;1.413292,-0.05888733;-0.21243;1.632176,0.04030993;-0.01650712;1.567903,0.222216;0.001642685;1.52246,0.1944534;-0.4477055;1.452176,0
296,-1492;-17612;-5548,32767;-18183;8748,-0.1029917;-0.264338;1.399747,-0.05890206;-0.2120789;1.632963,0.04031472;-0.01649543;1.567906,0.2221641;0.001337832;1.522367,0.1944371;-0.4476993;1.452188,0
328,1528;-2572;864,32767;-7118;11936,-0.1021455;-0.2639539;1.396542,-0.05868418;-0.2119019;1.632485,0.0400282;-0.016763;1.568221,0.2221828;0.001122061;1.522297,0.1944388;-0.4477025;1.452203,0
362,-3184;3544;11132,-385;9086;4102,-0.1019398;-0.2628361;1.38997,-0.05844172;-0.211667;1.632472,0.04007497;-0.01675031;1.56816,0.2223436;0.002342863;1.522882,0.1944426;-0.4477071;1.452202,0
395,-9664;-16384;15748,-9267;4880;-217,-0.09718591;-0.2581978;1.382574,-0.05814502;-0.211422;1.632373,0.04010109;-0.01673895;1.56811,0.2219338;0.001409915;1.522397,0.194307;-0.4477462;1.452239,0
430,-5612;-9644;13572,8208;-2117;384,-0.1009771;-0.2557927;1.408107,-0.05746276;-0.2187466;1.628697,0.04011152;-0.01670497;1.568124,0.2217978;0.0008941346;1.522452,0.1943152;-0.4477423;1.452239,0
462,-5448;-9084;13032,-3310;548;-1410,-0.08920358;-0.2794524;1.352422,-0.07163671;-0.2318056;1.604508,0.04012659;-0.01667598;1.568175,0.2217338;0.0006118795;1.522647,0.1943345;-0.4477705;1.45229,0
495,-5712;-10604;13092,795;-572;-1844,-0.1096762;-0.2558904;1.397117,-0.0576061;-0.2142218;1.628524,0.04012808;-0.0166843;1.568195,0.2216379;0.0003044638;1.522695,0.1941357;-0.4478045;1.452471,0
528,-4964;-8744;12204,1830;-441;-1092,-0.12576;-0.2764204;1.368227,-0.06845647;-0.2281393;1.608936,0.04014606;-0.01666429;1.568271,0.2216057;-1.659861E-05;1.5228,0.1941586;-0.4478279;1.452521,0
561,-5444;-9168;11796,1893;-721;-713,-0.08732148;-0.2766261;1.354565,-0.06937487;-0.229894;1.6068,0.04015803;-0.01666299;1.568269,0.22159;-0.0001946229;1.522702,0.1941688;-0.4478435;1.452519,0
595,-5428;-9588;11284,958;-715;-943,-0.1070103;-0.2558834;1.400051,-0.0576188;-0.2106719;1.63155,0.04015892;-0.01666475;1.568272,0.2215656;-0.0003912236;1.522675,0.1941736;-0.4478382;1.452548,0
628,-5324;-9548;11424,1254;-601;-1226,-0.1176033;-0.2551898;1.372144,-0.05834908;-0.2405942;1.61009,0.04017055;-0.0166395;1.568256,0.2215986;-0.0005606068;1.522508,0.1941986;-0.4478809;1.452498,0
662,-5232;-9260;11560,1076;-609;-1257,-0.1172203;-0.2546126;1.370324,-0.05739802;-0.2414946;1.607985,0.04021756;-0.016606;1.568191,0.2216893;-0.0006619296;1.522289,0.1942002;-0.4478741;1.452484,0
696,-5228;-9436;11560,335;-470;-1283,-0.1117261;-0.2565647;1.408398,-0.05709946;-0.2417767;1.607398,0.04021832;-0.01660999;1.568184,0.2217572;-0.0007573728;1.52216,0.1943105;-0.447913;1.452336,0
727,-5136;-9348;11932,502;-582;-1423,-0.1121065;-0.255903;1.403724,-0.05799241;-0.2418835;1.60532,0.04022788;-0.01659438;1.568136,0.221831;-0.0009145023;1.521966,0.1943135;-0.4479166;1.452328,0
761,-5092;-9616;11884,731;-594;-1236,-0.1120909;-0.25598;1.403733,-0.06069337;-0.2416579;1.601047,0.04024124;-0.01655351;1.568104,0.2218182;-0.00101761;1.521878,0.1943215;-0.4479197;1.452309,0
798,-5080;-9296;11852,1415;-698;-789,-0.1130397;-0.2567749;1.399405,-0.06246399;-0.2407167;1.601683,0.04027881;-0.01654426;1.568232,0.2218707;-0.001117515;1.522004,0.1943608;-0.447912;1.45242,0
827,-5092;-9644;11952,1053;-601;-825,-0.1130409;-0.2567922;1.399366,-0.06219088;-0.241348;1.599458,0.04027221;-0.01654209;1.568249,0.2218892;-0.001180976;1.522004,0.1943748;-0.4479222;1.452405,0
862,-5124;-9744;11748,1081;-648;-1012,-0.1104932;-0.2575773;1.406476,-0.06282972;-0.240932;1.600009,0.04027983;-0.01654294;1.568248,0.22192;-0.001245301;1.521969,0.1944121;-0.4479471;1.452367,0
896,-5160;-9640;11740,953;-656;-1072,-0.1107325;-0.2577491;1.407682,-0.05759851;-0.2076283;1.641122,0.04027743;-0.01648813;1.568473,0.221948;-0.001286526;1.522163,0.1944458;-0.4478827;1.452568,0
929,-5024;-9696;11692,701;-657;-1132,-0.1108999;-0.2576448;1.40701,-0.05764835;-0.243143;1.600318,0.0402866;-0.0164718;1.568503,0.2219529;-0.001316674;1.522157,0.19446;-0.4479025;1.452521,0
961,-5140;-9704;11632,1208;-708;-1193,-0.1110241;-0.2577586;1.407059,-0.05615608;-0.2434695;1.601627,0.04029344;-0.01644607;1.568559,0.2219616;-0.001360724;1.522187,0.1944626;-0.4479122;1.45254,0
996,-5056;-9572;11796,1029;-634;-1242,-0.1098951;-0.2581314;1.406899,-0.05532854;-0.2436409;1.602388,0.04029456;-0.01644378;1.568559,0.2219767;-0.001457491;1.522184,0.1944615;-0.4479209;1.452541,0
1027,-5148;-9524;11800,896;-638;-1195,-0.1159727;-0.2529533;1.383591,-0.05580847;-0.2441952;1.601368,0.03997663;-0.01675644;1.568932,0.2219766;-0.001506594;1.522153,0.1944723;-0.4479205;1.452543,0
1063,-5068;-9672;11872,998;-612;-1161,-0.1166682;-0.25211;1.381398,-0.05551362;-0.2442216;1.601668,0.03998975;-0.01673351;1.568925,0.2219725;-0.001544704;1.522123,0.1944677;-0.4479153;1.452534,0
1096,-5028;-9592;11644,1163;-799;-1094,-0.1171257;-0.2521071;1.381714,-0.05504789;-0.2440858;1.602971,0.04003929;-0.01671096;1.568968,0.2220104;-0.00171379;1.522433,0.1945201;-0.4479458;1.452656,0
1130,-4912;-9364;11916,429;-486;-1101,-0.1177279;-0.2519795;1.380818,-0.05798586;-0.2429939;1.602166,0.04005084;-0.01668404;1.56896,0.2220362;-0.00173475;1.522396,0.1945249;-0.4479468;1.452654,0
1161,-5036;-9940;11636,131;-421;-1127,-0.1151856;-0.2546107;1.379931,-0.05875155;-0.2425785;1.602286,0.04007163;-0.01664658;1.568914,0.2220356;-0.001814996;1.522197,0.1945296;-0.447934;1.452596,0
1194,-4956;-9688;11644,1513;-719;-717,-0.1133539;-0.2567235;1.39576,-0.0598957;-0.2420966;1.602133,0.04008922;-0.01663465;1.568929,0.2220365;-0.001859091;1.522268,0.1945803;-0.4479337;1.452626,0
1228,-4988;-9752;11656,1339;-624;-876,-0.1080079;-0.2601356;1.417612,-0.05870335;-0.242437;1.60289,0.04009521;-0.01663046;1.568926,0.2224681;0.0004683839;1.523172,0.1945868;-0.4479309;1.452623,0
1261,-4932;-9844;11604,1237;-567;-982,-0.1114453;-0.2531216;1.366832,-0.06000443;-0.2416115;1.603606,0.04012177;-0.01660402;1.568714,0.222289;8.621067E-05;1.522598,0.1946712;-0.4479308;1.452432,0
1296,-4868;-9892;11732,1567;-619;-893,-0.1066713;-0.2572838;1.397974,-0.06091976;-0.2411223;1.603818,0.04014667;-0.01656408;1.568795,0.2223867;-8.156686E-05;1.522623,0.194735;-0.4479644;1.452448,0
1329,-4832;-9524;11656,1004;-449;-964,-0.1130034;-0.2572434;1.362352,-0.06060621;-0.2414213;1.603024,0.04015378;-0.01654212;1.568779,0.2223406;-0.0002970308;1.522467,0.1947266;-0.4479577;1.452461,0
1362,-4904;-10236;11608,932;-391;-1109,-0.1133737;-0.2555671;1.362827,-0.06376547;-0.2405341;1.600094,0.04021825;-0.01649271;1.568576,0.2222297;-0.0005965636;1.521904,0.1947202;-0.4479407;1.452319,0
