Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,2196;912;-17656,-2634;-413;-1415,-0.1053841;-0.1018292;1.426181,0.07746714;-0.1399394;1.444335,0.1687785;-0.3434207;1.46278,0.1173555;-0.3848645;1.180966,-0.08898024;-0.5371134;1.374867,0
36,2312;228;-17832,-4709;-137;-1375,-0.1062693;-0.1023216;1.421949,0.07746208;-0.1399025;1.444366,0.1686781;-0.3434179;1.462843,0.1175226;-0.384214;1.180885,-0.08933653;-0.5373146;1.374491,0
67,1876;1928;-17708,-6124;254;-1488,-0.1064835;-0.1022822;1.423616,0.07739609;-0.1398739;1.444849,0.1689987;-0.3433512;1.463445,0.1177178;-0.3843221;1.181535,-0.08977771;-0.5375925;1.374501,0
98,1612;2600;-18020,-12197;-217;-2416,-0.1064791;-0.1022806;1.423869,0.07736576;-0.1398949;1.444835,0.1689484;-0.3434358;1.463381,0.1176582;-0.3851059;1.181577,-0.09024085;-0.5377542;1.374121,0
133,1916;4568;-17612,-16530;878;-1980,-0.1063817;-0.1022665;1.424001,0.0773597;-0.1398698;1.444788,0.1693134;-0.3433221;1.462927,0.1174335;-0.3839179;1.181072,-0.09004247;-0.5376121;1.374337,0
166,1212;9164;-17952,-32768;236;-3487,-0.1063535;-0.1022628;1.424103,0.07735817;-0.1398634;1.444783,0.1693035;-0.3433502;1.462906,0.1174172;-0.3838071;1.181032,-0.0903761;-0.5377739;1.373909,0
199,2248;6668;-16156,-32768;-669;-5473,-0.1063417;-0.1022563;1.424212,0.07735828;-0.1398667;1.44479,0.1691956;-0.3433073;1.463031,0.1169694;-0.3825903;1.181053,-0.09057676;-0.5378654;1.373766,0
234,1112;12748;-11796,-32768;-1111;-3887,-0.106223;-0.102179;1.424688,0.0773555;-0.1398745;1.444798,0.169231;-0.3433574;1.463128,0.1172071;-0.3831065;1.181179,-0.09016519;-0.5376043;1.3744,0
267,1560;13708;-9192,-32768;-5030;-6424,-0.1061893;-0.1021388;1.425062,0.07736976;-0.1398745;1.444846,0.1692216;-0.3433461;1.46315,0.1174384;-0.3829775;1.181139,-0.09002684;-0.5373616;1.374846,0
299,1900;12460;-2788,-32768;-2844;-3742,-0.106141;-0.1021377;1.425551,0.07735689;-0.1398554;1.444969,0.1693121;-0.3434702;1.463268,0.1176697;-0.3837536;1.181325,-0.09023178;-0.5375299;1.374713,0
333,252;14160;1372,-32768;-2118;-3645,-0.1060686;-0.1021029;1.425571,0.07739253;-0.1399059;1.444827,0.1682968;-0.343093;1.463248,0.1175199;-0.383594;1.181179,-0.09008979;-0.5374466;1.374765,0
366,848;11940;5464,-32768;-2458;-4291,-0.1060172;-0.1020544;1.425727,0.07739584;-0.1398876;1.444818,0.1683743;-0.3430836;1.463283,0.1174855;-0.383877;1.181276,-0.08986726;-0.5373234;1.375298,0
399,312;8472;9836,-19102;1356;-3668,-0.1059637;-0.10203;1.425818,0.07739242;-0.1398859;1.444824,0.1683882;-0.3431316;1.463277,0.1176571;-0.3842174;1.181285,-0.08967183;-0.5375798;1.374266,0
436,-1068;11840;11596,-5490;1510;-3315,-0.1059476;-0.1020257;1.42581,0.07739337;-0.1398859;1.44482,0.1687772;-0.3431807;1.462968,0.117609;-0.3844027;1.181075,-0.09009404;-0.5376741;1.373893,0
469,-1136;12316;12296,-776;1156;-2744,-0.1059192;-0.1020116;1.425822,0.07740783;-0.139882;1.444777,0.1668805;-0.3429286;1.463001,0.1176756;-0.3832556;1.180627,-0.08994279;-0.5375456;1.374188,0
499,-1132;12812;11864,1382;-116;-1343,-0.1058305;-0.1019655;1.425798,0.0774379;-0.1399204;1.444657,0.1670885;-0.3429442;1.462782,0.1179423;-0.3826646;1.180312,-0.08981135;-0.5373656;1.374348,0
540,-644;11552;11448,457;-441;-1590,-0.1058079;-0.1018889;1.426616,0.07746553;-0.1399501;1.445081,0.1664422;-0.3429695;1.464232,0.1284185;-0.3688934;1.223695,-0.08933729;-0.5373089;1.376178,0
567,-960;12108;10788,1709;-721;-1119,-0.105783;-0.1018895;1.426634,0.07747848;-0.1399374;1.445115,0.1668405;-0.3431391;1.463915,0.1234526;-0.3811189;1.180262,-0.08965186;-0.5374467;1.375828,0
599,-984;11912;10476,1216;-910;-1079,-0.1056908;-0.1018711;1.42663,0.07750023;-0.1399541;1.445051,0.1674616;-0.3437192;1.462802,0.128257;-0.3644264;1.195174,-0.08904719;-0.5372936;1.376278,0
634,-956;11596;10236,1209;-813;-955,-0.1055875;-0.1019211;1.42689,0.07753202;-0.1398472;1.445419,0.1671227;-0.3440569;1.463152,0.1277122;-0.3623973;1.198106,-0.0888361;-0.5374742;1.376082,0
668,-832;12008;10176,2130;-553;-985,-0.1055253;-0.1019017;1.426679,0.07758559;-0.139902;1.444922,0.1671823;-0.3443871;1.462391,0.1225588;-0.3694476;1.19611,-0.08867272;-0.5373799;1.376176,0
699,-848;12008;9852,964;-566;-980,-0.1054669;-0.1019153;1.426496,0.07761467;-0.1399464;1.44486,0.1649356;-0.3449132;1.462337,0.1248801;-0.3714199;1.200711,-0.08880678;-0.5375944;1.375546,0
735,-888;11816;10060,1588;-292;-906,-0.1054162;-0.1018917;1.426758,0.0777434;-0.1400209;1.445269,0.1651355;-0.3454832;1.462788,0.1203133;-0.3842888;1.209882,-0.08878078;-0.5377145;1.375445,0
766,-1008;12260;10080,1377;-321;-844,-0.1054211;-0.1018858;1.426776,0.07777798;-0.1400163;1.445301,0.1648857;-0.3456784;1.462653,0.2636081;-0.4169652;1.267939,-0.08886287;-0.537783;1.375421,0
799,-672;11872;10312,1002;-525;-857,-0.1054246;-0.1018811;1.426786,0.07781289;-0.1400358;1.445334,0.1648652;-0.3458981;1.462548,0.2638689;-0.4171416;1.267962,-0.08910663;-0.5379967;1.375241,0
835,-752;12016;10200,1339;-176;-1045,-0.1054373;-0.1018744;1.426804,0.07786971;-0.140039;1.445369,0.1646331;-0.3462616;1.462508,0.2637759;-0.4169278;1.267774,-0.08911599;-0.538041;1.375219,0
867,-940;12244;10368,1264;-262;-890,-0.1054417;-0.1018624;1.426822,0.0778672;-0.1400432;1.445388,0.1645758;-0.3465205;1.462479,0.2637944;-0.4168861;1.267671,-0.08913672;-0.5380608;1.375211,0
901,-752;11812;10296,920;-300;-821,-0.1054386;-0.1018599;1.426828,0.07796005;-0.1401641;1.445505,0.1643679;-0.3467772;1.462613,0.118254;-0.4068839;1.243632,-0.08874533;-0.5381916;1.37491,0
934,-984;12104;10284,1137;-218;-772,-0.1053774;-0.1018254;1.427081,0.07797292;-0.1401765;1.445571,0.1636726;-0.3472687;1.463086,0.1368685;-0.3984417;1.254795,-0.08691102;-0.5378223;1.376631,0
966,-908;11740;10392,530;-495;-864,-0.1053729;-0.10182;1.42709,0.07802778;-0.1401634;1.445645,0.1632525;-0.3472301;1.463179,0.2642898;-0.4178871;1.269445,-0.08705201;-0.5380031;1.376516,0
999,-988;11876;10440,1161;-208;-1055,-0.1053587;-0.1018194;1.427052,0.07810203;-0.1401972;1.445633,0.1629156;-0.3471358;1.463255,0.2638667;-0.4180036;1.269555,-0.08731134;-0.538161;1.376226,0
1034,-952;12012;10512,1243;-275;-971,-0.1053618;-0.1018171;1.42706,0.07820149;-0.1402611;1.445722,0.1630446;-0.347252;1.463304,0.2638871;-0.4179681;1.269487,-0.08757989;-0.5382782;1.376126,0
1067,-996;11940;10652,655;-494;-906,-0.1054452;-0.1018052;1.427305,0.07833117;-0.140343;1.446152,0.1636183;-0.3475177;1.463502,0.2639036;-0.4168369;1.26886,-0.08793703;-0.5384243;1.376184,0
1101,-1024;11820;10840,1676;-480;-890,-0.1054679;-0.1017974;1.427792,0.07833488;-0.1403146;1.446879,0.1627476;-0.3477032;1.464822,0.2634979;-0.4161731;1.270113,-0.08792338;-0.538469;1.376224,0
1135,-1012;12076;10504,1630;-585;-961,-0.1054429;-0.1017653;1.427761,0.07838305;-0.1403558;1.446628,0.1629756;-0.3476681;1.464343,0.2636444;-0.4162711;1.26964,-0.0872519;-0.5380899;1.377038,0
1166,-856;11576;10568,2087;-662;-781,-0.1054123;-0.10176;1.427749,0.07842989;-0.1403263;1.446651,0.1628816;-0.3475895;1.464379,0.2641262;-0.4148994;1.269512,-0.08708419;-0.538237;1.376509,0
1201,-1000;11936;10440,5693;-382;-264,-0.1055041;-0.1017974;1.427865,0.07849163;-0.140366;1.446595,0.1627275;-0.3474216;1.464426,0.2641212;-0.4148458;1.269679,-0.0958287;-0.5419856;1.389315,0
1235,-820;11904;9972,13054;415;589,-0.1055542;-0.1018088;1.428035,0.07849631;-0.1403648;1.446592,0.1627312;-0.347432;1.464421,0.2650195;-0.4150071;1.270214,-0.09499153;-0.5425258;1.391548,0
