Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-2060;6696;13676,-275;-512;-499,-0.009660039;-0.1095041;1.698954,0.1643476;-0.1432255;1.663941,0.2599759;-0.3556654;1.589837,0.1889175;-0.377339;1.397892,-0.04055468;-0.5550365;1.672528,0
44,-2176;6768;13952,198;-506;-443,-0.009697678;-0.1093857;1.698455,0.1643606;-0.1432162;1.663916,0.2599728;-0.355627;1.589878,0.1887952;-0.3772927;1.397599,-0.04054927;-0.5550624;1.672363,0
66,-2124;6412;14012,-56;-777;-365,-0.009776558;-0.1093542;1.69851,0.1643914;-0.1432447;1.664223,0.2600824;-0.3555375;1.590024,0.1888344;-0.3772906;1.397655,-0.04056688;-0.5550898;1.672419,0
99,-2272;6792;14116,646;-690;-398,-0.00979425;-0.1092972;1.69855,0.1644477;-0.143287;1.664646,0.2601051;-0.355548;1.590231,0.1888022;-0.3772865;1.397891,-0.04055817;-0.5550885;1.672427,0
141,-2020;6408;14128,146;-909;-382,-0.010004;-0.109251;1.699238,0.1647541;-0.1433841;1.666305,0.2598777;-0.3557336;1.590452,0.1887995;-0.3773064;1.39799,-0.04051661;-0.5551432;1.672774,0
167,-2192;6792;14160,201;-847;-549,-0.01002422;-0.1092592;1.69927,0.164798;-0.1434153;1.66655,0.2596188;-0.3558752;1.590204,0.1887856;-0.3772695;1.398086,-0.04049399;-0.5551569;1.672772,0
199,-2072;6480;13804,375;-724;-519,-0.01007935;-0.1092739;1.699321,0.1647957;-0.1433941;1.666652,0.2595581;-0.3558075;1.590458,0.1887728;-0.3772628;1.39811,-0.0404946;-0.5552214;1.672833,0
232,-2172;6588;13772,347;-761;-506,-0.01013807;-0.1092929;1.699365,0.1648491;-0.1433814;1.666853,0.2597502;-0.3556867;1.590844,0.1887757;-0.3772605;1.398111,-0.04048155;-0.5552143;1.672841,0
265,-2040;6472;13692,124;-575;-712,-0.01017502;-0.1093346;1.699407,0.1648812;-0.1432955;1.667168,0.2598031;-0.3556531;1.590888,0.1887537;-0.3772389;1.398084,-0.04045889;-0.5552027;1.672858,0
299,-2208;6688;13812,168;-406;-720,-0.01024828;-0.1094764;1.699521,0.1648983;-0.1432884;1.667424,0.2598414;-0.3555082;1.591066,0.1887481;-0.3772287;1.398166,-0.04045292;-0.5551892;1.672858,0
333,-2324;6740;14236,275;-497;-621,-0.01045997;-0.1097255;1.699775,0.1640138;-0.1428821;1.664911,0.2598648;-0.3554294;1.591139,0.1886053;-0.3775097;1.398905,-0.04050667;-0.555321;1.672963,0
368,-2192;6772;14096,354;-641;-625,-0.01030054;-0.1102165;1.70044,0.1648319;-0.1432927;1.666978,0.2598861;-0.355344;1.59158,0.1887516;-0.3776112;1.399451,-0.04051357;-0.555305;1.673039,0
398,-2140;6352;13988,465;-749;-515,-0.0101451;-0.1106361;1.700805,0.1650776;-0.1434164;1.667486,0.2597579;-0.3553221;1.591899,0.1888045;-0.3776191;1.399712,-0.04071486;-0.5553915;1.673051,0
432,-1964;6404;13800,702;-890;-571,-0.009871158;-0.1111436;1.701145,0.1654518;-0.1435153;1.667948,0.2597109;-0.3553295;1.59218,0.1885961;-0.3776281;1.399521,-0.04071589;-0.5553722;1.67304,0
465,-2240;6668;13928,2262;-790;-260,-0.009594971;-0.111797;1.701597,0.1657936;-0.1435492;1.66848,0.259735;-0.3552541;1.592203,0.1884568;-0.3776738;1.399499,-0.04090723;-0.5554441;1.673026,0
499,-1860;6608;13644,693;-970;-352,-0.008805029;-0.113135;1.702741,0.1661858;-0.1435511;1.668941,0.2596917;-0.3551179;1.592293,0.1882298;-0.3776797;1.399218,-0.04088641;-0.5554186;1.673101,0
534,-1692;5664;13516,4781;318;-314,-0.008455998;-0.1142935;1.703624,0.1665355;-0.1434762;1.669322,0.2596771;-0.3550371;1.592362,0.1879676;-0.3776141;1.398829,-0.04103545;-0.5553126;1.672992,0
569,-2036;6516;13244,11410;1922;-278,-0.00824335;-0.1148763;1.703703,0.1669279;-0.1434966;1.669185,0.2597698;-0.3547705;1.592398,0.1879429;-0.3775007;1.39874,-0.0412168;-0.5553781;1.672788,0
599,-2468;8396;12660,14769;2011;-488,-0.008009353;-0.115568;1.70443,0.167416;-0.1434896;1.669722,0.2599792;-0.3543258;1.593472,0.1873105;-0.3770301;1.397449,-0.04129766;-0.5553486;1.672746,0
633,-2308;8656;11648,18559;2652;153,-0.007630757;-0.1162776;1.705252,0.1678136;-0.1434707;1.670144,0.2603588;-0.3539298;1.594072,0.1868624;-0.376987;1.39607,-0.04148281;-0.5554035;1.672802,0
667,-3148;12620;10200,20381;2192;409,-0.007097353;-0.1170305;1.706787,0.1681769;-0.1435284;1.670822,0.2604069;-0.3535762;1.594656,0.1855352;-0.3763634;1.393078,-0.04161766;-0.5554487;1.672889,0
699,-2724;12612;8700,15964;1233;1113,-0.006889375;-0.1175842;1.708054,0.1686093;-0.1434401;1.671816,0.260581;-0.3532058;1.59538,0.1853107;-0.376196;1.392574,-0.04178041;-0.5554677;1.673059,0
