Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-11840;-5376;8288,240;-727;-602,-0.2427651;-0.374017;1.369192,-0.2892574;-0.356888;1.588247,-0.2229531;-0.1731499;1.685892,-0.04332496;-0.1096259;1.672818,-0.06110235;-0.5128106;1.603342,0
14,-11656;-5448;8264,385;-602;-636,-0.2624579;-0.368403;1.391648,-0.289339;-0.3565917;1.589192,-0.2229527;-0.1731508;1.685892,-0.04352262;-0.1095415;1.67295,-0.06105018;-0.5128279;1.603292,0
44,-11928;-5412;8516,207;-644;-756,-0.2193173;-0.3643789;1.401919,-0.2890495;-0.3563913;1.588854,-0.2216726;-0.1725843;1.686433,-0.04364464;-0.1093413;1.672838,-0.06101075;-0.5128502;1.603275,0
77,-11828;-5208;8872,-4;-801;-1024,-0.2195037;-0.3644038;1.402413,-0.2893664;-0.3565489;1.58931,-0.2218975;-0.1727623;1.686637,-0.0439692;-0.1089875;1.673441,-0.06093618;-0.5128006;1.603418,0
110,-11844;-5360;8700,-282;-1103;-1154,-0.2418707;-0.3667358;1.397479,-0.2899384;-0.3563933;1.591065,-0.2222213;-0.1729157;1.68684,-0.04418009;-0.1088727;1.673646,-0.06098925;-0.5127272;1.603575,0
143,-11496;-5460;8016,-140;-1044;-1060,-0.2187716;-0.3638777;1.401127,-0.2900433;-0.3563572;1.590765,-0.2225255;-0.1730344;1.686115,-0.04425972;-0.1086241;1.673189,-0.06063424;-0.5125579;1.603029,0
178,-11328;-5296;7712,857;-770;-764,-0.2388129;-0.3718164;1.385494,-0.2902067;-0.3564011;1.590975,-0.2225995;-0.17308;1.68615,-0.04444224;-0.1085619;1.673313,-0.06069881;-0.512635;1.603122,0
210,-11568;-5620;8084,866;-194;-545,-0.2326455;-0.3686942;1.392943,-0.2902759;-0.356491;1.591077,-0.2230619;-0.1731808;1.686324,-0.04460376;-0.1085291;1.673498,-0.06071714;-0.512632;1.60322,0
244,-11916;-5476;8504,1093;-209;-560,-0.2308782;-0.3678001;1.394849,-0.2896435;-0.3567326;1.588989,-0.2233702;-0.1735006;1.685835,-0.04475427;-0.1084142;1.673111,-0.06047652;-0.5125437;1.602943,0
276,-11944;-5104;8876,636;-403;-569,-0.2264272;-0.3676904;1.39989,-0.2898389;-0.3567202;1.588951,-0.2234664;-0.1735532;1.685794,-0.04491432;-0.1083344;1.673121,-0.06050534;-0.5124673;1.603011,0
309,-11804;-5004;8892,264;-688;-515,-0.2866931;-0.3897441;1.394412,-0.289795;-0.3562359;1.591085,-0.2236371;-0.173625;1.685743,-0.04502103;-0.1082923;1.673079,-0.06050783;-0.5125424;1.603008,0
342,-11680;-5016;8732,31;-878;-370,-0.243486;-0.3675031;1.39014,-0.2938286;-0.3581339;1.58323,-0.2237697;-0.1736827;1.68564,-0.04506737;-0.1082986;1.672983,-0.06020534;-0.5125281;1.602712,0
377,-11732;-5300;8308,202;-887;-282,-0.2432045;-0.3735951;1.375354,-0.2940528;-0.3581946;1.58329,-0.2240794;-0.1738104;1.685747,-0.04508998;-0.1082818;1.672987,-0.06021796;-0.5124828;1.602736,0
408,-11904;-5488;8188,262;-765;-343,-0.2431914;-0.3735351;1.3755,-0.2936886;-0.353869;1.591653,-0.2241045;-0.173841;1.685847,-0.04514749;-0.1083154;1.673026,-0.0602316;-0.5124773;1.602744,0
443,-11840;-5648;8220,309;-634;-643,-0.2437633;-0.3728205;1.328158,-0.2947064;-0.3547469;1.589801,-0.2227057;-0.1732727;1.686605,-0.04512076;-0.1084369;1.673026,-0.06022272;-0.5124608;1.60274,0
477,-11816;-5508;8332,240;-609;-1010,-0.2205992;-0.3722644;1.333615,-0.2944725;-0.3549544;1.589781,-0.2230545;-0.1734978;1.686724,-0.04492608;-0.1086337;1.67303,-0.06026823;-0.5124347;1.602739,0
