Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-336;4044;15128,657;-507;-895,0.04235053;-0.01161823;1.226015,0.2091895;-0.03510731;1.225367,0.3494087;-0.1503904;1.049926,0.3307803;-0.2110061;0.8731434,0.07211285;-0.444617;1.31441,0
35,-252;4104;14764,1180;-392;-1003,0.04233567;-0.01156735;1.226012,0.2091875;-0.03510455;1.225369,0.3493257;-0.1503537;1.049911,0.3307971;-0.2108158;0.8730636,0.07216056;-0.4446648;1.314378,0
68,-496;3868;15216,829;-335;-977,0.04230126;-0.01155077;1.22597,0.2091586;-0.03510764;1.22535,0.3492619;-0.1500887;1.049932,0.3304724;-0.210539;0.8731069,0.07212301;-0.44476;1.314162,0
104,-364;4104;15156,1783;-609;-1046,0.04238853;-0.0114942;1.225652,0.209101;-0.03510663;1.225304,0.3491014;-0.1501443;1.049652,0.3300892;-0.2099284;0.872618,0.07207555;-0.4448951;1.313839,0
132,-484;4088;15212,1242;-481;-1121,0.04237908;-0.01144701;1.225635,0.2090954;-0.03510531;1.225302,0.3488297;-0.1497366;1.050163,0.3302332;-0.209792;0.8731795,0.07239625;-0.4449472;1.313871,0
170,-236;4316;15412,1505;-368;-1143,0.04218553;-0.01242092;1.226164,0.2090976;-0.03509981;1.225247,0.348711;-0.1496478;1.050054,0.3307298;-0.209797;0.8730419,0.07230878;-0.4449413;1.31346,0
202,-456;4368;15440,972;-168;-1134,0.04221982;-0.01233834;1.226135,0.2090914;-0.0350807;1.225267,0.3489829;-0.1508588;1.049565,0.3307139;-0.2099537;0.8722203,0.07220093;-0.4447934;1.313763,0
233,-380;4296;15600,731;-454;-1087,0.04216713;-0.01221501;1.22611,0.2090678;-0.0350786;1.225275,0.3486849;-0.1501509;1.050903,0.3337047;-0.2205569;0.8775382,0.07208543;-0.4449215;1.313615,0
269,-396;4452;15516,1790;-640;-941,0.0421127;-0.01213572;1.226077,0.2090508;-0.03508154;1.225272,0.3487478;-0.1504286;1.050957,0.3338498;-0.2203752;0.8773952,0.07202329;-0.4447966;1.313775,0
304,-316;4284;15124,987;-591;-947,0.04201837;-0.01211596;1.225803,0.2090442;-0.03508412;1.225219,0.3485346;-0.1506373;1.05096,0.3342773;-0.2207349;0.8774106,0.0720275;-0.4447491;1.313768,0
335,-368;4304;15172,912;-707;-709,0.04198974;-0.01303458;1.226676,0.2090274;-0.03508501;1.225207,0.3485287;-0.1515455;1.050833,0.3344131;-0.2205909;0.8768418,0.07206071;-0.4446606;1.31391,0
368,-336;4488;14588,1442;-307;-915,0.0420006;-0.01275092;1.226328,0.2089964;-0.0350832;1.225152,0.3484551;-0.1529035;1.050835,0.3372096;-0.2185097;0.875293,0.07200569;-0.4447333;1.313676,0
400,-496;4092;13880,761;331;-996,0.04200589;-0.01253425;1.226318,0.2089802;-0.03508554;1.225161,0.348025;-0.1559809;1.050147,0.3386052;-0.2189438;0.8735215,0.07209409;-0.4446858;1.31379,0
433,-844;3760;12952,206;1769;-1227,0.0418633;-0.01234252;1.226179,0.2089322;-0.03508539;1.225145,0.3479334;-0.1566703;1.050597,0.3396233;-0.2180005;0.8733343,0.07203122;-0.4445594;1.313886,0
