Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-1304;-12328;9480,17204;-1831;-1594,-0.1439082;0.04127368;1.12253,-0.1215819;0.1232078;1.30121,-0.01552755;0.3081737;1.376615,0.1242122;0.3124754;1.334599,0.09626245;-0.07058633;1.515117,0
33,-964;-9436;10380,11774;-1134;-782,-0.1436975;0.04113775;1.122433,-0.1215806;0.1231918;1.301093,-0.01553666;0.3081125;1.376564,0.1241331;0.3124131;1.334565,0.09623159;-0.07064805;1.515114,0
68,-1172;-9056;11176,1826;60;-990,-0.1432006;0.04105702;1.122308,-0.1216272;0.123118;1.300275,-0.01559668;0.3077511;1.375746,0.123929;0.3119417;1.333619,0.09621669;-0.07078703;1.514594,0
99,-1572;-11836;11604,-1050;-193;-649,-0.1428408;0.04098012;1.122573,-0.1217122;0.1229788;1.300214,-0.01559811;0.3076833;1.375688,0.1238916;0.3118907;1.333593,0.09623796;-0.07080291;1.514584,0
133,-1432;-11692;11160,1395;-733;-606,-0.1424586;0.04087365;1.122624,-0.1218517;0.1228997;1.299665,-0.01563684;0.3075447;1.375301,0.1238315;0.3116266;1.333277,0.09625039;-0.07084771;1.514483,0
167,-1336;-11812;11040,716;-577;-558,-0.142033;0.04070549;1.123786,-0.1219766;0.1228726;1.29953,-0.0156662;0.3075033;1.375483,0.1238394;0.3115528;1.333537,0.09634776;-0.07082783;1.514779,0
199,-1132;-12108;11052,1470;-561;-637,-0.1418361;0.04058396;1.123671,-0.1220139;0.1228192;1.299347,-0.01566062;0.3074186;1.375372,0.1238275;0.311446;1.333465,0.09634873;-0.07083753;1.514777,0
232,-872;-11832;10964,1089;-455;-628,-0.1416902;0.04056097;1.124075,-0.1221106;0.1227037;1.299557,-0.01566944;0.3073433;1.375466,0.1238084;0.3113548;1.33371,0.0963731;-0.07081658;1.515064,0
268,-1068;-12152;10944,1270;-501;-589,-0.1415831;0.04052543;1.124126,-0.12212;0.1226594;1.299529,-0.01568076;0.3073352;1.375378,0.1237809;0.3112409;1.333676,0.09637643;-0.07082181;1.515065,0
301,-1308;-12028;10824,1398;-364;-842,-0.1414184;0.04044572;1.123904,-0.1221349;0.1225227;1.298822,-0.01575255;0.3070616;1.374393,0.1236701;0.3106693;1.33273,0.09635916;-0.07095688;1.514624,0
333,-1344;-11824;11168,804;-217;-1099,-0.1413362;0.04035853;1.124129,-0.1222226;0.1223523;1.299055,-0.01580388;0.3070028;1.374575,0.1236654;0.3105961;1.332871,0.09635781;-0.07104971;1.515051,0
366,-1500;-11936;11072,1115;-476;-1036,-0.1413083;0.03973056;1.122546,-0.1224016;0.122269;1.296859,-0.0159001;0.3066562;1.373525,0.1235156;0.309941;1.331624,0.09634734;-0.07124384;1.514345,0
399,-1524;-11756;10976,772;-479;-1020,-0.1413025;0.03959781;1.122756,-0.1223879;0.122145;1.297065,-0.01590481;0.3065489;1.373565,0.1236347;0.3100621;1.331515,0.09638713;-0.07120973;1.514564,0
433,-1308;-11536;10996,1215;-353;-1117,-0.1413304;0.03939678;1.12241,-0.1224921;0.1219663;1.296718,-0.01595742;0.3063357;1.373488,0.12357;0.3099017;1.331375,0.09641384;-0.07123145;1.514529,0
467,-1272;-11644;10888,1304;-304;-879,-0.1413666;0.03883692;1.121816,-0.1228406;0.1212848;1.296219,-0.01580043;0.306424;1.371894,0.1235278;0.3097509;1.331251,0.09642687;-0.07123186;1.514499,0
501,-1392;-11892;11232,1002;-289;-623,-0.1413528;0.03867016;1.121649,-0.1230412;0.1210908;1.29609,-0.01574365;0.3065135;1.370959,0.123491;0.3097133;1.331219,0.09642347;-0.07122436;1.514493,0
