Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-1236;13996;7216,4360;-202;-255,0.009184042;0.2260691;1.27137,0.1596073;0.2004807;1.272461,0.2829429;0.03838771;1.305935,0.1927542;-0.06697295;1.101153,0.01570916;-0.166299;1.427796,0
34,-952;14304;6964,3837;-135;-626,0.009089872;0.2261697;1.271541,0.1598862;0.2005988;1.272777,0.2832103;0.0385929;1.306098,0.1928337;-0.0668216;1.101426,0.01542614;-0.1663095;1.428009,0
67,-1112;14284;6500,4857;203;-741,0.009056896;0.2261846;1.271492,0.1599712;0.2006238;1.272763,0.2831477;0.03879197;1.305943,0.1928001;-0.0666139;1.101253,0.01551664;-0.1664306;1.427581,0
103,-984;14600;6332,4320;164;-1036,0.009032136;0.2262165;1.271506,0.1601146;0.2006778;1.272827,0.2831691;0.03886074;1.305843,0.1927422;-0.06652329;1.101178,0.01566594;-0.1663731;1.427611,0
135,-1056;14476;5808,3091;121;-1154,0.009032183;0.2262511;1.271509,0.1602227;0.2006931;1.272855,0.2831923;0.03890982;1.30581,0.1927313;-0.0664261;1.101135,0.01576591;-0.1663094;1.427661,0
168,-1176;14636;5724,2755;-264;-780,0.009010032;0.2262744;1.271511,0.1591432;0.2004825;1.272077,0.2831879;0.0389637;1.305848,0.1927012;-0.06636733;1.101181,0.01571907;-0.1663079;1.427686,0
201,-1268;14520;5596,2228;-133;-1223,0.009002113;0.2263203;1.271526,0.1582968;0.2005474;1.271334,0.2832383;0.03907539;1.305962,0.1927815;-0.06629001;1.1013,0.01577969;-0.1662639;1.427714,0
235,-1248;14776;5704,2689;-173;-1065,0.008985243;0.2263402;1.27149,0.158604;0.2005787;1.271382,0.2832651;0.03916591;1.305914,0.1927516;-0.06614445;1.101248,0.01587336;-0.1661999;1.427535,0
266,-1176;14940;5616,3557;-107;-608,0.008987791;0.2264234;1.271655,0.1591354;0.2006804;1.272021,0.2834017;0.03918383;1.306028,0.1927281;-0.06609671;1.101418,0.01589466;-0.1662063;1.427578,0
300,-1072;14660;5208,4487;-130;-239,0.008985562;0.2264396;1.271677,0.1594779;0.200775;1.272288,0.2834254;0.03922942;1.306191,0.1926644;-0.06587944;1.101531,0.01592224;-0.1662665;1.427519,0
338,-1120;14968;5020,6074;134;-391,0.008964697;0.2264497;1.271622,0.159656;0.2008001;1.272297,0.2833312;0.03925318;1.305823,0.1924698;-0.06491629;1.100724,0.01602155;-0.1662861;1.427134,0
367,-1096;15020;4468,7676;533;-283,0.008947551;0.2264742;1.271646,0.1598284;0.2008532;1.272399,0.2833762;0.03933772;1.305782,0.1924694;-0.06436362;1.100464,0.01610818;-0.1662164;1.427227,0
400,-1088;15544;3596,8098;627;-616,0.008940347;0.226485;1.271647,0.1599819;0.2008732;1.272488,0.283375;0.03935932;1.30576,0.1923815;-0.06366007;1.100135,0.01615958;-0.1661933;1.427178,0
435,-1172;16052;3028,7806;341;-414,0.009526324;0.2262186;1.272707,0.1601593;0.200965;1.272709,0.2835239;0.03943803;1.306118,0.192541;-0.06326623;1.100329,0.0163432;-0.1659921;1.42764,0
466,-1124;15724;2008,7850;1140;-446,0.00941452;0.2262567;1.272629,0.1587362;0.2008832;1.271428,0.2835726;0.03945081;1.30611,0.1928357;-0.06266724;1.099919,0.01620769;-0.1660212;1.427511,0
499,-1100;16020;1336,7936;745;-960,0.009946701;0.2260937;1.273986,0.1590738;0.2009636;1.271908,0.2839114;0.03945637;1.306812,0.1940645;-0.06179564;1.099801,0.01611895;-0.1656041;1.428774,0
535,-904;15748;820,6710;789;-873,0.009870715;0.2261539;1.273908,0.159205;0.2009846;1.272026,0.2839975;0.0394291;1.306917,0.1946409;-0.06115184;1.099364,0.01617499;-0.1656204;1.428749,0
569,-1028;15492;144,8274;1317;-473,0.009805358;0.2262216;1.273832,0.1593315;0.2009929;1.272134,0.2840989;0.03940907;1.307104,0.1972047;-0.06120049;1.098518,0.01634349;-0.1655149;1.428914,0
605,-1064;15796;-264,10243;1598;-875,0.00973462;0.2263049;1.273854,0.1595497;0.2010266;1.272465,0.2844808;0.03931896;1.308043,0.1981114;-0.0611448;1.099169,0.01627447;-0.1649201;1.430191,0
636,-944;15356;-1292,11223;1334;-1373,0.009938482;0.2260288;1.273932,0.1596207;0.2010139;1.272483,0.284579;0.03921591;1.308084,0.1983023;-0.06056594;1.098843,0.01622127;-0.1649208;1.430182,0
668,-948;15560;-1828,13602;2683;-1740,0.01037028;0.2258912;1.274729,0.1597817;0.2010522;1.272749,0.2798894;0.02010796;1.299129,0.1980619;-0.06151237;1.097477,0.01642109;-0.1645617;1.431005,0
700,-1136;15420;-3436,13697;1205;-1876,0.01063271;0.2257493;1.275017,0.1599139;0.2010776;1.272922,0.2769908;0.0119094;1.291776,0.1949262;-0.06444771;1.088953,0.01645128;-0.164402;1.431296,0
753,-1160;15316;-4616,14293;1167;-2241,0.01045472;0.2259325;1.274842,0.1599897;0.2010968;1.272988,0.2756986;0.009863606;1.289586,0.1936689;-0.06555295;1.085725,0.01642728;-0.164394;1.431288,0
