Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-4756;-11608;9844,988;-282;-995,-0.2605245;-0.0868696;1.062829,-0.2777318;0.02139703;1.286047,-0.166494;0.1988425;1.224519,-0.00862499;0.1966429;1.217955,-0.02343791;-0.1945904;1.389238,0
36,-4828;-12284;9892,2404;-762;-613,-0.2602527;-0.08686697;1.061763,-0.277792;0.02123922;1.285641,-0.1665263;0.198736;1.224267,-0.008630741;0.1966308;1.217947,-0.02343033;-0.1946112;1.389232,0
68,-4452;-11180;9496,2333;-557;-882,-0.2602179;-0.08683275;1.061833,-0.2778886;0.02125762;1.285209,-0.1664174;0.1986528;1.223903,-0.008629289;0.1966258;1.217935,-0.02333155;-0.1947216;1.389065,0
99,-4820;-11808;9996,-72;358;-1214,-0.2601998;-0.08676974;1.06198,-0.2781587;0.02112463;1.284304,-0.1663814;0.1985182;1.223434,-0.008619614;0.1966037;1.217914,-0.0232746;-0.1949355;1.388806,0
171,-4860;-11876;9892,1014;-161;-1170,-0.2604411;-0.08568979;1.063666,-0.2786337;0.0209564;1.283231,-0.1664293;0.1983558;1.222999,-0.008622633;0.1965684;1.217891,-0.02329069;-0.1951878;1.388537,0
200,-4804;-11696;10000,309;-141;-1341,-0.2610166;-0.08445831;1.067026,-0.2787716;0.02094327;1.282944,-0.1664442;0.1983149;1.22283,-0.008628109;0.1965572;1.217876,-0.02322588;-0.1952744;1.388401,0
232,-4880;-11932;9964,1059;-350;-1100,-0.2610612;-0.08413759;1.067851,-0.2789867;0.02092972;1.282631,-0.1664731;0.1982466;1.222671,-0.008637306;0.1965449;1.217874,-0.02330482;-0.1953537;1.388353,0
269,-4820;-11724;9628,996;-347;-1191,-0.2611391;-0.08393186;1.068285,-0.2793307;0.02099996;1.282085,-0.1664698;0.1981473;1.222256,-0.008633487;0.1965309;1.217857,-0.02324222;-0.1954753;1.388165,0
303,-5156;-12060;9832,705;-284;-1335,-0.2605845;-0.08501033;1.065348,-0.2794305;0.02110671;1.281972,-0.1664518;0.1981412;1.222063,-0.008635858;0.1965246;1.217861,-0.02324144;-0.1955064;1.388165,0
332,-4860;-11700;9692,1526;-527;-1201,-0.2605965;-0.08546676;1.064342,-0.2795274;0.02106782;1.281719,-0.1664661;0.1980813;1.221885,-0.008637993;0.1965145;1.21786,-0.02323879;-0.1955097;1.388162,0
