Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,3328;1780;-16936,19682;-2282;431,-0.03084282;0.05780625;1.342225,0.1537361;0.02282642;1.378526,0.2390224;-0.1468621;1.437666,0.221009;-0.2130138;1.192109,-0.02999466;-0.4368033;1.462885,0
32,3060;-856;-17476,11978;-2643;78,-0.03085557;0.05780927;1.342223,0.1537915;0.02279766;1.378488,0.2391504;-0.1464426;1.437403,0.2210231;-0.2129448;1.192128,-0.0300021;-0.4368014;1.462883,0
66,3128;-1420;-17220,9527;-2866;-266,-0.03081801;0.0578167;1.34225,0.153831;0.02276096;1.378488,0.2394406;-0.1465367;1.437619,0.2210464;-0.2129328;1.192116,-0.03001631;-0.4367863;1.462899,0
98,2916;-1308;-16020,8650;-2012;-1048,-0.03083375;0.05782504;1.342249,0.153874;0.0227225;1.378453,0.2394938;-0.14664;1.437589,0.2210978;-0.2128797;1.192136,-0.03002632;-0.4367926;1.46291,0
133,2308;-2276;-17364,9331;-4118;-288,-0.03085788;0.05784107;1.34227,0.1539152;0.02271899;1.378402,0.239707;-0.1460463;1.437632,0.2211915;-0.2126761;1.192103,-0.03004073;-0.4367511;1.462918,0
165,2204;-2420;-17032,5745;-2809;-298,-0.03083079;0.05785924;1.342243,0.1539688;0.02270238;1.378389,0.2399385;-0.1462323;1.437735,0.2215429;-0.2124037;1.191964,-0.03003928;-0.4367723;1.462919,0
202,1528;-4060;-18976,6468;-3830;-450,-0.03082031;0.05787041;1.342155,0.1540139;0.02268384;1.37831,0.2399765;-0.1463354;1.437447,0.2216842;-0.2120841;1.19165,-0.03007393;-0.4367408;1.462797,0
239,2152;-3304;-18288,4222;-1911;-983,-0.03077773;0.05787509;1.342116,0.1540725;0.0226721;1.378281,0.2401754;-0.1462142;1.437416,0.221789;-0.2118847;1.191507,-0.02994035;-0.4368215;1.462642,0
265,1304;-4248;-18476,1658;-1215;-2087,-0.03077246;0.05791262;1.342148,0.1541018;0.02264919;1.378259,0.2400992;-0.1462397;1.437285,0.2220201;-0.2117338;1.191364,-0.03004002;-0.436781;1.462707,0
299,1596;-3816;-18120,2189;-1853;-1346,-0.03072059;0.05794853;1.34223,0.1541321;0.02262548;1.378266,0.24015;-0.1461405;1.437451,0.2223552;-0.2116043;1.191304,-0.02996312;-0.4367979;1.462747,0
331,1308;-3408;-17980,577;-342;-1448,-0.0307008;0.05795033;1.342252,0.1541645;0.02261671;1.378272,0.240153;-0.1461408;1.437458,0.2223877;-0.2115241;1.191276,-0.02994523;-0.4367725;1.46278,0
365,1528;-3636;-17452,950;-408;-403,-0.03063038;0.05807769;1.342744,0.1542551;0.02260499;1.37839,0.2400966;-0.1460043;1.438058,0.2225321;-0.211478;1.191427,-0.02994441;-0.4367547;1.463412,0
399,1240;-3500;-17164,173;82;-958,-0.03061886;0.05808992;1.34273,0.1542916;0.02258502;1.378379,0.2401463;-0.1460687;1.438095,0.2228901;-0.2112721;1.191357,-0.0299448;-0.4367393;1.463382,0
434,1424;-4696;-16920,434;-339;-611,-0.03061086;0.05809422;1.342721,0.1543124;0.02257778;1.378371,0.2401436;-0.1460465;1.438116,0.2228705;-0.2110572;1.191154,-0.0299682;-0.4367196;1.463372,0
465,1164;-4076;-16624,622;-338;-1019,-0.03059943;0.05810158;1.342727,0.1543455;0.02258821;1.378347,0.2401303;-0.1458912;1.438163,0.222982;-0.2109469;1.191126,-0.02997752;-0.4367057;1.463373,0
499,1364;-4356;-16964,687;-160;-945,-0.03061196;0.05813205;1.342672,0.1543739;0.02257852;1.378324,0.2400891;-0.1456865;1.438285,0.2233202;-0.2107863;1.190785,-0.02995482;-0.4367376;1.463315,0
532,1276;-3880;-16924,1185;-642;-811,-0.03060187;0.05810624;1.342271,0.1544258;0.02257327;1.378108,0.2399502;-0.1455912;1.437723,0.2229919;-0.2104557;1.189727,-0.03002682;-0.4367763;1.462858,0
565,1496;-4212;-17020,597;19;-788,-0.03056962;0.05811146;1.342194,0.1544545;0.02258613;1.378019,0.2398903;-0.1456254;1.437567,0.2231176;-0.2103852;1.189515,-0.03001234;-0.4367628;1.462847,0
599,1552;-3912;-16976,832;-149;-869,-0.03042431;0.05804199;1.341697,0.1545007;0.02257561;1.377841,0.2396945;-0.1456508;1.437273,0.2231278;-0.2103152;1.189483,-0.03004827;-0.4367311;1.462439,0
646,1680;-4152;-17316,1007;263;-828,-0.03043059;0.0580444;1.341704,0.1545257;0.02254161;1.377861,0.2398186;-0.1457335;1.437373,0.223228;-0.2102748;1.189446,-0.03001679;-0.4367766;1.462467,0
666,1796;-4076;-17408,648;75;-950,-0.03043081;0.05804784;1.341708,0.1545294;0.02254054;1.377857,0.2397389;-0.1459907;1.438022,0.2233797;-0.2108227;1.188187,-0.03001665;-0.4367886;1.462462,0
698,1640;-3680;-17036,907;542;-1087,-0.03043214;0.05805793;1.341748,0.1545396;0.02253788;1.377852,0.2397794;-0.1461202;1.438507,0.2255844;-0.2101585;1.189166,-0.03001298;-0.4367827;1.462492,0
732,1796;-4076;-16884,767;613;-1039,-0.03039782;0.05805377;1.34169,0.1545559;0.02247433;1.377771,0.2397105;-0.1462756;1.438228,0.2253447;-0.209998;1.188714,-0.02996939;-0.4367582;1.4624,0
765,1732;-3604;-16796,945;356;-1171,-0.03038328;0.05806301;1.341645,0.1545627;0.02247221;1.377758,0.2396791;-0.1460054;1.438136,0.2254226;-0.2099358;1.188713,-0.03002268;-0.436713;1.462355,0
798,1752;-4032;-16888,992;37;-1066,-0.03039171;0.05813749;1.341802,0.1545776;0.02249503;1.377764,0.2395803;-0.1459508;1.438317,0.2260695;-0.2099874;1.189372,-0.03008836;-0.4365398;1.462736,0
833,1812;-3884;-17316,965;196;-1211,-0.03043683;0.0581581;1.341788,0.1545841;0.02248093;1.377749,0.2397783;-0.145806;1.438781,0.2265963;-0.2098397;1.189505,-0.03011774;-0.4365289;1.462747,0
871,1716;-3220;-17700,-237;-281;-1345,-0.03044718;0.05816894;1.3418,0.1545898;0.02250229;1.377732,0.2397535;-0.1457393;1.438985,0.2272191;-0.2098871;1.19019,-0.03010066;-0.436536;1.462853,0
900,1652;-2332;-18224,-8445;-1682;-1695,-0.03045009;0.05818972;1.341839,0.1546022;0.0225079;1.377736,0.239544;-0.1456108;1.439052,0.2276947;-0.2098938;1.19109,-0.03008363;-0.4365199;1.462873,0
933,1376;-1100;-18536,-10726;-1812;-1471,-0.03048892;0.05824621;1.341956,0.1546081;0.0225068;1.377749,0.241017;-0.1435802;1.442002,0.2278209;-0.2098397;1.191358,-0.03005899;-0.4365246;1.46295,0
964,2260;3212;-19328,-29533;-1934;1131,-0.03051508;0.05824762;1.341987,0.154616;0.02249972;1.377746,0.2410734;-0.1429673;1.441881,0.2284814;-0.2097888;1.192793,-0.03007532;-0.4365612;1.462959,0
998,-32;6492;-19236,-32768;-1989;-1629,-0.03051868;0.05820331;1.341914,0.1546079;0.02248095;1.377712,0.2411527;-0.1430396;1.441774,0.2289585;-0.2096909;1.193552,-0.03010534;-0.4365819;1.462868,0
1034,3296;4404;-17576,-29826;-1177;3517,-0.03059708;0.0582426;1.34228,0.1531906;0.0233086;1.379012,0.2411805;-0.1430055;1.441868,0.2302826;-0.2097923;1.195441,-0.03014304;-0.4365403;1.463284,0
1067,528;12932;-13336,-25912;-57;1543,-0.03060973;0.05823292;1.34228,0.1532727;0.02325992;1.37894,0.2414906;-0.1429867;1.441606,0.2306229;-0.2097281;1.196214,-0.03014857;-0.4365138;1.463303,0
1102,1068;10736;-10716,-32768;-939;1599,-0.03064261;0.05822019;1.342279,0.1533535;0.02322505;1.378874,0.2422452;-0.1423657;1.442635,0.2307982;-0.2100874;1.195835,-0.03016737;-0.4365321;1.463304,0
1131,580;14352;-9364,-32768;-4378;1174,-0.03066797;0.05814821;1.342083,0.1534099;0.02313794;1.378637,0.2424815;-0.1424104;1.442151,0.2312109;-0.2101453;1.196546,-0.03015144;-0.4364818;1.463093,0
1164,2248;13664;-6756,-32768;-5180;-365,-0.03068622;0.05812561;1.342083,0.1534249;0.02311926;1.378547,0.2424547;-0.1425069;1.442183,0.2322659;-0.2098567;1.19904,-0.03016469;-0.4364802;1.463082,0
1199,832;17700;-4328,-32768;-7947;-29,-0.03073952;0.05810152;1.342058,0.1535038;0.02306134;1.3785,0.2423646;-0.1425301;1.442213,0.2341456;-0.2094661;1.202863,-0.03016265;-0.4364817;1.463086,0
1233,3584;9804;-704,-32768;-1911;-2362,-0.03069443;0.05802222;1.341988,0.1535389;0.02304764;1.378486,0.2424775;-0.1423805;1.44213,0.2352471;-0.2097139;1.204833,-0.03015969;-0.4364886;1.463099,0
1266,1260;13760;4128,-16150;1626;-3333,-0.03073514;0.05801002;1.341997,0.1535895;0.0229949;1.378423,0.2425561;-0.1423938;1.442211,0.2366231;-0.209775;1.206567,-0.03017936;-0.4365207;1.463122,0
1301,1380;12276;6432,-21073;-267;-2195,-0.0307524;0.05800167;1.342001,0.1536688;0.02293417;1.378426,0.2425194;-0.1423766;1.442201,0.2372313;-0.2101324;1.207849,-0.03022271;-0.4365621;1.463131,0
1334,1108;12080;8428,-20507;-208;-4215,-0.03080346;0.05799771;1.341974,0.1537015;0.0229117;1.378347,0.2423323;-0.1431015;1.441915,0.2380349;-0.2102025;1.20845,-0.03022736;-0.4365761;1.463105,0
1364,1208;9320;10516,-19537;533;-5213,-0.03086365;0.05797319;1.342199,0.1537781;0.02289887;1.378395,0.2421139;-0.1459012;1.445394,0.2414516;-0.2110454;1.218055,-0.03036006;-0.4365443;1.463468,0
1399,44;8908;12724,-14260;1781;-5207,-0.03090701;0.05796323;1.342201,0.1538231;0.02289439;1.378345,0.2417674;-0.1465676;1.445441,0.2419342;-0.2110665;1.218646,-0.03036454;-0.4365479;1.463471,0
1433,-16;9064;13976,-9208;849;-3910,-0.03093371;0.05794202;1.3422,0.1538502;0.02287861;1.378275,0.2407372;-0.1480039;1.443813,0.2423806;-0.2112591;1.219139,-0.03036946;-0.436552;1.463463,0
1464,-128;7860;14472,-5789;1998;-3415,-0.03098023;0.05786867;1.341899,0.1539705;0.02280535;1.378206,0.2403273;-0.1488926;1.443391,0.2423204;-0.2126676;1.218596,-0.03036047;-0.436583;1.463233,0
1501,-360;7864;15252,-3729;1755;-3268,-0.0309946;0.05785769;1.341933,0.1539776;0.02279674;1.378203,0.2401166;-0.1492586;1.442704,0.2431641;-0.2128436;1.219393,-0.03037002;-0.4366336;1.463254,0
1536,-844;7324;14728,-1458;1287;-2437,-0.03100288;0.05785668;1.341937,0.1539998;0.02278472;1.378187,0.2392354;-0.1504539;1.441377,0.2437929;-0.2132356;1.220003,-0.03036799;-0.4366369;1.463255,0
