Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-1356;-7076;15444,-11016;-1555;-5126,-0.09381927;0.01585296;1.185661,-0.1397622;0.1258702;1.382082,-0.04209275;0.3062317;1.361205,0.1191229;0.3180332;1.34155,0.1042797;-0.1527003;1.525359,0
24,-372;-7716;13552,-11522;-1973;-4344,-0.09359629;0.01552362;1.185151,-0.1400485;0.1258179;1.381295,-0.04206993;0.3062695;1.361185,0.1191281;0.318033;1.34155,0.1042889;-0.1526988;1.525349,0
48,-548;-10392;12328,-12523;-2865;-3112,-0.09335043;0.01573202;1.185068,-0.1398982;0.1257838;1.381326,-0.04205664;0.3062259;1.361047,0.1190869;0.3180377;1.34147,0.1043319;-0.15275;1.52519,0
79,820;-10632;10812,-10057;-2636;-1768,-0.09328721;0.01574096;1.184973,-0.1400081;0.1256946;1.381246,-0.04204155;0.3062302;1.361038,0.119077;0.3180458;1.341456,0.1043517;-0.1527488;1.525177,0
113,-56;-12456;10232,-8093;-2467;-2619,-0.09320881;0.01569822;1.184828,-0.1400056;0.1257646;1.381019,-0.04202892;0.3062342;1.36103,0.1190576;0.3180697;1.341459,0.1043942;-0.1527724;1.525148,0
148,268;-12556;9576,239;-2997;-694,-0.09307433;0.0157154;1.18487,-0.1399826;0.1257709;1.38104,-0.04197911;0.3063908;1.361304,0.1191521;0.3182096;1.34184,0.1044927;-0.1527011;1.525545,0
183,-188;-12808;10036,7320;-4883;252,-0.09299884;0.01557123;1.184621,-0.1399717;0.1257458;1.380708,-0.04197804;0.3063833;1.361292,0.1191506;0.318212;1.341838,0.1045111;-0.1526891;1.525528,0
214,1092;-12124;10236,11460;-5871;1684,-0.09292229;0.01532252;1.184091,-0.139857;0.1257354;1.380051,-0.04196389;0.306331;1.36114,0.119083;0.3182476;1.341784,0.1045748;-0.1527271;1.525403,0
249,424;-7144;9296,20492;577;1453,-0.09281935;0.01537433;1.18408,-0.1398747;0.1257233;1.380049,-0.04191883;0.3062285;1.360726,0.1190533;0.3181898;1.341457,0.1045339;-0.1527675;1.525069,0
282,808;-8080;13884,13533;-1345;561,-0.09279944;0.01510137;1.184957,-0.1403389;0.1257729;1.380622,-0.04190048;0.3064688;1.360948,0.1190455;0.3183399;1.341775,0.1045184;-0.1527632;1.52511,0
