Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-2268;-11868;10644,13852;-2496;880,-0.2199047;-0.5155477;1.079428,-0.2880307;-0.4251043;1.251568,-0.219515;-0.1985914;1.360409,-0.04589865;-0.1794537;1.372978,-0.0612779;-0.6110444;1.377972,0
36,-1576;-8916;10696,9640;-910;-490,-0.2409711;-0.4196521;1.024438,-0.2877317;-0.4251035;1.251175,-0.219508;-0.1986605;1.360394,-0.0460999;-0.1794506;1.372986,-0.06129096;-0.6110585;1.377966,0
67,-2456;-10240;12124,5691;-742;-178,-0.2169783;-0.5087851;1.061936,-0.2864439;-0.4248789;1.249422,-0.2194987;-0.1987377;1.360267,-0.04621861;-0.1794234;1.372808,-0.06119635;-0.6110247;1.377811,0
99,-2116;-9888;12144,2700;-314;-498,-0.2396352;-0.4257341;1.05896,-0.2858891;-0.4250357;1.249087,-0.2194904;-0.1988481;1.360205,-0.04631517;-0.1794216;1.372824,-0.06117658;-0.61105;1.377818,0
136,-2384;-10956;12576,1449;-345;-619,-0.2195146;-0.509407;1.069859,-0.2871716;-0.4251858;1.250139,-0.2194787;-0.1989197;1.360157,-0.04639933;-0.1794282;1.372829,-0.06111247;-0.6110302;1.377764,0
168,-2396;-10248;12196,869;-99;-957,-0.242881;-0.4236913;1.059636,-0.2857559;-0.4233949;1.250558,-0.2190842;-0.1968247;1.360641,-0.04509234;-0.1793901;1.372679,-0.06110613;-0.6109362;1.37778,0
201,-2728;-10596;12428,1076;-315;-990,-0.219174;-0.5093278;1.063933,-0.2856746;-0.4237269;1.250184,-0.2191528;-0.1972506;1.360582,-0.04536391;-0.179359;1.372646,-0.06110163;-0.6109288;1.377774,0
234,-2724;-10624;12264,985;-352;-936,-0.2449984;-0.412054;1.009284,-0.2858342;-0.4242238;1.25006,-0.2191859;-0.1976835;1.360211,-0.04553703;-0.1793648;1.372489,-0.0610754;-0.6109183;1.377699,0
270,-2340;-10500;12248,807;-452;-1098,-0.24379;-0.4213345;1.058847,-0.2852068;-0.424989;1.250075,-0.2192887;-0.1981364;1.359994,-0.04588419;-0.1793459;1.372463,-0.06109976;-0.6109419;1.377683,0
299,-2424;-10392;12216,249;-129;-1064,-0.2425977;-0.423062;1.059222,-0.2846714;-0.4254285;1.250321,-0.2193052;-0.1982874;1.35994,-0.0461328;-0.179356;1.372504,-0.06102235;-0.6109496;1.377664,0
334,-2436;-10064;12132,640;-495;-1037,-0.2425967;-0.4241266;1.05927,-0.2847444;-0.4255922;1.250356,-0.2193617;-0.1984709;1.360005,-0.04639151;-0.1793799;1.372621,-0.06098289;-0.6109467;1.377695,0
367,-2680;-10952;12296,980;-499;-774,-0.2401354;-0.4309705;1.059972,-0.2849463;-0.4264283;1.252255,-0.2193659;-0.1985565;1.359963,-0.04654313;-0.1793874;1.372644,-0.0609306;-0.61096;1.377679,0
401,-2672;-10140;11732,872;-354;-1157,-0.2426795;-0.4254534;1.061123,-0.2850426;-0.4265525;1.252161,-0.2194317;-0.1987312;1.359965,-0.04484522;-0.1794383;1.372318,-0.06085133;-0.6109659;1.377637,0
434,-2320;-10496;12088,163;-432;-1112,-0.2430597;-0.4343241;1.06107,-0.2848841;-0.4266609;1.252024,-0.2194624;-0.1988425;1.359967,-0.04383487;-0.1794405;1.372311,-0.06081966;-0.6109667;1.377638,0
468,-2596;-10720;11684,1500;-665;-974,-0.2429851;-0.4348842;1.060996,-0.2852131;-0.4266039;1.251832,-0.2194441;-0.1989499;1.359922,-0.04431761;-0.1794349;1.372303,-0.06080089;-0.6109695;1.377636,0
499,-2548;-10784;12132,989;-505;-1134,-0.2435178;-0.4340197;1.060744,-0.2854384;-0.4265543;1.251686,-0.2194687;-0.1990224;1.359925,-0.04474416;-0.1794604;1.372365,-0.06080233;-0.6110222;1.377602,0
534,-2552;-10820;11884,1141;-582;-1075,-0.2447931;-0.4386827;1.060142,-0.2857599;-0.4263558;1.251006,-0.2192607;-0.1990557;1.359427,-0.04518566;-0.1793735;1.372153,-0.06073232;-0.6109845;1.37744,0
568,-2372;-10244;11864,875;-441;-961,-0.2456541;-0.4308395;1.051799,-0.2858222;-0.4267349;1.251701,-0.2192584;-0.1991159;1.359305,-0.04552487;-0.1793246;1.371767,-0.06066662;-0.610957;1.377131,0
601,-2616;-10876;11960,1501;-392;-556,-0.2482404;-0.4304751;1.061375,-0.2756927;-0.4300245;1.25614,-0.2192438;-0.1991703;1.359194,-0.04580016;-0.1793171;1.37165,-0.06068676;-0.6110076;1.377038,0
633,-2564;-10304;12096,126;-200;-1280,-0.2480068;-0.4424756;1.067081,-0.2808212;-0.431376;1.259588,-0.2192177;-0.1993422;1.359512,-0.04619126;-0.1793541;1.372512,-0.06071772;-0.6111095;1.377559,0
667,-2172;-10340;11848,1737;-544;-850,-0.2495628;-0.4276098;1.066203,-0.2824502;-0.4309311;1.259077,-0.2191961;-0.1993979;1.359123,-0.04643563;-0.1793352;1.37222,-0.06063657;-0.6110498;1.377179,0
700,-2636;-11124;11972,1135;-469;-809,-0.2504643;-0.4256548;1.067066,-0.2836613;-0.4302215;1.259869,-0.2191929;-0.1994242;1.359093,-0.04504897;-0.179364;1.371974,-0.06063106;-0.6110697;1.377128,0
733,-2244;-10000;11964,-1178;312;-887,-0.2511995;-0.4235119;1.067989,-0.2845846;-0.4302271;1.260707,-0.2191932;-0.199445;1.359092,-0.04535122;-0.1793648;1.371979,-0.06054566;-0.6110704;1.377072,0
767,-2640;-11580;11816,1479;-853;-1139,-0.2509626;-0.4244063;1.067944,-0.2847432;-0.4302827;1.260617,-0.2191857;-0.1994466;1.359091,-0.04561904;-0.1793521;1.371914,-0.06054858;-0.6110258;1.376997,0
801,-1944;-9220;11088,-6407;1071;-1673,-0.2505596;-0.4279463;1.067557,-0.2853539;-0.4304376;1.260105,-0.2191861;-0.1994717;1.35909,-0.04585791;-0.1794174;1.372,-0.06053406;-0.6111033;1.377029,0
836,-2428;-12424;11272,2143;-1394;-936,-0.2504168;-0.4281014;1.066715,-0.2862514;-0.4293695;1.25908,-0.2191891;-0.1994769;1.359089,-0.04616275;-0.1793962;1.371862,-0.0605618;-0.6111324;1.376979,0
866,-2292;-10724;10656,-6510;1290;-1781,-0.2484608;-0.4298006;1.066068,-0.2861005;-0.429657;1.258084,-0.2192592;-0.1995965;1.359288,-0.04649339;-0.1793893;1.372295,-0.06052814;-0.6111723;1.377251,0
900,-2300;-10992;9944,-6212;738;-2137,-0.2469624;-0.4348101;1.066534,-0.2861096;-0.4297673;1.258154,-0.2194205;-0.1997609;1.359612,-0.04669908;-0.1794234;1.372353,-0.0605259;-0.6112335;1.377294,0
933,-2768;-12812;9012,-18447;3322;-3257,-0.2470324;-0.4347073;1.065783,-0.285646;-0.4296758;1.257511,-0.2194237;-0.19978;1.35962,-0.04687006;-0.1794595;1.372344,-0.06052569;-0.6112331;1.377294,0
966,-2988;-15336;7704,-9664;556;-2195,-0.2476395;-0.4370752;1.05937,-0.2867162;-0.4291636;1.257017,-0.2195794;-0.1998894;1.360026,-0.04720156;-0.1794367;1.372838,-0.06054094;-0.6113974;1.377558,0
1001,-1948;-13200;5456,-13167;2809;-3217,-0.2456547;-0.4492839;1.065773,-0.2856999;-0.4296551;1.257447,-0.2196727;-0.1999257;1.360129,-0.04727415;-0.1794336;1.37281,-0.06050336;-0.6114708;1.377517,0
1038,-3248;-16684;5576,-10692;1395;-2298,-0.2339585;-0.4656174;1.053998,-0.2836717;-0.4300759;1.256657,-0.2196916;-0.1999841;1.359933,-0.0474406;-0.1794402;1.372627,-0.06043847;-0.6114922;1.377353,0
1070,-1760;-14224;3132,-11870;2241;-2967,-0.2523142;-0.420339;1.063893,-0.2835747;-0.4301862;1.256846,-0.2197123;-0.1999884;1.359935,-0.04759356;-0.1794133;1.372699,-0.06043961;-0.6115081;1.377347,0
1100,-3164;-17236;2280,-18519;3188;-3314,-0.2516859;-0.4204212;1.063237,-0.2821456;-0.4304619;1.256308,-0.2197055;-0.2000087;1.35977,-0.04767948;-0.1793925;1.372625,-0.06041192;-0.6114657;1.37727,0
1133,-1716;-15488;-620,-19004;3060;-3623,-0.2697167;-0.3892133;1.066329,-0.2811736;-0.4311295;1.257229,-0.2197058;-0.2000295;1.359708,-0.04778955;-0.17935;1.372601,-0.06038681;-0.6114489;1.377255,0
1168,-2148;-17200;-2608,-21488;3561;-4491,-0.2458681;-0.4220008;1.064764,-0.2806685;-0.4312761;1.257138,-0.2198319;-0.2000951;1.359849,-0.04787684;-0.179324;1.37267,-0.06031104;-0.6114279;1.377306,0
1200,-632;-13828;-5972,-21557;3413;-3204,-0.2465945;-0.4218051;1.06502,-0.2793632;-0.43187;1.257713,-0.2198757;-0.2001507;1.359955,-0.04804878;-0.1793278;1.372834,-0.06026012;-0.611437;1.37743,0
1235,-1196;-15528;-8076,-25588;4649;-3780,-0.2534486;-0.4147572;1.063203,-0.2795415;-0.4313618;1.256482,-0.2199415;-0.2001839;1.360054,-0.04816807;-0.1793031;1.372896,-0.06024263;-0.6114242;1.37745,0
1269,-492;-13640;-10584,-21774;2882;-3564,-0.2508754;-0.4189522;1.062636,-0.2800283;-0.4309789;1.255803,-0.2199355;-0.2001967;1.360054,-0.04823502;-0.179331;1.372944,-0.06028143;-0.6114419;1.377488,0
1300,-804;-13320;-12268,-16387;2592;-2974,-0.2463353;-0.4199864;1.061425,-0.2796801;-0.4304376;1.254001,-0.2199412;-0.200259;1.360014,-0.04828945;-0.1793346;1.372951,-0.06028261;-0.6114128;1.377501,0
1335,1280;-7540;-14476,-13913;2370;-2520,-0.2444334;-0.4193568;1.059984,-0.2800362;-0.4298093;1.252158,-0.2199235;-0.2003475;1.359696,-0.04842984;-0.1793114;1.372657,-0.06018453;-0.6113577;1.377307,0
1368,-176;-13308;-13124,-31919;5430;-3313,-0.2445772;-0.4194892;1.055727,-0.2768782;-0.4291266;1.24852,-0.2199203;-0.200351;1.359686,-0.04849041;-0.1793043;1.37264,-0.0601938;-0.6113617;1.3773,0
1402,44;-9560;-15244,6764;-3770;-2484,-0.2439542;-0.420484;1.056192,-0.2779447;-0.4289634;1.248745,-0.2199185;-0.2003708;1.359692,-0.0485424;-0.1793066;1.372695,-0.06020035;-0.6113383;1.377337,0
1434,2192;-2556;-17672,-4434;-96;-1158,-0.2511887;-0.4124336;1.054484,-0.2767648;-0.4288709;1.247847,-0.2199055;-0.2003764;1.359728,-0.04860809;-0.1793145;1.372814,-0.06015115;-0.6113199;1.377411,0
1468,412;-9640;-15112,-2926;-496;-1228,-0.2469298;-0.4152166;1.054919,-0.2770216;-0.4288405;1.247845,-0.219883;-0.200423;1.359736,-0.048646;-0.1793276;1.372824,-0.06015204;-0.6113182;1.377422,0
1501,1404;-5372;-17212,2612;-1635;-1593,-0.2553532;-0.4119128;1.054291,-0.2771604;-0.4289575;1.24806,-0.2198955;-0.2004527;1.359673,-0.04869261;-0.1793311;1.372694,-0.06015312;-0.6113001;1.377383,0
1534,956;-7460;-16152,-1036;-253;-655,-0.2540503;-0.4117794;1.056684,-0.2783176;-0.4295522;1.250101,-0.2198539;-0.2004679;1.359609,-0.04870007;-0.1793312;1.372687,-0.06013885;-0.6112897;1.377377,0
1567,808;-7700;-16092,3978;-1181;-1111,-0.2435978;-0.4190658;1.061235,-0.2810537;-0.4300705;1.253028,-0.2198416;-0.2005444;1.359669,-0.04874657;-0.1793241;1.372743,-0.06012328;-0.6112974;1.377458,0
1601,544;-7608;-15948,8536;-2201;-388,-0.2437785;-0.4182002;1.060145,-0.2809203;-0.4298818;1.251962,-0.2197846;-0.2005959;1.359248,-0.04877759;-0.1793178;1.372595,-0.06009226;-0.6112446;1.37717,0
1632,128;-9092;-15828,17629;-4155;-122,-0.2556605;-0.4130512;1.058092,-0.280509;-0.4298356;1.25152,-0.2197881;-0.2006158;1.359244,-0.04878658;-0.1793173;1.37259,-0.06008755;-0.6112442;1.377174,0
1668,492;-9016;-15308,16465;-3018;182,-0.2529095;-0.4134241;1.05699,-0.2814212;-0.429139;1.250003,-0.2197299;-0.2006675;1.358896,-0.0488417;-0.1793275;1.372366,-0.06016514;-0.6112208;1.377014,0
1700,-1536;-15316;-13136,28382;-5609;403,-0.2521101;-0.413407;1.056852,-0.2815975;-0.4289765;1.24973,-0.2197281;-0.2006686;1.358896,-0.04886169;-0.17934;1.372362,-0.06016445;-0.6112089;1.377015,0
