Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,352;13224;5856,15362;339;80,-0.1662572;-0.09617479;1.268744,-0.005632647;-0.102685;1.328557,0.1259824;-0.3081773;1.316292,0.1501066;-0.3310127;1.101923,-0.1253503;-0.552129;1.383287,0
33,-152;15968;5528,13672;49;-61,-0.1662721;-0.09614728;1.268698,-0.005618612;-0.102684;1.328547,0.1259305;-0.3079979;1.316385,0.1481195;-0.3221702;1.123495,-0.1253463;-0.5521383;1.383272,0
67,540;14772;3656,17409;652;184,-0.1662833;-0.09614546;1.268735,-0.005614651;-0.102688;1.328552,0.126002;-0.3080149;1.316425,0.1544862;-0.3381165;1.126352,-0.1253538;-0.5521434;1.383273,0
100,324;16220;2540,18809;1063;-54,-0.1662576;-0.09617992;1.268749,-0.005563765;-0.102682;1.328566,0.1261068;-0.3079792;1.316454,0.1546033;-0.3380046;1.126371,-0.125357;-0.552148;1.383278,0
134,280;16548;588,19007;949;1,-0.1662405;-0.09618846;1.268739,-0.005558486;-0.1026765;1.328557,0.1261432;-0.3079522;1.316436,0.1545759;-0.3380905;1.126361,-0.1253423;-0.5521271;1.383271,0
166,312;16072;-960,18636;1302;-98,-0.16624;-0.09618852;1.268743,-0.005556818;-0.102679;1.328551,0.1261831;-0.307945;1.316482,0.1546051;-0.3380133;1.126394,-0.1253468;-0.5520997;1.383274,0
199,340;16760;-2528,15164;855;-72,-0.1662314;-0.09619349;1.268748,-0.005521598;-0.1027201;1.328489,0.1261816;-0.3079369;1.316399,0.1500291;-0.3306154;1.101983,-0.1253406;-0.5520989;1.383268,0
233,812;15040;-4164,16386;1308;-197,-0.1662211;-0.09620377;1.268755,-0.005508426;-0.1027197;1.328481,0.1261186;-0.3080403;1.316262,0.1500314;-0.3306135;1.101842,-0.1252936;-0.5520835;1.383257,0
265,528;16448;-5208,15516;1036;-245,-0.1661942;-0.09623215;1.268764,-0.005479415;-0.1027916;1.328416,0.1260829;-0.3079736;1.316298,0.1549842;-0.3373084;1.126164,-0.1252926;-0.5520932;1.38325,0
301,972;14152;-6908,15940;1477;-307,-0.1661924;-0.09623449;1.268769,-0.005462521;-0.1028129;1.328371,0.126064;-0.3079016;1.316363,0.1547679;-0.3372894;1.126207,-0.1252908;-0.552089;1.383253,0
334,860;14440;-7804,18945;1472;-363,-0.1661857;-0.09622151;1.268775,-0.005418191;-0.1029152;1.328303,0.126003;-0.3079355;1.316263,0.1499131;-0.3305534;1.101847,-0.1252903;-0.5520887;1.383252,0
365,1008;13412;-9328,15668;1112;-478,-0.1661614;-0.09623329;1.268765,-0.00540715;-0.1029146;1.328315,0.1259773;-0.3079117;1.316431,0.182798;-0.3745022;1.113579,-0.1252899;-0.5520971;1.383259,0
398,908;13364;-10592,17537;1093;-873,-0.1661709;-0.09622891;1.268771,-0.005394267;-0.1029442;1.328307,0.1261809;-0.3081035;1.315993,0.1500566;-0.3306555;1.101566,-0.1253316;-0.5521002;1.383258,0
434,1288;11680;-11944,12395;574;-823,-0.1661796;-0.09630202;1.269152,-0.005467741;-0.1029008;1.328578,0.1260802;-0.3086141;1.315869,0.1685095;-0.3676656;1.111475,-0.1252683;-0.5521346;1.383607,0
465,1096;11628;-12572,9732;434;-760,-0.1661759;-0.09631035;1.269154,-0.005450844;-0.1029218;1.328564,0.125869;-0.3096509;1.31526,0.1598527;-0.3414588;1.103143,-0.1253394;-0.5521783;1.383654,0
500,1448;11036;-13144,7784;333;-657,-0.1661912;-0.09627073;1.269201,-0.005435975;-0.1029865;1.32869,0.1256485;-0.3102716;1.315084,0.1536893;-0.3352557;1.124164,-0.1252775;-0.5521973;1.383898,0
533,1304;11060;-13404,2614;-714;-657,-0.1662486;-0.09625843;1.269231,-0.005437068;-0.1029853;1.328722,0.1254313;-0.3106101;1.31521,0.1521703;-0.3301701;1.123427,-0.1253319;-0.5522194;1.383883,0
567,1572;10144;-13484,2037;-226;-1002,-0.1662454;-0.09622986;1.269205,-0.005422965;-0.1030081;1.328704,0.1249402;-0.311399;1.315222,0.1892218;-0.377853;1.124133,-0.1253441;-0.5522163;1.383869,0
599,1464;10688;-13508,-229;-741;-962,-0.1662027;-0.09624958;1.269202,-0.005418354;-0.1030308;1.328644,0.1247467;-0.3113982;1.31541,0.1570891;-0.3611805;1.130386,-0.125345;-0.5522168;1.383844,0
