Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-3968;-2284;-16328,1144;-490;-954,-0.0713607;0.009232698;1.187343,0.09683649;-0.001346564;1.199651,0.1538116;-0.2282021;1.238791,0.1641782;-0.2654025;0.9985861,-0.04099431;-0.4557126;1.271802,0
25,-4016;-2372;-16528,1157;-466;-947,-0.07132904;0.009270328;1.18742,0.09685019;-0.001196491;1.199808,0.1538041;-0.2283749;1.238902,0.1641211;-0.2657788;0.997293,-0.04100091;-0.455684;1.271851,0
54,-4084;-2308;-16352,1144;-480;-964,-0.07126413;0.009293101;1.187218,0.09685853;-0.00115717;1.199803,0.1538384;-0.228391;1.238544,0.1641694;-0.2660427;0.9948642,-0.04091525;-0.4556959;1.271647,0
92,-4020;-2308;-16484,1134;-452;-948,-0.07125866;0.009300021;1.187217,0.09692125;-0.001019174;1.199908,0.1538227;-0.2283979;1.238569,0.1636505;-0.2657597;0.9962691,-0.04091935;-0.4556928;1.271638,0
122,-4024;-2216;-16644,1134;-482;-944,-0.0712642;0.009312284;1.187257,0.09693415;-0.0009476274;1.199983,0.1538548;-0.2283771;1.238654,0.1638945;-0.2658021;0.995874,-0.04150572;-0.4555288;1.272118,0
157,-4156;-2328;-16508,1130;-494;-960,-0.07125381;0.009328247;1.187171,0.09694748;-0.0009007659;1.199987,0.153793;-0.2285009;1.238532,0.163638;-0.265584;0.9964684,-0.0413464;-0.4555081;1.271894,0
192,-4068;-2428;-16460,1148;-471;-957,-0.07106866;0.009251802;1.186844,0.09695613;-0.0008670665;1.199977,0.1537508;-0.228476;1.238449,0.1634155;-0.2647279;0.9979311,-0.04109917;-0.4554923;1.271574,0
224,-4020;-2320;-16424,1176;-469;-963,-0.07105024;0.009235206;1.186955,0.09697796;-0.0007748497;1.200088,0.1537589;-0.2284788;1.238537,0.1635277;-0.2673243;0.9919944,-0.0412996;-0.4554689;1.271703,0
257,-4048;-2260;-16348,1146;-444;-982,-0.07101471;0.009235192;1.18696,0.0969852;-0.0007165693;1.200124,0.1537208;-0.2285766;1.238494,0.163915;-0.2665114;0.9951781,-0.04123196;-0.4554793;1.271663,0
291,-4044;-2352;-16404,1139;-458;-966,-0.07100917;0.009265325;1.187074,0.09699072;-0.0006013348;1.200271,0.1536729;-0.2286542;1.238602,0.1637436;-0.2678011;0.9923609,-0.04126315;-0.4553676;1.271852,0
325,-4072;-2284;-16444,1120;-467;-969,-0.07100494;0.009271093;1.187075,0.09700662;-0.0004846749;1.200337,0.1536693;-0.2286504;1.238524,0.1639808;-0.2681386;0.9908597,-0.04149586;-0.4552928;1.271839,0
356,-4056;-2236;-16184,1132;-471;-942,-0.07099913;0.009258774;1.18708,0.09704356;-0.0003318902;1.200441,0.1536551;-0.2286975;1.23871,0.164624;-0.2667286;0.995576,-0.04161029;-0.4553482;1.271873,0
393,-4088;-2268;-16472,1158;-464;-972,-0.07099663;0.009284711;1.187115,0.09705104;-0.0002808454;1.20054,0.1535675;-0.2290101;1.23862,0.1646315;-0.2661594;0.9979547,-0.04147337;-0.4553345;1.271932,0
425,-4084;-2228;-16340,1149;-430;-956,-0.0709564;0.009301286;1.187085,0.09706273;-0.0002651154;1.200541,0.153534;-0.2292338;1.23855,0.1647889;-0.2656614;0.9990185,-0.04136521;-0.4553541;1.271829,0
454,-4104;-2264;-16628,1130;-464;-947,-0.07096217;0.00931148;1.187104,0.09702279;-0.001259021;1.199687,0.1535362;-0.2293809;1.238763,0.1647199;-0.2654298;0.9993831,-0.04126333;-0.4554224;1.271774,0
489,-4028;-2284;-16396,1145;-469;-960,-0.07093679;0.009307295;1.187088,0.09703324;-0.001197017;1.199721,0.1535343;-0.229382;1.238736,0.1647692;-0.2653495;0.9994336,-0.0409609;-0.4554337;1.271795,0
523,-4000;-2288;-16380,1136;-491;-988,-0.07084717;0.009364303;1.187469,0.09709524;-0.001004154;1.200055,0.1534792;-0.2292485;1.23992,0.1644015;-0.2659851;0.9977719,-0.04174428;-0.4554688;1.272634,0
555,-4032;-2320;-16424,1159;-497;-956,-0.07078123;0.009345761;1.187254,0.09709084;-0.0009525453;1.20004,0.1533471;-0.2291367;1.239839,0.1555636;-0.367377;1.02842,-0.04183878;-0.4555668;1.272231,0
589,-4000;-2304;-16336,1146;-489;-934,-0.07075481;0.009363788;1.187346,0.09710611;-0.0008393601;1.200153,0.153258;-0.2289926;1.239881,0.155834;-0.3675625;1.028687,-0.04151759;-0.4555615;1.272456,0
623,-3936;-2340;-16420,1151;-468;-939,-0.0707163;0.00936334;1.187426,0.09710933;-0.0007635501;1.200245,0.1532614;-0.2288495;1.239865,0.1559239;-0.3676895;1.028854,-0.04155974;-0.4555454;1.272515,0
658,-4084;-2276;-16364,1159;-434;-954,-0.07069025;0.009328166;1.187253,0.0971101;-0.0007422258;1.200242,0.1531934;-0.228918;1.239805,0.1713562;-0.2606405;1.01222,-0.04192694;-0.4555714;1.272327,0
690,-4084;-2244;-16324,1120;-502;-950,-0.07067431;0.009331792;1.187234,0.09711075;-0.000733018;1.200258,0.1532124;-0.2299581;1.23948,0.1725245;-0.2602457;1.018867,-0.04171798;-0.4555635;1.272292,0
724,-3968;-2216;-16424,1124;-472;-963,-0.07061593;0.009316234;1.187061,0.09711137;-0.0007289316;1.200257,0.1531738;-0.2308603;1.238751,0.1751019;-0.2597085;1.021787,-0.04151838;-0.4555399;1.272045,0
756,-4040;-2356;-16524,1150;-462;-958,-0.07062221;0.009315581;1.187055,0.09713707;-0.002059649;1.199365,0.1533149;-0.2341974;1.237394,0.1571217;-0.312599;0.9968105,-0.04172538;-0.4555918;1.272131,0
791,-3948;-2356;-16444,1142;-487;-974,-0.07063006;0.009301817;1.187047,0.09710202;-0.002692129;1.198667,0.1533798;-0.2354614;1.236771,0.1602127;-0.3011349;0.9924384,-0.04210927;-0.4556727;1.272257,0
822,-3976;-2288;-16504,1145;-448;-966,-0.07053965;0.009314313;1.186909,0.0971709;-0.002458761;1.198809,0.1531372;-0.2365092;1.235733,0.1566629;-0.3794299;1.027568,-0.04207361;-0.455622;1.272219,0
856,-4040;-2288;-16340,1139;-489;-938,-0.07053252;0.009366811;1.187165,0.09725551;-0.002155792;1.199243,0.1531475;-0.2368045;1.23497,0.1691551;-0.2761209;0.9955276,-0.04184213;-0.4555536;1.272695,0
891,-4048;-2300;-16480,1110;-471;-956,-0.07055257;0.009384979;1.187274,0.09737193;-0.001885926;1.199606,0.1535019;-0.2354905;1.233284,0.1603346;-0.3691477;1.018983,-0.04186331;-0.4554928;1.272888,0
924,-4064;-2388;-16392,1143;-459;-937,-0.07047834;0.009382433;1.187197,0.0974019;-0.00175372;1.199658,0.1542091;-0.2330326;1.229618,0.160634;-0.3691868;1.016904,-0.04182792;-0.4554764;1.272865,0
954,-3976;-2220;-16400,1161;-441;-959,-0.07045977;0.009471795;1.187422,0.09747879;-0.001536899;1.20001,0.1543279;-0.2329906;1.229743,0.1811204;-0.2734221;0.9862103,-0.04173659;-0.4554647;1.273174,0
990,-3936;-2424;-16456,1152;-487;-944,-0.07047059;0.009500482;1.187406,0.09751655;-0.001371588;1.200105,0.1543446;-0.2329442;1.229568,0.1803286;-0.2727949;0.9898234,-0.04165198;-0.4554026;1.273265,0
1024,-4076;-2304;-16380,1123;-448;-973,-0.07047898;0.009512124;1.187387,0.0975361;-0.001259677;1.200213,0.1550073;-0.2309405;1.229417,0.1811191;-0.272777;0.9885098,-0.04135248;-0.4554092;1.273239,0
1058,-3916;-2268;-16368,1156;-448;-954,-0.07041685;0.009532841;1.187435,0.09775358;-0.001710813;1.2,0.1550563;-0.2310303;1.229336,0.1814201;-0.272688;0.988403,-0.04144261;-0.4554966;1.273377,0
1092,-4028;-2320;-16428,1145;-452;-942,-0.07034216;0.00958247;1.187642,0.09787349;-0.001509076;1.200374,0.1560336;-0.2275184;1.228126,0.1824419;-0.2710004;0.9921826,-0.04156647;-0.4554809;1.273726,0
1123,-4056;-2320;-16364,1125;-512;-952,-0.07008474;0.009631295;1.187274,0.09788728;-0.001413593;1.200362,0.1575128;-0.2218701;1.223537,0.1850863;-0.269267;0.9831842,-0.04118424;-0.45531;1.273459,0
1156,-4092;-2408;-16648,1148;-511;-944,-0.07005365;0.009669226;1.187335,0.09794983;-0.00129383;1.200495,0.1577784;-0.2210709;1.223202,0.1855251;-0.267316;0.9871357,-0.04169106;-0.4551046;1.273928,0
1189,-4000;-2272;-16520,1144;-475;-953,-0.06984806;0.009776222;1.187124,0.09798229;-0.00123569;1.200498,0.1580003;-0.219103;1.221625,0.1847635;-0.2654871;0.9915703,-0.04155546;-0.4549822;1.273743,0
1222,-3968;-2340;-16516,1148;-494;-949,-0.06970234;0.009842466;1.187099,0.09803301;-0.001119063;1.200617,0.1579338;-0.2185473;1.221771,0.1856093;-0.2665308;0.9845837,-0.04114114;-0.4550072;1.273752,0
