Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1832;-636;-17420,1136;-466;-993,-0.2448829;-0.07638671;0.9656214,-0.2199278;-0.01473384;1.179847,-0.1633089;0.1964563;1.168186,0.007915118;0.20819;1.137147,0.01469096;-0.258882;1.307453,0
20,1892;-584;-17384,1165;-461;-977,-0.2457917;-0.07635033;0.9643846,-0.2200291;-0.01470367;1.179712,-0.1633223;0.1964737;1.168155,0.007855404;0.2082074;1.137101,0.01430302;-0.2589434;1.307265,0
55,1752;-536;-17188,1163;-475;-1019,-0.2449768;-0.07375801;0.9654968,-0.2209722;-0.01452667;1.179352,-0.1633393;0.1964184;1.168055,0.007845669;0.2082067;1.137043,0.01434314;-0.2589029;1.307281,0
87,1728;-588;-17276,1147;-482;-983,-0.2442716;-0.07018657;0.9762322,-0.2195365;-0.01300411;1.190554,-0.1633885;0.1965643;1.168261,0.007738546;0.2082515;1.137144,0.01395705;-0.2589817;1.307368,0
140,1776;-632;-17508,1160;-472;-1003,-0.2445154;-0.0710372;0.9744536,-0.2201718;-0.01326825;1.188661,-0.1633889;0.1964976;1.168417,0.007613878;0.2083107;1.137322,0.01390791;-0.258973;1.307428,0
156,1796;-636;-17300,1157;-470;-971,-0.2444309;-0.07112976;0.9743946,-0.2201078;-0.01329662;1.188585,-0.1633851;0.1964971;1.168413,0.007580876;0.2083543;1.137405,0.01468909;-0.2585219;1.307901,0
189,1820;-616;-17372,1171;-474;-992,-0.2441528;-0.07033089;0.977043,-0.2192428;-0.01303016;1.191305,-0.1634314;0.19652;1.168475,0.007557477;0.2083709;1.137414,0.01421345;-0.2586417;1.307723,0
219,1748;-600;-17280,1151;-481;-1006,-0.244928;-0.07002644;0.9771914,-0.2192815;-0.01297088;1.191428,-0.1634028;0.1965444;1.168529,0.007533671;0.2084742;1.137563,0.01427438;-0.258631;1.307808,0
254,1668;-596;-17212,1151;-475;-979,-0.2456309;-0.07063019;0.974358,-0.2195216;-0.01343448;1.188499,-0.1633833;0.1965561;1.16854,0.007558213;0.2085517;1.137646,0.01484384;-0.2583664;1.308282,0
288,1724;-552;-17404,1160;-503;-995,-0.2458244;-0.07055721;0.9741784,-0.2195142;-0.01347166;1.188322,-0.1633851;0.1965518;1.168545,0.00756612;0.2085578;1.137651,0.01497212;-0.2583719;1.308265,0
322,1800;-576;-17368,1135;-487;-1002,-0.2457815;-0.07078086;0.9741835,-0.2197534;-0.01335485;1.188268,-0.1634073;0.1966389;1.168682,0.007539005;0.2086175;1.137756,0.0147355;-0.2584304;1.308288,0
356,1780;-560;-17340,1142;-501;-976,-0.2459612;-0.07049609;0.9745005,-0.2196933;-0.01332701;1.188622,-0.1634348;0.1966325;1.168722,0.007518238;0.2086316;1.137759,0.01430945;-0.2585584;1.308175,0
388,1732;-724;-17252,1144;-468;-1008,-0.2462993;-0.0703624;0.9741509,-0.2194818;-0.01344703;1.188269,-0.1634338;0.1966329;1.168723,0.007514952;0.2086323;1.137759,0.01406735;-0.2587231;1.307999,0
419,1772;-620;-17300,1152;-464;-996,-0.2465861;-0.07090136;0.9721563,-0.2195159;-0.01380015;1.186191,-0.1634334;0.1966259;1.168727,0.007525482;0.208641;1.137788,0.01412122;-0.2587107;1.308016,0
482,1740;-664;-17336,1167;-460;-1012,-0.2465243;-0.07100264;0.9721725,-0.2195111;-0.01381972;1.18619,-0.1634326;0.1966104;1.168761,0.007543539;0.2086825;1.137872,0.01426957;-0.2587152;1.308024,0
496,1784;-640;-17288,1154;-495;-995,-0.2465743;-0.07089441;0.9721405,-0.2194877;-0.0138321;1.186179,-0.1634307;0.1966039;1.168764,0.007532469;0.208686;1.137891,0.01425504;-0.2587299;1.308008,0
