Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-3552;-15840;1176,1125;-542;-1034,0.19545;0.2315964;1.543879,-0.07045189;-0.4408762;1.131119,-0.0565205;-0.4046421;1.218352,-0.001478791;-0.2415736;1.39971,0.05174337;-0.02355063;1.528272,0.2115249;0.01482338;1.537457,0.202102;-0.4448752;1.447007,0
32,-3708;-15988;1156,1103;-491;-904,0.1955135;0.2315936;1.544002,-0.0723184;-0.445439;1.127619,-0.05705633;-0.4064932;1.215688,-0.001420204;-0.2414445;1.40016,0.05181608;-0.02331354;1.528516,0.2115237;0.01482205;1.537495,0.202086;-0.4448552;1.44711,0
70,-3664;-15868;892,1063;-339;-918,0.19552;0.2315964;1.544015,-0.07266748;-0.4443292;1.124393,-0.04963349;-0.3835818;1.233981,-0.001718982;-0.2413847;1.400515,0.05181897;-0.02317267;1.528584,0.2115337;0.01481965;1.53753,0.2020813;-0.4448354;1.447181,0
100,-3604;-15864;1020,1134;-374;-962,0.1955168;0.2317029;1.544302,-0.07262498;-0.445339;1.125192,-0.04895863;-0.382392;1.23519,-0.00179403;-0.2410902;1.401004,0.05191978;-0.02279289;1.528836,0.211537;0.01482762;1.537546,0.2020696;-0.4447833;1.447262,0
135,-3756;-16108;960,1153;-506;-846,0.1955065;0.2317778;1.544483,-0.07222666;-0.4428926;1.127831,-0.04589039;-0.3740703;1.24779,-0.001772329;-0.241035;1.401166,0.05195693;-0.02270673;1.528934,0.2115406;0.01483335;1.537576,0.202069;-0.4447663;1.447297,0
167,-3572;-16024;1064,1023;-389;-1046,0.1955365;0.2317748;1.544386,-0.06562362;-0.4155054;1.184911,-0.0450781;-0.3721629;1.250069,-0.001799655;-0.240953;1.40115,0.0519814;-0.02264221;1.528928,0.2115419;0.0148344;1.537574,0.20206;-0.4447564;1.447297,0
199,-3640;-16016;1136,1332;-481;-950,0.1955138;0.2317994;1.544459,-0.07168784;-0.4429959;1.127928,-0.04472237;-0.371462;1.250795,-0.001770771;-0.2408459;1.401192,0.05204292;-0.02252898;1.528945,0.2115412;0.01483697;1.537571,0.2020595;-0.4447508;1.447295,0
232,-3572;-15928;1156,1015;-557;-883,0.1955709;0.2315439;1.543986,-0.07203754;-0.4435598;1.129985,-0.05618601;-0.4047254;1.212445,-0.001684228;-0.2406955;1.401145,0.05205586;-0.02239325;1.528962,0.2115423;0.01483645;1.537572,0.2020594;-0.4447469;1.447296,0
266,-3648;-15916;852,1022;-473;-1013,0.1955761;0.2315527;1.543957,-0.0713467;-0.4463076;1.123691,-0.04377925;-0.368341;1.253104,-0.001761016;-0.2407265;1.401556,0.05209156;-0.02224131;1.528978,0.2115427;0.01483693;1.537573,0.2020596;-0.444742;1.447297,0
300,-3660;-15976;1100,1004;-460;-1071,0.1955736;0.2316208;1.544244,-0.07173131;-0.4438599;1.125448,-0.05654979;-0.4008637;1.209594,-0.001721935;-0.240635;1.401562,0.05210644;-0.02214681;1.528991,0.2115476;0.01484521;1.53757,0.2020609;-0.4447415;1.447297,0
335,-3656;-15508;748,-1301;94;-1225,0.1956522;0.2315107;1.543921,-0.07093805;-0.4436073;1.123009,-0.05659328;-0.4005463;1.209224,-0.001601376;-0.2402425;1.401082,0.0521476;-0.02196547;1.528948,0.2115472;0.01484846;1.537567,0.2020588;-0.4447294;1.447286,0
369,-3316;-14832;300,-6029;1928;-2084,0.1956666;0.2315914;1.544008,-0.06905572;-0.4402621;1.120906,-0.04536501;-0.3661449;1.24529,-0.001292515;-0.2400385;1.400558,0.05216178;-0.02193631;1.528888,0.211551;0.0148587;1.537561,0.2020577;-0.444723;1.44727,0
400,-3420;-15964;-988,-13308;4060;-3324,0.1956992;0.2317186;1.544894,-0.06881247;-0.4357043;1.114804,-0.05436345;-0.3899621;1.199224,-0.0009324226;-0.239913;1.399933,0.0521714;-0.02192595;1.528638,0.2115469;0.01487562;1.53752,0.2020579;-0.4447095;1.447184,0
433,-3224;-16340;-2956,-15127;3783;-3975,0.195679;0.2318027;1.544983,-0.06826892;-0.4265184;1.102264,-0.04550082;-0.3595402;1.225762,-0.001146935;-0.2389898;1.398116,0.05217388;-0.02188323;1.528351,0.2115498;0.01490752;1.537436,0.2020055;-0.4447773;1.446872,0
467,-2720;-15696;-4296,-14325;4324;-3278,0.1963706;0.2328771;1.549312,-0.06647011;-0.4188555;1.094372,-0.0520068;-0.3742987;1.18611,-0.001073178;-0.2386267;1.397755,0.05219367;-0.02174645;1.528429,0.2115844;0.0149881;1.53759,0.2019766;-0.4447502;1.446939,0
499,-2640;-15932;-5716,-13177;4113;-3077,0.1964869;0.2330805;1.549719,-0.06850385;-0.405754;1.061056,-0.04612632;-0.3870136;1.19289,-0.001228134;-0.2375149;1.396171,0.05220499;-0.02157935;1.528478,0.2115789;0.01504747;1.537628,0.2019252;-0.444715;1.446959,0
535,-1712;-14084;-7900,-16226;4653;-3543,0.1969022;0.2339833;1.551607,-0.07012711;-0.3837515;1.044095,-0.04310419;-0.3872388;1.192724,-0.0009314119;-0.2375852;1.396486,0.05223646;-0.02136354;1.5284,0.2115733;0.01516121;1.537709,0.20181;-0.4446338;1.447055,0
570,-1360;-13344;-9944,-21737;5400;-4029,0.1970897;0.2341035;1.551603,-0.07332755;-0.3371249;1.02188,-0.03761592;-0.25718;1.211093,0.002331062;-0.1840193;1.384264,0.05222191;-0.02114977;1.52803,0.2115657;0.01525788;1.537731,0.2017528;-0.4446093;1.447072,0
599,-1192;-13104;-11648,-20579;4651;-3403,0.1974575;0.2350642;1.553881,-0.07417049;-0.2939717;1.010505,-0.04237186;-0.2454926;1.180115,0.004938727;-0.1734205;1.389532,0.05219056;-0.02105622;1.527592,0.2115849;0.01549391;1.537918,0.201823;-0.4444572;1.447253,0
634,-456;-11380;-13492,-16032;3935;-2539,0.1978428;0.2352224;1.554126,-0.07225078;-0.2367762;1.039143,-0.04342173;-0.2179714;1.170686,0.005355936;-0.1620796;1.392192,0.05040325;-0.02256848;1.524806,0.2116415;0.01544762;1.538164,0.2019578;-0.4444483;1.447344,0
667,-496;-10620;-14848,-9034;2066;-2131,0.198319;0.2371653;1.557938,-0.07600705;-0.1904807;0.9734927,-0.03381108;-0.1665405;1.191243,-0.001337153;-0.1417679;1.379758,0.05036179;-0.02086743;1.524845,0.2116823;0.01547755;1.538219,0.2019691;-0.4443972;1.44739,0
700,228;-9004;-15240,-4216;370;-2105,0.1991404;0.2389415;1.561541,-0.075644;-0.1297214;0.9717518,-0.03705807;-0.1417719;1.172927,0.008138951;-0.1338524;1.371554,0.05103693;-0.01927451;1.52494,0.2118955;0.01565498;1.538731,0.2022558;-0.4443221;1.447456,0
737,180;-9528;-15384,-1352;-88;-1816,0.2002472;0.2405756;1.565055,-0.077524;-0.07269913;0.9543176,-0.04573653;-0.08940282;1.109122,0.009624129;-0.1138756;1.35918,0.05197674;-0.01730783;1.52533,0.2120706;0.01603791;1.538942,0.202499;-0.4441163;1.447583,0
768,380;-8604;-15140,2973;-1410;-1453,0.203093;0.2441727;1.571428,-0.07946455;-0.01943596;0.9526287,-0.057704;-0.06254899;1.064287,-0.005328668;-0.06788192;1.316134,0.05350253;-0.01541672;1.525442,0.2129986;0.01667908;1.540209,0.2026757;-0.4437992;1.447926,0
801,312;-8616;-14876,4068;-1630;-1403,0.2058085;0.2477161;1.578967,-0.0797573;0.0300622;0.9491869,-0.06774324;-0.01374771;1.088868,-0.008660532;-0.05969834;1.316549,0.0544213;-0.01413382;1.525255,0.213697;0.01732411;1.541322,0.2030005;-0.4435593;1.448269,0
833,184;-8876;-14720,4916;-2228;-1103,0.2061056;0.2479229;1.57922,-0.07923321;0.07959509;0.9567111,-0.06073529;0.02447916;1.105825,-0.009333256;-0.02265193;1.337651,0.0556573;-0.01400387;1.524338,0.2146067;0.01781836;1.541705,0.203225;-0.4434003;1.448354,0
866,504;-8576;-14832,2668;-1373;-1409,0.2064322;0.247879;1.57906,-0.0785289;0.1357405;0.9661013,-0.06772861;0.07873684;1.098584,-0.01441381;-0.003492185;1.335523,0.05682119;-0.01353044;1.523953,0.2153525;0.0182131;1.542279,0.2020523;-0.4433936;1.450204,0
900,72;-9372;-14488,541;-269;-1174,0.2070071;0.2482043;1.579756,-0.07638901;0.1924693;0.9810382,-0.0673884;0.1321244;1.103021,-0.0172057;0.03266283;1.334844,0.05801789;-0.01279305;1.52378,0.2154519;0.01834727;1.542245,0.2026186;-0.443361;1.449993,0
934,-704;-10868;-14596,7748;-3229;-1094,0.2083214;0.2488786;1.582374,-0.07690669;0.2335688;1.019361,-0.06489795;0.1721832;1.123526,-0.0209682;0.048597;1.344625,0.05888771;-0.01246069;1.523926,0.2156303;0.01856353;1.542237,0.20319;-0.4432214;1.449851,0
969,284;-9196;-14308,9849;-3090;-17,0.2092487;0.2491613;1.582754,-0.07275743;0.2907711;1.030236,-0.06068867;0.1805886;1.137104,-0.02240217;0.07432044;1.368092,0.05974475;-0.01185808;1.524435,0.2159317;0.0188991;1.542155,0.2034218;-0.4430204;1.449811,0
1001,-508;-11036;-13332,7342;-1592;229,0.209835;0.2490788;1.582691,-0.06966663;0.328276;1.071113,-0.05993545;0.252517;1.175114,-0.01930449;0.09553358;1.373988,0.06043858;-0.01115386;1.5255,0.2162042;0.01925669;1.542204,0.2027955;-0.4426379;1.450876,0
1033,-1152;-12300;-12712,12180;-4092;101,0.2110845;0.2491996;1.582678,-0.06547677;0.3647477;1.102486,-0.06279273;0.3142314;1.162502,-0.02902484;0.1517598;1.357969,0.06168508;-0.008721964;1.528896,0.2167266;0.01978328;1.54246,0.2030668;-0.4421212;1.451029,0
1067,-896;-11980;-12000,12949;-3767;137,0.2119028;0.249097;1.58261,-0.06301352;0.3889464;1.142172,-0.05987798;0.3402362;1.188275,-0.02826248;0.1580808;1.365222,0.06203305;-0.008161424;1.529833,0.2169791;0.02009664;1.542308,0.2029546;-0.4415492;1.451096,0
1100,-1408;-13040;-11076,12449;-3273;514,0.2151971;0.2472058;1.579637,-0.05637494;0.4385323;1.161298,-0.05539847;0.3651267;1.226579,-0.02405525;0.1738303;1.393016,0.06266008;-0.007121082;1.531972,0.2172287;0.02042801;1.54247,0.2020474;-0.4400964;1.452378,0
1134,-1816;-13892;-9964,13032;-3535;977,0.2158743;0.2470055;1.579471,-0.054405;0.4608457;1.194909,-0.05282378;0.3765619;1.245528,-0.02172673;0.1792515;1.404394,0.0631291;-0.006046687;1.532936,0.2176211;0.02084602;1.542336,0.2020739;-0.4392771;1.452308,0
1167,-2628;-15840;-8744,18781;-5241;1571,0.2171374;0.2469851;1.579888,-0.05295727;0.4907936;1.233672,-0.0505328;0.4232664;1.283229,-0.02017974;0.212318;1.422052,0.06366516;-0.004088838;1.535123,0.2180597;0.02121021;1.542554,0.2023202;-0.4383332;1.452398,0
1202,-2384;-15456;-7132,24636;-6166;2556,0.2200678;0.2491309;1.584425,-0.05281351;0.5104682;1.266824,-0.05056595;0.4343871;1.302984,-0.01961721;0.2174022;1.431174,0.06419577;-0.002120896;1.537235,0.2184426;0.02169854;1.542875,0.2018152;-0.4369244;1.453289,0
1234,-2776;-15476;-4052,21807;-4554;2384,0.2226125;0.2504118;1.586316,-0.05381478;0.5228698;1.301779,-0.04944301;0.450419;1.336262,-0.01888807;0.2230462;1.443,0.06424525;-0.0008666402;1.538606,0.2186941;0.02211236;1.54298,0.201816;-0.4361146;1.45329,0
