Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-6632;13876;-4044,835;-427;-855,-0.080919;0.1178786;1.402648,-0.1080099;-0.09774386;1.438245,0.06361904;-0.1380997;1.423146,0.1007473;-0.3363762;1.33923,0.07783867;-0.4800607;1.150658,0.07513233;-0.5335006;1.105922,-0.09955874;-0.5344993;1.36787,0
33,-6500;13816;-4168,1073;-519;-932,-0.08091928;0.1178925;1.402653,-0.1080042;-0.09772715;1.438234,0.06361423;-0.1381025;1.423155,0.1006764;-0.3363712;1.339181,0.07684477;-0.4793158;1.149842,0.0730965;-0.5332895;1.104723,-0.09955172;-0.534482;1.367857,0
67,-6488;13716;-3852,1734;-581;-1040,-0.08095497;0.117886;1.402553,-0.1080404;-0.09771122;1.437907,0.06359787;-0.1380944;1.423047,0.1004383;-0.3363599;1.33842,0.05738874;-0.4609308;1.168694,0.05760841;-0.4917052;1.136234,-0.09968819;-0.5343962;1.367777,0
100,-6536;14048;-4432,1666;-570;-1302,-0.08098649;0.1178945;1.402549,-0.1080448;-0.09770396;1.437904,0.06358854;-0.1381528;1.423038,0.1003777;-0.3363811;1.338298,0.05735115;-0.4611427;1.168712,0.06490096;-0.4949914;1.12214,-0.09964087;-0.5344031;1.367753,0
133,-6612;14000;-4396,1609;-578;-1233,-0.08100693;0.1179209;1.402546,-0.1080594;-0.09768261;1.437901,0.06358515;-0.1381287;1.423056,0.1003864;-0.3363156;1.338248,0.07391611;-0.4799587;1.140987,0.0742961;-0.529763;1.096437,-0.09958173;-0.5343614;1.367756,0
167,-6580;14016;-4440,1752;-750;-1310,-0.08110889;0.1179268;1.402209,-0.1080551;-0.09760103;1.437202,0.06358226;-0.1381335;1.42271,0.1002895;-0.3360187;1.337211,0.07395758;-0.4798071;1.140988,0.06329458;-0.5495747;1.038632,-0.09927239;-0.5342027;1.367151,0
199,-6632;14040;-4236,3989;-209;-1485,-0.08114764;0.1179457;1.40223,-0.1081412;-0.09755582;1.437195,0.06354999;-0.1381516;1.4228,0.1004446;-0.3358818;1.336837,0.05996855;-0.4607325;1.166673,0.05936535;-0.5490416;1.040247,-0.0993491;-0.5341464;1.367225,0
233,-6248;15888;-4720,8529;-728;-2897,-0.08129548;0.1180246;1.402596,-0.1082172;-0.0975036;1.437469,0.06343886;-0.1380296;1.423748,0.1004659;-0.335781;1.336666,0.06009597;-0.4608668;1.166657,0.06241714;-0.5497096;1.039527,-0.09928095;-0.5341536;1.367596,0
266,-7504;28788;-4684,5624;-2160;777,-0.08131872;0.1180174;1.402616,-0.1082361;-0.09746856;1.437412,0.06339271;-0.1379929;1.423785,0.1000949;-0.3350856;1.335095,0.06022457;-0.4605121;1.165223,0.06133883;-0.5437909;1.034718,-0.09922887;-0.5341401;1.367562,0
300,-6516;23752;-10196,7718;-3175;7133,-0.08139893;0.1180722;1.402741,-0.1082619;-0.09746323;1.437421,0.06338493;-0.1379997;1.423862,0.09998062;-0.3338982;1.334275,0.05832857;-0.4740748;1.090124,0.0651622;-0.5392706;1.028548,-0.09929317;-0.534423;1.366741,0
334,-7360;28984;-12468,5752;2295;10487,-0.08163555;0.1182194;1.403402,-0.1084065;-0.09735965;1.437607,0.06339043;-0.138039;1.424324,0.09944942;-0.3310225;1.333543,0.05772912;-0.4735231;1.08551,0.05745529;-0.5257264;1.017627,-0.09977148;-0.5343928;1.367437,0
366,-9084;26236;-12136,2505;6032;15137,-0.08181535;0.1183507;1.403539,-0.10843;-0.09733199;1.437548,0.06337743;-0.138039;1.424332,0.09879597;-0.3280814;1.329192,0.05749171;-0.464635;1.077684,0.04318803;-0.4936146;0.9919508,-0.09976505;-0.5343672;1.367437,0
398,-10116;23524;-11256,1436;6876;20111,-0.08204968;0.1185827;1.40398,-0.1084976;-0.0971766;1.437814,0.06337224;-0.1380426;1.424371,0.0991349;-0.3256378;1.323905,0.06744567;-0.4114993;1.119834,0.03047476;-0.4461849;0.9550081,-0.1002792;-0.5343447;1.368056,0
432,-8764;19464;-10888,-275;8681;22269,-0.08216424;0.1186993;1.404059,-0.1085442;-0.09706657;1.437711,0.06330451;-0.13757;1.42289,0.09981103;-0.3213174;1.314867,0.06803226;-0.4024071;1.108183,0.03368314;-0.4081363;0.9542175,-0.1002427;-0.5343477;1.368018,0
466,-7656;17788;-8508,-2250;9117;22353,-0.08233897;0.1188717;1.404148,-0.1086099;-0.09696559;1.437677,0.06316762;-0.1372289;1.421595,0.10085;-0.3166683;1.306104,0.05554002;-0.3663517;1.024526,0.02761946;-0.3805059;0.9199144,-0.1001679;-0.5344276;1.368036,0
499,-5736;15096;-7924,-3514;8783;22505,-0.08248411;0.1190316;1.404161,-0.1086727;-0.09678344;1.437354,0.06287302;-0.1367257;1.419513,0.09376599;-0.313328;1.201837,0.05202426;-0.3521737;0.993174,0.02725146;-0.345634;0.9039865,-0.1004887;-0.5347083;1.367642,0
533,-3384;12192;-6396,-2894;8049;23273,-0.08288043;0.1194183;1.404577,-0.1089612;-0.09665719;1.437294,0.06246842;-0.1364447;1.418174,0.1035504;-0.2975705;1.277035,0.06276724;-0.3428977;1.002397,0.02536257;-0.3123387;0.8902267,-0.1021861;-0.5350098;1.367163,0
566,-56;8696;-5068,-1346;7526;22005,-0.08323216;0.1196663;1.404644,-0.1091413;-0.09650571;1.437064,0.0609654;-0.1362393;1.415811,0.1053988;-0.2769065;1.190438,0.05479817;-0.2971556;0.9350561,0.02333396;-0.2762721;0.8770247,-0.1030203;-0.5350653;1.366277,0
599,2436;9624;-3764,-4442;6968;20021,-0.08420797;0.1205412;1.406404,-0.1095619;-0.09605607;1.437629,0.06084107;-0.1357792;1.415461,0.1309615;-0.2770688;1.264088,0.07170101;-0.2661581;1.016376,0.0225811;-0.2436437;0.8741325,-0.1029655;-0.5350246;1.366561,0
633,4656;6680;-2320,-2319;5060;19394,-0.08470685;0.1208599;1.406547,-0.109707;-0.09580443;1.437606,0.06035086;-0.134305;1.414088,0.116437;-0.2480828;1.214667,0.07026467;-0.2462886;0.997739,0.02171876;-0.2091288;0.8654475,-0.1023919;-0.5342325;1.367236,0
665,7356;4024;-1176,-4417;4401;17682,-0.0854599;0.1212242;1.407123,-0.1101059;-0.09526395;1.438182,0.05985569;-0.1325467;1.413095,0.1193239;-0.24186;1.229311,0.07309269;-0.2355629;1.008003,0.02154218;-0.1770886;0.8635215,-0.1004736;-0.5329933;1.371474,0
698,9476;3868;-408,-3842;3454;15551,-0.08647761;0.1215481;1.407742,-0.1103054;-0.09502907;1.438429,0.05968357;-0.1291692;1.412843,0.1114671;-0.2190407;1.137468,0.04012728;-0.1625752;0.9072642,0.02287804;-0.1458415;0.8629125,-0.09936012;-0.5326444;1.373196,0
734,10868;3736;544,-4437;1865;14592,-0.08722624;0.1218911;1.407861,-0.1104404;-0.09488402;1.438457,0.06020619;-0.1226815;1.415083,0.1133127;-0.2290421;1.183909,0.05479151;-0.1687043;0.9449432,0.02485952;-0.1153357;0.8614739,-0.0989226;-0.5324639;1.373583,0
765,12244;1312;172,-4015;603;13992,-0.08876978;0.1224063;1.409091,-0.1104367;-0.09481019;1.438793,0.06039767;-0.1227222;1.415174,0.1089294;-0.2237706;1.168693,0.05493492;-0.1519821;0.9483901,0.02597694;-0.08369603;0.8648649,-0.09842958;-0.5328152;1.374205,0
799,12628;-1128;-372,-4664;473;12954,-0.09000279;0.122709;1.40966,-0.1105592;-0.0945541;1.439002,0.0606002;-0.1232779;1.414848,0.1061584;-0.2051833;1.148645,0.05506044;-0.1137911;0.9472529,0.02948825;-0.04921998;0.8667973,-0.09786043;-0.5330991;1.375678,0
833,13392;-3336;-556,-2516;-421;11378,-0.09121668;0.1231361;1.409966,-0.1106;-0.09382704;1.438874,0.0609913;-0.1242994;1.413912,0.1047044;-0.1912974;1.143657,0.05556511;-0.08825865;0.9450928,0.0317211;-0.02067978;0.8690097,-0.09696586;-0.5326519;1.376925,0
865,14268;-5144;-296,-2280;-443;8148,-0.09229515;0.1233344;1.410204,-0.1099539;-0.09286787;1.438479,0.0618734;-0.1257453;1.412891,0.1036723;-0.171351;1.138897,0.05343956;-0.04694546;0.9417134,0.03356748;0.007918031;0.8733675,-0.09624664;-0.5313646;1.378159,0
898,14948;-6052;-296,-63;-1900;6145,-0.093775;0.1233219;1.410437,-0.1091466;-0.09305684;1.43873,0.0627503;-0.1282504;1.412652,0.1023363;-0.1535595;1.133146,0.05501665;-0.02549762;0.9442849,0.03476347;0.03539464;0.878473,-0.0959282;-0.5307152;1.378693,0
934,15872;-7100;-356,-3202;-1830;3003,-0.09476358;0.1231193;1.410739,-0.1087432;-0.09310481;1.438872,0.05574641;-0.1317976;1.412047,0.1021349;-0.1400263;1.13248,0.05598057;-0.003084293;0.9514968,0.03677126;0.06017648;0.8892554,-0.09592965;-0.5297517;1.379641,0
967,16584;-6252;-1064,516;-2585;1767,-0.09571675;0.1231519;1.411463,-0.1081612;-0.0931659;1.439211,0.05363888;-0.131834;1.411859,0.1031694;-0.1257349;1.140772,0.05666376;0.01833453;0.9615114,0.0384385;0.08348924;0.9016147,-0.09582659;-0.5282046;1.382171,0
999,16792;-5888;-2368,2234;-2349;481,-0.09635429;0.1234953;1.412478,-0.1077016;-0.09321923;1.439545,0.05249757;-0.1322668;1.412122,0.1025552;-0.1137108;1.144289,0.05697092;0.04342816;0.9711072,0.04013304;0.1046722;0.9135903,-0.09567514;-0.5272832;1.383956,0
1033,16420;-5340;-2220,3173;-1076;-944,-0.09649356;0.1237968;1.413248,-0.1073247;-0.09329805;1.439833,0.05202368;-0.1322569;1.412119,0.1030798;-0.1032358;1.147808,0.0589875;0.06005371;0.9800261,0.04318815;0.1229303;0.9284073,-0.09522686;-0.5264636;1.385553,0
1065,16868;-6828;-3116,1104;-467;-2194,-0.09661298;0.1242243;1.413647,-0.1071195;-0.09336291;1.439943,0.05152819;-0.1319869;1.412116,0.1035368;-0.09184631;1.151077,0.06046195;0.07790147;0.9890031,0.04506393;0.1392614;0.9372758,-0.09505851;-0.5259764;1.386177,0
1098,16732;-6260;-2332,2494;554;-4331,-0.09683856;0.1247991;1.413972,-0.1069411;-0.0933287;1.439883,0.05086322;-0.1315368;1.412053,0.1051175;-0.08155787;1.153122,0.0624573;0.09247848;0.9981061,0.04775061;0.1539952;0.9455261,-0.09435121;-0.5253799;1.386945,0
1133,15672;-6076;-1360,1596;519;-6309,-0.0970955;0.1251792;1.414412,-0.1068033;-0.09316736;1.439895,0.05038875;-0.1308081;1.412188,0.1074489;-0.0728552;1.158416,0.06443726;0.1097059;1.005371,0.05079955;0.1699646;0.9578297,-0.09318819;-0.5247384;1.388109,0
1167,14536;-8116;-464,3866;-363;-8277,-0.09827988;0.1262204;1.416725,-0.1065762;-0.09284382;1.440327,0.04996388;-0.1295614;1.412658,0.1092936;-0.06338397;1.163279,0.0673566;0.120773;1.014641,0.05411919;0.1841029;0.9709625,-0.09194461;-0.5242775;1.391243,0
1198,13260;-7004;-212,3964;-1202;-11433,-0.09940152;0.1270972;1.418857,-0.1064012;-0.09249115;1.440659,0.04966202;-0.1284635;1.413269,0.1110051;-0.05486448;1.168818,0.06913432;0.1328866;1.023886,0.05738835;0.1966091;0.9814251,-0.09113749;-0.5238216;1.393413,0
1232,12384;-3680;68,3706;-2751;-14596,-0.09949353;0.1271625;1.418881,-0.1063246;-0.09229512;1.440652,0.0495299;-0.1275429;1.413311,0.1128974;-0.04823793;1.169721,0.07127841;0.146222;1.026025,0.06004305;0.2059888;0.9845236,-0.09099048;-0.5234965;1.393448,0
1264,12188;-1396;-248,-1859;-3828;-17502,-0.09968377;0.1273582;1.419032,-0.1068609;-0.09004587;1.440589,0.0494842;-0.126872;1.413455,0.1152329;-0.04312222;1.17424,0.07313243;0.1557874;1.032633,0.06377064;0.2162826;0.9957682,-0.09093601;-0.5232718;1.393596,0
1298,9740;-1028;-1016,797;-3782;-19030,-0.1003578;0.1276554;1.420661,-0.1073953;-0.08841563;1.441707,0.04962832;-0.1258296;1.414362,0.1177804;-0.03672336;1.179776,0.07589182;0.1702793;1.039991,0.06705225;0.2271558;1.008116,-0.09084766;-0.5227156;1.394854,0
1332,8216;3664;-2108,-334;-4329;-21612,-0.1005026;0.128004;1.421093,-0.1077202;-0.08749267;1.442041,0.04987033;-0.1248913;1.414664,0.1199037;-0.03390531;1.182729,0.0776483;0.177558;1.043833,0.06947586;0.2316655;1.01593,-0.09080195;-0.5225201;1.395098,0
1367,7020;7640;-2340,-2868;-3211;-23879,-0.1005449;0.1280652;1.42153,-0.1074988;-0.08777827;1.442213,0.05008255;-0.1242898;1.414936,0.1226099;-0.03044971;1.187746,0.07915612;0.1848219;1.048133,0.07184274;0.2394527;1.024243,-0.09073734;-0.5222881;1.395271,0
1399,4856;7944;-2280,-634;-1770;-23466,-0.1005448;0.1280968;1.421569,-0.1076926;-0.08734284;1.44246,0.05038881;-0.1235722;1.415133,0.1245195;-0.02702896;1.190146,0.08054248;0.1913993;1.050421,0.07362216;0.24395;1.027937,-0.09067897;-0.5221411;1.395294,0
1433,1828;11824;-2024,2553;-2501;-22910,-0.1003581;0.1282366;1.422599,-0.1081099;-0.08686209;1.443807,0.05086016;-0.1226687;1.415711,0.1265299;-0.02438282;1.194489,0.08247587;0.2006343;1.055805,0.0760194;0.2508389;1.036515,-0.09063459;-0.5219595;1.395746,0
1465,108;12040;-2512,2020;-402;-23913,-0.1001028;0.1282515;1.423758,-0.1086952;-0.08655938;1.445639,0.05142173;-0.1220201;1.416496,0.1279092;-0.02040696;1.197443,0.08389961;0.20601;1.059915,0.0770281;0.2558181;1.041062,-0.09042957;-0.5218163;1.396554,0
1498,-1960;15968;-1944,1966;-2104;-24525,-0.09995271;0.1283003;1.424028,-0.1088917;-0.08645243;1.446115,0.05179136;-0.1214176;1.416864,0.1288866;-0.01794847;1.198293,0.08474968;0.209155;1.062141,0.07954428;0.2592812;1.042557,-0.09026626;-0.5217339;1.396826,0
1533,-4568;16664;-2744,5366;-2906;-22478,-0.09968513;0.1283592;1.424436,-0.1089186;-0.0863473;1.446342,0.05215287;-0.1209279;1.41716,0.1300202;-0.01654649;1.200297,0.08565889;0.2121035;1.063629,0.08033845;0.2605259;1.044184,-0.09013417;-0.5216148;1.396976,0
