Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,2824;15132;-1864,6520;-1350;-14299,-0.05313414;0.05964822;1.71228,-0.02292486;-0.1341895;1.733186,0.1326901;-0.1543799;1.669499,0.1809035;-0.3013879;1.530621,0.1568588;-0.3826288;1.401871,0.147649;-0.4011662;1.356307,-0.01832855;-0.5741667;1.65957,0
34,1908;13488;-2936,5322;49;-14630,-0.05338412;0.05914245;1.711705,-0.02300103;-0.1344118;1.73304,0.1326067;-0.1546801;1.669628,0.1804922;-0.3021669;1.530273,0.1566596;-0.3833399;1.40144,0.1477764;-0.4010819;1.355394,-0.01813127;-0.5743082;1.659586,0
67,-972;17848;-2396,6640;-404;-16242,-0.0534661;0.05875687;1.711936,-0.02328469;-0.134676;1.733619,0.1325677;-0.1550098;1.671378,0.1802208;-0.3022233;1.531628,0.1568551;-0.3834175;1.402722,0.1472765;-0.4039563;1.357513,-0.01814013;-0.5747135;1.660527,0
100,-488;16448;-3328,7008;-1289;-13764,-0.05370639;0.05861782;1.711978,-0.02340741;-0.1347959;1.733707,0.1322767;-0.1554362;1.672126,0.179754;-0.3024271;1.53206,0.1569312;-0.3833576;1.402879,0.1474878;-0.4027945;1.35598,-0.01807456;-0.5750977;1.6608,0
133,-2684;19812;-2992,1093;-1292;-16653,-0.05385146;0.05846801;1.711874,-0.02354351;-0.1349457;1.733597,0.132178;-0.1555891;1.672182,0.179251;-0.3023932;1.531755,0.1576916;-0.3842888;1.403005,0.147732;-0.4015292;1.356342,-0.01797047;-0.5751723;1.660758,0
166,-3196;18472;-4356,5319;-1953;-13842,-0.05406658;0.05831989;1.711802,-0.02366731;-0.1350716;1.733505,0.1317505;-0.1543825;1.67044,0.1814752;-0.3017969;1.532992,0.1579005;-0.3833142;1.404343,0.1487807;-0.3996063;1.359341,-0.01791875;-0.5751719;1.660749,0
201,-4096;17828;-6044,2750;-716;-13334,-0.05423699;0.05817793;1.711693,-0.02371154;-0.1351502;1.733437,0.1315918;-0.1536503;1.66924,0.1802551;-0.3024705;1.531723,0.1576853;-0.3842198;1.40305,0.1493117;-0.4004961;1.358159,-0.01776826;-0.575144;1.660702,0
233,-4820;19628;-5360,11238;255;-11515,-0.05454492;0.05803331;1.711556,-0.02376221;-0.1352092;1.73337,0.1314176;-0.154254;1.669875,0.1786298;-0.3027624;1.531444,0.1575651;-0.3847285;1.402661,0.1491535;-0.4010947;1.355802,-0.01766031;-0.5753261;1.660578,0
265,-6496;20660;-4040,1477;1601;-12696,-0.05476437;0.05795682;1.711548,-0.02379902;-0.1352487;1.733351,0.1312761;-0.1537285;1.669003,0.1784585;-0.3028841;1.531313,0.1575488;-0.3848612;1.402512,0.1496864;-0.4012841;1.355987,-0.01760349;-0.5753502;1.660512,0
299,-5492;22616;-4800,1091;-1794;-9583,-0.05543067;0.05780066;1.711941,-0.02394852;-0.1353453;1.733602,0.1311458;-0.1543663;1.671057,0.1835819;-0.3002699;1.537673,0.1587613;-0.3836839;1.40689,0.1499209;-0.4034504;1.357695,-0.01753571;-0.575411;1.660571,0
333,-6680;18612;-5332,-342;-849;-7167,-0.05555987;0.05778261;1.711883,-0.02407362;-0.1353774;1.733494,0.1309427;-0.1534179;1.669612,0.1849157;-0.2983357;1.538793,0.1589621;-0.3835261;1.406845,0.1504336;-0.3996973;1.355881,-0.01751527;-0.5753564;1.66034,0
368,-6604;19916;-4216,-2060;-367;-6298,-0.05596096;0.05782342;1.712286,-0.02417891;-0.1353712;1.733711,0.1309101;-0.1539264;1.671406,0.185711;-0.2977999;1.540223,0.1590053;-0.383533;1.406785,0.150761;-0.4026643;1.355094,-0.01747694;-0.5753604;1.660423,0
400,-6748;16456;-3708,-462;-245;-3918,-0.05623041;0.05781929;1.712283,-0.02431678;-0.1353846;1.733666,0.1308252;-0.1540474;1.671846,0.1863095;-0.297386;1.540994,0.159448;-0.3845734;1.406235,0.1506071;-0.4032867;1.350667,-0.01744136;-0.5753772;1.660395,0
435,-6976;15060;-3348,-3995;22;-5062,-0.05642029;0.05779173;1.712376,-0.02434888;-0.1354047;1.733691,0.1307791;-0.1544453;1.672297,0.1868124;-0.2969667;1.541782,0.1598701;-0.385395;1.40582,0.1504158;-0.4035138;1.35011,-0.01737515;-0.5753996;1.660335,0
469,-5852;21340;-7160,1279;-627;-7006,-0.05678027;0.05766284;1.712555,-0.02444512;-0.1355083;1.733801,0.1306974;-0.1547422;1.672802,0.1872342;-0.2964085;1.542128,0.1603962;-0.3855357;1.405544,0.1505747;-0.4034561;1.349685,-0.01735618;-0.5755367;1.660337,0
500,-8736;14596;-3184,-2969;406;2698,-0.0570838;0.05768466;1.712903,-0.02454528;-0.1355202;1.733968,0.1305669;-0.1537691;1.671412,0.1835352;-0.3001939;1.535327,0.1605999;-0.3859466;1.405201,0.1513495;-0.4030965;1.350268,-0.01732138;-0.5755132;1.660362,0
532,-6900;11036;-1936,214;-1443;-645,-0.05733809;0.05789461;1.712703,-0.02475883;-0.1354262;1.733584,0.1304836;-0.1539279;1.671393,0.1858793;-0.2969364;1.536883,0.1605779;-0.3850289;1.404267,0.1514421;-0.4032229;1.344342,-0.0173831;-0.5754741;1.660022,0
566,-7036;14080;-4128,2507;-1356;-2040,-0.05782325;0.05808996;1.71316,-0.02493284;-0.1353513;1.733723,0.1304103;-0.1541751;1.671869,0.1840892;-0.298899;1.533212,0.1612654;-0.3860021;1.402103,0.1510458;-0.4047118;1.345516,-0.01737917;-0.5754558;1.660052,0
600,-6616;14440;-4884,956;-1146;217,-0.05803072;0.05820041;1.71317,-0.0250717;-0.1352766;1.733676,0.1303871;-0.1543698;1.671881,0.1862138;-0.2960932;1.536019,0.1613969;-0.3852536;1.40189,0.1513945;-0.4031486;1.342725,-0.01739516;-0.5754371;1.660047,0
634,-6908;13124;-4316,-327;-825;-1172,-0.05843239;0.05834265;1.713474,-0.02515141;-0.1352106;1.733732,0.1303098;-0.1545217;1.672249,0.1878397;-0.2940467;1.538251,0.1619434;-0.3836715;1.400579,0.1520699;-0.4029421;1.342345,-0.01735399;-0.5753715;1.66012,0
668,-7232;14060;-4188,12;-597;-1100,-0.05925616;0.05862932;1.714465,-0.02539204;-0.1350706;1.734252,0.1300616;-0.1546473;1.673174,0.1833977;-0.298421;1.532279,0.1625935;-0.3821598;1.400371,0.1522265;-0.4032884;1.342703,-0.01721311;-0.5753469;1.660429,0
701,-7084;13616;-3748,-1052;-917;-1014,-0.05945054;0.05879329;1.714599,-0.02548605;-0.1349815;1.734276,0.1298984;-0.1548619;1.673236,0.1805646;-0.2970487;1.529067,0.1638499;-0.3830094;1.39687,0.1523475;-0.4003441;1.338932,-0.01719265;-0.5753496;1.660434,0
732,-7208;13804;-3884,206;-807;-1098,-0.05976895;0.05889938;1.71467,-0.02568037;-0.1349119;1.734231,0.1297304;-0.1551449;1.673141,0.1785084;-0.2963858;1.527267,0.1642788;-0.3801757;1.393594,0.1531693;-0.3967461;1.337704,-0.01715089;-0.5752081;1.660301,0
766,-7184;13512;-3728,43;-828;-563,-0.06037679;0.05923468;1.715266,-0.0259285;-0.1346923;1.734455,0.1295103;-0.1541353;1.67149,0.1778565;-0.2966421;1.526785,0.1644583;-0.3783386;1.390405,0.1540065;-0.394458;1.335487,-0.01698989;-0.5746965;1.660646,0
799,-7460;13704;-3840,558;-854;-646,-0.06112708;0.0597554;1.716434,-0.02627338;-0.1344076;1.735091,0.1293212;-0.1541841;1.672913,0.1775406;-0.2959386;1.527368,0.1646864;-0.3767863;1.388183,0.1547848;-0.3908789;1.334805,-0.01677495;-0.5745668;1.661147,0
