Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-6304;-6044;12880,311;-754;-540,-0.1045397;0.09608669;1.680503,-0.2371522;-0.4668326;1.256548,-0.246761;-0.434299;1.33891,-0.2683592;-0.3368136;1.545093,-0.233871;-0.1788583;1.663323,-0.06605121;-0.1087556;1.69252,-0.0158016;-0.5161123;1.612118,0
32,-6400;-5940;12788,442;-704;-664,-0.1041409;0.09628936;1.680613,-0.2371481;-0.46745;1.255139,-0.2458087;-0.4341611;1.339485,-0.268252;-0.3370129;1.545324,-0.2338893;-0.1788466;1.66333,-0.06571784;-0.1087564;1.692853,-0.01586854;-0.5160345;1.612175,0
68,-6464;-5840;12996,476;-636;-686,-0.1034998;0.09632233;1.680515,-0.2379304;-0.4650646;1.254418,-0.2448966;-0.4342239;1.338269,-0.2682253;-0.3369696;1.545277,-0.2339347;-0.1787789;1.663064,-0.06528889;-0.1087599;1.692906,-0.01591899;-0.5159774;1.612226,0
99,-6728;-5600;12868,355;-514;-659,-0.1026153;0.09641431;1.680215,-0.2340176;-0.4713778;1.241976,-0.2455445;-0.4376493;1.326861,-0.2681368;-0.3367196;1.545189,-0.2339994;-0.1787554;1.662836,-0.06505832;-0.1087611;1.692876,-0.01594646;-0.5159643;1.612233,0
133,-6680;-5684;12824,265;-655;-766,-0.1017969;0.09654992;1.680403,-0.2343745;-0.4718134;1.242305,-0.2458842;-0.4377658;1.327009,-0.2682861;-0.3365158;1.54529,-0.2339355;-0.1787527;1.662792,-0.06482828;-0.108698;1.692976,-0.01597427;-0.5159233;1.612275,0
167,-6544;-5680;13060,272;-831;-838,-0.1008924;0.09643773;1.679893,-0.2545451;-0.4165807;1.399147,-0.2575714;-0.427188;1.368491,-0.2683365;-0.3365779;1.545249,-0.2338077;-0.1787395;1.662579,-0.06449768;-0.1086166;1.693012,-0.01607109;-0.5157896;1.612335,0
200,-6176;-5828;12960,122;-786;-817,-0.1002343;0.0967207;1.67976,-0.2329555;-0.4730805;1.235396,-0.2478288;-0.4392654;1.317796,-0.2684708;-0.3363094;1.544739,-0.2338043;-0.1787366;1.662419,-0.06418548;-0.1085665;1.693038,-0.0160885;-0.5157778;1.612341,0
234,-6332;-5788;12844,184;-725;-724,-0.09975011;0.09678554;1.679711,-0.2339472;-0.4715567;1.235952,-0.2479203;-0.4389832;1.317637,-0.2684805;-0.3363125;1.544652,-0.2337312;-0.1787636;1.662341,-0.06399161;-0.1085409;1.693008,-0.01611043;-0.5157493;1.61237,0
269,-6396;-5932;12768,214;-659;-675,-0.09940679;0.09664691;1.679755,-0.234163;-0.4709334;1.235092,-0.2479634;-0.4385604;1.316665,-0.2686225;-0.3362435;1.544589,-0.2337258;-0.1787643;1.662331,-0.06375739;-0.108516;1.69309,-0.01612412;-0.5157462;1.612372,0
300,-6256;-5824;12864,254;-722;-674,-0.09916996;0.09659946;1.679649,-0.2336437;-0.4677097;1.23145,-0.2483577;-0.4377276;1.314637,-0.2687128;-0.336263;1.544001,-0.2338122;-0.1788891;1.661898,-0.06359342;-0.1084793;1.693051,-0.01614335;-0.5157512;1.612368,0
