Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,1380;9376;12520,-1081;-328;-896,0.06361184;0.1915808;1.201802,0.05719543;-0.001699649;1.245207,0.2190552;-0.05599388;1.235177,0.239122;-0.2393558;1.133752,0.2235501;-0.3993491;0.998485,0.2147657;-0.4492121;0.9625604,0.07886238;-0.4389876;1.299033,0
40,1316;9020;12504,597;138;-1175,0.06364735;0.1916006;1.201849,0.05721267;-0.001707658;1.245225,0.2190719;-0.05598742;1.23518,0.2392316;-0.2393107;1.133469,0.2236555;-0.4041758;0.9949993,0.2161036;-0.4494075;0.9592171,0.07855745;-0.4394668;1.298751,0
67,1180;9764;13344,14;-661;-784,0.06361908;0.191622;1.201654,0.05714684;-0.001605753;1.244855,0.2190642;-0.05595179;1.234964,0.2393607;-0.2385236;1.131951,0.2237059;-0.4013918;0.9946033,0.2137297;-0.4501177;0.9583643,0.07776472;-0.4392482;1.298631,0
97,1268;9420;12908,-2162;-442;-649,0.06357822;0.1916493;1.201622,0.05709628;-0.001595436;1.244791,0.2190139;-0.0558969;1.234859,0.2394715;-0.2386633;1.131036,0.2237398;-0.3990999;0.9947488,0.2132286;-0.4490139;0.9590187,0.07779363;-0.4394624;1.298324,0
131,1312;8580;12948,-4495;-119;-445,0.06337654;0.1917836;1.202154,0.05717714;-0.001449301;1.24531,0.2190031;-0.05588582;1.234868,0.2395761;-0.2382839;1.131131,0.2238734;-0.3986099;0.9955603,0.2166385;-0.4507858;0.9604062,0.07949053;-0.4387101;1.298529,0
164,1036;8152;13836,5570;-195;-1345,0.06302848;0.1919825;1.202727,0.05712859;-0.001357678;1.245586,0.2189274;-0.05585939;1.234887,0.2395737;-0.2381389;1.131077,0.2241287;-0.3976766;0.9955884,0.2148454;-0.4470667;0.9626234,0.07941268;-0.4388289;1.298573,0
196,1320;9652;13208,3814;-736;-1240,0.0627102;0.1921134;1.203185,0.05713641;-0.001291155;1.245723,0.2188889;-0.05582916;1.234886,0.2396385;-0.2379393;1.130729,0.2242317;-0.3970389;0.9952568,0.2148051;-0.4473464;0.9612454,0.08061795;-0.4387156;1.297534,0
231,1272;9208;13200,73;-687;-959,0.06230334;0.192185;1.203671,0.05703842;-0.001227039;1.245863,0.2187049;-0.05572418;1.234785,0.2397093;-0.2378405;1.129887,0.2242011;-0.3962654;0.9948759,0.2137404;-0.4484918;0.9603447,0.07925409;-0.4395373;1.296568,0
266,1328;8792;12864,954;-267;-1405,0.06170678;0.1925007;1.204417,0.05663743;-0.000908552;1.246411,0.2186007;-0.0556381;1.234789,0.2397645;-0.2376617;1.129233,0.2242548;-0.3958684;0.9941828,0.2141037;-0.4481288;0.9585,0.07924508;-0.4395287;1.296585,0
298,1148;9720;13316,-174;-320;-1086,0.06090061;0.1929028;1.205281,0.05602577;-0.0004315423;1.246849,0.21844;-0.05548061;1.234794,0.2397305;-0.2368832;1.127818,0.2244152;-0.3944534;0.992449,0.2140228;-0.4462681;0.9581884,0.07911828;-0.4395214;1.296742,0
333,1132;8688;12580,-497;-448;-1097,0.06001996;0.1933165;1.206416,0.05537498;-0.000136254;1.24747,0.2182198;-0.05528188;1.2348,0.2396727;-0.2361206;1.127188,0.2252209;-0.3915371;0.9859185,0.2154027;-0.4431718;0.9528098,0.07893062;-0.4400522;1.296132,0
365,1276;8436;12744,2058;91;-1658,0.05921751;0.1937773;1.207384,0.05497386;0.0001128467;1.248055,0.2181186;-0.05518202;1.234803,0.2404102;-0.2207019;1.117253,0.2243965;-0.3975948;0.9820237,0.2309334;-0.4134678;0.9048182,0.07875809;-0.4404906;1.295653,0
396,1300;8856;13328,3061;638;-2437,0.05844358;0.194057;1.208321,0.05477696;0.0002946256;1.248471,0.2179786;-0.05500339;1.234666,0.2410573;-0.2110198;1.102268,0.2314427;-0.3873757;0.9246902,0.2386872;-0.4042533;0.8321793,0.07885313;-0.4410019;1.295211,0
431,1112;9644;12284,1695;1409;-2441,0.05795627;0.1943768;1.208988,0.05446582;0.0007229684;1.249535,0.2178301;-0.05456805;1.234258,0.2441658;-0.2079548;1.067648,0.2433242;-0.3417323;0.8549738,0.2442235;-0.3619136;0.8014807,0.07881257;-0.441031;1.295256,0
465,800;9540;13904,3057;-425;-2526,0.05746971;0.1946958;1.209714,0.05427289;0.001566292;1.251234,0.217707;-0.05389895;1.233517,0.2427705;-0.2005701;1.061713,0.2418035;-0.290109;0.8266657,0.2466525;-0.3105055;0.7619048,0.07848052;-0.4409055;1.295624,0
498,428;8788;12080,2683;982;-2793,0.05705988;0.1953087;1.210761,0.05389531;0.002904757;1.253209,0.211395;-0.0408194;1.228698,0.2332762;-0.1512161;1.047363,0.244197;-0.2266948;0.8076097,0.2476685;-0.2487896;0.728609,0.07318524;-0.4382656;1.300515,0
532,268;9776;12652,3041;821;-2588,0.05682984;0.1956401;1.211202,0.0536106;0.003766279;1.254204,0.2120034;-0.04106912;1.228321,0.2318151;-0.1326235;1.051612,0.251416;-0.1493;0.8652527,0.2473555;-0.1746372;0.7142287,0.07049674;-0.4370492;1.302347,0
566,204;9400;12208,935;870;-2436,0.05678844;0.1956831;1.211248,0.053078;0.004490806;1.254617,0.2119383;-0.04092503;1.228279,0.2375107;-0.1297753;1.056556,0.2424545;-0.05946118;0.8821161,0.2514129;-0.07822283;0.762037,0.06999522;-0.4360067;1.304103,0
598,-128;9636;12456,-243;1013;-2270,0.05675917;0.1958013;1.211307,0.05219617;0.005345713;1.25508,0.2056243;-0.03490856;1.229236,0.2352694;-0.06223296;1.035837,0.2522325;-0.02229343;0.8007539,0.2515753;-0.02433887;0.7405789,0.06957263;-0.4339053;1.306515,0
630,-208;9532;12628,-2240;1022;-2236,0.05675922;0.1960858;1.211517,0.05107199;0.006752654;1.255687,0.2024436;-0.03102728;1.229972,0.239526;-0.01835965;1.010377,0.249749;0.02947913;0.8286783,0.2529188;0.0501825;0.7338426,0.07043815;-0.4308572;1.310704,0
664,-340;9076;12920,-2436;1282;-2276,0.0568179;0.196299;1.211276,0.05031636;0.007769196;1.255621,0.200446;-0.02853673;1.229398,0.2391718;0.01642657;0.9804171,0.2518013;0.09401608;0.8095775,0.2535559;0.1330706;0.7162619,0.07116729;-0.4294373;1.311766,0
697,-600;9036;13520,-1345;1052;-2335,0.05682112;0.1964186;1.210243,0.05008808;0.004759622;1.247692,0.1991383;-0.02696425;1.228749,0.2389188;0.04860538;0.9874642,0.2517389;0.1473259;0.8068618,0.2524021;0.1996966;0.7169045,0.07096922;-0.4284765;1.311765,0
733,-768;9060;13832,-2679;619;-2369,0.05683658;0.1964966;1.210231,0.04896973;0.006018087;1.249227,0.1883979;-0.01039077;1.228135,0.2405212;0.07875488;0.9939747,0.2564228;0.2164177;0.79153,0.2535013;0.257253;0.7301722,0.07173207;-0.4263604;1.312236,0
763,-1048;8472;14004,-3836;263;-1600,0.05695285;0.1966533;1.209337,0.04922113;0.004480918;1.244719,0.1896571;-0.01098774;1.227268,0.2390633;0.1106398;1.007724,0.2535843;0.2583587;0.8047319,0.2516466;0.3087581;0.7426223,0.07193092;-0.424408;1.312145,0
800,-1012;6996;13680,-839;53;-1455,0.0572554;0.196684;1.207974,0.04958403;0.00386929;1.242379,0.1899848;-0.008631568;1.226447,0.2386915;0.1268778;1.015153,0.2508991;0.3001517;0.833907,0.2490329;0.3547416;0.775203,0.07151528;-0.4218886;1.311986,0
831,-1248;7804;13712,2369;-67;-1417,0.05819186;0.1967657;1.206404,0.04738988;0.00527122;1.243056,0.1863931;0.01472278;1.226656,0.2419937;0.1564277;1.021398,0.2466268;0.3265474;0.8621659,0.2461869;0.3831579;0.8196452,0.0708721;-0.4151121;1.312208,0
864,-1096;7992;13920,-94;-1000;-799,0.05914976;0.1967919;1.205855,0.04652463;0.007404873;1.244566,0.1865961;0.01807364;1.227435,0.2407328;0.1810468;1.038673,0.2431367;0.344749;0.9046476,0.2453079;0.4042042;0.861039,0.07102808;-0.4112028;1.312245,0
896,-972;7488;13540,166;-683;-1031,0.06227872;0.1957258;1.204373,0.04705811;0.008877516;1.244155,0.1891464;0.02275712;1.228143,0.2383203;0.1927254;1.044438,0.2394231;0.3576713;0.9287319,0.2418764;0.4260353;0.897791,0.06977925;-0.4054346;1.310943,0
934,-1136;7404;13456,218;-496;-1189,0.06730232;0.1961395;1.199845,0.05484194;0.01699063;1.241258,0.1895532;0.02426569;1.228406,0.2331655;0.2071434;1.056501,0.2349656;0.4279839;0.9425564,0.2368658;0.4610625;0.9263701,0.06953011;-0.4005173;1.310388,0
966,-1100;7524;13700,751;-635;-1113,0.07111441;0.1977812;1.196864,0.05854959;0.02123075;1.239602,0.1940901;0.0313741;1.230087,0.22978;0.22443;1.068257,0.2272804;0.4198552;0.9833589,0.2314304;0.4715827;0.9613492,0.06943898;-0.3948704;1.310094,0
1000,-972;7580;13728,475;-493;-1199,0.0748125;0.1995272;1.194927,0.05994641;0.01969965;1.237463,0.1964716;0.0363288;1.231375,0.2263296;0.2381629;1.079976,0.2233823;0.427341;1.002723,0.2246487;0.4843186;0.9934388,0.0707549;-0.3927429;1.30988,0
1032,-924;7608;13920,726;-495;-1211,0.0750399;0.1997177;1.194907,0.06202904;0.02107658;1.236798,0.198786;0.04198593;1.232788,0.21832;0.2596936;1.105047,0.2165784;0.4624309;1.038981,0.2183803;0.5055354;1.021392,0.07168882;-0.3894771;1.309952,0
1064,-856;7748;14124,772;-536;-1174,0.07792997;0.203843;1.193235,0.07672021;0.03839055;1.235794,0.2030167;0.0570605;1.234764,0.2190742;0.2753467;1.107806,0.2136919;0.4735246;1.053079,0.2125881;0.5192778;1.048151,0.07267227;-0.3808855;1.309482,0
1097,-1016;8104;14324,879;-487;-1014,0.08581167;0.2066883;1.194579,0.07503428;0.03531105;1.235271,0.2029967;0.05685437;1.234875,0.217022;0.2805604;1.118423,0.2121246;0.4892427;1.07606,0.2082298;0.5341718;1.077267,0.07268452;-0.3800348;1.309325,0
1132,-1048;8148;14480,1507;-781;-433,0.08962044;0.2077936;1.195487,0.07644451;0.03865264;1.236443,0.2025607;0.05884684;1.237173,0.2136796;0.2882809;1.13355,0.2056637;0.5159343;1.113723,0.2049973;0.5536612;1.104531,0.07288857;-0.3782014;1.309285,0
1168,-868;7740;14132,1778;-1194;-202,0.09127424;0.2077744;1.196635,0.07644439;0.03962937;1.237561,0.2016582;0.06459636;1.241704,0.2121564;0.2977308;1.148106,0.2054485;0.5194259;1.126522,0.2020634;0.5597075;1.128132,0.07256407;-0.376459;1.309195,0
