Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-808;-13960;7268,-2692;409;-845,0.1091245;0.4899615;1.283607,-0.05659011;-0.2274474;1.185765,-0.05328496;-0.1606791;1.214185,-0.04757624;0.07609918;1.316857,-0.01892302;0.3231966;1.38858,0.1215084;0.3217053;1.35759,0.1068789;-0.06893121;1.501726,0
33,-916;-14316;6484,-5609;672;-1312,0.1087256;0.490589;1.284326,-0.05630812;-0.2259992;1.182134,-0.05284481;-0.1601936;1.210648,-0.04708384;0.07593501;1.314917,-0.01912642;0.3231912;1.388709,0.1214219;0.3221264;1.357963,0.1070198;-0.06894753;1.501661,0
64,-1052;-15468;5472,-11974;1882;-1872,0.1083161;0.4914852;1.285504,-0.05680859;-0.2251875;1.174188,-0.05216562;-0.1579915;1.205905,-0.0469295;0.0764921;1.3141,-0.01910413;0.3232042;1.388747,0.1212226;0.3226936;1.358462,0.1070611;-0.06897965;1.501627,0
99,-1124;-16700;4464,-7657;606;-2193,0.107956;0.4923051;1.286726,-0.05519046;-0.220115;1.163624,-0.05135145;-0.1560784;1.198771,-0.04670462;0.07629637;1.311733,-0.01904081;0.3233121;1.388759,0.1210901;0.3230911;1.358809,0.1071029;-0.06900211;1.501511,0
132,-676;-15640;3352,-10547;1265;-2191,0.1077178;0.4931152;1.287994,-0.05509128;-0.2153263;1.152955,-0.05068744;-0.1528578;1.189615,-0.0462222;0.07692326;1.308088,-0.01897049;0.323355;1.388768,0.1209468;0.3235452;1.359276,0.1071678;-0.06899422;1.501492,0
165,-1756;-18180;3160,-3373;-650;-2011,0.1075896;0.4933513;1.288207,-0.05630376;-0.2050842;1.132845,-0.04943929;-0.1485582;1.175681,-0.04538305;0.07810754;1.300376,-0.01916251;0.3233095;1.388721,0.1207981;0.3237025;1.359381,0.1071833;-0.0690454;1.501253,0
199,-200;-14848;1780,-5679;-84;-1440,0.1075128;0.4940597;1.289427,-0.05264141;-0.1910372;1.132021,-0.05013627;-0.144915;1.166173,-0.04552878;0.08001727;1.294144,-0.01909838;0.3233243;1.388646,0.1205375;0.324395;1.360565,0.1071724;-0.06904811;1.501286,0
231,-752;-15948;800,-7600;512;-1914,0.107482;0.4947061;1.290561,-0.05652619;-0.1763368;1.102718,-0.0506624;-0.1364137;1.149313,-0.04539314;0.082049;1.288489,-0.01904948;0.3233282;1.388505,0.1202301;0.3250588;1.361449,0.1071623;-0.06904134;1.501302,0
265,-404;-16088;96,-12512;1473;-2022,0.1075123;0.4951012;1.291055,-0.05805897;-0.156707;1.075547,-0.05592117;-0.1145195;1.119678,-0.04515933;0.08710365;1.275876,-0.01897153;0.3235378;1.38767,0.1199199;0.325396;1.361741,0.1071561;-0.06904343;1.501155,0
299,-828;-17336;-1104,-13059;876;-2795,0.1076625;0.4959835;1.292966,-0.05891903;-0.1415215;1.050891,-0.05734051;-0.1041487;1.101923,-0.04559842;0.09266663;1.26795,-0.0189717;0.3235527;1.38706,0.1195364;0.3261787;1.36298,0.1075088;-0.06883735;1.501163,0
333,-284;-17152;-2704,-12295;274;-2659,0.1079742;0.4966024;1.29421,-0.06168409;-0.1074606;1.034016,-0.05549588;-0.05012932;1.098874,-0.04583018;0.09824581;1.255126,-0.01896206;0.3232939;1.385806,0.1191809;0.3268959;1.363918,0.1076148;-0.06883185;1.501204,0
365,-236;-16512;-4388,-11955;418;-2539,0.1083759;0.4974083;1.295725,-0.06364141;-0.09652332;1.006294,-0.05503701;-0.02886252;1.101106,-0.04661027;0.1049538;1.241137,-0.01922087;0.3232925;1.385789,0.1185496;0.3280024;1.365482,0.1079008;-0.06854313;1.50144,0
399,388;-15104;-5756,-9917;-429;-2574,0.1088283;0.4980618;1.297047,-0.06680038;-0.07425988;0.9881791,-0.05972892;-0.02471114;1.05103,-0.04669905;0.1168784;1.223459,-0.01949662;0.3232821;1.385615,0.1179065;0.3288766;1.367072,0.1078424;-0.06843283;1.501709,0
431,-300;-16840;-6068,-6227;-1966;-2988,0.1090623;0.4981955;1.297185,-0.0693405;-0.05260915;0.9653674,-0.06152231;-0.01770636;1.032627,-0.04188768;0.1304247;1.196069,-0.01931008;0.3218937;1.376646,0.1176501;0.3291797;1.367237,0.1077539;-0.0683105;1.501686,0
463,852;-13120;-7724,-9663;-957;-2435,0.1100652;0.4992575;1.299342,-0.07336293;-0.03310786;0.949259,-0.06697363;-0.005643852;0.9988422,-0.04325322;0.1376603;1.188231,-0.01936175;0.3222061;1.375819,0.1169627;0.3305239;1.369838,0.1066456;-0.06757829;1.50397,0
496,316;-15408;-8316,-5829;-1814;-2345,0.1105542;0.4994682;1.29949,-0.07623818;-0.01216452;0.926297,-0.06934521;0.0110475;0.9582919,-0.04517579;0.1511993;1.176211,-0.01962747;0.3224941;1.375902,0.1166116;0.330834;1.370011,0.1043515;-0.0673404;1.50519,0
