Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,6088;8048;12684,1096;-522;-941,0.01003219;0.3110255;1.277811,-0.01865733;0.08920304;1.353341,0.1657388;0.03517714;1.351459,0.2181928;-0.1858157;1.31737,0.2010059;-0.3683732;1.134423,0.2000466;-0.4154552;1.064464,0.003627572;-0.3943755;1.425889,0
49,6076;8080;12632,1064;-471;-895,0.01005532;0.3109066;1.27768,-0.01865854;0.0891476;1.353253,0.1634116;0.03709559;1.350886,0.2181015;-0.1859235;1.316964,0.2007547;-0.3687651;1.134326,0.1997596;-0.4148951;1.063012,0.003700956;-0.3944238;1.425825,0
61,6084;8216;12600,1107;-469;-897,0.01008648;0.3105701;1.277005,-0.01870641;0.08884345;1.352573,0.1654749;0.03597825;1.350054,0.2177851;-0.1859043;1.316564,0.2007376;-0.36848;1.133621,0.1988983;-0.4146216;1.061122,0.003759722;-0.3945089;1.42551,0
93,6292;8172;12432,987;-183;-942,0.01009704;0.3103083;1.27639,-0.0187946;0.08861631;1.352025,0.1668477;0.03462716;1.349471,0.2182043;-0.1853462;1.316245,0.2007842;-0.3680225;1.133437,0.1990697;-0.4135133;1.061157,0.003684979;-0.3948023;1.425033,0
126,6068;8116;12552,1144;-277;-936,0.01005373;0.3101749;1.276084,-0.01881671;0.08847315;1.351603,0.1674125;0.03402446;1.349162,0.217885;-0.1851462;1.315408,0.2010962;-0.3676984;1.13241,0.198544;-0.4155127;1.061504,0.003584531;-0.3949452;1.424676,0
161,6004;8184;12564,986;-115;-899,0.01002232;0.310136;1.275996,-0.01883509;0.08843872;1.3516,0.1677137;0.03370422;1.349243,0.2176474;-0.1853966;1.315286,0.2009349;-0.3681368;1.132477,0.1993384;-0.4153331;1.06341,0.003625624;-0.3950433;1.424697,0
194,5576;8240;12660,790;-474;-999,0.01000622;0.310096;1.275985,-0.01883074;0.08841337;1.351601,0.1680907;0.03344944;1.349524,0.2178083;-0.1852095;1.315331,0.2010145;-0.368165;1.132752,0.1996181;-0.4164224;1.063921,0.003631632;-0.3950984;1.424755,0
230,5968;7920;12284,1037;-389;-1002,0.009993576;0.3100952;1.275995,-0.01885494;0.08837233;1.35167,0.1684615;0.03311697;1.349673,0.2173963;-0.1853998;1.315387,0.202596;-0.3652086;1.132968,0.200057;-0.4156251;1.063782,0.0036481;-0.395146;1.4248,0
263,5492;9744;12264,595;-611;-372,0.009874739;0.3099371;1.275584,-0.01888475;0.08815967;1.351135,0.1688813;0.03266534;1.349244,0.2175866;-0.1854801;1.314788,0.2016916;-0.3673356;1.130994,0.198971;-0.4146353;1.059004,0.003690626;-0.395381;1.424426,0
294,5868;9164;12656,-4277;227;861,0.009845299;0.3099131;1.275636,-0.01897174;0.08807898;1.351276,0.169209;0.03238416;1.349518,0.2175363;-0.185528;1.314989,0.2018439;-0.3667472;1.13139,0.2002143;-0.4171461;1.062357,0.003677496;-0.3955358;1.424633,0
328,4948;8724;14428,-6588;-2552;2977,0.009765688;0.3099041;1.275615,-0.0190282;0.08800795;1.351242,0.1647317;0.03566582;1.349065,0.2174634;-0.1857023;1.314853,0.2013249;-0.3676661;1.131192,0.1992669;-0.4165664;1.061675,0.003676752;-0.3955331;1.424625,0
361,7148;4300;12028,-2612;-1855;2683,0.009585779;0.3097543;1.275319,-0.01908749;0.08792642;1.351077,0.1654393;0.03483917;1.348777,0.217495;-0.1856959;1.314828,0.2018281;-0.3654405;1.131408,0.1984645;-0.4140468;1.061592,0.003693603;-0.3956093;1.424496,0
