Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,2048;808;16152,1196;-493;-1014,-0.05698534;0.4064234;0.9725736,-0.3663617;-0.004161512;0.9648312,-0.3027285;0.01128536;1.049599,-0.1934538;0.0659873;1.253393,-0.1369642;0.2050085;1.182269,-6.288761E-05;0.209788;1.052542,-0.02925806;-0.2565679;1.229846,0
34,2036;896;15972,1211;-455;-1015,-0.0563653;0.4065228;0.9723873,-0.3664196;-0.001222381;0.961803,-0.3022327;0.01151392;1.048817,-0.1937371;0.06622378;1.252926,-0.1365833;0.2053775;1.182071,0.0002187689;0.2097526;1.052477,-0.02924988;-0.2565314;1.229823,0
66,2112;932;15804,1141;-460;-1011,-0.05576137;0.4064724;0.971835,-0.3792048;0.01015595;0.9623581,-0.3079571;0.01279411;1.050163,-0.1944972;0.06650748;1.251648,-0.1364056;0.2052079;1.181745,0.0005073798;0.2095789;1.05218,-0.02959091;-0.2564957;1.229596,0
99,1972;776;16008,1156;-467;-1016,-0.05529623;0.4063781;0.9716982,-0.372999;0.009719941;0.9642293,-0.3078443;0.01285913;1.04985,-0.1948286;0.06647215;1.251504,-0.1362074;0.2048566;1.181623,0.0008215904;0.2095169;1.052168,-0.02955765;-0.2565297;1.229566,0
131,1804;864;15996,1179;-437;-1005,-0.05488751;0.4063098;0.9714839,-0.3705872;0.01209391;0.9685959,-0.3078339;0.01292093;1.049627,-0.1952816;0.06661388;1.251414,-0.1360468;0.2046273;1.181528,0.0009969515;0.2094661;1.052111,-0.02997907;-0.2565463;1.229558,0
165,1872;792;15968,1156;-498;-1014,-0.05428299;0.406302;0.9710293,-0.3669592;0.01133892;0.9656659,-0.3073813;0.0125049;1.04871,-0.1956192;0.0667619;1.250683,-0.1358626;0.2048247;1.181358,0.001386055;0.2093091;1.051832,-0.02946458;-0.2565131;1.229324,0
200,2072;896;15800,1134;-488;-1011,-0.05391936;0.4063247;0.9711562,-0.3667015;0.005030286;0.9725456,-0.3068564;0.01109399;1.048384,-0.1963552;0.06694997;1.250519,-0.1357479;0.2049466;1.18157,0.001643109;0.2092504;1.051927,-0.02926918;-0.2564764;1.229436,0
242,1956;808;15940,1146;-472;-1030,-0.05356844;0.4063389;0.9711066,-0.3604957;0.004173565;0.9730058,-0.3037225;0.008848914;1.04668,-0.1969751;0.06705324;1.250101,-0.1356937;0.2049873;1.181644,0.001895288;0.2091889;1.051921,-0.02907268;-0.2563978;1.229556,0
266,1916;888;15880,1154;-481;-1025,-0.05323192;0.4063617;0.9710604,-0.3575673;0.000617386;0.977526,-0.3018087;0.007315749;1.045993,-0.1972384;0.06704808;1.250021,-0.1356179;0.2051036;1.181815,0.002023078;0.2091538;1.051945,-0.02908802;-0.2563891;1.229537,0
299,1880;736;15916,1185;-463;-1003,-0.05291863;0.4062272;0.9707955,-0.3548898;-0.0002414795;0.9785768,-0.3006218;0.006391332;1.045129,-0.1976334;0.06704828;1.249604,-0.1356076;0.2050912;1.181801,0.002283358;0.2090188;1.051672,-0.02881285;-0.2563856;1.229367,0
