Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-376;11116;11248,1035;-122;-1074,-0.02481064;0.3994075;1.176508,-0.01809319;0.2200199;1.27084,0.1220979;0.1908275;1.246903,0.1567155;-0.0424048;1.211898,0.1334167;-0.2579059;1.09593,0.1226465;-0.3155339;1.065429,-0.01482078;-0.1739223;1.406005,0
34,-280;10940;11088,1118;24;-1052,-0.02482478;0.3995368;1.176407,-0.01816199;0.2202425;1.270834,0.122071;0.1909015;1.246919,0.1569829;-0.04189072;1.211192,0.1336133;-0.2575612;1.095564,0.1204655;-0.3156836;1.063673,-0.01474901;-0.1738259;1.405945,0
64,-512;11280;11244,991;-459;-1004,-0.02504177;0.4004219;1.17817,-0.0174588;0.2202136;1.271378,0.1220428;0.1909476;1.246917,0.1576077;-0.03961214;1.209925,0.1340355;-0.2559569;1.095655,0.120437;-0.3143804;1.065108,-0.01476694;-0.1737664;1.405855,0
99,-496;11040;11572,1275;-525;-751,-0.02505681;0.400524;1.178739,-0.01716578;0.2200581;1.271507,0.1220136;0.1909966;1.246853,0.1576055;-0.03954662;1.208591,0.1342621;-0.2560177;1.094519,0.1201025;-0.3142287;1.062691,-0.0148087;-0.1737651;1.405451,0
132,-512;11184;11540,1304;-868;-652,-0.02524194;0.4017094;1.181495,-0.01652323;0.2202756;1.273014,0.1219717;0.1910997;1.246926,0.1576775;-0.03934751;1.208528,0.134557;-0.2559972;1.094769,0.1219719;-0.3160138;1.066416,-0.01487306;-0.1735554;1.405719,0
165,-268;10896;11436,1279;-934;-768,-0.02516015;0.4027997;1.184378,-0.01575852;0.2206814;1.274918,0.121929;0.1912442;1.247079,0.157787;-0.03910545;1.208533,0.1348249;-0.2560385;1.095316,0.1220533;-0.3167852;1.066958,-0.01447782;-0.1733972;1.405988,0
200,-336;11152;11324,1126;-673;-717,-0.02508783;0.4029622;1.185016,-0.01559884;0.2207575;1.275374,0.1219;0.1913196;1.247088,0.1580528;-0.0384616;1.208034,0.1356373;-0.2550457;1.093983,0.1195377;-0.3161213;1.06366,-0.01448604;-0.1733259;1.406004,0
233,-240;10868;11052,860;-365;-801,-0.02502222;0.4030194;1.185355,-0.01534901;0.2208139;1.275644,0.1218886;0.1913555;1.247094,0.1584006;-0.03752672;1.207182,0.1357309;-0.2540523;1.093047,0.1187191;-0.3141004;1.062014,-0.01437775;-0.1732509;1.405967,0
266,12;10568;11020,1123;36;-997,-0.02497703;0.4028759;1.185531,-0.01514681;0.2208689;1.275916,0.1218646;0.1914066;1.247085,0.1587066;-0.03690765;1.205944,0.1356533;-0.2523432;1.089691,0.1168827;-0.3114507;1.059455,-0.01395019;-0.1734473;1.405484,0
300,0;10952;11272,1370;483;-1304,-0.02495887;0.403111;1.185899,-0.01495146;0.2209364;1.27607,0.1218076;0.191522;1.247072,0.1590605;-0.03560331;1.204796,0.1354452;-0.2505685;1.087711,0.1145503;-0.3074303;1.058982,-0.01356114;-0.1735127;1.405095,0
331,-340;11180;11620,882;107;-1040,-0.02487207;0.4037828;1.186656,-0.01480763;0.2209878;1.276205,0.1217672;0.1916036;1.247082,0.1595842;-0.03338252;1.203432,0.1354218;-0.2459697;1.081901,0.1143909;-0.3031067;1.056223,-0.01310713;-0.1736266;1.404852,0
366,-440;11200;11824,1036;-586;-944,-0.02499121;0.4046344;1.185884,-0.01545226;0.2216795;1.275744,0.1216857;0.1917301;1.247041,0.1604937;-0.0297821;1.200162,0.1372027;-0.237551;1.069915,0.1177934;-0.29353;1.043275,-0.01310771;-0.1735371;1.404878,0
397,-424;11000;11484,1247;-989;-758,-0.02489398;0.4051147;1.186673,-0.01519827;0.2217636;1.276064,0.1216292;0.1919264;1.247027,0.1614016;-0.02804891;1.197949,0.1383585;-0.2290011;1.056875,0.1242817;-0.2763114;0.9985603,-0.01276684;-0.1734955;1.404839,0
432,-348;11160;11060,1319;-880;-790,-0.02485792;0.4050742;1.18678,-0.01507738;0.2217709;1.276139,0.1215479;0.1921788;1.246976,0.1629927;-0.02390286;1.192931,0.1387355;-0.2211576;1.046666,0.1250429;-0.2696334;0.9976823,-0.01263836;-0.1745379;1.403318,0
467,-280;10896;10676,914;-537;-890,-0.02481987;0.4064148;1.186802,-0.01552035;0.2223162;1.275798,0.1217905;0.1925452;1.247361,0.1652012;-0.01619657;1.187378,0.1530962;-0.1820313;1.004111,0.1459332;-0.2387661;0.9297004,-0.0123426;-0.1744113;1.403474,0
499,-316;10936;11104,950;-59;-986,-0.02484567;0.406886;1.186348,-0.01582057;0.2227018;1.27547,0.1220939;0.1927644;1.2473,0.1657934;-0.01473725;1.183722,0.1531078;-0.1767535;0.9970309,0.1438581;-0.228084;0.9157119,-0.01214496;-0.1742986;1.403475,0
531,-404;11008;11584,1183;-99;-864,-0.02472952;0.4069603;1.186963,-0.01511429;0.2230818;1.276212,0.1226587;0.1933917;1.247467,0.1677742;-0.006012216;1.170911,0.1539033;-0.1643384;0.9810528,0.1424434;-0.2254143;0.8798433,-0.01179558;-0.1735852;1.404081,0
566,-224;10600;11616,3000;165;-816,-0.02456422;0.4083211;1.187464,-0.01553408;0.2235485;1.276032,0.1231728;0.1940932;1.247613,0.1681648;-0.0004716991;1.167216,0.1540927;-0.1515946;0.9714888,0.1443791;-0.2124508;0.8653345,-0.01181173;-0.1735608;1.404105,0
597,-396;11076;11400,5692;369;-708,-0.02446345;0.4086487;1.186992,-0.01574563;0.2239222;1.275798,0.123042;0.1944957;1.247278,0.1682199;0.006951804;1.157172,0.1541979;-0.1299743;0.9511262,0.14738;-0.1935962;0.8487982,-0.01170718;-0.1735533;1.404097,0
631,-416;11560;10944,7727;244;-298,-0.02445476;0.4090285;1.186677,-0.01598347;0.2244001;1.275728,0.1229492;0.1948644;1.24687,0.1681899;0.01613914;1.152127,0.156919;-0.1158898;0.9427066,0.1498446;-0.1752769;0.8382564,-0.01094993;-0.1720674;1.405954,0
667,-196;11052;9616,17304;2367;-92,-0.02432478;0.4087849;1.1871,-0.01501752;0.2250253;1.276879,0.1229044;0.1951493;1.246226,0.1686806;0.02134087;1.146265,0.1634932;-0.07092169;0.971005,0.1529508;-0.1571365;0.8232446,-0.0108292;-0.1708434;1.407596,0
700,-552;13328;8548,22510;4048;-1259,-0.02411789;0.4095032;1.188745,-0.01416568;0.2259174;1.278614,0.1240882;0.1958077;1.245236,0.1685904;0.02730999;1.143749,0.1592374;-0.08577295;0.9233729,0.155106;-0.1390828;0.8115745,-0.01076734;-0.1686294;1.410735,0
732,-860;14244;6268,23650;4461;-1490,-0.02420909;0.4101839;1.188212,-0.01474672;0.2263405;1.278066,0.1238294;0.1964125;1.244591,0.168011;0.03662524;1.138531,0.1589386;-0.07657281;0.9181947,0.155376;-0.1214259;0.7923696,-0.0108976;-0.1685073;1.410745,0
767,-1580;15808;3940,22761;4281;-2346,-0.02412511;0.4099597;1.188676,-0.01423162;0.22661;1.278729,0.1236232;0.1969992;1.244066,0.1590252;0.03233304;1.056396,0.1561348;-0.0869703;0.8389904,0.155585;-0.09977163;0.7832591,-0.01098843;-0.1685527;1.410573,0
799,-1888;15652;1532,20395;3612;-2078,-0.02414425;0.4105574;1.189734,-0.01377372;0.2272623;1.279755,0.1233944;0.1975249;1.243635,0.1594016;0.03447787;1.054651,0.1504229;-0.06483953;0.827615,0.1539228;-0.07926918;0.7688414,-0.01243234;-0.1673686;1.412062,0
832,-1664;15912;40,16095;2230;-2247,-0.02407966;0.410135;1.19054,-0.0132668;0.2280561;1.28166,0.123189;0.1980539;1.243501,0.1711983;0.06442606;1.119379,0.1556655;-0.02425312;0.888432,0.1525693;-0.05821588;0.7507059,-0.01356637;-0.1663368;1.414122,0
864,-2128;16952;-1004,9360;-81;-2212,-0.02405783;0.410047;1.19067,-0.01314622;0.2281887;1.281898,0.1228538;0.1986559;1.243187,0.169198;0.05371252;1.068579,0.1506047;-0.006472477;0.8288664,0.1507;-0.03366335;0.7340213,-0.01539435;-0.1657186;1.414204,0
900,-2304;18428;-956,-6518;-4170;-820,-0.02397905;0.4097378;1.191546,-0.01295132;0.2288874;1.283738,0.1231858;0.2027929;1.244452,0.1823083;0.07444589;1.119612,0.156151;0.01847557;0.8796183,0.1483437;-0.0112704;0.7249203,-0.01581775;-0.1642472;1.416757,0
931,-1804;16416;-260,-21405;-8726;1077,-0.0239141;0.410431;1.192262,-0.0128883;0.2289289;1.283821,0.1226213;0.2032802;1.244436,0.1829018;0.07831372;1.116606,0.160025;0.0573388;0.8707639,0.1447181;0.01166449;0.7076212,-0.01594535;-0.1636738;1.417214,0
966,-732;16344;2700,-27378;-9151;1588,-0.02408393;0.4104216;1.193687,-0.01303685;0.2297885;1.28592,0.1222102;0.2084397;1.247909,0.1898204;0.09500337;1.112916,0.1612896;0.06858389;0.8681937,0.1429083;0.03510999;0.7040259,-0.0165158;-0.1626732;1.418561,0
996,-144;13996;5036,-32324;-7885;1380,-0.02415222;0.4102094;1.193496,-0.01308748;0.229804;1.285935,0.1214099;0.2081595;1.247762,0.1925271;0.1114955;1.101558,0.1699901;0.1062641;0.8548374,0.1394233;0.05679168;0.6931928,-0.01661612;-0.1623604;1.418745,0
1033,944;11084;8532,-28558;-7561;3266,-0.02414118;0.4104712;1.193734,-0.0131858;0.2300016;1.286109,0.119357;0.2092959;1.251009,0.2005342;0.119317;1.105932,0.1692189;0.113111;0.860198,0.1382211;0.07975845;0.692162,-0.01682265;-0.1617293;1.419187,0
1066,1044;8984;10164,-23819;-3468;2407,-0.02419621;0.410538;1.193911,-0.01321979;0.2301294;1.286335,0.1181822;0.2100647;1.253419,0.198654;0.1131554;1.112625,0.1461082;0.117834;0.8705004,0.1378017;0.1020068;0.6898286,-0.01703478;-0.1612144;1.419657,0
1099,752;7396;12764,-5119;673;-2413,-0.02425708;0.4104587;1.194016,-0.0131365;0.2301825;1.286523,0.1164619;0.2120816;1.255732,0.1591911;0.1013575;1.094674,0.1646111;0.09466451;0.8469959,0.1388251;0.1217177;0.687695,-0.01706604;-0.1607497;1.420013,0
1133,-568;10368;13672,4312;1006;-1662,-0.02468302;0.4115077;1.192218,-0.01430768;0.2301494;1.284444,0.1156588;0.2110099;1.255304,0.1587024;0.105482;1.087232,0.1559909;0.110933;0.8394766,0.1382139;0.1374672;0.6826299,-0.01693498;-0.1605552;1.420053,0
1169,348;10540;13188,4062;24;-393,-0.02486302;0.4120944;1.191521,-0.01487659;0.2302711;1.283627,0.1152711;0.2105213;1.255055,0.1607985;0.1130401;1.074502,0.1585305;0.1148718;0.8266865,0.140123;0.1514874;0.6822042,-0.01657841;-0.1601348;1.420487,0
1198,692;9932;12564,4535;679;-493,-0.02491602;0.4114459;1.192849,-0.01426745;0.2304351;1.285315,0.113054;0.2122288;1.258687,0.1602465;0.1311279;1.093766,0.1598843;0.1232652;0.8460676,0.1416033;0.161805;0.6846873,-0.01590614;-0.1590872;1.422226,0
1232,444;10080;12620,4493;916;-717,-0.02510346;0.412016;1.192247,-0.01512953;0.2305432;1.28465,0.112769;0.2107092;1.25804,0.1607109;0.1309319;1.092685,0.1588212;0.1308915;0.8448635,0.1424834;0.1679221;0.6823284,-0.01580917;-0.1588965;1.422742,0
1265,224;10364;12324,2898;254;-705,-0.02531984;0.4123822;1.191996,-0.01585759;0.23057;1.284276,0.1125533;0.2093832;1.257803,0.1635219;0.1333415;1.070448,0.1591667;0.1343852;0.8226527,0.1443033;0.1705999;0.684157,-0.0158358;-0.1588894;1.423229,0
1298,292;10348;12040,1546;-317;-934,-0.02539602;0.4114394;1.193063,-0.0159782;0.2306905;1.286018,0.1108041;0.2089973;1.261188,0.1614525;0.1375885;1.092799,0.162188;0.1346232;0.8449872,0.1431682;0.1682956;0.6831926,-0.01530038;-0.1584277;1.424448,0
1333,296;10304;11948,464;-346;-1323,-0.02559916;0.4103558;1.194078,-0.01599723;0.2307167;1.287608,0.1105327;0.2106338;1.264325,0.1612704;0.1371296;1.096888,0.160984;0.1355851;0.8490637,0.1434398;0.1637244;0.6831722,-0.01530188;-0.1583532;1.424661,0
1365,80;10412;12076,591;-303;-1152,-0.02602737;0.4115924;1.192869,-0.01701396;0.2307011;1.285736,0.1107338;0.2102335;1.262384,0.1631785;0.1296229;1.083314,0.1619909;0.1317071;0.8354891,0.14275;0.1532524;0.6812826,-0.01525956;-0.158346;1.424575,0
1398,172;10236;12060,949;-243;-1036,-0.02652191;0.4123317;1.192659,-0.0176228;0.2307922;1.285091,0.1108882;0.209966;1.261536,0.1619306;0.1263037;1.097666,0.1627381;0.1240613;0.8498487,0.144627;0.1421226;0.6829451,-0.01526933;-0.1583617;1.424574,0
1432,248;10140;12012,1003;-421;-954,-0.02696656;0.4130287;1.192359,-0.01815379;0.2307776;1.284216,0.1112375;0.2098734;1.259916,0.1662993;0.1087892;1.109537,0.1635574;0.1075066;0.8617357,0.1456881;0.1256741;0.6840134,-0.01528729;-0.1583388;1.424508,0
1466,128;10248;12024,802;-461;-1293,-0.02730813;0.4116581;1.193722,-0.01763186;0.2308255;1.286171,0.1112593;0.2130311;1.260483,0.1668544;0.09891187;1.120325,0.1610717;0.09573324;0.8726007,0.1487748;0.1100959;0.6891361,-0.01536043;-0.1581812;1.424645,0
1498,84;10564;12004,919;-466;-1246,-0.02772151;0.411118;1.194982,-0.01735163;0.2309563;1.287705,0.1120034;0.2118757;1.258416,0.149159;0.1216026;1.095698,0.1492209;0.1089182;0.8482068,0.1523982;0.09141093;0.6925315,-0.01557825;-0.1582171;1.424816,0
1533,116;10556;12052,1141;-283;-1000,-0.02813823;0.4119487;1.194326,-0.01808027;0.2308501;1.286633,0.1126358;0.2106799;1.25699,0.1604157;0.09471177;1.115355,0.1548576;0.08977301;0.8676566,0.1573151;0.07167359;0.6959648,-0.01581912;-0.1583416;1.42488,0
1567,208;10384;12088,1641;-190;-844,-0.02868028;0.4121182;1.193243,-0.01869258;0.2306463;1.285435,0.1131941;0.2096746;1.255749,0.1294623;0.1532681;1.042416,0.1788031;0.0797194;0.8108122,0.162589;0.04945829;0.7019337,-0.01609654;-0.1584981;1.424685,0
1598,48;10220;11980,1934;-200;-817,-0.02920952;0.4105131;1.192884,-0.018509;0.2303437;1.285948,0.114205;0.2085363;1.253905,0.1647306;0.07249077;1.133659,0.1642191;0.06764575;0.8858953,0.1690273;0.02627975;0.709652,-0.01633763;-0.1587638;1.424522,0
1632,264;10348;11824,2019;-252;-797,-0.02966491;0.4095482;1.192783,-0.01833026;0.2300731;1.286219,0.1149976;0.2088258;1.253583,0.1363949;0.1326706;1.04698,0.1673529;0.03370927;0.8711519,0.1744168;0.0003597071;0.7211117,-0.01686038;-0.1592576;1.424004,0
1664,120;10468;11696,1301;-399;-944,-0.02991328;0.4095503;1.193219,-0.01828248;0.2299265;1.286424,0.1155787;0.2078059;1.252773,0.1394804;0.1212046;1.050641,0.1712268;0.01854368;0.8781912,0.1814656;-0.02407399;0.7386301,-0.01743396;-0.1599667;1.423717,0
1699,188;10664;11972,1325;-328;-868,-0.03013386;0.4092191;1.193425,-0.01827546;0.2296729;1.28665,0.1161529;0.2068829;1.25205,0.173934;0.06373432;1.144935,0.182029;-0.01082966;0.9087008,0.1878827;-0.0498273;0.7638515,-0.01813126;-0.1606907;1.423567,0
1732,48;10460;11908,1136;-404;-819,-0.03040155;0.4090053;1.193417,-0.01824937;0.2292862;1.286454,0.1166369;0.2058843;1.251068,0.172455;0.06178824;1.138222,0.1867764;-0.03785334;0.9308933,0.1938723;-0.07730381;0.7794384,-0.01832613;-0.1613136;1.423007,0
1767,132;10372;11992,1076;-476;-869,-0.0305406;0.4086308;1.193661,-0.01810629;0.2284829;1.286253,0.1170524;0.2047398;1.250056,0.1714761;0.05105346;1.131925,0.1873854;-0.06456006;0.9132342,0.199106;-0.1103475;0.7988641,-0.01710277;-0.1632861;1.421086,0
1797,-68;10476;12052,1132;-635;-1059,-0.03125216;0.4063179;1.192164,-0.01807525;0.2277573;1.286128,0.1174133;0.2035167;1.249244,0.1713068;0.0457521;1.132378,0.1888703;-0.0836689;0.9217267,0.2024212;-0.1402766;0.827309,-0.01679942;-0.1640105;1.420634,0
1832,112;10444;11988,1067;-697;-1028,-0.0314483;0.4055679;1.192029,-0.01781308;0.2264637;1.285394,0.1190837;0.1985811;1.246745,0.1695588;0.0312284;1.135008,0.1899983;-0.1110964;0.9332029,0.2023882;-0.1768207;0.8379816,-0.01611553;-0.1646314;1.420284,0
1865,292;10552;12044,1252;-485;-961,-0.03228881;0.4013958;1.188687,-0.01749728;0.2250511;1.284328,0.1190775;0.1979833;1.246349,0.1703333;0.008922277;1.130645,0.1924052;-0.1498676;0.9418965,0.2028085;-0.2121326;0.8607176,-0.01328131;-0.1677502;1.416014,0
1898,208;10424;12196,1055;-745;-1060,-0.0325893;0.4024343;1.187653,-0.0181838;0.224713;1.28244,0.1190513;0.1977328;1.246382,0.1701088;0.001913768;1.135808,0.1936634;-0.1723613;0.9617845,0.2045097;-0.2235216;0.9081101,-0.01180477;-0.1701992;1.413771,0
