Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,12812;-2084;880,1128;1472;8075,-0.03158576;0.4386124;1.24911,-0.1404829;-0.2228631;1.099802,-0.1492932;-0.1714556;1.141653,-0.1989198;0.0003753329;1.258933,-0.176141;0.2032217;1.29898,-0.03223716;0.2425374;1.322237,-0.02471636;-0.1667324;1.355411,0
35,12072;-3716;1508,2315;2149;9540,-0.03154489;0.4386099;1.249048,-0.1363598;-0.2356533;1.092017,-0.1464205;-0.1852634;1.134301,-0.1988825;0.0003020763;1.258574,-0.1765621;0.2027212;1.298599,-0.03223129;0.242528;1.322206,-0.02471511;-0.1667375;1.355415,0
65,11408;-3804;1832,3453;3176;12383,-0.03148082;0.4386326;1.248854,-0.1364829;-0.23394;1.089562,-0.1462327;-0.1874475;1.132156,-0.1989394;0.0004844681;1.257363,-0.1769446;0.2020678;1.297746,-0.03223929;0.2423935;1.321816,-0.0246506;-0.1668039;1.35509,0
99,9168;-6244;1600,5895;4627;14522,-0.03148405;0.4386122;1.248883,-0.1375538;-0.2379628;1.088066,-0.1459882;-0.1904747;1.130717,-0.1991432;0.0006303914;1.257152,-0.1771087;0.2018905;1.29775,-0.03222709;0.2423926;1.32189,-0.02463995;-0.1668202;1.355168,0
131,8720;-7272;1320,6038;5780;15644,-0.03138015;0.43864;1.248743,-0.1412904;-0.23072;1.088642,-0.14973;-0.1824019;1.132704,-0.1994349;0.0006635574;1.255756,-0.1773143;0.2016245;1.297486,-0.03223317;0.2423619;1.321796,-0.02462315;-0.1668557;1.355045,0
165,3828;-9548;2192,8757;7611;17271,-0.03127696;0.4389305;1.249086,-0.1427291;-0.2299229;1.088681,-0.1506625;-0.1812894;1.132997,-0.1996585;0.0005815818;1.255026,-0.1773985;0.2013955;1.297367,-0.032;0.2432133;1.322615,-0.02462879;-0.1668729;1.355049,0
197,2740;-11952;3892,22734;6866;19547,-0.03115398;0.438852;1.248804,-0.143604;-0.2302828;1.087087,-0.1516741;-0.1818533;1.132064,-0.1998233;0.000751369;1.254754,-0.1776126;0.2010584;1.297011,-0.03183293;0.2437577;1.32303,-0.02468406;-0.166925;1.355023,0
231,2288;-7312;4328,24588;11528;15192,-0.03107338;0.4393884;1.24928,-0.1439284;-0.2299419;1.086553,-0.1521684;-0.1828649;1.131131,-0.2000901;0.001102452;1.25432,-0.1776229;0.2008703;1.296637,-0.03179419;0.2435945;1.322528,-0.02476674;-0.1669471;1.354946,0
265,-1036;-7800;8684,11567;15961;14017,-0.0308646;0.4393218;1.24901,-0.1455513;-0.2306479;1.085597,-0.1528648;-0.1831203;1.130498,-0.2002699;0.001149988;1.25414,-0.1776194;0.2008539;1.29662,-0.03179444;0.2435602;1.322479,-0.02479906;-0.1669615;1.355006,0
298,-3016;-10028;11716,6060;17073;15316,-0.03081727;0.4393659;1.249007,-0.1463628;-0.2282208;1.085351,-0.1537773;-0.1824804;1.130203,-0.2004508;0.0009898916;1.253545,-0.1775885;0.2007963;1.29646,-0.03177704;0.2434892;1.322252,-0.02483025;-0.1669914;1.355003,0
332,-8624;-10720;11896,9046;17545;17836,-0.03071743;0.4399411;1.250466,-0.1485446;-0.2363715;1.081618,-0.1539426;-0.1897685;1.12842,-0.2007805;0.001036146;1.253839,-0.177553;0.2009016;1.296839,-0.03178935;0.2435012;1.32252,-0.02507926;-0.1670497;1.355718,0
364,-10500;-9256;9432,2135;16424;16320,-0.03066146;0.4400632;1.25046,-0.147411;-0.2361438;1.074317,-0.1544026;-0.1920369;1.125895,-0.2011147;0.001083488;1.253071,-0.1773854;0.2007673;1.296322,-0.03160959;0.2432709;1.321657,-0.02554681;-0.1672704;1.355112,0
433,-14404;-12676;12284,11369;16352;16483,-0.03053761;0.4400226;1.250599,-0.1474604;-0.2635822;1.041516,-0.1606117;-0.2072308;1.100838,-0.2020245;0.002081095;1.253676,-0.1773507;0.2008234;1.296457,-0.03152863;0.2432726;1.321832,-0.02539999;-0.1672623;1.355329,0
512,-19432;-3928;6272,32767;22719;16,-0.0301897;0.4403043;1.251006,-0.1541107;-0.2450704;1.054225,-0.1600797;-0.2061329;1.099426,-0.2024388;0.002195333;1.253386,-0.1725175;0.2056793;1.299579,-0.03143752;0.2432912;1.321824,-0.02537323;-0.1671573;1.35541,0
