Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-10204;17400;2772,1890;-1156;4269,-0.01915411;0.2670445;1.211741,-0.04228509;0.0493409;1.30562,0.13447;0.01872894;1.320431,0.2389974;-0.2040491;1.294729,0.2378579;-0.3986846;1.184801,0.2276708;-0.4731712;1.131151,-0.03356364;-0.4407932;1.432575,0
33,-10188;19148;3464,656;-688;5630,-0.0187112;0.2669246;1.211384,-0.04194377;0.04921929;1.305281,0.1341658;0.01912328;1.320305,0.2396106;-0.2032775;1.294023,0.2379357;-0.3981707;1.183228,0.2346435;-0.4427187;1.132412,-0.03341636;-0.4407024;1.432427,0
65,-10000;18628;3452,715;-1592;8090,-0.01829054;0.2668899;1.21172,-0.04172131;0.04917136;1.305763,0.1339397;0.01961213;1.320673,0.2404573;-0.2023447;1.296604,0.2383147;-0.3973114;1.183613,0.227434;-0.4728179;1.130981,-0.03315922;-0.4407042;1.433109,0
100,-9532;18576;3328,120;-1743;10021,-0.01799542;0.2668754;1.21176,-0.0416478;0.04914539;1.30577,0.1343047;0.01940882;1.320757,0.2408633;-0.2016037;1.296401,0.2384983;-0.3966438;1.183544,0.2263328;-0.4715798;1.1287,-0.03316424;-0.4407091;1.433108,0
133,-9248;17912;3028,1420;-2350;11916,-0.01763907;0.2667902;1.211637,-0.04146228;0.04906864;1.305667,0.1346941;0.01930756;1.320744,0.2411079;-0.2011696;1.296036,0.2386852;-0.3959626;1.183239,0.2265993;-0.4708936;1.126929,-0.03315382;-0.4407105;1.433105,0
166,-8588;17976;3024,-2006;-2725;12947,-0.01743648;0.2667139;1.211615,-0.04126239;0.04906796;1.305629,0.1344459;0.01955153;1.320735,0.2412543;-0.2010109;1.295803,0.238793;-0.3954704;1.182582,0.2388154;-0.4388983;1.126551,-0.03299964;-0.4406329;1.433096,0
198,-6840;16472;2788,2227;-3544;15028,-0.01720857;0.266616;1.211442,-0.04108377;0.04904354;1.305519,0.1341837;0.01992721;1.32068,0.2415479;-0.2008418;1.294872,0.2387919;-0.3954552;1.181488,0.226557;-0.4693149;1.124072,-0.03287535;-0.4406321;1.432941,0
231,-5820;16708;2680,535;-3364;14568,-0.01705778;0.2665997;1.211311,-0.04089893;0.04903012;1.305336,0.1340268;0.02016675;1.320603,0.2417014;-0.2007195;1.294198,0.2389157;-0.3953203;1.178521,0.2266434;-0.4691561;1.121851,-0.0328746;-0.4406326;1.432729,0
265,-4104;15908;2828,-757;-3819;14471,-0.01695245;0.2666631;1.211418,-0.04075409;0.04902199;1.305511,0.1339457;0.02038839;1.320748,0.2417779;-0.2006278;1.294142,0.2389965;-0.3956277;1.178205,0.2290434;-0.4695126;1.124622,-0.03279568;-0.4406213;1.432913,0
298,-2732;15272;2888,1349;-4458;15271,-0.01679352;0.2668252;1.211825,-0.0404768;0.04905611;1.305961,0.1337807;0.0206701;1.32095,0.2418747;-0.2005537;1.294187,0.2390442;-0.3956499;1.178109,0.2294877;-0.4725767;1.124445,-0.03254347;-0.4405977;1.433403,0
