Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-10656;-11836;-3692,1116;-240;-858,0.1145426;0.566461;1.317912,-0.08740249;-0.2347481;1.127929,-0.09782595;-0.178008;1.139,-0.08653706;0.0724983;1.257459,-0.04825;0.331877;1.381704,0.1056122;0.3636105;1.405512,0.1045671;-0.1013863;1.503561,0
16,-10904;-11680;-3356,1641;-432;-917,0.1145777;0.566507;1.317979,-0.08846891;-0.2344024;1.130128,-0.09831538;-0.1769219;1.139946,-0.08662103;0.07236658;1.259675,-0.04793528;0.3320072;1.382378,0.1056612;0.3636785;1.40573,0.1045292;-0.1013541;1.503768,0
38,-10624;-11700;-3136,1483;-705;-1087,0.1145766;0.5665202;1.31798,-0.08877548;-0.2324367;1.127244,-0.09871297;-0.1749458;1.140465,-0.08675901;0.07262535;1.259469,-0.04765294;0.3321238;1.382755,0.1057095;0.3637022;1.405738,0.1045369;-0.1013392;1.503824,0
68,-10660;-11616;-2908,1322;-688;-1097,0.114595;0.5665737;1.317998,-0.08732846;-0.23631;1.126512,-0.09868364;-0.178669;1.139946,-0.08696975;0.07393692;1.258927,-0.0474751;0.3319243;1.382651,0.1057499;0.3636861;1.405744,0.1045136;-0.1013671;1.503872,0
103,-10632;-11728;-3284,1079;-674;-1214,0.1146175;0.5666168;1.318033,-0.08842336;-0.2269316;1.124149,-0.09908734;-0.1688697;1.140228,-0.08729406;0.07539365;1.257071,-0.04747754;0.331869;1.382489,0.105767;0.3636855;1.405728,0.1044866;-0.1013755;1.503882,0
136,-10636;-11824;-3228,1206;-675;-1346,0.1146569;0.5665685;1.317944,-0.08846872;-0.2368993;1.116124,-0.09888836;-0.1620393;1.138169,-0.08731014;0.07924897;1.253701,-0.04729115;0.3317338;1.382234,0.1058392;0.3635232;1.405396,0.1043482;-0.1014779;1.503555,0
168,-10492;-11696;-3052,1219;-661;-1232,0.1146935;0.566569;1.317918,-0.1200761;-0.155402;1.061371,-0.1248306;-0.08683057;1.099604,-0.08736931;0.08287524;1.252522,-0.04714833;0.3313617;1.381831,0.1058281;0.3635237;1.405388,0.1042746;-0.1015241;1.503561,0
208,-10580;-12000;-3256,1273;-495;-897,0.1147074;0.5665138;1.317839,-0.1152041;-0.1480396;1.04467,-0.1247519;-0.08968741;1.090858,-0.08932377;0.08436984;1.239215,-0.04716799;0.3312903;1.381588,0.1058379;0.3635249;1.405395,0.1039901;-0.1015693;1.503626,0
238,-10608;-11900;-3304,1197;-425;-578,0.1154902;0.5681103;1.320269,-0.1155401;-0.1251355;1.024704,-0.1230572;-0.07422001;1.074222,-0.09075164;0.09276944;1.231489,-0.04705039;0.3308448;1.380948,0.1058969;0.3636402;1.405686,0.1035295;-0.1015594;1.504402,0
268,-10436;-11776;-3352,1122;-162;-579,0.1155114;0.5680889;1.320249,-0.1193835;-0.09330299;0.9952142,-0.121375;-0.06036353;1.043481,-0.09473419;0.09875786;1.210034,-0.04708359;0.3299527;1.379023,0.1058918;0.3636526;1.405727,0.1033108;-0.1015834;1.50464,0
302,-10756;-11884;-3640,1472;-592;-881,0.1157747;0.5681458;1.320523,-0.1114948;-0.1198179;0.9261244,-0.1096362;-0.07938781;0.9826463,-0.0930469;0.1324206;1.210163,-0.04706594;0.3300957;1.378744,0.1059303;0.3637635;1.406096,0.1025634;-0.1013693;1.505352,0
337,-10704;-11840;-3096,2165;-648;-1308,0.1160222;0.5680764;1.320669,-0.1204068;-0.04397633;0.9304488,-0.1241964;0.01234183;1.001042,-0.09613317;0.1476;1.19643,-0.04700161;0.3305697;1.378756,0.1059647;0.3637799;1.406417,0.1020991;-0.1010014;1.506128,0
369,-10864;-11724;-2348,2751;-1153;-1594,0.1163654;0.5680667;1.320918,-0.1274491;0.006890937;0.909322,-0.1287407;0.06281837;0.9939989,-0.09240378;0.1748223;1.194238,-0.04581873;0.3335643;1.377089,0.1059189;0.3638324;1.406691,0.1014437;-0.1006072;1.506767,0
404,-10576;-11740;-2248,3119;-1516;-1623,0.1169668;0.5672089;1.320587,-0.1295707;0.03989681;0.8707138,-0.1308425;0.1102048;0.9732795,-0.08867541;0.1890026;1.187745,-0.0458387;0.334599;1.376919,0.105934;0.3638465;1.406815,0.1012725;-0.1005063;1.507071,0
439,-10476;-11648;-2308,1496;-794;-1393,0.1172789;0.5669696;1.320584,-0.1326929;0.08646338;0.842524,-0.124107;0.1004082;0.9120306,-0.08869738;0.2203486;1.174884,-0.04505315;0.336054;1.377086,0.1060646;0.3639215;1.40696,0.1012557;-0.1004358;1.507228,0
469,-10360;-11896;-2868,-998;-41;-1166,0.1177341;0.5668523;1.320483,-0.1383914;0.1427452;0.8215151,-0.132384;0.1982853;0.9473572,-0.08438327;0.2259776;1.173003,-0.04351233;0.3377578;1.378004,0.1064534;0.3641106;1.407147,0.101391;-0.1003742;1.507306,0
