Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,3788;-13808;-5636,8639;2338;-10373,-0.07298978;0.02685623;1.225866,-0.2794736;-0.5409782;1.050371,-0.2722594;-0.5595567;1.085832,-0.2966322;-0.4078085;1.200836,-0.2322315;-0.2290101;1.263554,-0.06490542;-0.191467;1.278622,-0.07066029;-0.6145908;1.297427,0
29,5372;-13644;-3848,8238;2837;-9369,-0.07286887;0.02695202;1.225997,-0.2767057;-0.5425481;1.0564,-0.2721304;-0.5593571;1.085603,-0.2966179;-0.407776;1.200824,-0.2316785;-0.2288887;1.263494,-0.06480305;-0.1914208;1.278651,-0.07064924;-0.61458;1.297422,0
61,5808;-13512;-3060,6642;2172;-9041,-0.0727056;0.0270697;1.226955,-0.2772733;-0.5396212;1.046301,-0.2722223;-0.5587708;1.085759,-0.2968752;-0.4078944;1.201947,-0.2311916;-0.2286418;1.264412,-0.06466942;-0.1913441;1.279466,-0.07059653;-0.6146273;1.297876,0
98,6804;-13656;-2976,5263;2462;-8698,-0.07260218;0.02716967;1.227164,-0.2804443;-0.522322;1.059835,-0.2721872;-0.5580612;1.085071,-0.2968551;-0.4078389;1.202175,-0.230979;-0.2285867;1.264515,-0.06460588;-0.1912878;1.279546,-0.07054245;-0.6146098;1.297904,0
128,7844;-12360;-2216,7568;1668;-7892,-0.07253802;0.02724902;1.227338,-0.2824429;-0.5158777;1.049484,-0.2722261;-0.5550332;1.081018,-0.2968546;-0.4078188;1.202206,-0.2307806;-0.2284835;1.264611,-0.06452839;-0.1912215;1.279621,-0.0705151;-0.6146002;1.297907,0
161,9344;-12064;-588,6877;948;-6857,-0.07245998;0.02732886;1.227548,-0.2808467;-0.5131611;1.045088,-0.2720333;-0.5532497;1.078932,-0.2969023;-0.4077233;1.20226,-0.2305877;-0.2283661;1.264881,-0.06450885;-0.1911622;1.279741,-0.07051246;-0.6145979;1.297911,0
197,9104;-12972;-1000,4693;823;-6443,-0.07233372;0.02758372;1.227986,-0.2768891;-0.517401;1.020744,-0.2714408;-0.5521003;1.078041,-0.2970093;-0.407508;1.202413,-0.2304636;-0.2283253;1.264935,-0.06450618;-0.1911284;1.27978,-0.07051428;-0.6145973;1.297903,0
230,9260;-13148;-1164,7103;571;-5996,-0.07224589;0.02774618;1.228325,-0.267912;-0.5131018;0.9668094,-0.2705427;-0.5471585;1.073721,-0.2971238;-0.4066209;1.202815,-0.2302872;-0.2282076;1.265164,-0.06445283;-0.1910368;1.279893,-0.07051362;-0.6145865;1.297895,0
263,10260;-11908;-324,5249;1393;-6573,-0.07207957;0.02808605;1.229227,-0.2646241;-0.4987058;0.9479125,-0.2701752;-0.5412269;1.068588,-0.2974403;-0.4056878;1.203173,-0.2303034;-0.228171;1.265597,-0.06446132;-0.1909176;1.280197,-0.07052922;-0.6145898;1.297905,0
297,10692;-11152;644,6586;1026;-5824,-0.07203197;0.0281164;1.229271,-0.2435097;-0.4746884;0.8882814,-0.2807713;-0.4953202;1.032208,-0.2974244;-0.4034771;1.202808,-0.2301983;-0.2280417;1.265495,-0.06442381;-0.1907604;1.280091,-0.07086731;-0.6143731;1.29685,0
