Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,1212;14664;5744,853;-436;-954,-0.1889476;0.1448756;1.302723,-0.1876494;-0.07369125;1.338147,-0.03230158;-0.09306173;1.346272,0.04933989;-0.3010026;1.268193,0.1045705;-0.4280082;1.132926,0.1147963;-0.4407618;1.115016,-0.1434792;-0.5365492;1.396052,0
31,1260;15020;5932,1053;-449;-987,-0.1887729;0.1448725;1.302705,-0.1875488;-0.07366855;1.338039,-0.03133233;-0.09382732;1.346628,0.04925876;-0.3017183;1.268373,0.1052843;-0.4301531;1.132152,0.1144721;-0.4409884;1.114897,-0.1434563;-0.5365847;1.395869,0
63,1168;15064;5880,988;-459;-825,-0.1882639;0.1448061;1.302128,-0.187284;-0.07365608;1.337683,-0.03067078;-0.09431421;1.346496,0.04950225;-0.30262;1.267022,0.1066144;-0.4369723;1.129166,0.1235312;-0.4781762;1.09241,-0.1432714;-0.5365486;1.395439,0
98,1404;14780;5852,1238;-486;-889,-0.1881214;0.1448465;1.302197,-0.1872171;-0.07361364;1.337702,-0.03253673;-0.09221514;1.345704,0.04936974;-0.3032609;1.267637,0.1066266;-0.4369382;1.129204,0.1243655;-0.4788049;1.095496,-0.1432737;-0.5364465;1.395444,0
131,1136;14932;5680,1382;-555;-910,-0.1879098;0.1449097;1.30251,-0.1871532;-0.0735843;1.337833,-0.03079814;-0.0940541;1.347335,0.04938838;-0.3032757;1.26764,0.1050035;-0.4343719;1.133795,0.1164345;-0.4449691;1.114231,-0.1432797;-0.5364624;1.395528,0
163,1196;14816;5460,837;-522;-949,-0.1877728;0.1448952;1.30248,-0.1869911;-0.07349145;1.337727,-0.03024745;-0.09447999;1.347359,0.04935167;-0.3034829;1.267581,0.1060498;-0.4355319;1.130917,0.1148689;-0.4420437;1.111288,-0.1432588;-0.5364732;1.395425,0
199,1156;14648;5696,1381;-333;-1049,-0.187632;0.1450115;1.302743,-0.186884;-0.07339673;1.337878,-0.02991248;-0.09479702;1.347824,0.0493492;-0.303481;1.26767,0.1069693;-0.4372341;1.129509,0.1159963;-0.4423956;1.11323,-0.1432466;-0.5364794;1.395494,0
231,1288;14820;5708,1749;-296;-1116,-0.1875242;0.1450072;1.30286,-0.1868499;-0.07338139;1.337887,-0.03222383;-0.09241465;1.346465,0.04941273;-0.3033586;1.267472,0.1058202;-0.4323411;1.131064,0.1248245;-0.4547777;1.091745,-0.1431848;-0.5364065;1.395505,0
263,1308;15020;5800,2171;-409;-1020,-0.1874729;0.1450926;1.302931,-0.1867358;-0.07331311;1.337949,-0.03127734;-0.09350903;1.346814,0.04939754;-0.3016963;1.267172,0.1051794;-0.4292308;1.129887,0.1214739;-0.4468134;1.090299,-0.1431894;-0.5364265;1.39551,0
301,1144;15512;5548,2613;-430;-947,-0.1874657;0.1450951;1.302937,-0.1866032;-0.07329549;1.337864,-0.03269318;-0.0916127;1.345777,0.04970624;-0.2930616;1.263691,0.1044311;-0.4229469;1.125054,0.1246075;-0.4471971;1.074934,-0.1431513;-0.5363546;1.395497,0
