Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-5352;13712;-6728,781;-238;-704,-0.06047692;0.2282469;1.142137,-0.07082088;0.01059172;1.216307,0.09420864;-0.01571925;1.209241,0.1295246;-0.2571122;1.144661,0.1394701;-0.4200194;0.983359,0.1518649;-0.459578;0.9116307,-0.07037494;-0.4572862;1.274172,0
29,-5492;13528;-6376,1042;-287;-356,-0.06045475;0.2282237;1.142206,-0.07084389;0.01052148;1.216543,0.09426536;-0.01590053;1.209613,0.1298351;-0.2574311;1.14591,0.1396165;-0.4183711;0.9877706,0.1520398;-0.4591124;0.9155483,-0.07044253;-0.4573779;1.274431,0
69,-5248;13740;-6608,1664;-360;-481,-0.06045607;0.228204;1.142212,-0.07083069;0.01046585;1.216516,0.0942655;-0.01600081;1.209674,0.1298144;-0.2574878;1.145749,0.139547;-0.41854;0.9877224,0.1505379;-0.458855;0.9164297,-0.07046564;-0.4574352;1.274409,0
101,-5324;13668;-6600,1355;-200;-504,-0.06049736;0.2282191;1.142484,-0.07093303;0.01046935;1.216843,0.09425921;-0.01612499;1.209849,0.1297858;-0.2576487;1.146098,0.1395261;-0.4186398;0.9878913,0.1521585;-0.4592197;0.9159347,-0.07060045;-0.4574989;1.274606,0
134,-5124;13760;-6832,1070;-267;-569,-0.06048487;0.2282023;1.142459,-0.07093318;0.01041451;1.216746,0.09426939;-0.01621397;1.209894,0.1297861;-0.2577276;1.146094,0.139484;-0.4185497;0.9877926,0.1488746;-0.4590631;0.9163593,-0.07056387;-0.4575849;1.274504,0
165,-5368;13724;-6680,1198;-233;-646,-0.06048582;0.2282148;1.142631,-0.07093824;0.01039043;1.216904,0.09421342;-0.01607542;1.209895,0.1297663;-0.2576171;1.146251,0.1393752;-0.4189861;0.9879009,0.1510844;-0.4587092;0.9161252,-0.07061297;-0.4575845;1.274601,0
201,-5020;13856;-6752,1737;-786;-896,-0.06048612;0.2282175;1.142634,-0.07093947;0.01039383;1.2169,0.09411107;-0.01592156;1.209554,0.1296726;-0.25754;1.146275,0.1396551;-0.4163792;0.9900937,0.1481932;-0.4587745;0.9192643,-0.07057403;-0.4576022;1.274543,0
231,-5092;13780;-6944,987;-508;-1129,-0.06049024;0.2282224;1.142623,-0.07094421;0.01041419;1.216856,0.09402166;-0.01579586;1.209121,0.1295959;-0.2575047;1.146282,0.1394979;-0.4165353;0.9898939,0.1464621;-0.4598947;0.9213436,-0.070614;-0.4575547;1.27434,0
266,-5232;13616;-6828,735;-483;-1245,-0.06048417;0.2282791;1.142738,-0.07095095;0.01043756;1.216908,0.0939978;-0.0157116;1.20907,0.1296243;-0.2574767;1.146546,0.138813;-0.4153366;0.992941,0.144036;-0.4645217;0.919057,-0.07060625;-0.4575244;1.27434,0
299,-5476;13548;-6604,1322;-559;-1018,-0.06047055;0.2283781;1.142856,-0.07097422;0.01047905;1.2169,0.09403483;-0.01584845;1.209215,0.1293676;-0.2577343;1.14709,0.138566;-0.4157198;0.9921377,0.1388496;-0.4690745;0.9230419,-0.07061857;-0.457532;1.27433,0
334,-5312;13832;-6688,1199;-511;-1033,-0.06044245;0.2284102;1.14289,-0.07093445;0.01051292;1.216852,0.09407227;-0.01595415;1.209304,0.1291763;-0.2579745;1.1477,0.138145;-0.4168119;0.9896978,0.1352485;-0.4711571;0.9249992,-0.07060175;-0.4575555;1.274262,0
364,-5252;13668;-6616,1137;-513;-1028,-0.06037695;0.2284847;1.142996,-0.07086987;0.01055184;1.216743,0.09402645;-0.01576359;1.20914,0.1290573;-0.2578925;1.148024,0.137522;-0.4174113;0.9867133,0.1325452;-0.4758706;0.9265071,-0.07057759;-0.4574985;1.274163,0
400,-5348;13752;-6900,1356;-722;-1042,-0.06029564;0.2288672;1.143979,-0.07087164;0.01076011;1.216955,0.09405841;-0.01551886;1.209359,0.1288365;-0.2577989;1.14883,0.1369544;-0.4177253;0.9860121,0.1304484;-0.4765895;0.9331875,-0.07059901;-0.4574632;1.274275,0
431,-5244;13692;-6828,953;-629;-1073,-0.06020704;0.2289276;1.143975,-0.0708187;0.01088607;1.216699,0.0940879;-0.01537962;1.208962,0.1286055;-0.2577603;1.148743,0.1359219;-0.4166312;0.9840725,0.1271665;-0.4756846;0.9315816,-0.07063637;-0.4572535;1.27385,0
468,-5336;13708;-6780,957;-598;-1166,-0.05997235;0.2293966;1.145124,-0.07076553;0.01120447;1.217178,0.09415086;-0.01515261;1.209197,0.1285656;-0.2576302;1.149407,0.1358133;-0.4139589;0.9744733,0.1313222;-0.4659109;0.9317406,-0.07062931;-0.4571682;1.273976,0
499,-5284;13636;-6492,1037;-594;-939,-0.05952534;0.2300725;1.146588,-0.07063692;0.0115063;1.217768,0.09424996;-0.01485536;1.209548,0.1286478;-0.2573533;1.149846,0.1234412;-0.4521425;0.9911382,0.1255506;-0.4859679;0.936489,-0.07062376;-0.4571132;1.274312,0
535,-5276;13808;-6676,1244;-531;-1180,-0.0593564;0.2302335;1.146749,-0.07055423;0.01163874;1.217804,0.09428766;-0.0147553;1.209519,0.1287313;-0.2572106;1.149617,0.1231528;-0.4520466;0.9909797,0.1329591;-0.4859536;0.9263561,-0.07057698;-0.457105;1.274317,0
