Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,3260;-16196;-4360,2434;-1465;-1032,-0.02108156;0.4655386;1.301146,-0.1357073;-0.3341341;0.9832007,-0.1451957;-0.2707847;1.03448,-0.1545831;-0.05953004;1.189801,-0.1409547;0.1982366;1.300542,0.01951546;0.2293158;1.300809,0.02469481;-0.2367295;1.27409,0
33,4056;-15540;-4536,326;-332;-698,-0.02024567;0.4671007;1.304191,-0.1357173;-0.3361715;0.9797354,-0.1455505;-0.2716447;1.032384,-0.1544931;-0.05727505;1.19043,-0.1405322;0.2001308;1.30204,0.01949012;0.2294225;1.300901,0.02460346;-0.2366007;1.274116,0
71,3272;-16656;-4792,-469;85;-634,-0.01996148;0.4672725;1.304476,-0.1304844;-0.3452418;0.9723476,-0.1357287;-0.2761404;1.023871,-0.1545715;-0.05505719;1.1902,-0.1404097;0.2018259;1.303091,0.01947623;0.2295022;1.300935,0.02439742;-0.2363387;1.274187,0
129,3972;-16396;-4868,2862;-853;-946,-0.01953384;0.467431;1.304762,-0.1444106;-0.3249713;0.984376,-0.1554875;-0.2609281;1.032273,-0.1552286;-0.0543136;1.188439,-0.1404147;0.2018306;1.303041,0.01947976;0.2295418;1.300945,0.02433284;-0.2362357;1.274216,0
140,4132;-16092;-4948,-13;722;-710,-0.01870614;0.4684471;1.306205,-0.1423785;-0.3362162;0.9726544,-0.1515154;-0.2682247;1.021818,-0.1561908;-0.05315619;1.185256,-0.1403558;0.2017962;1.302548,0.01938817;0.2297402;1.301134,0.02407896;-0.2359445;1.274288,0
166,3456;-16932;-4228,1628;-127;-737,-0.0174245;0.4695123;1.307764,-0.149278;-0.3343705;0.9704073,-0.1581068;-0.2641839;1.006708,-0.1577419;-0.05166984;1.181619,-0.1403422;0.2017685;1.302151,0.01938228;0.2297859;1.301192,0.02349146;-0.2355463;1.274891,0
198,3968;-15748;-4588,1611;30;-1073,-0.01674534;0.4701839;1.308244,-0.1762233;-0.2859395;0.9546371,-0.1627202;-0.2598305;0.993323,-0.1606886;-0.04713436;1.171666,-0.1404732;0.2016866;1.301625,0.01938198;0.2298071;1.301181,0.02301291;-0.2352212;1.275106,0
232,3520;-15932;-5008,717;787;-630,-0.01597614;0.4702823;1.308619,-0.1835766;-0.2703977;0.9320374,-0.1660863;-0.2420608;0.9754622,-0.1627728;-0.04087152;1.165595,-0.1401142;0.203904;1.30304,0.01938287;0.2299324;1.301258,0.02245701;-0.2345465;1.275585,0
267,3584;-15560;-4856,1872;135;-1114,-0.01442506;0.4706711;1.30967,-0.171087;-0.292401;0.9366275,-0.1871415;-0.2171958;0.9471447,-0.1658213;-0.03374933;1.15503,-0.1397569;0.2045946;1.303275,0.01943552;0.2300521;1.301311,0.02238689;-0.2342646;1.275938,0
303,3520;-15688;-4804,974;164;-1290,-0.01307431;0.4715783;1.311066,-0.192953;-0.2137204;0.9073644,-0.1918314;-0.1847311;0.9437106,-0.1704417;-0.02604839;1.144321,-0.1392896;0.2049545;1.303243,0.01952213;0.2301812;1.301358,0.02234549;-0.2342568;1.276063,0
333,3600;-15632;-4504,1356;226;-1078,-0.01163809;0.4726531;1.311928,-0.1987686;-0.1870674;0.8787825,-0.1968591;-0.1737991;0.9042295,-0.1765713;-0.01647021;1.131331,-0.1385034;0.2047552;1.302574,0.01963673;0.2303151;1.301472,0.02229973;-0.2345509;1.27636,0
381,3592;-15748;-4628,1131;158;-990,-0.01028784;0.4736901;1.312031,-0.2037235;-0.1506193;0.850526,-0.2008421;-0.1435645;0.8661833,-0.1777401;-0.004850702;1.106466,-0.1364141;0.2016955;1.294901,0.0197414;0.2303944;1.301447,0.02241425;-0.2345909;1.276336,0
402,3572;-15976;-4708,1112;100;-1018,-0.008777506;0.4742477;1.312034,-0.2129865;-0.1192524;0.8177035,-0.2104395;-0.117771;0.853076,-0.1820771;0.04696674;1.075809,-0.1355129;0.2009134;1.291627,0.01987632;0.2304656;1.301485,0.0227947;-0.2346303;1.276501,0
436,3664;-15848;-4360,1565;-591;-1167,-0.007082385;0.4748778;1.312306,-0.2271564;-0.0856958;0.7850068,-0.216686;-0.06492389;0.8229723,-0.1825255;0.04716743;1.075527,-0.1349928;0.2010359;1.290842,0.02006499;0.2305953;1.301507,0.02318497;-0.2345354;1.276746,0
466,3728;-15920;-4388,855;-174;-982,-0.005326134;0.4749864;1.312265,-0.2300338;-0.02539848;0.7744173,-0.2190549;-0.004361886;0.8207374,-0.1852145;0.0704022;1.071204,-0.1338236;0.2028367;1.291025,0.02033597;0.2307692;1.301634,0.02377753;-0.2338443;1.277597,0
503,3572;-16120;-4600,971;-155;-897,-0.00378553;0.4741094;1.311596,-0.2299223;0.03526378;0.7598526,-0.2163867;0.05767865;0.8354142,-0.1881193;0.1000839;1.065832,-0.1305284;0.2089034;1.292917,0.02068415;0.2310051;1.301605,0.02472099;-0.2315907;1.278603,0
533,3652;-16096;-4396,1423;-548;-1165,-0.002990324;0.4739064;1.311725,-0.2362434;0.09265541;0.7346981,-0.2275194;0.09931014;0.7776296,-0.1887137;0.1357018;1.05075,-0.1286288;0.2129833;1.294166,0.02099828;0.2311677;1.301651,0.02503689;-0.2307041;1.279082,0
565,3840;-16000;-4604,909;-317;-1134,-0.001729844;0.4733834;1.311229,-0.2290416;0.1593161;0.7422625,-0.2301093;0.1299116;0.7806765,-0.1927885;0.1550949;1.035365,-0.1275968;0.2133887;1.29395,0.02117312;0.2313059;1.301709,0.02517894;-0.2300032;1.279383,0
599,3696;-16084;-4532,1279;-462;-1134,0.015418;0.4611608;1.290488,-0.2258973;0.2157879;0.7333848,-0.2210465;0.2008608;0.824024,-0.1955898;0.1749534;1.028891,-0.1256481;0.2090735;1.287979,0.02130456;0.2313564;1.30167,0.02559835;-0.2295465;1.27937,0
632,3808;-15968;-4176,1418;-750;-1182,0.01649059;0.4602087;1.289674,-0.2234843;0.2702092;0.7325172,-0.2166477;0.2480695;0.82591,-0.2008547;0.184595;1.028561,-0.1251536;0.2089328;1.287246,0.02139447;0.2314185;1.301727,0.02607543;-0.2289228;1.279524,0
667,3952;-15920;-4604,1009;-296;-979,0.01779415;0.4591912;1.288668,-0.2203216;0.3193616;0.7389545,-0.2152057;0.2845787;0.8279098,-0.2036432;0.2145518;1.033986,-0.1248031;0.2089629;1.286788,0.02142739;0.2314442;1.301752,0.02635904;-0.2289544;1.279664,0
702,3720;-16220;-4712,1120;-68;-919,0.01985608;0.45867;1.286741,-0.2166383;0.3594334;0.7606497,-0.2098989;0.327227;0.8437544,-0.1991251;0.2655002;1.041925,-0.124625;0.2089249;1.286666,0.02154005;0.2314468;1.301678,0.0264825;-0.2290239;1.279722,0
734,3816;-16240;-4136,1716;-698;-1209,0.02147983;0.4581249;1.285599,-0.2094593;0.3922348;0.7918062,-0.2032527;0.3658466;0.8583509,-0.1984812;0.2738768;1.044304,-0.124259;0.2090183;1.286642,0.02203033;0.2313332;1.301518,0.02695521;-0.228705;1.280014,0
766,3916;-16140;-4468,875;-319;-1084,0.02247589;0.4581197;1.285219,-0.2033223;0.3850662;0.8955604,-0.2006171;0.3830483;0.8679873,-0.195847;0.2930168;1.054839,-0.1240547;0.2091133;1.286657,0.02222568;0.2314042;1.301656,0.02735358;-0.2266681;1.281296,0
800,3812;-16104;-4492,1456;-257;-1117,0.02312228;0.4585197;1.284549,-0.1974259;0.3937951;0.9290364,-0.1953752;0.4049909;0.8759021,-0.1919459;0.3076817;1.058908,-0.1237248;0.2095049;1.286529,0.02243776;0.2314163;1.301499,0.02769845;-0.2251149;1.281238,0
832,3780;-15916;-4440,1217;-206;-1119,0.02392489;0.4589824;1.284319,-0.1969612;0.4638674;0.8949217,-0.1879764;0.4353037;0.8914397,-0.1878657;0.3258432;1.067098,-0.1233481;0.2099959;1.286511,0.02245649;0.2314235;1.301523,0.02788144;-0.2235661;1.281799,0
865,3608;-15892;-4308,1644;-677;-1142,0.02680968;0.4581273;1.279378,-0.1878877;0.4867315;0.9176187,-0.1806843;0.4509299;0.8975832,-0.1840823;0.3392994;1.071716,-0.1227927;0.2109513;1.286196,0.02242817;0.2314606;1.301479,0.0281079;-0.2220317;1.282224,0
899,3764;-15888;-4284,1082;-517;-1161,0.02786938;0.4581243;1.277623,-0.1745318;0.5040366;0.9233851,-0.1756503;0.4671011;0.9031911,-0.1789802;0.3548298;1.076803,-0.1222028;0.2120922;1.285571,0.02241883;0.2315168;1.301433,0.02830901;-0.2209275;1.281973,0
935,4016;-15852;-4616,1148;-354;-960,0.02831928;0.458401;1.277861,-0.1712984;0.5165405;0.9745061,-0.1551935;0.5320681;0.9684861,-0.1756505;0.3677294;1.088169,-0.1217765;0.2133294;1.285537,0.0223891;0.2318639;1.302063,0.02874124;-0.2184371;1.283314,0
966,3860;-15888;-4352,1498;-619;-980,0.0287194;0.4584968;1.277957,-0.16081;0.5321216;0.9763571,-0.157468;0.5178923;0.946894,-0.1723384;0.3770804;1.09603,-0.121573;0.2142563;1.285378,0.02252478;0.2319811;1.302086,0.02884307;-0.2169613;1.283542,0
999,3900;-16208;-4380,1084;-547;-947,0.02868998;0.4586279;1.27822,-0.1571441;0.5345929;0.9751394,-0.1518019;0.5387061;0.9641579,-0.1686779;0.3883269;1.102566,-0.1215326;0.2160149;1.285279,0.02262892;0.2320376;1.30204,0.02883824;-0.2163137;1.283643,0
1031,3888;-16076;-4684,1223;-319;-1095,0.02867313;0.4586363;1.278366,-0.1508354;0.5281785;0.9957004,-0.1325892;0.5714044;1.005832,-0.1655052;0.3990768;1.108534,-0.121334;0.2166699;1.285231,0.02254653;0.2321002;1.301902,0.02880253;-0.2154252;1.283539,0
1066,3928;-15804;-4368,1353;-262;-1259,0.02963476;0.4583489;1.27866,-0.1310434;0.6448174;0.930595,-0.1382816;0.5793605;0.9793089,-0.1618111;0.4079736;1.117585,-0.1212693;0.2180125;1.285485,0.02259535;0.2321396;1.302068,0.02854131;-0.2148289;1.283744,0
1099,3992;-15748;-4112,1205;-509;-1164,0.03162003;0.4545228;1.272038,-0.1360707;0.6403315;0.9222258,-0.1410394;0.5780105;0.9751375,-0.1583487;0.4176365;1.124189,-0.1209732;0.2191952;1.285844,0.02259311;0.232136;1.302086,0.02831625;-0.2144052;1.283922,0
1136,3972;-15704;-4144,790;-451;-776,0.03130448;0.45207;1.265521,-0.1379763;0.6407357;0.9228308,-0.1418882;0.5803068;0.9779523,-0.1560312;0.4252186;1.133973,-0.1204764;0.22069;1.286656,0.0225427;0.2320687;1.302226,0.02802371;-0.2140778;1.284299,0
1168,3960;-16236;-4548,877;-288;-632,0.0301509;0.450493;1.260624,-0.1347649;0.6561798;0.9405458,-0.1391043;0.5928004;0.9922111,-0.1542291;0.4287727;1.139303,-0.1200104;0.221898;1.287074,0.02251067;0.2319923;1.302121,0.02784056;-0.2137243;1.284224,0
1199,4016;-16376;-4472,724;33;-956,0.02859656;0.4474467;1.257525,-0.1356725;0.6638105;0.9441247,-0.1389573;0.6009731;0.9965077,-0.1513076;0.4396821;1.145418,-0.1157932;0.2274671;1.286327,0.02252108;0.2319744;1.302036,0.02764663;-0.2133;1.284077,0
1231,3944;-16552;-4400,736;941;-425,0.0290581;0.4444513;1.256694,-0.134709;0.6715447;0.950939,-0.1378405;0.6078597;1.002293,-0.1496104;0.443463;1.149024,-0.1139881;0.2298056;1.285416,0.02239488;0.2318219;1.30139,0.02749776;-0.2127666;1.28313,0
1266,4448;-16112;-4908,668;2129;-25,0.02198788;0.4529676;1.262934,-0.1272521;0.6937645;0.9787171,-0.1315672;0.6264076;1.025016,-0.1466433;0.4526185;1.15766,-0.1127703;0.2334514;1.286111,0.02238704;0.2318337;1.301264,0.02747686;-0.212695;1.283137,0
1298,4496;-15996;-4840,1340;2002;1403,0.02124644;0.4540543;1.261026,-0.1246606;0.7011664;0.9853929,-0.1293745;0.633513;1.031201,-0.1453113;0.4577419;1.163234,-0.1126343;0.2383994;1.288456,0.02210552;0.232162;1.300844,0.02751617;-0.2118828;1.282977,0
1333,12084;-13552;-6508,3647;7808;2932,0.01877286;0.4563732;1.262798,-0.09511507;0.6372896;1.151543,-0.09833131;0.6506305;1.124196,-0.1444092;0.4618603;1.17033,-0.1124259;0.2406879;1.289778,0.0221329;0.2323001;1.300691,0.02746419;-0.2116818;1.283002,0
1398,2264;-16544;-2824,1091;-427;-1069,0.0136465;0.4578386;1.265381,-0.1049333;0.7266012;1.031589,-0.1145314;0.6548039;1.069551,-0.1435403;0.4636156;1.182064,-0.1119277;0.2414062;1.29063,0.02213772;0.2319399;1.300443,0.0274081;-0.2107413;1.282902,0
1431,2060;-16584;-2684,1176;-673;-973,0.01186312;0.4579357;1.266147,-0.1036614;0.7276972;1.031059,-0.113661;0.6564603;1.069966,-0.1431961;0.4628125;1.18683,-0.112606;0.2445;1.293347,0.02215728;0.2319053;1.300413,0.02729091;-0.2097209;1.282696,0
1466,2232;-16496;-2720,1330;-458;-816,0.009243036;0.4584889;1.26659,-0.1310001;0.6026134;1.12518,-0.1067572;0.6387671;1.105814,-0.1428282;0.4600945;1.192768,-0.1131516;0.2557948;1.298897,0.02203658;0.2319758;1.300265,0.02680763;-0.2075618;1.282213,0
1498,2160;-16588;-2652,938;-536;-1165,0.006205752;0.4593703;1.267511,-0.1149826;0.6387571;1.157033,-0.09472984;0.650181;1.167949,-0.1432673;0.4598487;1.19952,-0.1124273;0.2565638;1.299154,0.02199877;0.2319328;1.300289,0.02669773;-0.2066752;1.282792,0
1532,2272;-16668;-2676,1113;-442;-998,0.003218587;0.4606988;1.267818,-0.1155502;0.6365291;1.152329,-0.1115285;0.6404805;1.111812,-0.1435311;0.4620782;1.201068,-0.1126604;0.2592816;1.300876,0.02194278;0.2319199;1.300298,0.02650093;-0.206065;1.282839,0
1567,2184;-16184;-2700,1107;-548;-966,-0.0009093125;0.4612096;1.267268,-0.115689;0.6378183;1.152321,-0.110619;0.6419027;1.10981,-0.1446269;0.4658941;1.203499,-0.1128453;0.2602478;1.30214,0.02156067;0.2320762;1.30048,0.02633566;-0.2052995;1.282864,0
1604,2092;-16512;-2748,1180;-770;-1190,-0.001035179;0.4611639;1.266986,-0.1177516;0.639114;1.154308,-0.1108625;0.641843;1.109769,-0.1449797;0.4662299;1.204249,-0.1128077;0.2610532;1.302594,0.02151123;0.2321003;1.300609,0.02611855;-0.2043246;1.28317,0
1633,1928;-16796;-2412,1113;-1821;-2140,-0.0004671824;0.4607346;1.266036,-0.1186253;0.6405205;1.153104,-0.1102131;0.6443873;1.108092,-0.1458721;0.4701596;1.204767,-0.1128732;0.2612492;1.303024,0.02149992;0.2321104;1.300716,0.02606261;-0.2037915;1.283347,0
1665,2040;-16608;-2220,268;-3840;-3459,-0.0006059554;0.4604894;1.265426,-0.1200341;0.6423436;1.158175,-0.110914;0.6437987;1.108324,-0.1464142;0.469638;1.205209,-0.1128383;0.2613633;1.30318,0.02151985;0.2321696;1.300945,0.0260337;-0.2036491;1.283362,0
1698,2464;-16260;-2244,-1551;-6309;-4967,0.02734894;0.4359982;1.254779,-0.1228209;0.6404732;1.154772,-0.1121115;0.6435972;1.108645,-0.1469539;0.4692043;1.205323,-0.1124034;0.260601;1.302914,0.02097089;0.2324506;1.301172,0.02601747;-0.2037525;1.283472,0
1734,2528;-16344;-2824,-910;-10484;-4748,0.002916194;0.4542391;1.262404,-0.1168547;0.6393315;1.15098,-0.1116435;0.6458485;1.107655,-0.1483509;0.4710442;1.202705,-0.1121696;0.2604809;1.302418,0.02091395;0.2326169;1.301401,0.0260384;-0.2037545;1.283398,0
1768,2840;-16336;-3348,1018;-14024;-4646,0.0078552;0.4446642;1.256327,-0.1319311;0.7287108;1.016235,-0.1364182;0.6610584;1.061989,-0.1494169;0.470933;1.20075,-0.1117826;0.2598012;1.302069,0.02068545;0.2329501;1.301563,0.02604507;-0.2036753;1.283411,0
1804,2916;-16072;-3072,2856;-14006;-5227,0.00641064;0.4525536;1.262412,-0.1235057;0.7176353;1.056584,-0.1330051;0.6446736;1.092238,-0.1518993;0.4708073;1.19447,-0.1120123;0.2601581;1.302369,0.02052007;0.2331053;1.301606,0.02602744;-0.2035796;1.283388,0
1834,2508;-18080;-3724,4359;-5941;-5320,0.0121916;0.4465279;1.25884,-0.1528701;0.7116167;1.050222,-0.1312991;0.6441347;1.091061,-0.1543434;0.4692607;1.19046,-0.1122198;0.2604876;1.302818,0.02044754;0.2332134;1.301731,0.02597987;-0.2035742;1.283428,0
1867,4260;-15348;-3844,6515;-5598;-5054,0.01291747;0.4460407;1.257746,-0.1460125;0.685819;0.9566369,-0.1486355;0.6270133;1.013465,-0.1576083;0.467642;1.180618,-0.1122219;0.2604929;1.302807,0.0204744;0.2330264;1.301636,0.02598432;-0.203581;1.283435,0
1899,3696;-16092;-3468,-1220;-6555;-4389,0.02303396;0.4421228;1.255285,-0.1438266;0.6995254;0.9704866,-0.1474773;0.635363;1.021157,-0.1602359;0.464383;1.16899,-0.1112616;0.2583532;1.3007,0.02053484;0.232962;1.301673,0.02610026;-0.2037267;1.2833,0
1934,4496;-15856;-3920,-1061;-7909;-3339,0.02576572;0.4510548;1.267995,-0.1431021;0.700203;0.971831,-0.1474683;0.6349763;1.021071,-0.1623769;0.4611434;1.164662,-0.1109567;0.2576386;1.300247,0.02041617;0.2330545;1.301944,0.02639019;-0.2041636;1.284072,0
1965,4948;-15976;-5140,-26;-4963;-2943,0.02560768;0.4529622;1.270311,-0.1424612;0.6843235;0.9516078,-0.1479611;0.6211977;1.003433,-0.1657214;0.4514;1.155084,-0.1107881;0.2568044;1.299316,0.02072818;0.2332076;1.302349,0.02645684;-0.2042727;1.284111,0
2004,4600;-16320;-4928,-227;-2973;-2859,0.02603162;0.4562891;1.275066,-0.1241193;0.6944582;1.062737,-0.1350613;0.6307942;1.080515,-0.1692439;0.4431185;1.14287,-0.1106338;0.255739;1.29841,0.02090547;0.2334128;1.302748,0.02653577;-0.2044954;1.284227,0
2035,5016;-16204;-4720,1387;-1330;-1145,0.02581228;0.4574355;1.276307,-0.1638994;0.6092666;0.876057,-0.1655148;0.5604878;0.9417075,-0.172484;0.430336;1.131964,-0.1104772;0.2552311;1.297762,0.02129398;0.2335408;1.303068,0.02662441;-0.2046825;1.284048,0
2068,4864;-15800;-5140,1109;45;-1881,0.02605407;0.4579695;1.276731,-0.1745418;0.5508847;0.9998969,-0.1787487;0.5643651;0.9783267,-0.1751095;0.420026;1.123966,-0.1104697;0.2536765;1.296253,0.02136653;0.2335909;1.303185,0.02670538;-0.2051841;1.28394,0
