Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-6896;-12456;-11716,799;-724;-1746,0.03192568;-0.2610911;1.308966,0.009674856;-0.2667547;1.316489,-0.03722676;-0.2195047;1.560228,0.04690646;-0.03263555;1.558356,0.2176629;-0.001370988;1.531505,0.2145874;-0.4549193;1.47997,0
37,1021,-6472;-10608;-10520,1164;-531;-1065,0.03485331;-0.2607395;1.308838,0.02184711;-0.2641895;1.315787,-0.03697754;-0.2191432;1.560115,0.0461371;-0.03353019;1.558792,0.2173898;-0.001412511;1.531409,0.214584;-0.4549251;1.479965,0
379,1023,-6644;-10956;-11020,904;-556;-1052,0.02897781;-0.2659176;1.26229,0.009221593;-0.2644317;1.320843,-0.03720364;-0.2146756;1.568597,0.0497374;-0.0296891;1.556828,0.2176163;-0.001280434;1.531613,0.214287;-0.4547667;1.480157,0
400,1022,-6460;-11164;-10984,280;-229;-1310,0.01405202;-0.2675037;1.248939,-0.005829911;-0.2630568;1.306708,-0.03438925;-0.2268326;1.559527,0.04981769;-0.02958414;1.556975,0.2174262;-0.001273242;1.531529,0.2143754;-0.454757;1.480152,0
433,1023,-6224;-10748;-11044,895;-563;-918,-0.01617452;-0.2614123;1.263041,-0.02238576;-0.2650398;1.307052,-0.03410875;-0.2260353;1.560799,0.04990307;-0.02959681;1.556945,0.2176353;-0.001205503;1.531676,0.2143091;-0.4547012;1.480301,0
466,1023,-6512;-10948;-10996,2040;-782;-840,-0.02494263;-0.2601222;1.256175,-0.01506993;-0.2601178;1.316437,-0.03390957;-0.2257105;1.561236,0.0479872;-0.03189485;1.557371,0.2177001;-0.001189944;1.531592,0.2142525;-0.4547119;1.480298,0
499,1023,-6684;-11284;-10736,2340;-624;-880,-0.0251814;-0.2588779;1.270435,-0.01483893;-0.2605213;1.316698,-0.03387596;-0.2239012;1.56569,0.04681084;-0.0331122;1.558085,0.2177633;-0.001170665;1.531653,0.2137519;-0.4548595;1.480923,0
533,1023,-6436;-10804;-10692,1869;-715;-1081,-0.03180763;-0.2704022;1.273433,-0.01785285;-0.2673331;1.314516,-0.03357719;-0.2234336;1.56655,0.04794648;-0.03221988;1.557419,0.2177951;-0.001147983;1.531705,0.2126071;-0.4548398;1.481689,0
568,1022,-6568;-11168;-10824,1093;-411;-986,-0.04786107;-0.2740329;1.251316,-0.03419401;-0.267466;1.313928,-0.03332853;-0.2230374;1.567035,0.04830788;-0.03197343;1.556963,0.2173241;-0.001165388;1.53144,0.2119383;-0.4548603;1.482019,0
602,1021,-6524;-11196;-10648,866;-430;-1029,-0.06428933;-0.2742541;1.257254,-0.03826295;-0.2689989;1.315674,-0.03223214;-0.2223184;1.568296,0.04736824;-0.03311249;1.557618,0.2171156;-0.001150743;1.531497,0.2111691;-0.4547647;1.483351,0
636,1023,-6476;-11020;-10852,752;-502;-1003,-0.06734062;-0.268345;1.27044,-0.04565745;-0.2686036;1.316801,-0.03123442;-0.221664;1.569029,0.04674323;-0.03382108;1.557904,0.2171489;-0.001139282;1.531644,0.2108682;-0.4548635;1.483759,0
665,1021,-6456;-11100;-10876,898;-490;-830,-0.07337065;-0.2653134;1.281444,-0.05883747;-0.2667319;1.318757,-0.03021528;-0.2211166;1.570003,0.04614855;-0.03439111;1.558341,0.2173146;-0.001075622;1.531942,0.2105021;-0.4551935;1.484446,0
700,1023,-6496;-10880;-10876,1178;-531;-784,-0.07935251;-0.2640333;1.285552,-0.07087956;-0.2650866;1.32039,-0.0299067;-0.2208928;1.570158,0.04563854;-0.03493948;1.558631,0.2173788;-0.001066088;1.531962,0.2102372;-0.4551889;1.48473,0
734,1020,-6592;-10860;-10652,1175;-512;-934,-0.08308059;-0.2638418;1.289814,-0.07333391;-0.2639958;1.321204,-0.02948391;-0.2209178;1.570677,0.04534528;-0.03537958;1.558844,0.2174676;-0.001078133;1.532101,0.209988;-0.4555038;1.485231,0
766,1023,-6576;-11076;-10800,1104;-544;-933,-0.08451549;-0.263226;1.29213,-0.07538233;-0.2631568;1.321859,-0.02926011;-0.2208425;1.57105,0.04516497;-0.03561071;1.558908,0.2175179;-0.001100619;1.532079,0.2098357;-0.4555041;1.485287,0
801,1023,-6612;-10868;-10764,1082;-511;-962,-0.08714619;-0.2634945;1.295295,-0.07822739;-0.2627268;1.32228,-0.02856669;-0.2210723;1.570895,0.04466609;-0.03619763;1.559403,0.2176218;-0.001099455;1.532206,0.2097318;-0.455794;1.48558,0
834,1022,-6532;-11032;-10664,1083;-608;-984,-0.08800565;-0.2633645;1.295239,-0.08005958;-0.2623588;1.323392,-0.02844042;-0.220764;1.571613,0.04456476;-0.03629854;1.559418,0.2177015;-0.001099165;1.532212,0.2096586;-0.4559249;1.485647,0
866,1023,-6708;-11076;-10896,982;-643;-918,-0.08901093;-0.2645075;1.297203,-0.08175945;-0.2624696;1.324024,-0.02831676;-0.2207269;1.571828,0.04448684;-0.03639589;1.559407,0.21731;-0.001183724;1.532141,0.2093037;-0.4561748;1.485999,0
899,1023,-6632;-10880;-10652,1472;-525;-880,-0.08982627;-0.2652173;1.297471,-0.08275256;-0.2624543;1.324467,-0.0278913;-0.2211808;1.572037,0.04389095;-0.03708711;1.559858,0.2175614;-0.001202877;1.532422,0.2089027;-0.45643;1.486523,0
934,1023,-6572;-10840;-10768,1350;-612;-935,-0.08991229;-0.2672206;1.299006,-0.08322153;-0.2627502;1.325381,-0.02752938;-0.2213941;1.572749,0.04602382;-0.03526675;1.55993,0.2178405;-0.001251609;1.532949,0.2088926;-0.4563853;1.487044,0
965,1021,-6708;-11048;-10716,1082;-523;-1004,-0.131594;-0.265663;1.285906,-0.083942;-0.2626048;1.325522,-0.02752663;-0.2213929;1.572749,0.04568412;-0.03553617;1.559951,0.2178667;-0.001272207;1.532956,0.2088747;-0.4564399;1.487036,0
1001,1021,-6796;-11284;-11076,1315;-707;-1046,-0.1339506;-0.2670218;1.287089,-0.08449678;-0.2630096;1.325257,-0.02713018;-0.2218161;1.572265,0.04548571;-0.03576327;1.55993,0.2179125;-0.001292239;1.532939,0.2087612;-0.4564775;1.487045,0
1037,1023,-6872;-12432;-11600,2816;-416;-724,-0.1111318;-0.2706211;1.291483,-0.08487774;-0.2632726;1.326158,-0.02725653;-0.2218675;1.573069,0.0463717;-0.03507668;1.559965,0.2181287;-0.001300176;1.533241,0.2086457;-0.4564611;1.487579,0
1068,1019,-6932;-13516;-11932,4081;1006;-1640,-0.1339933;-0.2655604;1.287,-0.08513878;-0.2634345;1.325867,-0.0270372;-0.221953;1.572651,0.04635932;-0.03509563;1.559815,0.2182472;-0.001308111;1.533069,0.2085782;-0.4563691;1.487495,0
1100,1022,-6444;-14252;-11400,4940;1436;-4605,-0.1082259;-0.2651224;1.284011,-0.08520179;-0.2634017;1.325694,-0.02703322;-0.222008;1.572477,0.04587357;-0.0355562;1.559505,0.2183615;-0.001440488;1.532471,0.2084358;-0.4564794;1.487152,0
1134,1023,-6248;-13968;-12456,-930;2915;-7664,-0.1126056;-0.2685344;1.289114,-0.0853838;-0.2635945;1.325881,-0.02699484;-0.2220067;1.572579,0.04566616;-0.03575237;1.559633,0.2184224;-0.001457882;1.532576,0.208401;-0.4566332;1.487464,0
1167,1020,-5544;-14060;-12096,-441;4719;-7791,-0.3327786;-0.1923197;1.281027,-0.0857422;-0.2636987;1.32472,-0.02629767;-0.2224045;1.571213,0.04480575;-0.03664249;1.55987,0.2184782;-0.001483866;1.532537,0.2083639;-0.4567938;1.487434,0
1201,1023,-5020;-13832;-11856,2502;4441;-8063,-0.1079139;-0.2643309;1.276539,-0.08626481;-0.263714;1.324704,-0.02636321;-0.2223116;1.571066,0.04461325;-0.03686717;1.559529,0.2185621;-0.001625732;1.532021,0.2083236;-0.4567357;1.486937,0
1236,1020,-3684;-13496;-11832,4583;4666;-8900,-0.1024335;-0.2645283;1.272509,-0.08485535;-0.2625817;1.324225,-0.02637502;-0.2222961;1.571122,0.04448615;-0.03696552;1.559537,0.2185809;-0.001636134;1.532012,0.2081925;-0.4567953;1.48697,0
1269,1023,-2948;-13392;-11868,822;5747;-8937,-0.09127434;-0.2622025;1.258566,-0.0672026;-0.2597698;1.337021,-0.02539077;-0.2236033;1.568737,0.04385376;-0.03799445;1.557684,0.2182825;-0.001817192;1.529697,0.2071338;-0.4550138;1.482402,0
1304,1022,-2048;-13744;-11536,6868;4412;-8366,-0.07477386;-0.2653914;1.261384,-0.06241446;-0.2616474;1.337117,-0.02512338;-0.2239216;1.569007,0.04471309;-0.0379842;1.556904,0.2182647;-0.002002988;1.529657,0.2070656;-0.4546651;1.481906,0
1334,1023,-548;-12280;-11340,5637;5859;-8216,-0.05341244;-0.2660599;1.264544,-0.0355419;-0.2766929;1.339276,-0.0254641;-0.2238479;1.570793,0.04550543;-0.03795265;1.555888,0.2180813;-0.002307399;1.52954,0.2063;-0.454136;1.481387,0
1365,1023,-568;-13096;-9844,4424;6143;-7826,-0.03013048;-0.2632746;1.298386,-0.06191494;-0.2503169;1.340827,-0.02791713;-0.2229122;1.572419,0.04596405;-0.0376316;1.555168,0.2180064;-0.002662521;1.529206,0.2062637;-0.4539814;1.480109,0
1399,1020,880;-12332;-9300,6037;5267;-6538,-0.03063687;-0.2479351;1.270203,-0.02657987;-0.2631645;1.345029,-0.03079575;-0.2221427;1.573411,0.04622931;-0.03753337;1.555029,0.2180435;-0.002922874;1.529247,0.2068317;-0.4541559;1.479476,0
1436,1023,1372;-11944;-8400,2771;5633;-5512,-0.01325474;-0.2620254;1.233999,-0.03288747;-0.2584952;1.335717,-0.03265131;-0.2222234;1.570662,0.0466622;-0.03750529;1.554317,0.2181446;-0.003135292;1.528775,0.2089326;-0.4525196;1.476347,0
1467,1023,1756;-13088;-7072,12537;1244;-3909,0.003715335;-0.2612195;1.24644,-0.03373354;-0.2582668;1.337141,-0.03554689;-0.2200043;1.571685,0.04685977;-0.03752121;1.554128,0.2181801;-0.003166875;1.528766,0.2102523;-0.4518458;1.475589,0
1500,1023,4108;-8756;-8084,-1671;3871;-4461,0.02086537;-0.2597257;1.255677,-0.01436322;-0.2524974;1.338764,-0.03700285;-0.2181309;1.57274,0.04708862;-0.03716722;1.554134,0.2182242;-0.003231667;1.528819,0.2104375;-0.4515661;1.475344,0
1534,1023,2020;-16180;-6224,1323;2102;-3576,0.03448901;-0.2564422;1.270598,-0.005996947;-0.2501606;1.339676,-0.0372851;-0.217546;1.57281,0.04722278;-0.03682498;1.554319,0.218275;-0.003377233;1.528951,0.2104914;-0.4515781;1.475098,0
1566,1023,4484;-11752;-7692,9043;-818;-2103,0.04754085;-0.2535885;1.2816,0.001430381;-0.2489152;1.340344,-0.03738344;-0.2173597;1.572397,0.0473347;-0.03678754;1.554288,0.2183063;-0.003486972;1.528995,0.2107002;-0.4519744;1.474547,0
1601,1022,3756;-12888;-7224,1217;615;-1188,0.05155469;-0.2497626;1.294276,0.004096439;-0.2462336;1.339593,-0.0376963;-0.216641;1.57128,0.0474912;-0.0367589;1.554028,0.2183345;-0.003733604;1.528747,0.2108844;-0.452489;1.472767,0
1636,1023,3228;-14752;-6944,4241;-964;-794,0.05725807;-0.2485059;1.311496,0.03103394;-0.2413891;1.344851,-0.03792762;-0.2161925;1.570296,0.04756327;-0.03674284;1.553958,0.2182869;-0.00388059;1.52865,0.2108564;-0.4530724;1.471956,0
1667,1023,4264;-13716;-6744,8575;-1294;857,0.05911311;-0.2436806;1.320554,0.03180521;-0.2419004;1.343568,-0.03880098;-0.2158638;1.56829,0.04768895;-0.03672289;1.553696,0.2183261;-0.004167124;1.528233,0.2112302;-0.4535573;1.471158,0
1701,1022,3808;-13148;-5992,3889;-936;664,0.0593443;-0.2423188;1.324236,0.03266349;-0.242609;1.342679,-0.03966098;-0.2153242;1.566606,0.0478613;-0.03627972;1.553049,0.2183077;-0.004269637;1.528111,0.2112254;-0.4538663;1.470308,0
1736,1023,3384;-13264;-5132,-1814;-887;1280,0.05609407;-0.2449306;1.330931,0.02924023;-0.2477709;1.342731,-0.03999269;-0.215432;1.566883,0.04789015;-0.0362821;1.553039,0.2183413;-0.00432118;1.528166,0.2112781;-0.4540276;1.470363,0
1765,1023,2160;-14984;-5868,1169;-4909;1580,0.05656127;-0.2494933;1.331571,0.02918052;-0.2482448;1.342849,-0.04007933;-0.2154785;1.566874,0.04805274;-0.03622113;1.552947,0.2184092;-0.004380371;1.528212,0.2114526;-0.4542502;1.470262,0
1800,1020,3060;-12728;-6728,2511;-4197;3235,0.05398461;-0.252073;1.334221,0.02659714;-0.2503809;1.342782,-0.04026052;-0.2157305;1.567228,0.04818936;-0.03588641;1.553175,0.2184446;-0.004435404;1.528426,0.2115149;-0.4544072;1.470513,0
1836,1023,2332;-12960;-6148,-3407;-982;3374,0.04609048;-0.2518099;1.330649,0.02457279;-0.2506293;1.345168,-0.0412992;-0.2145632;1.569661,0.0482688;-0.0355551;1.553284,0.2184686;-0.004461069;1.528431,0.2115286;-0.454479;1.470504,0
1866,1023,940;-14040;-6248,-7188;-2650;3496,0.04124145;-0.2527954;1.327313,0.02323356;-0.2509699;1.344283,-0.04182961;-0.2148007;1.569004,0.04854111;-0.03511686;1.552294,0.2184533;-0.004529815;1.528319,0.2114956;-0.4546385;1.470069,0
1901,1023,1188;-12428;-6976,-1360;-5565;5415,0.04109519;-0.2513422;1.332348,0.02306318;-0.2513697;1.34475,-0.0419802;-0.2150233;1.569466,0.04857073;-0.03516512;1.552322,0.2185068;-0.004631722;1.528504,0.211621;-0.4549056;1.470141,0
1933,1023,-360;-12012;-7464,-4675;-5556;7140,0.04020229;-0.25168;1.32924,0.0215638;-0.2510625;1.347316,-0.04323934;-0.2135871;1.57192,0.04860081;-0.03517799;1.55232,0.2185372;-0.004648175;1.528478,0.2116413;-0.4550583;1.47009,0
1966,1023,-1768;-12824;-8552,2768;-7613;8542,0.03955968;-0.2509611;1.329039,0.02156138;-0.251063;1.347284,-0.04336536;-0.2137829;1.571896,0.0486472;-0.03522741;1.552314,0.2185565;-0.004685396;1.528479,0.21163;-0.4552294;1.470022,0
2001,1021,-2352;-12072;-8808,-3735;-5656;10145,0.03794727;-0.2520244;1.326504,0.0207229;-0.2511482;1.346513,-0.04356098;-0.2137792;1.571317,0.04873471;-0.03502013;1.551834,0.2185622;-0.004808276;1.527995,0.211487;-0.4553906;1.469614,0
2035,1023,-5056;-13744;-7956,-7637;-5653;8679,0.03840801;-0.2527101;1.3286,0.0203934;-0.2515439;1.346148,-0.04349389;-0.2143658;1.571126,0.04876211;-0.03507791;1.551847,0.2186146;-0.00485419;1.528007,0.2117319;-0.4556757;1.469449,0
2067,1022,-6752;-12328;-9800,-685;-10694;10753,0.03965477;-0.2536455;1.330058,0.0206019;-0.2517246;1.345228,-0.04363768;-0.214857;1.57019,0.04879055;-0.03509927;1.551857,0.2185959;-0.004936803;1.528022,0.211924;-0.455793;1.469381,0
