Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,330,-1260;16348;-8764,655;1486;3658,-0.1034101;-0.09451418;1.4465,0.06414983;-0.1303173;1.424903,0.1185855;-0.3276037;1.36556,0.04504451;-0.3993465;1.095064,-0.003269622;-0.3785097;1.030243,-0.1166656;-0.5295595;1.370959,0
33,331,-1132;17832;-7912,-1633;2750;3608,-0.1033961;-0.09449986;1.44692,0.0647091;-0.1304856;1.42534,0.1105317;-0.3612363;1.299543,0.03655239;-0.4078227;1.066468,-0.004236665;-0.3784027;1.031095,-0.1166429;-0.5295668;1.371012,0
78,331,-312;16100;-7660,-53;2590;4550,-0.1033549;-0.09445598;1.446589,0.06342194;-0.1296991;1.424881,0.1106635;-0.3607671;1.299521,0.03694573;-0.4064674;1.064719,-0.005137763;-0.3757378;1.023936,-0.1165834;-0.5295472;1.370866,0
101,332,-240;17792;-7368,2295;2752;5728,-0.1033747;-0.09442984;1.446743,0.0642392;-0.1300457;1.42525,0.118318;-0.327589;1.366608,0.04596485;-0.3980995;1.095466,-0.003099633;-0.3775161;1.029918,-0.1165799;-0.5295575;1.370903,0
133,328,744;16188;-7556,60;2988;6348,-0.1033814;-0.09440565;1.446759,0.06461122;-0.1301147;1.425282,0.1125077;-0.3589198;1.302116,0.03769088;-0.4064965;1.065433,-0.005817442;-0.3775733;1.027789,-0.116557;-0.5295543;1.370896,0
169,329,604;16132;-7044,34;3434;6317,-0.1033822;-0.09440483;1.446758,0.06491833;-0.130427;1.425024,0.1184255;-0.3614566;1.305287,0.03759957;-0.4064443;1.065295,-0.004211094;-0.377131;1.028434,-0.1165836;-0.5295325;1.370883,0
203,329,1192;15360;-6604,-259;3058;6608,-0.1033887;-0.0943881;1.446754,0.06378496;-0.129977;1.425045,0.1200339;-0.3624423;1.300137,0.03753138;-0.4065027;1.065283,-0.003717067;-0.3771995;1.028843,-0.1165833;-0.5294762;1.370867,0
233,329,1944;14668;-6536,295;2667;6272,-0.1034173;-0.0943282;1.44666,0.06427617;-0.1302852;1.424783,0.1183935;-0.3616648;1.30043,0.03762797;-0.4065191;1.06537,-0.004027373;-0.3770451;1.028085,-0.1166109;-0.5294142;1.370837,0
266,331,2468;14536;-6204,132;2362;5974,-0.1034027;-0.09430037;1.446725,0.06471585;-0.1303739;1.424862,0.1179727;-0.3279927;1.365586,0.04563585;-0.3986203;1.094474,-0.0031174;-0.3776976;1.030381,-0.1165827;-0.5294191;1.370849,0
300,332,3168;13780;-6244,-266;2224;5634,-0.1034275;-0.09429106;1.446722,0.06343342;-0.1296668;1.424913,0.1112111;-0.359535;1.295904,0.03776889;-0.4064205;1.065489,-0.004487949;-0.3770751;1.028829,-0.1165905;-0.5293978;1.370849,0
333,335,3704;13328;-5828,1;1816;5095,-0.1034329;-0.09430532;1.446776,0.0640169;-0.1298772;1.425223,0.1177391;-0.3273137;1.36568,0.04560621;-0.3982567;1.094599,-0.003365792;-0.3776759;1.03029,-0.1165054;-0.5294297;1.370861,0
367,331,4104;13124;-5720,-239;1622;4487,-0.1034387;-0.09430639;1.446788,0.06435963;-0.1301127;1.425171,0.1103887;-0.3587433;1.302561,0.03755506;-0.4064188;1.065327,-0.004232243;-0.3772902;1.029383,-0.1165032;-0.5294312;1.370863,0
400,329,4600;12608;-5640,-279;1495;4059,-0.1034632;-0.09423847;1.446472,0.06336321;-0.1296659;1.424804,0.1104602;-0.35868;1.302631,0.03741492;-0.4057613;1.064157,-0.003474905;-0.3767667;1.024722,-0.1163954;-0.5294875;1.370701,0
436,329,5244;12048;-5464,68;1538;3406,-0.1034501;-0.09420217;1.446328,0.0640379;-0.1298333;1.424101,0.110525;-0.3586545;1.302646,0.03786589;-0.4061996;1.064794,-0.001857331;-0.3782952;1.023313,-0.116316;-0.5295053;1.370633,0
470,331,5648;11792;-4988,63;1376;2645,-0.1034872;-0.09412296;1.446534,0.06454048;-0.1301367;1.424665,0.1179002;-0.328209;1.367584,0.04528445;-0.3936009;1.09523,0.002549116;-0.3805034;1.025237,-0.1162628;-0.5295359;1.370745,0
502,326,6116;11376;-4512,-133;932;1629,-0.1034956;-0.09401088;1.446116,0.06325292;-0.1295065;1.424251,0.1099709;-0.3575599;1.301807,0.03948458;-0.3949786;1.062571,0.009388146;-0.3783838;1.013151,-0.1162572;-0.52949;1.370639,0
533,331,6424;11232;-4112,433;366;404,-0.1035266;-0.09393404;1.446196,0.06360383;-0.1296556;1.424201,0.109663;-0.3577562;1.302233,0.07490133;-0.3878646;1.09095,0.01830024;-0.3799197;1.011213,-0.1161368;-0.529413;1.370851,0
566,332,6740;11408;-3852,670;-396;-352,-0.1034896;-0.09386525;1.446238,0.06387297;-0.1298077;1.424159,0.1167123;-0.327522;1.364771,0.07860637;-0.3843156;1.113028,0.02867841;-0.3796265;1.009481,-0.1138343;-0.5299546;1.370422,0
602,334,6516;11564;-4092,904;-872;-1454,-0.1034037;-0.09370875;1.446129,0.06275256;-0.1292852;1.424164,0.1069527;-0.3572981;1.310387,0.05870834;-0.3787154;1.039728,0.03990599;-0.3781991;1.00808,-0.1124003;-0.5298351;1.37,0
634,324,6592;11828;-4364,1616;-1419;-2032,-0.1034421;-0.09355333;1.446382,0.06328451;-0.1298281;1.424222,0.1174396;-0.3272239;1.365003,0.08925558;-0.4031647;1.087219,0.04927175;-0.3810163;1.011741,-0.111984;-0.530099;1.370295,0
667,329,6668;11712;-4792,1833;-2050;-2925,-0.1033937;-0.09341152;1.446513,0.06369629;-0.1300328;1.424169,0.1173631;-0.3274752;1.364578,0.0925919;-0.3875411;1.158554,0.05807648;-0.3896026;1.021861,-0.1118009;-0.5300415;1.370424,0
700,331,6208;11896;-5348,2082;-2139;-4099,-0.1033755;-0.09337498;1.446483,0.06421039;-0.1303417;1.42376,0.1077312;-0.3507823;1.325142,0.06199584;-0.4515392;1.057841,0.06538311;-0.402539;1.024083,-0.1113031;-0.5300758;1.370313,0
734,330,5408;12140;-5424,2117;-2228;-4706,-0.1033636;-0.09332369;1.446514,0.06469496;-0.1306458;1.423415,0.1076662;-0.3507935;1.32515,0.07227292;-0.4320197;1.049679,0.0752378;-0.4024123;1.018187,-0.1107392;-0.5300829;1.370317,0
768,330,4248;11872;-5224,3079;-2481;-5099,-0.1032032;-0.09314839;1.447293,0.06552055;-0.1308996;1.424398,0.1075317;-0.3509737;1.325663,0.07496522;-0.4330409;1.050095,0.08511472;-0.4060046;1.020474,-0.1095702;-0.5301959;1.371812,0
799,332,3880;10892;-5248,3791;-3132;-5998,-0.102974;-0.09304538;1.446991,0.0661792;-0.1314402;1.423528,0.1068324;-0.3510157;1.325203,0.08836967;-0.4306308;1.04761,0.1030004;-0.4194107;0.9862521,-0.1081975;-0.5299467;1.371428,0
835,331,2636;10928;-5628,2968;-3708;-7617,-0.1029323;-0.09294869;1.447179,0.06635525;-0.1314975;1.423597,0.1124761;-0.3291599;1.357146,0.09356874;-0.4159258;1.081776,0.09927757;-0.4030738;1.01942,-0.1064736;-0.5291873;1.372481,0
868,328,1984;11584;-5576,3171;-4229;-9716,-0.1028145;-0.09280239;1.447458,0.06654829;-0.1317081;1.423759,0.102427;-0.3510692;1.325857,0.09695356;-0.4368523;1.049564,0.1061482;-0.4033258;1.021141,-0.1047774;-0.5291052;1.373047,0
901,329,1376;12416;-6016,1735;-5455;-11121,-0.1027217;-0.09271655;1.447577,0.06667746;-0.1318982;1.423819,0.09691659;-0.3580638;1.318099,0.07787605;-0.393479;1.05822,0.110022;-0.399718;1.026281,-0.1024667;-0.5291259;1.373165,0
934,332,180;13564;-6180,2412;-6121;-13110,-0.1026814;-0.09264748;1.447583,0.06676954;-0.1319981;1.423758,0.09378949;-0.3618687;1.313572,0.08356201;-0.3953743;1.054132,0.1149272;-0.4001188;1.026872,-0.101754;-0.5287907;1.373161,0
967,331,-1036;15652;-6248,-123;-6630;-14049,-0.1026813;-0.09249015;1.448084,0.06695329;-0.1320086;1.424247,0.09215833;-0.3636408;1.312994,0.08611359;-0.4048882;1.057714,0.1179592;-0.3999844;1.03334,-0.1013923;-0.5285159;1.373577,0
1001,330,-3260;15808;-6604,1169;-7271;-14018,-0.1026192;-0.09246843;1.448066,0.06702204;-0.1321188;1.424161,0.09045944;-0.3650843;1.312666,0.0874585;-0.4042963;1.057622,0.1202211;-0.4007593;1.032074,-0.1004214;-0.5284916;1.373382,0
