Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,320,-344;15688;-4260,253;-768;-595,-0.01236489;-0.1386549;1.706474,0.1452201;-0.17103;1.635973,0.2332163;-0.3844292;1.512558,0.123842;-0.4261315;1.278049,0.1015675;-0.4280757;1.237017,0.01051058;-0.5794284;1.696052,0
31,320,-480;15624;-4332,151;-809;-548,-0.01248455;-0.1386153;1.706598,0.1455029;-0.1711213;1.636191,0.2554679;-0.3310148;1.585491,0.190744;-0.4133493;1.420635,0.106174;-0.4289761;1.270584,0.0105088;-0.5794274;1.696067,0
63,320,-284;15720;-4296,268;-702;-528,-0.01273042;-0.1384717;1.707512,0.145933;-0.1712324;1.637313,0.2339998;-0.384132;1.513012,0.1256246;-0.4264257;1.278146,0.1021149;-0.419793;1.234084,0.010576;-0.5792116;1.696415,0
97,320,-492;15624;-4264,224;-726;-526,-0.01279454;-0.1384824;1.707961,0.1462301;-0.1712302;1.637901,0.2549591;-0.333733;1.589394,0.1896497;-0.4115101;1.42247,0.1066174;-0.4284714;1.27261,0.01060008;-0.5791975;1.696534,0
130,320,-376;15652;-4196,275;-677;-566,-0.01284755;-0.1384672;1.708022,0.1462993;-0.1712186;1.637973,0.2373698;-0.3840641;1.516037,0.1280452;-0.4270473;1.281747,0.1021293;-0.434968;1.243555,0.01060525;-0.5791948;1.696546,0
163,320,-364;15652;-4236,214;-696;-632,-0.01293759;-0.1383929;1.707891,0.1420625;-0.1705929;1.636557,0.2547304;-0.3312738;1.582559,0.1887722;-0.4081337;1.415441,0.1072369;-0.4279839;1.26973,0.01059836;-0.579198;1.696507,0
196,320,-380;15848;-4200,334;-663;-612,-0.01297375;-0.1383671;1.708124,0.1431385;-0.170756;1.637358,0.2348411;-0.3817115;1.512289,0.1241705;-0.4291016;1.279516,0.1011331;-0.4346041;1.24219,0.01059796;-0.5791857;1.696557,0
230,320,-336;15768;-4452,275;-507;-551,-0.01297324;-0.1383534;1.708077,0.1436156;-0.1708143;1.637283,0.2549809;-0.3322704;1.581577,0.1891041;-0.4106131;1.415155,0.1067812;-0.4279441;1.269485,0.01060378;-0.5791772;1.696503,0
263,320,-288;15740;-4168,184;-552;-476,-0.0130279;-0.1382369;1.708443,0.140983;-0.1703228;1.637244,0.2387983;-0.3839176;1.522885,0.1294783;-0.4292954;1.289065,0.1028147;-0.4461336;1.254364,0.01070015;-0.5790694;1.696662,0
298,320,-332;15644;-4216,459;-343;-391,-0.01306697;-0.138193;1.708368,0.1417655;-0.1704043;1.637162,0.2552246;-0.3312701;1.583536,0.1891801;-0.4091504;1.416952,0.1071586;-0.4261255;1.269546,0.01070153;-0.5790452;1.696638,0
330,320,-356;15912;-4376,567;-348;-352,-0.01309268;-0.138198;1.708446,0.142808;-0.1705464;1.637666,0.2358211;-0.3811506;1.513024,0.1250455;-0.4282743;1.280246,0.1004758;-0.4365892;1.243525,0.01073978;-0.5789959;1.696652,0
363,320,56;15740;-4404,962;265;-238,-0.01303513;-0.1381345;1.708023,0.1433311;-0.1705948;1.63733,0.2554808;-0.3315286;1.580601,0.1882362;-0.4068156;1.413255,0.106951;-0.4253697;1.268076,0.01083742;-0.578974;1.696449,0
396,320,72;15676;-4612,2068;966;386,-0.01313142;-0.1381371;1.708729,0.1442756;-0.1708373;1.638586,0.2357844;-0.3837266;1.517097,0.1241345;-0.4296377;1.284498,0.1000002;-0.440605;1.247904,0.01085557;-0.5789571;1.696567,0
431,320,724;15808;-5112,3057;2321;856,-0.01317954;-0.1381562;1.708861,0.1447161;-0.1709543;1.638884,0.2562093;-0.3329976;1.58646,0.1896011;-0.408396;1.418913,0.1057479;-0.4242203;1.271814,0.01086884;-0.5789501;1.69659,0
