Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,360,-9552;-11080;5992,324;-671;-661,-0.2197467;-0.3544545;1.269708,-0.2454485;-0.3580188;1.360763,-0.2934139;-0.3543572;1.55726,-0.2355679;-0.1834279;1.701705,-0.06015353;-0.1057039;1.70209,-0.0222619;-0.5073888;1.603475,0
623,360,-9440;-11028;5800,163;-684;-690,-0.2565677;-0.3653449;1.283168,-0.2533729;-0.3675993;1.358662,-0.2804312;-0.3582655;1.624438,-0.2331484;-0.1833152;1.701562,-0.0599705;-0.1058031;1.702235,-0.02230111;-0.5077162;1.603559,0
636,360,-9548;-11240;5916,346;-715;-677,-0.260611;-0.3715287;1.286397,-0.2621643;-0.4145275;1.363742,-0.2804952;-0.3583285;1.624269,-0.233589;-0.1834152;1.701773,-0.05992068;-0.1058376;1.702242,-0.02231782;-0.5077315;1.603561,0
680,360,-9544;-10968;6068,310;-672;-674,-0.2619473;-0.3919981;1.290479,-0.2715265;-0.4812862;1.434964,-0.2803974;-0.3584151;1.624204,-0.2340054;-0.1834941;1.702065,-0.05986531;-0.1058675;1.702249,-0.02231116;-0.5077665;1.60356,0
698,360,-9520;-11088;5880,293;-679;-679,-0.2646504;-0.3918722;1.288936,-0.2717368;-0.4813669;1.431214,-0.2807152;-0.3581467;1.623253,-0.2343235;-0.183571;1.702039,-0.05980037;-0.1058798;1.702009,-0.02235976;-0.5077761;1.603506,0
730,360,-9556;-11080;5980,384;-692;-686,-0.2684667;-0.3679585;1.285432,-0.2339873;-0.3957884;1.391316,-0.2809075;-0.3583066;1.622454,-0.2346726;-0.1839052;1.701808,-0.059722;-0.1059107;1.701871,-0.02235345;-0.5077991;1.603387,0
765,360,-9596;-11060;5884,295;-682;-651,-0.2722242;-0.3676454;1.286833,-0.2341957;-0.3961356;1.391498,-0.28095;-0.3583491;1.622388,-0.2349106;-0.1839742;1.701949,-0.05970087;-0.1059278;1.701862,-0.02235088;-0.5078086;1.603379,0
798,360,-9656;-11104;5980,281;-703;-671,-0.2740991;-0.3681523;1.290541,-0.239929;-0.3885361;1.360604,-0.2808437;-0.3577558;1.622918,-0.2354419;-0.1837407;1.703859,-0.05969848;-0.1063389;1.703385,-0.02463363;-0.5185807;1.632412,0
831,360,-9508;-11032;6052,256;-692;-719,-0.2704284;-0.393216;1.288412,-0.2686183;-0.4707617;1.410555,-0.2810892;-0.3578894;1.621987,-0.2357512;-0.1840955;1.703529,-0.05969141;-0.1063761;1.703106,-0.0230834;-0.5120293;1.612687,0
866,360,-9544;-11000;5880,297;-675;-722,-0.2702911;-0.3920708;1.287715,-0.2685635;-0.472548;1.411765,-0.2811345;-0.3579336;1.621307,-0.2359817;-0.1842222;1.703182,-0.05954417;-0.1062975;1.702525,-0.02272829;-0.5111492;1.609691,0
898,360,-9380;-11028;6084,122;-669;-751,-0.2745619;-0.3685923;1.284259,-0.2417005;-0.3881462;1.358782,-0.281121;-0.3581351;1.621415,-0.23638;-0.1844192;1.703548,-0.05958905;-0.1063385;1.702556,-0.02273794;-0.510828;1.609025,0
933,360,-9592;-11192;5836,185;-678;-717,-0.2744864;-0.3680926;1.281295,-0.2642381;-0.3837373;1.355882,-0.2810833;-0.3580993;1.62138,-0.2365645;-0.1843954;1.703691,-0.05958695;-0.1063351;1.702556,-0.02270538;-0.5105864;1.608431,0
965,360,-9492;-11132;5820,387;-762;-677,-0.271075;-0.3675803;1.279365,-0.2560441;-0.3886255;1.357135,-0.2812254;-0.357919;1.621425,-0.2351302;-0.1841305;1.702464,-0.05947206;-0.1062946;1.701904,-0.02223311;-0.5104478;1.606996,0
998,360,-9464;-11160;6052,383;-774;-643,-0.2697608;-0.3656773;1.279417,-0.2546246;-0.3878396;1.329999,-0.277191;-0.3607474;1.576133,-0.235599;-0.1844134;1.702592,-0.05945479;-0.1063091;1.701916,-0.02232758;-0.5103256;1.606703,0
1032,360,-9460;-11068;6032,441;-697;-596,-0.2639373;-0.3637061;1.28003,-0.240655;-0.3787689;1.354734,-0.2820896;-0.3563335;1.61784,-0.2344403;-0.1841002;1.701694,-0.05939634;-0.1063035;1.701573,-0.02234662;-0.5102993;1.605955,0
1064,360,-9720;-10832;6032,142;-582;-581,-0.2604268;-0.3631383;1.284126,-0.2469112;-0.3788198;1.354825,-0.2819557;-0.3569441;1.618905,-0.2347659;-0.184265;1.701978,-0.05937432;-0.1063132;1.701597,-0.02235815;-0.510291;1.605888,0
1098,360,-9408;-11292;5984,409;-636;-556,-0.2560899;-0.3607339;1.285227,-0.2478431;-0.3764628;1.35599,-0.2820976;-0.3570816;1.620374,-0.2352661;-0.1842111;1.703216,-0.05945104;-0.1063175;1.702055,-0.0224904;-0.5100919;1.606003,0
1132,360,-9376;-10988;6200,53;-361;-803,-0.2495305;-0.3569869;1.277174,-0.246093;-0.3731007;1.355999,-0.2824634;-0.3570782;1.620334,-0.2354285;-0.184293;1.703245,-0.05943354;-0.1063444;1.702006,-0.02251715;-0.5100212;1.605767,0
1165,360,-9432;-11416;5680,90;-486;-876,-0.2444958;-0.3551688;1.278077,-0.2426703;-0.3736809;1.357219,-0.283142;-0.3574175;1.620943,-0.2360215;-0.1844784;1.703404,-0.05942561;-0.1062948;1.701959,-0.02256757;-0.5099188;1.605633,0
1196,360,-9484;-11572;5560,411;-500;-1007,-0.2400473;-0.3544837;1.275776,-0.2342359;-0.376006;1.341251,-0.2811922;-0.3599392;1.548769,-0.2363746;-0.184682;1.703868,-0.05943373;-0.1062818;1.702001,-0.02255033;-0.5098733;1.605568,0
1231,360,-9312;-11692;5372,220;-274;-841,-0.2337416;-0.3545205;1.272044,-0.2513614;-0.3604106;1.36245,-0.2914421;-0.3572749;1.626743,-0.2366124;-0.1847028;1.704089,-0.05949714;-0.1062803;1.702059,-0.02260429;-0.5097427;1.605512,0
1266,360,-9320;-11768;4964,117;188;-1055,-0.2269733;-0.3546022;1.266619,-0.2497113;-0.3598176;1.351363,-0.2879336;-0.3527686;1.564436,-0.2357013;-0.1845649;1.703453,-0.05952409;-0.1063046;1.702097,-0.02250958;-0.5096985;1.605361,0
1297,360,-9280;-12304;4200,-548;906;-1683,-0.2196147;-0.3552132;1.265438,-0.2490334;-0.3590387;1.351061,-0.2897476;-0.349705;1.566667,-0.2349005;-0.184431;1.702954,-0.05953023;-0.1063078;1.70209,-0.02253053;-0.5096141;1.605273,0
1333,360,-9136;-13656;4068,-328;1399;-2430,-0.2129216;-0.3571943;1.2623,-0.247936;-0.358685;1.350805,-0.2912949;-0.3487144;1.567372,-0.2352738;-0.1844758;1.703018,-0.05953307;-0.1063182;1.702084,-0.02253879;-0.509491;1.605241,0
1363,360,-9532;-15508;3156,-71;2557;-3529,-0.2062027;-0.356729;1.262354,-0.2459465;-0.3579342;1.350705,-0.2909897;-0.3487261;1.567306,-0.235577;-0.1845969;1.702913,-0.05954462;-0.1063495;1.702065,-0.02227536;-0.5093662;1.604925,0
1397,361,-9928;-15464;2692,1967;4262;-4419,-0.2002586;-0.3570425;1.262053,-0.2438886;-0.3574162;1.350657,-0.2920171;-0.3477909;1.566981,-0.236024;-0.1848435;1.702687,-0.05960977;-0.1064005;1.701651,-0.02186792;-0.5090948;1.604039,0
1430,360,-9804;-13420;2228,2882;5622;-5644,-0.1950612;-0.3570309;1.264122,-0.2432444;-0.3604508;1.348552,-0.2922977;-0.3488417;1.555496,-0.236361;-0.1850021;1.702689,-0.059602;-0.1063953;1.701604,-0.02135004;-0.5089313;1.603328,0
1465,360,-9396;-12180;2604,5237;6027;-5988,-0.1895223;-0.3575046;1.268591,-0.2348426;-0.3736165;1.324931,-0.2926438;-0.3476814;1.558684,-0.2353925;-0.1846491;1.70234,-0.05961625;-0.1063986;1.701783,-0.02110757;-0.5086844;1.603034,0
1497,360,-8924;-11616;3576,6309;6063;-6320,-0.1775796;-0.3628545;1.251959,-0.1916431;-0.36983;1.311724,-0.2927229;-0.3477426;1.558172,-0.2345195;-0.1842733;1.701909,-0.05962035;-0.1063929;1.701784,-0.02086516;-0.5086238;1.602711,0
1530,360,-8880;-11504;4308,6657;5987;-6242,-0.1723664;-0.3624095;1.254155,-0.1909345;-0.3696586;1.311602,-0.292848;-0.3474872;1.557701,-0.2336494;-0.183894;1.701545,-0.05961637;-0.1063425;1.7017,-0.0198223;-0.5082039;1.60167,0
1564,360,-8560;-11624;4904,4721;6916;-5678,-0.1680724;-0.3618694;1.255399,-0.187133;-0.3693559;1.312714,-0.2929337;-0.3473636;1.55718,-0.2330237;-0.1835844;1.701278,-0.05960201;-0.1063338;1.701637,-0.01950095;-0.5081024;1.6012,0
1596,360,-8552;-11832;4480,3851;7675;-4834,-0.1757607;-0.3557285;1.273933,-0.2341857;-0.3669831;1.361929,-0.2921913;-0.3540619;1.622585,-0.2327254;-0.1834635;1.701114,-0.05957985;-0.1063161;1.701637,-0.01894138;-0.5075985;1.600637,0
1631,360,-8792;-11948;3780,4859;7212;-4037,-0.1728981;-0.3559689;1.275469,-0.2275345;-0.3688869;1.334531,-0.2958508;-0.3397294;1.565941,-0.2324449;-0.1833549;1.701012,-0.05957174;-0.1063196;1.701653,-0.01846075;-0.5072488;1.600202,0
1666,360,-9252;-12768;3544,6325;6693;-3790,-0.1509163;-0.3633591;1.248473,-0.1662237;-0.372364;1.282108,-0.302517;-0.3544483;1.511272,-0.2321232;-0.1832267;1.700821,-0.05955354;-0.1063211;1.701629,-0.01792289;-0.5070097;1.599721,0
1697,360,-9500;-12484;3504,6055;6824;-3921,-0.1541868;-0.3610995;1.24451,-0.166519;-0.3723152;1.281851,-0.3025421;-0.3543745;1.511175,-0.2327199;-0.1833335;1.700815,-0.05955433;-0.1062533;1.701387,-0.01772423;-0.5068071;1.599502,0
1733,360,-9368;-12076;3608,6287;6960;-3995,-0.1588852;-0.3591001;1.242393,-0.1704489;-0.367205;1.279063,-0.3024676;-0.3543418;1.511083,-0.233589;-0.183333;1.700936,-0.05954278;-0.1062458;1.701281,-0.01760852;-0.5066189;1.599341,0
1764,360,-9560;-11680;3804,6038;7073;-4175,-0.1642027;-0.3569915;1.239726,-0.1736537;-0.3635801;1.277062,-0.3024859;-0.3542959;1.511057,-0.2333222;-0.1832759;1.700812,-0.05950817;-0.1062283;1.701231,-0.01740843;-0.506498;1.599127,0
1797,360,-9388;-11604;3916,5328;6998;-4335,-0.1697976;-0.3553039;1.236496,-0.1755486;-0.3645877;1.276043,-0.3024747;-0.3542757;1.511039,-0.232997;-0.1831305;1.700685,-0.05950056;-0.1062147;1.701187,-0.01715573;-0.5064774;1.598865,0
1831,360,-8996;-11940;3856,4731;6933;-4294,-0.1921335;-0.3481199;1.262578,-0.2208017;-0.3523761;1.344604,-0.3026267;-0.3543064;1.511277,-0.2325957;-0.1829812;1.700786,-0.05955411;-0.1062123;1.701351,-0.01705599;-0.5064452;1.599108,0
1866,360,-9056;-12192;3888,5030;6522;-3990,-0.1991716;-0.3475451;1.264351,-0.2239206;-0.3512822;1.344376,-0.302665;-0.3541405;1.511779,-0.233949;-0.1832538;1.702381,-0.0596016;-0.1062571;1.701895,-0.01715277;-0.5065666;1.599339,0
1897,359,-8904;-12160;3828,5185;6162;-3593,-0.2033345;-0.3442377;1.256823,-0.2263122;-0.3498714;1.342401,-0.3016976;-0.3531934;1.514056,-0.2344488;-0.1831854;1.702217,-0.05957738;-0.1061838;1.701755,-0.01731811;-0.5065196;1.599366,0
1931,359,-9676;-12848;4896,6285;5160;-3303,-0.2001677;-0.3502573;1.234916,-0.1998788;-0.355657;1.290193,-0.3007105;-0.3459136;1.537589,-0.2349607;-0.1833144;1.702268,-0.05957656;-0.1061754;1.701751,-0.01774756;-0.5063916;1.599675,0
1965,359,-9164;-11672;4676,5232;5409;-3598,-0.2057812;-0.3514242;1.235803,-0.2065537;-0.3589624;1.291363,-0.3010588;-0.345147;1.541052,-0.2352351;-0.1834453;1.702723,-0.05964243;-0.1061394;1.701899,-0.01830418;-0.5064081;1.600382,0
1997,359,-8868;-11540;5000,4500;5237;-3440,-0.2112021;-0.3495666;1.232393,-0.2098977;-0.359077;1.291151,-0.3011283;-0.3446554;1.542024,-0.2353036;-0.1834365;1.702723,-0.05967511;-0.1061093;1.701845,-0.01854355;-0.5065306;1.600443,0
2031,359,-8972;-11912;4872,4504;4743;-2913,-0.2207739;-0.3431731;1.260474,-0.2023351;-0.3478464;1.377082,-0.2957366;-0.3550459;1.627483,-0.2357244;-0.18359;1.703157,-0.05983406;-0.1061078;1.701932,-0.01895854;-0.5066546;1.600774,0
