Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,313,-2440;13308;7988,1153;-368;-1057,-0.09258074;0.02522285;1.340701,0.06644136;0.008728857;1.34211,0.1682349;-0.09290155;1.255022,0.1774249;-0.1397291;1.068896,0.1139465;-0.1538806;0.8881283,-0.1029802;-0.3981732;1.468512,0
29,312,-2500;13520;7912,1102;-408;-1013,-0.09282457;0.02538369;1.340951,0.06637777;0.008735001;1.342211,0.168551;-0.09265547;1.255317,0.146193;-0.1344477;1.036246,0.113003;-0.1549296;0.8917164,-0.1030981;-0.3983928;1.46812,0
63,312,-2500;13312;8048,840;-415;-898,-0.0929507;0.02549624;1.341111,0.06635104;0.008734624;1.342239,0.168757;-0.09246118;1.255401,0.146227;-0.1343475;1.036365,0.1124623;-0.1537978;0.8912587,-0.103096;-0.3983675;1.468149,0
97,312,-2388;13308;8188,1026;-427;-970,-0.09301516;0.02559343;1.341023,0.06633484;0.008726743;1.342193,0.1686551;-0.09211571;1.254766,0.1458964;-0.1340238;1.035758,0.1126311;-0.1528534;0.8874778,-0.103042;-0.3982626;1.467983,0
130,311,-2532;13288;8120,1178;-377;-1024,-0.09307732;0.02569997;1.340996,0.066321;0.008758653;1.342165,0.1687075;-0.09193072;1.254625,0.1792246;-0.1447793;1.037106,0.114877;-0.1504241;0.8894055,-0.1030154;-0.3982045;1.467947,0
162,312,-2424;13472;8036,993;-375;-956,-0.09307504;0.02580127;1.340968,0.06631512;0.008793953;1.342118,0.1685987;-0.0917379;1.254229,0.1450027;-0.131127;1.034839,0.1128069;-0.1512303;0.8875067,-0.1029928;-0.3981178;1.467845,0
199,313,-2520;13264;8020,934;-419;-954,-0.09309229;0.02593362;1.341067,0.0662887;0.008854043;1.34214,0.1686855;-0.09163196;1.254343,0.1804745;-0.1456705;1.037187,0.1154765;-0.1508915;0.8884033,-0.1028665;-0.3982064;1.467559,0
231,312,-2364;13236;8064,1134;-402;-997,-0.09308503;0.02600877;1.341078,0.06626569;0.008894322;1.342128,0.168714;-0.09147258;1.254243,0.1367407;-0.1243206;1.034828,0.1147798;-0.150276;0.8850722,-0.1028137;-0.398136;1.467541,0
266,312,-2432;13464;7992,1141;-382;-1032,-0.09308198;0.02614323;1.341202,0.06624302;0.008933792;1.342147,0.169018;-0.09116273;1.254348,0.1816443;-0.1389825;1.035771,0.1177915;-0.1483141;0.8873672,-0.1027863;-0.3981102;1.467547,0
302,312,-2468;13304;8156,1006;-432;-907,-0.09314147;0.02640533;1.341639,0.06620836;0.00902848;1.342255,0.1695156;-0.09109002;1.255212,0.1815012;-0.1388845;1.036594,0.1193061;-0.1488331;0.8898751,-0.1028943;-0.3984485;1.466279,0
