Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-11000;-8936;6916,143;-435;-1362,-0.006539873;0.0143035;1.046269,-0.03928537;0.0173905;1.051202,-0.1511008;0.1187506;1.249419,-0.03734185;0.3034539;1.357081,0.1007465;0.3063748;1.335661,0.09535635;-0.07492186;1.505002,0
48,1023,-10836;-9296;6888,-370;-719;-1611,-0.00695279;0.01548905;1.039467,-0.03880074;0.0170733;1.050963,-0.1511177;0.1188328;1.249237,-0.03766303;0.3037106;1.356606,0.1006863;0.3062732;1.335396,0.09523676;-0.07492346;1.504655,0
68,1021,-10852;-9688;6752,1790;-524;-1080,-0.008250923;0.01546707;1.044566,-0.03863379;0.01701418;1.050906,-0.1508036;0.1188499;1.24843,-0.03794873;0.3041985;1.356952,0.1007282;0.3062973;1.335548,0.09526184;-0.07484695;1.504805,0
101,1023,-10856;-9184;6960,2863;-416;-604,-0.008317085;0.0157769;1.042869,-0.04066834;0.01675888;1.051122,-0.1523332;0.1187808;1.254652,-0.03743161;0.3033191;1.357393,0.1007256;0.3062875;1.335596,0.09528929;-0.07488469;1.504842,0
134,1023,-10664;-8808;7048,2404;-408;-822,-0.007992147;0.01568895;1.041928,-0.06401978;0.03723628;1.107658,-0.1597875;0.1181796;1.337717,-0.03754378;0.3039165;1.357088,0.1007275;0.3062851;1.33559,0.09529127;-0.07484591;1.504817,0
166,1023,-10636;-8920;7264,1689;-311;-1074,-0.008453489;0.01615432;1.041262,-0.03896011;0.01654344;1.050725,-0.1494357;0.1174253;1.248085,-0.03769684;0.3042476;1.356971,0.1007258;0.306282;1.335595,0.09528499;-0.07483214;1.504806,0
200,1020,-10720;-8792;7216,765;-422;-1302,-0.009468528;0.01645908;1.037906,-0.03830316;0.01645246;1.050109,-0.149235;0.1186558;1.254551,-0.03781624;0.3044884;1.356693,0.1007182;0.3062318;1.33547,0.0952443;-0.07481119;1.504668,0
234,1019,-11012;-9436;6824,1051;-369;-1023,-0.009830117;0.01593347;1.040465,-0.03810895;0.01650911;1.050238,-0.1494979;0.1189195;1.253182,-0.03794785;0.3048327;1.356777,0.1007391;0.3062392;1.335518,0.09525111;-0.07479167;1.504672,0
268,1020,-10896;-8904;6968,1412;-605;-1010,-0.009267112;0.01661285;1.038766,-0.03808716;0.01652571;1.050303,-0.1497319;0.118777;1.253121,-0.03805863;0.3049824;1.356424,0.1007255;0.306216;1.335467,0.09520296;-0.074761;1.504523,0
301,1023,-11072;-8968;7144,1184;-696;-1000,-0.01056914;0.01685005;1.042605,-0.04655989;0.01913676;1.05141,-0.1497982;0.1187909;1.252983,-0.03734122;0.3037371;1.357039,0.100753;0.3062175;1.335599,0.09527033;-0.07479939;1.504627,0
334,1020,-10872;-8664;7316,1207;-811;-913,-0.009893125;0.01681042;1.040966,-0.04684274;0.01913031;1.05162,-0.1499134;0.1187298;1.252213,-0.03748159;0.3040896;1.356924,0.1007512;0.3062207;1.335603,0.09529029;-0.07475375;1.504607,0
367,1023,-10580;-9104;7000,420;-873;-1228,-0.01028794;0.01737917;1.038059,-0.04432857;0.01908373;1.051483,-0.1500984;0.1189144;1.250742,-0.03754324;0.3044535;1.356486,0.1007394;0.3061722;1.335459,0.09527587;-0.07471205;1.504292,0
400,1023,-10492;-9556;7244,219;-723;-1344,-0.009773639;0.01785645;1.04166,-0.06562158;0.03821021;1.105492,-0.1583786;0.1184774;1.337023,-0.03686351;0.3034963;1.356952,0.1007083;0.3062554;1.335598,0.09529974;-0.0747245;1.504331,0
433,1019,-10556;-9424;6876,970;-579;-1014,-0.0102675;0.01777332;1.044694,-0.04164648;0.01842821;1.052521,-0.1490666;0.1207541;1.263867,-0.03709288;0.3039922;1.357249,0.1007056;0.3064596;1.336023,0.09532085;-0.07451686;1.504764,0
469,1018,-10504;-9396;7072,1189;-504;-877,-0.01007525;0.01662273;1.041237,-0.04045978;0.01848125;1.05213,-0.1491156;0.1208152;1.26376,-0.03718982;0.3043191;1.357285,0.1007104;0.3065198;1.336104,0.09530861;-0.07449896;1.504772,0
500,1023,-10616;-9280;7016,1398;-359;-811,-0.006406108;0.01616265;1.038929,-0.03925228;0.01857206;1.05146,-0.1497274;0.1177131;1.247589,-0.0373558;0.3047318;1.357321,0.10072;0.3065851;1.336171,0.09531848;-0.07447937;1.504753,0
535,1023,-10668;-9300;6876,1146;-337;-949,-0.003772456;0.01424673;1.033856,-0.03831708;0.01847766;1.050616,-0.1476685;0.1160117;1.241166,-0.03743947;0.3049097;1.357486,0.1008117;0.3067371;1.336459,0.09532256;-0.07445569;1.50481,0
583,1023,-10992;-8936;7120,1562;-418;-963,-0.001912852;0.01049064;1.023161,-0.03701504;0.01741974;1.046775,-0.1442669;0.1123661;1.226858,-0.03684656;0.3036599;1.357733,0.1008268;0.3067508;1.336459,0.09525544;-0.07466865;1.504472,0
599,1017,-10808;-9004;7040,2277;-111;-757,-0.001176418;0.005588015;1.019629,-0.03853278;0.01614436;1.045825,-0.1409804;0.1100159;1.220163,-0.03711307;0.3041927;1.358369,0.1010718;0.3072826;1.337481,0.09530836;-0.07460493;1.504591,0
634,1023,-10872;-8928;7116,1315;-160;-833,-0.007332779;0.00138199;1.005446,-0.04130463;0.01476803;1.043123,-0.1376856;0.1095276;1.216651,-0.03720059;0.3042524;1.358338,0.1010757;0.3073069;1.337497,0.09524598;-0.07480084;1.504297,0
668,1023,-10780;-9244;7056,1725;-444;-895,-0.01492542;-0.004217275;0.992533,-0.04997986;0.0142616;1.039801,-0.129035;0.1080409;1.21367,-0.03646834;0.3031592;1.358763,0.101102;0.307431;1.337659,0.09539816;-0.07489264;1.504172,0
701,1022,-10868;-8988;7260,1230;-502;-1005,-0.02693165;-0.008571496;0.9774791,-0.05988709;0.01168228;1.036402,-0.1230251;0.1070602;1.212573,-0.03577846;0.3020023;1.35904,0.101143;0.3075689;1.337818,0.09581282;-0.07537448;1.504037,0
734,1019,-10804;-9072;7188,1235;-398;-1017,-0.04317446;-0.009534781;0.9667573,-0.06981511;0.0173782;1.0387,-0.1159908;0.1073058;1.214744,-0.03500107;0.3007038;1.3592,0.1012005;0.3076013;1.337934,0.0976475;-0.07656395;1.503741,0
767,1023,-10812;-9132;6932,1125;-387;-980,-0.05969627;-0.005195929;0.9587944,-0.07494792;0.02430698;1.043557,-0.1114957;0.1086083;1.216559,-0.03450836;0.2996152;1.359095,0.1012209;0.3076023;1.33794,0.09855438;-0.07744025;1.50341,0
799,1023,-10784;-8904;7148,1251;-544;-1050,-0.07008695;-0.0004714497;0.9548535,-0.07256785;0.02690761;1.036867,-0.1083904;0.1078501;1.216515,-0.034074;0.2988038;1.359214,0.1012392;0.3076759;1.338121,0.09879969;-0.0777588;1.504064,0
834,1013,-10820;-9216;6956,977;-459;-1014,-0.07803824;0.004858164;0.9642612,-0.07431528;0.03489355;1.060906,-0.09499621;0.1194042;1.308091,-0.03376853;0.2982707;1.359665,0.1015636;0.3082222;1.339532,0.09835755;-0.07774516;1.507525,0
868,1021,-10928;-8840;7096,999;-544;-990,-0.08126229;0.004122602;0.965807,-0.07256668;0.02291688;1.033397,-0.09573998;0.1120888;1.225739,-0.03352482;0.2973808;1.359841,0.1015472;0.3082547;1.33978,0.0981889;-0.07786285;1.508088,0
900,1023,-10768;-9372;6796,1309;-431;-747,-0.08319794;0.007412914;0.968637,-0.08284321;0.04732566;0.9903896,-0.09570269;0.1121896;1.225678,-0.03326362;0.2965954;1.359607,0.1015755;0.30819;1.339553,0.09806398;-0.07795497;1.508089,0
934,1023,-10740;-8932;7232,1474;-436;-786,-0.08522823;0.004534577;0.9695205,-0.07852121;0.01320728;1.017719,-0.09557721;0.1128747;1.226506,-0.03300807;0.2961605;1.359851,0.1016835;0.3083194;1.340071,0.09764433;-0.07796437;1.509982,0
967,1019,-10828;-8648;7196,1348;-419;-1007,-0.08673006;0.006115038;0.9680836,-0.08076665;0.02801659;1.058036,-0.09358034;0.1179132;1.303855,-0.03280675;0.2958166;1.35995,0.1017714;0.3083175;1.340208,0.09751281;-0.07801715;1.510532,0
1000,1023,-10880;-8920;7212,898;-423;-1087,-0.08760056;0.005502143;0.9704162,-0.07879213;0.0130523;1.018669,-0.09336839;0.1101873;1.228307,-0.03270108;0.2956834;1.36001,0.1018605;0.3083532;1.340346,0.09736427;-0.07807802;1.511154,0
1035,1023,-10848;-9084;7164,1343;-436;-854,-0.09003972;0.0058247;0.9710839,-0.08198927;0.02834068;1.064362,-0.09662624;0.1171717;1.310464,-0.03253547;0.2953986;1.360274,0.102077;0.3083656;1.340741,0.09733719;-0.07813107;1.512022,0
1067,1023,-10780;-8828;7076,1178;-472;-903,-0.09165875;0.004000332;0.9713943,-0.07975537;0.01173598;1.020717,-0.09170952;0.1101986;1.22943,-0.03248191;0.295298;1.360237,0.1021482;0.3082443;1.340604,0.09729312;-0.07818822;1.511974,0
1100,1020,-10808;-9140;7164,1072;-360;-906,-0.09736175;0.004463384;0.9694236,-0.08133006;0.02472808;1.054363,-0.08772485;0.1167748;1.29964,-0.03245371;0.2952753;1.36023,0.1021881;0.3082199;1.340605,0.09726346;-0.07819449;1.512056,0
