Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-2972;-16972;-2308,3367;4162;2092,-0.1101829;-0.0858213;0.8925569,-0.1462723;-0.07085314;0.9320484,-0.2264633;0.02673136;1.162225,-0.1645574;0.2504973;1.284781,-0.005959385;0.2664675;1.278363,0.004812441;-0.2260155;1.274277,0
37,1023,-2708;-16468;-2668,2502;3152;413,-0.1103917;-0.08636478;0.8940877,-0.1460309;-0.07109173;0.9318535,-0.2264578;0.02674004;1.162409,-0.1645576;0.250481;1.284787,-0.005953771;0.2664649;1.278401,0.004772363;-0.2259821;1.274405,0
70,1020,-2832;-16252;-2864,566;365;-778,-0.1097429;-0.08657467;0.8946974,-0.1456699;-0.07157357;0.9316832,-0.2263231;0.02628636;1.161032,-0.1645408;0.2504376;1.284782,-0.005948429;0.2664572;1.278515,0.004815468;-0.226046;1.274737,0
100,1023,-2756;-16272;-3948,1480;2428;-695,-0.1108484;-0.08616806;0.8917459,-0.1455123;-0.07187296;0.9313646,-0.22604;0.02587127;1.159434,-0.1645159;0.2504326;1.284803,-0.00594812;0.2664426;1.278509,0.004804949;-0.226071;1.274738,0
133,1023,-2568;-16332;-2960,1219;1056;-1706,-0.1109195;-0.08688903;0.8903875,-0.145537;-0.07200222;0.9312025,-0.2259073;0.02576281;1.159675,-0.164512;0.2504313;1.284805,-0.005943278;0.2664388;1.278505,0.004788118;-0.2260823;1.274727,0
167,1020,-2460;-15964;-3560,1704;2346;-575,-0.1125047;-0.08577788;0.8878309,-0.1455505;-0.07210008;0.9310663,-0.2252515;0.02544135;1.158251,-0.1645115;0.2504305;1.284807,-0.005943859;0.2664349;1.278505,0.004755963;-0.2260773;1.274717,0
201,1023,-2444;-16152;-2912,1193;844;-1366,-0.1148061;-0.08444896;0.8851195,-0.1459312;-0.07199436;0.9313221,-0.2248905;0.0253033;1.1575,-0.1645147;0.2504196;1.284778,-0.005949173;0.2664249;1.278491,0.004708985;-0.2260948;1.274714,0
236,1023,-2564;-16252;-3704,1855;1259;211,-0.1166657;-0.08375832;0.8820686,-0.1726822;-0.05307616;0.9706982,-0.2245124;0.02510285;1.156951,-0.1645163;0.2503948;1.284745,-0.005948582;0.2664189;1.278487,0.004661774;-0.2261108;1.27472,0
268,1018,-2348;-16220;-3120,2390;866;-64,-0.1186487;-0.08371335;0.8787907,-0.172762;-0.05332481;0.9701517,-0.2240285;0.0248901;1.156548,-0.1644281;0.2501395;1.284535,-0.005951072;0.2664127;1.278494,0.004530719;-0.2262473;1.274931,0
302,1014,-2420;-16036;-3008,1726;-389;-641,-0.1200622;-0.08451005;0.8746052,-0.1727697;-0.05378902;0.9690372,-0.2233392;0.02461325;1.155549,-0.1643959;0.250022;1.284462,-0.005951542;0.2664072;1.2785,0.004507367;-0.2263388;1.275077,0
335,1023,-2700;-16064;-2836,938;-172;-1367,-0.1219652;-0.08539653;0.8728632,-0.170915;-0.0526534;0.9684448,-0.222818;0.02434745;1.155182,-0.1643881;0.2499962;1.284454,-0.005945312;0.2663958;1.278546,0.004560241;-0.2264873;1.275393,0
369,1019,-2388;-16164;-3240,662;-60;-1671,-0.1254871;-0.08380284;0.8673989,-0.1618631;-0.0623223;0.9327113,-0.2218823;0.02397969;1.154353,-0.1643753;0.2499033;1.284363,-0.00594346;0.2663867;1.278555,0.004516668;-0.2266085;1.275652,0
399,1022,-2416;-16100;-3304,974;-597;-1203,-0.1305409;-0.08348952;0.8673331,-0.161841;-0.06230177;0.9327238,-0.2208988;0.02389426;1.154032,-0.1643605;0.2498774;1.284344,-0.005955692;0.2663654;1.278613,0.004310587;-0.2269081;1.276192,0
437,1023,-2352;-16244;-3500,1071;-230;-844,-0.135241;-0.08292942;0.8642695,-0.1616713;-0.06188702;0.9323578,-0.2193175;0.02359532;1.152624,-0.1643489;0.2498342;1.284277,-0.005959445;0.2663507;1.278601,0.004205942;-0.2269682;1.276212,0
470,1022,-2484;-16252;-3224,1020;-471;-1116,-0.1399691;-0.08246909;0.8624258,-0.1615899;-0.06199436;0.9318382,-0.2186032;0.0235334;1.152487,-0.1643113;0.2497605;1.284167,-0.005954173;0.2663367;1.278591,0.004194569;-0.2270723;1.276599,0
500,1023,-2368;-16072;-3352,1120;-345;-1120,-0.1447638;-0.08307639;0.8610473,-0.161609;-0.06239293;0.931328,-0.2175753;0.02352362;1.152239,-0.1642888;0.2497087;1.284106,-0.005947486;0.2663278;1.278614,0.004009014;-0.2271827;1.277378,0
535,1022,-2512;-16208;-3296,1078;-492;-1063,-0.1499364;-0.08121263;0.8611934,-0.1614812;-0.06247603;0.9309031,-0.2153027;0.02234372;1.14886,-0.1629269;0.2498116;1.285087,-0.005950498;0.2663167;1.278624,0.003619354;-0.2273188;1.278048,0
568,1018,-2356;-16220;-3432,1289;-740;-1074,-0.1546471;-0.07987908;0.8612147,-0.1612343;-0.06293719;0.9282649,-0.2147001;0.0222403;1.149318,-0.1629404;0.2496865;1.284889,-0.005961208;0.2663064;1.278659,0.003551705;-0.2275295;1.278994,0
601,1023,-2440;-16156;-3528,996;-15;-1053,-0.1582649;-0.07842646;0.8601606,-0.1614104;-0.06327114;0.9284968,-0.2130727;0.02189592;1.14712,-0.1629777;0.2494343;1.284481,-0.00596057;0.2662913;1.27866,0.003468694;-0.2276967;1.27928,0
635,1023,-2468;-16244;-3136,1005;-530;-1275,-0.1612727;-0.07875542;0.8646234,-0.1570011;-0.06990098;0.9416205,-0.2126494;0.02204017;1.147549,-0.1629969;0.2492293;1.28415,-0.005956954;0.2662804;1.278654,0.003436588;-0.2277136;1.27943,0
670,1021,-2236;-16328;-3612,1189;-508;-970,-0.1649068;-0.07972961;0.8692786,-0.1615306;-0.07047634;0.9329321,-0.2120542;0.02234885;1.148427,-0.1629757;0.2491667;1.284056,-0.005963825;0.2662695;1.278668,0.003347813;-0.2278342;1.279907,0
702,1023,-2424;-16172;-3344,1358;-669;-908,-0.1678021;-0.07950938;0.8711696,-0.1625271;-0.07148422;0.9322891,-0.2114037;0.02245883;1.148906,-0.1629762;0.2491426;1.284033,-0.005986521;0.2662324;1.278713,0.003147516;-0.227895;1.280564,0
735,1023,-2336;-16132;-3436,1076;-355;-1004,-0.1719742;-0.08287302;0.874611,-0.1639699;-0.07254339;0.9311714,-0.2092031;0.02370237;1.156369,-0.1629716;0.2490886;1.283951,-0.005987926;0.2662191;1.278749,0.003017256;-0.2279615;1.281154,0
769,1023,-2368;-16144;-3344,1034;-323;-1222,-0.1761937;-0.08367106;0.8772662,-0.1655857;-0.07408025;0.9306561,-0.208956;0.02373918;1.156454,-0.1629788;0.2489908;1.283891,-0.005988576;0.2661996;1.278819,0.002982766;-0.2280658;1.281838,0
801,1023,-2320;-16084;-3412,1246;-280;-1115,-0.179696;-0.08544169;0.8773798,-0.1598009;-0.08177167;0.9835055,-0.2083789;0.02382272;1.156863,-0.1629872;0.2489613;1.283853,-0.005995085;0.2661822;1.27885,0.00310958;-0.2281667;1.282166,0
836,1019,-2276;-16116;-3164,1273;-303;-957,-0.1834162;-0.08636447;0.8764394,-0.1662049;-0.08507812;0.9842895,-0.2076555;0.02375069;1.157127,-0.1629979;0.2489136;1.283785,-0.006008253;0.2661659;1.278891,0.003107089;-0.2281799;1.282235,0
871,1023,-2216;-16116;-3356,1085;-629;-1060,-0.1872248;-0.08772134;0.8756924,-0.1714744;-0.07913943;0.9793075,-0.2070203;0.02378419;1.157074,-0.1630016;0.2489091;1.283775,-0.006010853;0.2661527;1.278889,0.003109323;-0.2281808;1.282239,0
