Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,312,-13208;8124;-516,877;-700;-870,-0.0472518;0.214139;1.257675,0.08044459;0.1806868;1.23657,0.2047629;-0.01827771;1.167918,0.1084087;-0.07649638;0.9470687,0.07588478;-0.0871824;0.902784,-0.04707372;-0.1680513;1.416238,0
34,312,-13248;8092;-564,1063;-665;-976,-0.04729722;0.2140672;1.257517,0.08035716;0.1805752;1.23639,0.20249;0.02196972;1.220186,0.1256002;-0.05665733;0.9980692,0.07760397;-0.08740472;0.9016138,-0.04697;-0.168068;1.416005,0
67,312,-13080;7964;-572,1364;-549;-1081,-0.04732016;0.2140549;1.257526,0.08030002;0.1805313;1.236388,0.2135182;-0.01791777;1.169132,0.1107357;-0.07543308;0.9510143,0.0778217;-0.08859205;0.9032812,-0.04695996;-0.168102;1.41618,0
98,312,-13176;8232;-752,1587;-451;-1059,-0.04737524;0.2139771;1.257356,0.08018862;0.1804367;1.236224,0.2013664;0.02114223;1.220191,0.1293906;-0.05492522;0.9955485,0.08014677;-0.08822872;0.8996719,-0.04694502;-0.1681553;1.416106,0
133,312,-13196;8268;-704,1305;-435;-893,-0.0473791;0.2139772;1.257338,0.08011559;0.180403;1.236209,0.2142768;-0.0178975;1.170747,0.1170456;-0.07055543;0.9488943,0.08219296;-0.08888747;0.9004492,-0.04678103;-0.1681329;1.416171,0
165,312,-12944;7996;-592,1020;-537;-947,-0.0473875;0.2139693;1.257347,0.08002835;0.1802593;1.236308,0.2104626;-0.01808782;1.170195,0.1162743;-0.07109837;0.9471174,0.0849137;-0.08843037;0.8985798,-0.04650837;-0.1682734;1.416366,0
198,312,-13252;8100;-552,1486;-344;-1144,-0.04739643;0.2139571;1.257331,0.07993369;0.1801945;1.236287,0.2108448;-0.01833118;1.170169,0.1235394;-0.06525688;0.9532486,0.08800137;-0.08858722;0.8950084,-0.04581559;-0.1684787;1.416228,0
231,312,-13340;8080;-448,1259;-654;-1107,-0.04739546;0.2139371;1.257312,0.07988142;0.1800498;1.236317,0.2083426;-0.01636709;1.167364,0.1257388;-0.06375885;0.954489,0.09244902;-0.08799253;0.8937167,-0.04542202;-0.1686657;1.416066,0
267,312,-13364;8120;-636,1344;-455;-1101,-0.04740468;0.2139382;1.257341,0.07977621;0.1799017;1.236491,0.2076938;-0.01558608;1.166985,0.1273166;-0.06168671;0.957146,0.09800874;-0.08700123;0.8942087,-0.04468909;-0.168654;1.416605,0
300,312,-13252;8036;-620,1037;-580;-1063,-0.04739003;0.2138844;1.257263,0.07965981;0.1797508;1.236452,0.2069062;-0.01488984;1.16592,0.1280382;-0.06009926;0.9589552,0.1025205;-0.08628831;0.8900772,-0.04433464;-0.1687958;1.416326,0
331,312,-13328;7896;-456,1049;-370;-1071,-0.04738385;0.2138629;1.257237,0.07953397;0.1795898;1.236446,0.2062224;-0.01423263;1.165235,0.1282383;-0.05981444;0.9599311,0.1077515;-0.08595781;0.8891026,-0.04397517;-0.1689673;1.416285,0
366,312,-13232;7952;-464,1578;-313;-1068,-0.04738003;0.2138663;1.257251,0.07944676;0.179503;1.236518,0.2049208;-0.01306738;1.16805,0.1260797;-0.06328942;0.9499334,0.1131839;-0.08165178;0.8926933,-0.04326394;-0.1687163;1.416795,0
399,312,-13396;7944;-504,1549;-376;-1142,-0.04738113;0.2138619;1.257248,0.07937982;0.1793508;1.236565,0.204319;-0.01248465;1.169055,0.1238044;-0.06420978;0.9440974,0.1166053;-0.08016037;0.8887969,-0.0429256;-0.1687079;1.416908,0
432,312,-13352;8052;-636,1360;-597;-1001,-0.04737449;0.2138393;1.257172,0.07928618;0.1791995;1.236492,0.2039235;-0.01198037;1.169628,0.1234064;-0.06600489;0.9417626,0.1198496;-0.07862089;0.8903593,-0.04260223;-0.1685742;1.416786,0
466,312,-13280;7952;-668,1584;-385;-991,-0.04738362;0.2138372;1.257169,0.07921229;0.1790711;1.236511,0.2026956;0.02649217;1.231909,0.1849224;-0.0516479;1.064729,0.1226502;-0.08060554;0.8959825,-0.04247975;-0.1685137;1.416862,0
499,312,-13168;8020;-472,1908;-184;-1068,-0.04738395;0.2138535;1.257223,0.07915371;0.1790377;1.236565,0.2036574;-0.00712744;1.186782,0.1313776;-0.1120608;0.974182,0.1263825;-0.08145709;0.9015083,-0.04120406;-0.1680147;1.417876,0
532,312,-13272;8104;-876,1541;-495;-1026,-0.04738055;0.2138571;1.257239,0.07907427;0.178937;1.236604,0.2039093;-0.00747689;1.180284,0.130343;-0.1141013;0.9689647,0.1300614;-0.08530194;0.9062485,-0.04092127;-0.1678568;1.418083,0
565,312,-13232;8076;-728,1842;27;-1280,-0.04737557;0.21385;1.257226,0.07899898;0.1788535;1.236568,0.2035152;-0.00769433;1.179563,0.1296767;-0.1192248;0.9708978,0.1333264;-0.08921593;0.9003568,-0.04027752;-0.1676183;1.418067,0
599,312,-13412;8484;-924,1097;-376;-1526,-0.0473753;0.2138513;1.257224,0.07893487;0.1787955;1.23658,0.2028076;-0.008106937;1.180947,0.1308556;-0.1237723;0.9750441,0.1359225;-0.09231399;0.9037814,-0.04026157;-0.1675809;1.418074,0
631,312,-13636;7908;-640,-146;-451;-1329,-0.04737389;0.2138504;1.257224,0.07888444;0.178748;1.236589,0.2035655;0.0280527;1.232883,0.1469394;-0.09486265;1.02532,0.1396901;-0.09466993;0.9033851,-0.04004417;-0.1675645;1.418197,0
665,312,-13308;7540;-720,-410;-1294;-645,-0.04736962;0.213882;1.257323,0.07876811;0.1787158;1.236763,0.2024191;-0.0118764;1.177139,0.1453745;-0.1328091;0.9684578,0.1436044;-0.09711036;0.9031521,-0.03963019;-0.1674403;1.418957,0
699,312,-13256;7860;-680,1221;-584;-897,-0.04736246;0.2138814;1.257315,0.07870942;0.1786813;1.236729,0.2044391;0.02922343;1.232879,0.1542545;-0.09814809;1.026363,0.1451301;-0.0968603;0.9025263,-0.03906114;-0.1674069;1.419088,0
733,312,-13160;8188;-692,1725;-33;-1220,-0.04736;0.2138801;1.257313,0.07866769;0.1786594;1.2367,0.2007789;-0.01139458;1.172903,0.1465905;-0.1343533;0.9646423,0.1472085;-0.1001787;0.9007466,-0.03863285;-0.1672959;1.419057,0
765,312,-13412;8412;-724,2612;256;-975,-0.04735122;0.2138829;1.257317,0.07864214;0.1786547;1.236703,0.2033049;0.02969026;1.235814,0.1595947;-0.09543909;1.026466,0.1494889;-0.09954032;0.9019681,-0.03827199;-0.1672613;1.419123,0
799,313,-13668;9244;-1132,4169;524;-1551,-0.04734062;0.2138899;1.257324,0.07861505;0.1786587;1.236706,0.2010458;-0.01080868;1.175584,0.1485825;-0.1330296;0.9664502,0.1499435;-0.1018984;0.9015493,-0.03786179;-0.1671456;1.41929,0
832,314,-14392;9968;-1280,4984;685;-578,-0.04728366;0.2138443;1.257182,0.07855622;0.1786032;1.23658,0.2033194;0.02891182;1.231906,0.1370752;-0.06151608;1.041921,0.1480184;-0.1000381;0.8993097,-0.03709267;-0.1671375;1.41863,0
865,316,-13736;9528;-3536,13347;502;199,-0.04726205;0.2138302;1.257166,0.07851678;0.1785912;1.236559,0.2005595;-0.01143732;1.181509,0.148692;-0.1031472;0.957131,0.1483647;-0.09988422;0.8980863,-0.03697892;-0.1671029;1.418614,0
899,316,-13744;11972;-3348,11166;3634;2283,-0.04724356;0.2139089;1.257371,0.07844584;0.178585;1.236775,0.2024772;-0.01201684;1.179378,0.1498012;-0.1282861;0.9669183,0.1460389;-0.1008286;0.9030224,-0.03670932;-0.1670126;1.419253,0
933,317,-14496;11636;-4164,4380;3073;5637,-0.04723618;0.2139089;1.257375,0.07842031;0.1785905;1.236776,0.2042833;-0.01198985;1.176102,0.148995;-0.1291137;0.9647769,0.1431045;-0.09977559;0.8997478,-0.03668552;-0.1669984;1.419289,0
966,318,-13800;10304;-5168,4514;2862;5117,-0.04722772;0.213907;1.257363,0.0783796;0.1785548;1.236762,0.2046562;-0.01195632;1.175122,0.146933;-0.1300826;0.9650121,0.1406214;-0.09746906;0.8988947,-0.03662861;-0.166885;1.419291,0
1000,318,-13456;10756;-5336,7779;5686;4725,-0.04721215;0.2139616;1.257457,0.07833954;0.1785353;1.236895,0.2026775;0.02795713;1.236794,0.1654663;-0.04677032;1.063357,0.1386503;-0.09486239;0.9032091,-0.03655099;-0.1665893;1.419788,0
1031,318,-13392;11876;-5960,7590;6430;4528,-0.04719742;0.2139576;1.257438,0.07830715;0.1785029;1.23686,0.2036465;-0.009238086;1.174573,0.1333847;-0.1364843;0.9738626,0.1353551;-0.09447209;0.9039298,-0.03650711;-0.1665931;1.419746,0
1066,318,-12976;11512;-6484,6583;6503;5316,-0.04719524;0.2139574;1.257446,0.07827914;0.1784804;1.236889,0.2031454;-0.009581421;1.176181,0.134892;-0.1387582;0.976023,0.1339829;-0.09403288;0.9040844,-0.03650957;-0.1665607;1.419754,0
1099,318,-12416;11668;-6788,5477;5136;6398,-0.04719398;0.2139578;1.257447,0.07825737;0.17846;1.236888,0.2019395;0.0260698;1.233867,0.1466233;-0.09740068;1.026284,0.1314167;-0.09086152;0.9038436,-0.03649366;-0.1665583;1.419763,0
1133,318,-11436;11236;-7768,4312;4124;6233,-0.04719312;0.2139547;1.257458,0.07825276;0.1784525;1.236894,0.2031977;-0.006481735;1.180499,0.1309525;-0.1263534;0.9759692,0.1282892;-0.088512;0.9080227,-0.0364971;-0.1665654;1.419801,0
1166,318,-11124;11320;-8384,4275;4644;6259,-0.04718559;0.2139535;1.257467,0.07824442;0.1784271;1.236919,0.2032117;-0.006481593;1.180453,0.1296054;-0.1229247;0.9744237,0.1246959;-0.08544091;0.9055991,-0.03638484;-0.1665715;1.419816,0
1198,318,-10504;11196;-9240,4246;5959;7061,-0.0471866;0.2139526;1.257492,0.07822523;0.1784159;1.236962,0.2032326;-0.006495948;1.18047,0.1309816;-0.07040219;0.9521317,0.1214309;-0.08287328;0.9013182,-0.03643006;-0.1665657;1.419853,0
1232,318,-9364;11432;-9500,5427;6920;7201,-0.04719049;0.2139515;1.257496,0.08066257;0.1801983;1.239085,0.2029949;-0.006907753;1.180024,0.1301859;-0.06925335;0.9514328,0.1173415;-0.08375823;0.8983629,-0.03657452;-0.1665394;1.419758,0
1265,318,-8708;12032;-9644,2010;6485;7809,-0.04720257;0.2139475;1.257514,0.08041599;0.1800964;1.238991,0.2036247;-0.008106722;1.178244,0.1282493;-0.06853964;0.9499693,0.112893;-0.08464369;0.8950447,-0.03680231;-0.1666863;1.419709,0
1299,318,-7728;11096;-9976,202;6078;8282,-0.04721563;0.2139279;1.257494,0.08015507;0.1798333;1.238796,0.2042236;-0.009092193;1.176181,0.1478715;-0.0508347;0.9994072,0.1077701;-0.0850198;0.8930254,-0.03729491;-0.1669685;1.419281,0
1332,318,-6048;11028;-9616,910;6929;8487,-0.04722718;0.213914;1.257496,0.08006572;0.1797238;1.238743,0.2048579;-0.009843512;1.175381,0.1301541;-0.05944674;0.9638054,0.1035882;-0.08601757;0.8951391,-0.03766265;-0.1672469;1.41901,0
1367,319,-4856;11648;-9356,1175;7790;7410,-0.0472793;0.2139052;1.257597,0.07993227;0.1796641;1.23883,0.2043086;-0.01031173;1.175689,0.130161;-0.05934079;0.9638046,0.09955438;-0.08565181;0.8964404,-0.03851848;-0.1675646;1.418989,0
1398,318,-4380;11084;-8752,824;6756;8920,-0.04729541;0.2138843;1.257595,0.07981701;0.1796055;1.238803,0.2039981;-0.01041521;1.17555,0.1303311;-0.05904616;0.9636791,0.09566527;-0.08422858;0.8944956,-0.03881069;-0.1679781;1.41866,0
1431,319,-2368;10120;-9540,-95;6226;8976,-0.04732076;0.2138727;1.257596,0.07976947;0.1795258;1.238732,0.2059363;-0.01335814;1.173926,0.1301193;-0.05867371;0.9619471,0.09247196;-0.08427571;0.8958282,-0.03921806;-0.1681657;1.418448,0
1465,319,-924;9556;-9208,2338;7804;6400,-0.04735024;0.2138487;1.257588,0.07965056;0.1794708;1.238622,0.2054348;-0.01385323;1.173601,0.1288236;-0.05963002;0.9585901,0.08750825;-0.08421663;0.896855,-0.03975455;-0.1682977;1.418336,0
1498,319,560;10352;-8796,3574;8355;4896,-0.04737718;0.2138435;1.257585,0.08146077;0.1818914;1.24023,0.2028508;-0.01275301;1.177035,0.12712;-0.06052519;0.956108,0.08448137;-0.08330107;0.8995242,-0.04044849;-0.1683665;1.417989,0
1532,319,1836;10080;-8004,1440;7497;4642,-0.04740901;0.2138347;1.257596,0.08108843;0.1816978;1.239876,0.2031439;-0.01389517;1.175853,0.1246756;-0.0615658;0.9530168,0.08188529;-0.08241296;0.9006916,-0.04102185;-0.1685271;1.417789,0
